timestep,month,day,hour_epw,tariff_type,calibration_status,price_factor,price_eur_per_kWh_at_base_price,RL_GW,demand_proxy_GW,pv_proxy_GW,wind_proxy_GW
1,1,1,1,tou,historically_calibrated,0.740365,0.125862,11.1166,11.2198,0.0,0.1032
2,1,1,2,tou,historically_calibrated,0.740365,0.125862,11.9837,12.2031,0.0,0.2194
3,1,1,3,tou,historically_calibrated,0.740365,0.125862,12.7836,12.8868,0.0,0.1032
4,1,1,4,tou,historically_calibrated,0.740365,0.125862,13.0511,13.2705,0.0,0.2194
5,1,1,5,tou,historically_calibrated,0.740365,0.125862,13.4317,13.5349,0.0,0.1032
6,1,1,6,tou,historically_calibrated,0.740365,0.125862,13.909,14.0122,0.0,0.1032
7,1,1,7,tou,historically_calibrated,0.740365,0.125862,16.8003,16.9035,0.0,0.1032
8,1,1,8,tou,historically_calibrated,0.740365,0.125862,17.1769,17.1917,0.0,0.0148
9,1,1,9,tou,historically_calibrated,0.740365,0.125862,17.2755,17.3787,0.0,0.1032
10,1,1,10,tou,historically_calibrated,0.740365,0.125862,17.1819,17.2097,0.013,0.0148
11,1,1,11,tou,historically_calibrated,0.740365,0.125862,16.0885,16.6932,0.0402,0.5645
12,1,1,12,tou,historically_calibrated,0.740365,0.125862,15.9639,16.0298,0.0635,0.0024
13,1,1,13,tou,historically_calibrated,0.740365,0.125862,15.4712,15.5907,0.0739,0.0457
14,1,1,14,tou,historically_calibrated,0.740365,0.125862,15.3948,15.5105,0.07,0.0457
15,1,1,15,tou,historically_calibrated,0.740365,0.125862,15.6337,15.8224,0.0855,0.1032
16,1,1,16,tou,historically_calibrated,0.740365,0.125862,16.4088,16.5547,0.0428,0.1032
17,1,1,17,tou,historically_calibrated,0.740365,0.125862,17.3895,17.4049,0.013,0.0024
18,1,1,18,tou,historically_calibrated,0.740365,0.125862,17.8319,17.8776,0.0,0.0457
19,1,1,19,tou,historically_calibrated,0.740365,0.125862,17.98,18.1994,0.0,0.2194
20,1,1,20,tou,historically_calibrated,0.740365,0.125862,17.8315,17.8772,0.0,0.0457
21,1,1,21,tou,historically_calibrated,0.740365,0.125862,16.7476,17.1128,0.0,0.3652
22,1,1,22,tou,historically_calibrated,0.740365,0.125862,15.6452,16.2098,0.0,0.5645
23,1,1,23,tou,historically_calibrated,0.740365,0.125862,14.9338,15.2991,0.0,0.3652
24,1,1,24,tou,historically_calibrated,0.740365,0.125862,12.239,12.3423,0.0,0.1032
25,1,2,1,tou,historically_calibrated,0.740365,0.125862,10.8812,11.707,0.0,0.8257
26,1,2,2,tou,historically_calibrated,0.740365,0.125862,10.7679,11.5936,0.0,0.8257
