Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,2633.681959270108,0.0
 01/01  00:30:00,2660.57657227543,0.0
 01/01  00:45:00,2654.41887854539,0.0
 01/01  01:00:00,2655.989892268261,0.0
 01/01  01:15:00,2692.427444606613,0.0
 01/01  01:30:00,2735.310815492935,0.0
 01/01  01:45:00,2769.424200455019,0.0
 01/01  02:00:00,2796.160209980041,0.0
 01/01  02:15:00,2826.7579517770328,0.0
 01/01  02:30:00,2860.7385054930164,0.0
 01/01  02:45:00,2885.3921867735776,0.0
 01/01  03:00:00,2903.9842743178606,0.0
 01/01  03:15:00,2917.137600946792,0.0
 01/01  03:30:00,2940.6734674255795,0.0
 01/01  03:45:00,2963.9963479663484,0.0
 01/01  04:00:00,2977.805428385252,0.0
 01/01  04:15:00,2977.8342585291657,0.0
 01/01  04:30:00,2990.2786228177574,0.0
 01/01  04:45:00,3007.098953466397,0.0
 01/01  05:00:00,3017.363776570354,0.0
 01/01  05:15:00,3021.0391855304315,0.0
 01/01  05:30:00,3024.1979020883223,0.0
 01/01  05:45:00,3042.7055271217773,0.0
 01/01  06:00:00,4272.52833584262,0.0
 01/01  06:15:00,6004.208790041421,0.0
 01/01  06:30:00,6737.161877324603,0.0
 01/01  06:45:00,6473.674525659826,0.0
 01/01  07:00:00,6570.498662472452,0.0
 01/01  07:15:00,4987.300093121178,0.0
 01/01  07:30:00,4960.43927754662,0.0
 01/01  07:45:00,1847.220388162432,0.0
 01/01  08:00:00,2403.591505060756,0.0
 01/01  08:15:00,2669.7574743543883,0.0
 01/01  08:30:00,2879.69911318073,0.0
 01/01  08:45:00,2825.7553971559405,0.0
 01/01  09:00:00,2890.8105344957,4.42254184312394
 01/01  09:15:00,2860.5935001204703,6.636070960553505
 01/01  09:30:00,2884.921066645996,8.567455711858647
 01/01  09:45:00,2893.041951186437,13.075503313786005
 01/01  10:00:00,2883.6736877507906,17.584897749164295
 01/01  10:15:00,2897.8635273211803,22.079172141076906
 01/01  10:30:00,2913.427310442605,26.572022134563305
 01/01  10:45:00,2927.2067968790684,30.419263304730528
 01/01  11:00:00,2928.953781811137,34.267230819398215
 01/01  11:15:00,2916.5383317119604,38.118549423951684
 01/01  11:30:00,2909.155723234104,41.96867354183648
 01/01  11:45:00,2912.410475301757,43.6694341401136
 01/01  12:00:00,2901.997043871518,45.374590602967594
 01/01  12:15:00,2954.5267618989005,47.062610990357925
 01/01  12:30:00,2949.9103083144937,48.75049654799335
 01/01  12:45:00,3051.0167491097045,48.080546636734844
 01/01  13:00:00,3060.48021839515,47.41668085540876
 01/01  13:15:00,3060.2725862024627,46.76075090484507
 01/01  13:30:00,3053.292343642396,46.106143063348824
 01/01  13:45:00,3054.5179638537675,48.656059665214485
 01/01  14:00:00,3064.3451312284114,51.18205459471714
 01/01  14:15:00,3062.383084177541,53.71042962559309
 01/01  14:30:00,3055.9322187079088,56.23459381013003
 01/01  14:45:00,3060.0252918591864,49.30102378205221
 01/01  15:00:00,3074.942890709173,42.317520902950484
