Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,2812.3262838028404,0.0
 01/01  00:30:00,2844.95588828219,0.0
 01/01  00:45:00,2837.016367521744,0.0
 01/01  01:00:00,2831.8068666868458,0.0
 01/01  01:15:00,2870.7447310068183,0.0
 01/01  01:30:00,2909.108490791381,0.0
 01/01  01:45:00,2942.5810460208954,0.0
 01/01  02:00:00,2967.447810392729,0.0
 01/01  02:15:00,2994.9851189799488,0.0
 01/01  02:30:00,3026.651859418778,0.0
 01/01  02:45:00,3051.5357000207714,0.0
 01/01  03:00:00,3067.602410337623,0.0
 01/01  03:15:00,3080.816385410993,0.0
 01/01  03:30:00,3099.3647132716223,0.0
 01/01  03:45:00,3123.952047642224,0.0
 01/01  04:00:00,3134.101988221856,0.0
 01/01  04:15:00,3136.2616576782625,0.0
 01/01  04:30:00,3142.948463826691,0.0
 01/01  04:45:00,3159.4000099058235,0.0
 01/01  05:00:00,3169.0269580448485,0.0
 01/01  05:15:00,3168.985714746005,0.0
 01/01  05:30:00,3174.8316899787465,0.0
 01/01  05:45:00,3188.681353779287,0.0
 01/01  06:00:00,3201.610779559691,0.0
 01/01  06:15:00,3202.0320014232743,0.0
 01/01  06:30:00,3247.7934608192977,0.0
 01/01  06:45:00,3179.6487079125995,0.0
 01/01  07:00:00,3177.307424492125,0.0
 01/01  07:15:00,3154.117793630305,0.0
 01/01  07:30:00,3152.405979418897,0.0
 01/01  07:45:00,3143.649192802936,0.0
 01/01  08:00:00,3144.992539882257,0.0
 01/01  08:15:00,3159.803245475822,0.0
 01/01  08:30:00,3170.481732143811,0.0
 01/01  08:45:00,4950.568327971952,0.0
 01/01  09:00:00,5588.582494987435,4.045981382567159
 01/01  09:15:00,3845.370018052359,6.071174614271154
 01/01  09:30:00,4121.298547518989,7.796209069794886
 01/01  09:45:00,4076.5831547822954,11.90480047227229
 01/01  10:00:00,5337.470947831327,16.017192648240552
 01/01  10:15:00,3903.8227464108872,20.11778990109727
 01/01  10:30:00,4016.303954246129,24.219126293456483
 01/01  10:45:00,4011.003564318695,27.732052353642747
 01/01  11:00:00,4109.060554511773,31.247135418552883
 01/01  11:15:00,7970.472193893817,34.76793849267274
 01/01  11:30:00,7648.865986967615,38.28978240015828
 01/01  11:45:00,4650.943561329746,39.84588684909294
 01/01  12:00:00,4103.048393638783,41.40724956502072
 01/01  12:15:00,2307.8864838985514,42.95119940801945
 01/01  12:30:00,2860.393999196864,44.4956692184526
 01/01  12:45:00,2855.908771696508,43.88123754088722
 01/01  13:00:00,2940.4093747978923,43.27266216790692
 01/01  13:15:00,3127.3660567885822,42.672425671423866
 01/01  13:30:00,3130.629533591311,42.07387575741354
 01/01  13:45:00,3135.710260312664,44.728040965529885
 01/01  14:00:00,3144.478125216049,48.16368485408463
 01/01  14:15:00,3145.6410430799538,52.02499547704547
 01/01  14:30:00,3132.059062115324,56.512664168705136
 01/01  14:45:00,3139.478902797758,48.400140027946485
 01/01  15:00:00,3154.545426286186,40.49070960641937
 01/01  15:15:00,3172.770445722,32.73579882174009
 01/01  15:30:00,3182.940357382653,25.67202006240088
 01/01  15:45:00,3188.351604755223,21.196649628431537
 01/01  16:00:00,3201.8990758129185,16.720196654821205
 01/01  16:15:00,4678.02908197267,12.247881709051171
 01/01  16:30:00,4342.858161362128,8.057299872441915
 01/01  16:45:00,4151.674485055174,0.0
 01/01  17:00:00,4329.632935733488,0.0
 01/01  17:15:00,8163.430375393225,0.0
 01/01  17:30:00,8142.181668125997,0.0
 01/01  17:45:00,5989.948310555203,0.0
 01/01  18:00:00,4448.333554524237,0.0
 01/01  18:15:00,4232.059065141437,0.0
 01/01  18:30:00,5576.239838526635,0.0
 01/01  18:45:00,7272.51462651045,0.0
 01/01  19:00:00,7224.074291439309,0.0
 01/01  19:15:00,5951.729987798649,0.0
 01/01  19:30:00,5370.382767526806,0.0
 01/01  19:45:00,3919.655116991404,0.0
 01/01  20:00:00,3986.1093102192663,0.0
 01/01  20:15:00,4014.301166123818,0.0
 01/01  20:30:00,4101.232129211258,0.0
 01/01  20:45:00,4180.246792738613,0.0
 01/01  21:00:00,4173.348128556729,0.0
 01/01  21:15:00,4186.204825545219,0.0
 01/01  21:30:00,4177.758011529574,0.0
 01/01  21:45:00,4182.804528459208,0.0
 01/01  22:00:00,4196.207178512064,0.0
 01/01  22:15:00,4194.914730087407,0.0
 01/01  22:30:00,4185.195326259306,0.0
 01/01  22:45:00,4178.907124977989,0.0
 01/01  23:00:00,4183.386126686059,0.0
 01/01  23:15:00,2171.5270231857203,0.0
 01/01  23:30:00,2625.088125236369,0.0
 01/01  23:45:00,2712.804856563152,0.0
 01/01  24:00:00,2818.473912796085,0.0
 01/02  00:15:00,3365.056739275412,0.0
 01/02  00:30:00,2839.8223705584387,0.0
 01/02  00:45:00,2963.095475514096,0.0
 01/02  01:00:00,2886.3815636690056,0.0
 01/02  01:15:00,2909.0673923972613,0.0
 01/02  01:30:00,2921.9415733440123,0.0
 01/02  01:45:00,2922.4268019661918,0.0
 01/02  02:00:00,2918.5361295672387,0.0
 01/02  02:15:00,2922.206670387826,0.0
 01/02  02:30:00,2935.341821091685,0.0
 01/02  02:45:00,2939.622808634076,0.0
 01/02  03:00:00,2933.2660827722425,0.0
 01/02  03:15:00,2935.8025205897948,0.0
 01/02  03:30:00,2941.5138534605303,0.0
 01/02  03:45:00,2951.2162365126,0.0
 01/02  04:00:00,2952.955165789818,0.0
 01/02  04:15:00,2937.629961736786,0.0
 01/02  04:30:00,2933.239826719181,0.0
 01/02  04:45:00,2937.0575274947064,0.0
 01/02  05:00:00,2930.420126183602,0.0
 01/02  05:15:00,2919.630117891985,0.0
 01/02  05:30:00,2910.996034220533,0.0
 01/02  05:45:00,2911.836065112036,0.0
 01/02  06:00:00,2912.094443195951,0.0
 01/02  06:15:00,2913.3666191362718,0.0
 01/02  06:30:00,2960.027395074406,0.0
 01/02  06:45:00,2891.7732747373484,0.0
 01/02  07:00:00,2895.2517476382623,0.0
 01/02  07:15:00,2873.1122339016506,0.0
 01/02  07:30:00,2874.2723828963253,0.0
 01/02  07:45:00,2865.4829048625024,0.0
 01/02  08:00:00,2866.5245999492595,0.0
 01/02  08:15:00,2876.2627636281973,0.0
 01/02  08:30:00,2874.468821834987,0.0
 01/02  08:45:00,4717.361653905827,0.0
 01/02  09:00:00,5383.966819169101,3.9653385172784064
 01/02  09:15:00,3587.516516825898,5.945415237765365
 01/02  09:30:00,3877.431120494788,7.629658978878999
 01/02  09:45:00,3786.015842278215,32.84194449806693
 01/02  10:00:00,5204.065814098839,63.29024081457885
 01/02  10:15:00,3704.217740040997,105.80105998448244
 01/02  10:30:00,3743.058847495555,139.29338388278632
 01/02  10:45:00,3710.345963093871,157.3454701608042
 01/02  11:00:00,3813.151121877017,176.52349976426208
 01/02  11:15:00,7966.055665723094,196.5160494216577
 01/02  11:30:00,7928.094831234639,217.11838200372472
 01/02  11:45:00,5173.545950658042,221.32711232279
 01/02  12:00:00,3825.1865914078894,225.33211789196275
 01/02  12:15:00,1632.4062170676275,229.29314075307704
 01/02  12:30:00,2071.522663872268,233.22567092997906
 01/02  12:45:00,2152.850436163269,198.48387428011648
 01/02  13:00:00,2201.640115379201,178.87605064638285
 01/02  13:15:00,2449.267362844142,159.57088382260724
 01/02  13:30:00,2370.607573634084,140.80514484633017
 01/02  13:45:00,2388.1321588633687,120.29012316804706
 01/02  14:00:00,2413.859503925829,90.15547381095547
 01/02  14:15:00,2429.2496314455702,72.80670907904262
 01/02  14:30:00,2436.06319635665,56.113735152521215
 01/02  14:45:00,2444.919412299472,51.04810073718144
 01/02  15:00:00,2456.905176839559,46.14854508671396
 01/02  15:15:00,2463.6822166273537,41.43598114985711
 01/02  15:30:00,2461.311625659318,36.94287051247538
 01/02  15:45:00,2460.566293893491,27.614014097089225
 01/02  16:00:00,2469.4195311383546,18.585327032997718
 01/02  16:15:00,4400.044347038996,11.162658903512995
 01/02  16:30:00,4035.581956851682,3.7675430265459635
 01/02  16:45:00,3666.7743272184334,0.0
 01/02  17:00:00,3891.127437671931,0.0
 01/02  17:15:00,8153.216914641088,0.0
 01/02  17:30:00,8133.875004137246,0.0
 01/02  17:45:00,5168.692389083291,0.0
 01/02  18:00:00,3987.149050440156,0.0
 01/02  18:15:00,3736.008981533841,0.0
 01/02  18:30:00,5252.837468494307,0.0
 01/02  18:45:00,6951.87059111775,0.0
 01/02  19:00:00,6899.703534620972,0.0
 01/02  19:15:00,5623.310461887592,0.0
 01/02  19:30:00,5040.421772658805,0.0
 01/02  19:45:00,3569.7253646428053,0.0
 01/02  20:00:00,3633.541245717396,0.0
 01/02  20:15:00,3652.90925240157,0.0
 01/02  20:30:00,3631.580719961376,0.0
 01/02  20:45:00,3667.668019270204,0.0
 01/02  21:00:00,3674.042259254912,0.0
 01/02  21:15:00,3663.5496596325975,0.0
 01/02  21:30:00,3620.635271676197,0.0
 01/02  21:45:00,3642.058429878859,0.0
 01/02  22:00:00,3655.65357175117,0.0
 01/02  22:15:00,3655.772655263792,0.0
 01/02  22:30:00,3625.157480742341,0.0
 01/02  22:45:00,3634.8129195818506,0.0
 01/02  23:00:00,3632.522871277899,0.0
 01/02  23:15:00,1363.8204471283389,0.0
 01/02  23:30:00,1521.6901655681356,0.0
 01/02  23:45:00,1671.4400351825122,0.0
 01/02  24:00:00,1867.9069908831416,0.0
 01/03  00:15:00,1979.5935258171512,0.0
 01/03  00:30:00,1982.6401998377744,0.0
 01/03  00:45:00,2002.5892057760532,0.0
 01/03  01:00:00,2014.540617808377,0.0
 01/03  01:15:00,2024.99721543004,0.0
 01/03  01:30:00,2033.92094627468,0.0
 01/03  01:45:00,2031.8738003690853,0.0
 01/03  02:00:00,2028.2051190895377,0.0
 01/03  02:15:00,2033.006269726914,0.0
 01/03  02:30:00,2049.0071439872727,0.0
 01/03  02:45:00,2051.5562290295115,0.0
 01/03  03:00:00,2049.571438982524,0.0
 01/03  03:15:00,2046.6801982143668,0.0
 01/03  03:30:00,2051.6214959029685,0.0
 01/03  03:45:00,2054.816802727825,0.0
 01/03  04:00:00,2051.774706709286,0.0
 01/03  04:15:00,2051.0175248757478,0.0
 01/03  04:30:00,2062.616020253565,0.0
 01/03  04:45:00,2080.473658975555,0.0
 01/03  05:00:00,2089.875943123806,0.0
 01/03  05:15:00,2086.584959254013,0.0
 01/03  05:30:00,2085.3503131875755,0.0
 01/03  05:45:00,2092.26929284456,0.0
 01/03  06:00:00,2099.274983548134,0.0
 01/03  06:15:00,2105.4908507238783,0.0
 01/03  06:30:00,2157.409973187516,0.0
 01/03  06:45:00,2096.380365133023,0.0
 01/03  07:00:00,2111.734818728779,0.0
 01/03  07:15:00,2093.130758855764,0.0
 01/03  07:30:00,2093.837511824208,0.0
 01/03  07:45:00,2086.3000820339144,0.0
 01/03  08:00:00,2092.101481186301,0.0
 01/03  08:15:00,2105.7552741686827,0.0
 01/03  08:30:00,2114.3761421035288,0.0
 01/03  08:45:00,4151.421038116101,0.0
 01/03  09:00:00,4909.481044260298,3.952929177201287
 01/03  09:15:00,2988.470818026557,5.929611045657116
 01/03  09:30:00,3171.3606098331047,7.613172067787298
 01/03  09:45:00,3174.369110903223,11.623900364530806
 01/03  10:00:00,4908.999317472351,15.637746115500457
 01/03  10:15:00,3350.022070159774,19.653185062825177
 01/03  10:30:00,3404.971425659698,23.670772526782386
