Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,2817.7730324089257,0.0
 01/01  00:30:00,2852.833907994353,0.0
 01/01  00:45:00,2840.1175580893773,0.0
 01/01  01:00:00,2841.1587662642887,0.0
 01/01  01:15:00,2875.6969132291383,0.0
 01/01  01:30:00,2915.5954281445343,0.0
 01/01  01:45:00,2948.154020202578,0.0
 01/01  02:00:00,2973.012265254169,0.0
 01/01  02:15:00,3000.8320591886527,0.0
 01/01  02:30:00,3032.070542969872,0.0
 01/01  02:45:00,3057.909867160393,0.0
 01/01  03:00:00,3071.7795197565224,0.0
 01/01  03:15:00,3086.8622493615794,0.0
 01/01  03:30:00,3105.6161000266347,0.0
 01/01  03:45:00,3128.7723364346107,0.0
 01/01  04:00:00,3139.650418599329,0.0
 01/01  04:15:00,3141.2829440435635,0.0
 01/01  04:30:00,3146.9554131730547,0.0
 01/01  04:45:00,3166.8209414609632,0.0
 01/01  05:00:00,3172.978938019621,0.0
 01/01  05:15:00,3175.254440586304,0.0
 01/01  05:30:00,3180.898594895697,0.0
 01/01  05:45:00,3191.9165887625218,0.0
 01/01  06:00:00,3209.182255630424,0.0
 01/01  06:15:00,3207.2182324526307,0.0
 01/01  06:30:00,3253.285074326536,0.0
 01/01  06:45:00,3183.2260043577185,0.0
 01/01  07:00:00,3183.9751812797304,0.0
 01/01  07:15:00,3157.944304030898,0.0
 01/01  07:30:00,3158.554606818334,0.0
 01/01  07:45:00,3147.978248100291,0.0
 01/01  08:00:00,3150.187173641554,0.0
 01/01  08:15:00,3164.130424522807,0.0
 01/01  08:30:00,3175.288721577179,0.0
 01/01  08:45:00,4954.077030472868,0.0
 01/01  09:00:00,5590.43139524144,4.42254184312394
 01/01  09:15:00,3848.72845232756,6.636070960553505
 01/01  09:30:00,4124.024290708428,8.567455711858647
 01/01  09:45:00,4078.90548090776,13.075503313786005
 01/01  10:00:00,5339.828947144183,17.584897749164295
 01/01  10:15:00,3908.045422956148,22.079172141076906
 01/01  10:30:00,4021.1003574958486,26.572022134563305
 01/01  10:45:00,4016.345802356642,30.419263304730528
 01/01  11:00:00,4113.539955868299,34.267230819398215
 01/01  11:15:00,7970.548884847883,38.118549423951684
 01/01  11:30:00,7653.458229713996,41.96867354183648
 01/01  11:45:00,4656.6146043693225,43.6694341401136
 01/01  12:00:00,4107.276702704918,45.374590602967594
 01/01  12:15:00,2313.6037840342437,47.062610990357925
 01/01  12:30:00,2865.541621037208,48.75049654799335
 01/01  12:45:00,2860.543011097729,48.080546636734844
 01/01  13:00:00,2945.567174684571,47.41668085540876
 01/01  13:15:00,3131.540605107725,46.760750904845075
 01/01  13:30:00,3135.965995246137,46.106143063348824
 01/01  13:45:00,3140.05226476009,48.70664935303335
 01/01  14:00:00,3150.572092079775,51.47919231070265
 01/01  14:15:00,3151.5938050822583,54.470738196926504
 01/01  14:30:00,3142.279495886577,57.804842234441686
 01/01  14:45:00,3147.0740930537977,50.44471123033811
 01/01  15:00:00,3161.6043583820024,43.00392787562364
 01/01  15:15:00,3179.7571496190817,35.47931307571947
 01/01  15:30:00,3191.412851060702,28.15297592081043
 01/01  15:45:00,3194.5427836166277,23.251820220161562
 01/01  16:00:00,3208.4076250443663,18.347008349376562
 01/01  16:15:00,4681.31480452307,13.444208743950945
 01/01  16:30:00,4345.341764182649,8.806612331771074
 01/01  16:45:00,4156.8765553664025,0.0
 01/01  17:00:00,4333.95162018483,0.0
 01/01  17:15:00,8163.497550608387,0.0
 01/01  17:30:00,8142.282134581648,0.0
 01/01  17:45:00,5997.442604670954,0.0
 01/01  18:00:00,4452.690664553089,0.0
 01/01  18:15:00,4237.170551718946,0.0
 01/01  18:30:00,5578.770662212665,0.0
 01/01  18:45:00,7275.171177809651,0.0
 01/01  19:00:00,7226.690211071894,0.0
 01/01  19:15:00,5954.031754396663,0.0
 01/01  19:30:00,5372.948046513568,0.0
 01/01  19:45:00,3922.285148192818,0.0
 01/01  20:00:00,3988.9522761858734,0.0
 01/01  20:15:00,4019.328332293459,0.0
 01/01  20:30:00,4106.39146873293,0.0
 01/01  20:45:00,4185.026724627118,0.0
 01/01  21:00:00,4178.90235109183,0.0
 01/01  21:15:00,4190.486038859384,0.0
 01/01  21:30:00,4182.14028663794,0.0
 01/01  21:45:00,4187.0578801261,0.0
 01/01  22:00:00,4200.821204273561,0.0
 01/01  22:15:00,4199.719114472924,0.0
 01/01  22:30:00,4189.125717480768,0.0
 01/01  22:45:00,4184.2577291350335,0.0
 01/01  23:00:00,4187.164367165914,0.0
 01/01  23:15:00,2178.3693033962304,0.0
 01/01  23:30:00,2632.5624522274857,0.0
 01/01  23:45:00,2720.476990525416,0.0
 01/01  24:00:00,2824.9969747318364,0.0
 01/02  00:15:00,3370.897908374257,0.0
 01/02  00:30:00,2846.366159490789,0.0
 01/02  00:45:00,2970.853007027087,0.0
 01/02  01:00:00,2892.5373248294063,0.0
 01/02  01:15:00,2916.708704195067,0.0
 01/02  01:30:00,2927.270255591379,0.0
 01/02  01:45:00,2930.554086453148,0.0
 01/02  02:00:00,2924.6673430628343,0.0
 01/02  02:15:00,2929.1217913316987,0.0
 01/02  02:30:00,2942.822907410184,0.0
 01/02  02:45:00,2945.5902185158234,0.0
 01/02  03:00:00,2940.366057284846,0.0
