Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,2521.979852871402,0.0
 01/01  00:30:00,2552.6304163894188,0.0
 01/01  00:45:00,2545.87760424747,0.0
 01/01  01:00:00,2544.220331031655,0.0
 01/01  01:15:00,2585.0118890639046,0.0
 01/01  01:30:00,2624.5845748401925,0.0
 01/01  01:45:00,2659.467086944352,0.0
 01/01  02:00:00,2687.8237509641526,0.0
 01/01  02:15:00,2716.6554850094203,0.0
 01/01  02:30:00,2753.149096094868,0.0
 01/01  02:45:00,2776.376027541883,0.0
 01/01  03:00:00,2793.867771393873,0.0
 01/01  03:15:00,2810.052561955489,0.0
 01/01  03:30:00,2831.896519126696,0.0
 01/01  03:45:00,2856.1673925400346,0.0
 01/01  04:00:00,2869.741127293274,0.0
 01/01  04:15:00,2870.0034011926773,0.0
 01/01  04:30:00,2881.189303256462,0.0
 01/01  04:45:00,2899.218704034812,0.0
 01/01  05:00:00,2908.1994688956056,0.0
 01/01  05:15:00,2911.412079016763,0.0
 01/01  05:30:00,2917.390835656309,0.0
 01/01  05:45:00,2932.67903556841,0.0
 01/01  06:00:00,4153.22156690534,0.0
 01/01  06:15:00,5526.026096574154,0.0
 01/01  06:30:00,6562.522162265104,0.0
 01/01  06:45:00,6473.200097223024,0.0
 01/01  07:00:00,6608.904298128199,0.0
 01/01  07:15:00,4987.152848088411,0.0
 01/01  07:30:00,5064.522587492982,0.0
 01/01  07:45:00,1868.6101043134888,0.0
 01/01  08:00:00,2336.515352582048,0.0
 01/01  08:15:00,2651.0033843357687,0.0
 01/01  08:30:00,2884.0846660491893,0.0
 01/01  08:45:00,2901.558394017569,0.0
 01/01  09:00:00,2944.1692739446244,4.42254184312394
 01/01  09:15:00,2962.9119427484206,6.636070960553505
 01/01  09:30:00,2989.1459129830155,8.567455711858647
 01/01  09:45:00,2996.675044888744,13.075503313786005
 01/01  10:00:00,2988.2635856681645,17.584897749164295
 01/01  10:15:00,3001.2309557308904,22.079172141076906
 01/01  10:30:00,3022.4516521078444,26.572022134563305
 01/01  10:45:00,3032.362056786992,30.419263304730528
 01/01  11:00:00,3039.211494994256,34.267230819398215
 01/01  11:15:00,3025.318141170349,38.118549423951684
 01/01  11:30:00,3020.1074600536067,41.96867354183648
 01/01  11:45:00,3024.5100531320168,43.6694341401136
 01/01  12:00:00,3013.714942467608,45.374590602967594
 01/01  12:15:00,3005.871045180354,47.062610990357925
 01/01  12:30:00,3005.497999141216,48.75049654799335
 01/01  12:45:00,3015.846120737744,48.080546636734844
 01/01  13:00:00,3022.313749185098,47.41668085540876
 01/01  13:15:00,3019.1569518806245,46.76075090484507
 01/01  13:30:00,3012.296690884722,46.106143063348824
 01/01  13:45:00,3014.922199552831,48.656059665214485
 01/01  14:00:00,3021.8897435488025,51.18205459471714
 01/01  14:15:00,3019.2114865874523,53.71042962559309
 01/01  14:30:00,3008.7125559121832,56.23459381013003
 01/01  14:45:00,3013.3473318553,49.30102378205221
 01/01  15:00:00,3028.942698422148,42.317520902950484
 01/01  15:15:00,3048.260561178417,35.248132907913785
 01/01  15:30:00,3059.340490516032,28.15317616422349
 01/01  15:45:00,3064.7641736951614,23.251821175007326
 01/01  16:00:00,3079.8619892397187,18.3470083537276
 01/01  16:15:00,3210.997685134528,13.444208743974526
 01/01  16:30:00,3201.749886121746,8.806612331771221
 01/01  16:45:00,5611.125014439697,0.0
 01/01  17:00:00,5333.308811851753,0.0
 01/01  17:15:00,8183.489800083452,0.0
 01/01  17:30:00,8162.787564024926,0.0
 01/01  17:45:00,7144.231312379606,0.0
 01/01  18:00:00,5592.481488209207,0.0
 01/01  18:15:00,5312.5098349633245,0.0
 01/01  18:30:00,5309.616284952472,0.0
 01/01  18:45:00,7076.855382475289,0.0
 01/01  19:00:00,7141.732851450179,0.0
 01/01  19:15:00,5875.8306025216,0.0
 01/01  19:30:00,5299.28014507837,0.0
 01/01  19:45:00,5174.307326786549,0.0
 01/01  20:00:00,5340.650350382884,0.0
 01/01  20:15:00,8198.334913773928,0.0
 01/01  20:30:00,8108.97081598988,0.0
 01/01  20:45:00,6158.175323823283,0.0
 01/01  21:00:00,5299.806977954317,0.0
 01/01  21:15:00,5280.348309383812,0.0
 01/01  21:30:00,5168.555872781989,0.0
 01/01  21:45:00,5157.548835570375,0.0
 01/01  22:00:00,5199.309867294608,0.0
 01/01  22:15:00,5211.808219371624,0.0
 01/01  22:30:00,3939.0510078603625,0.0
 01/01  22:45:00,1734.8215404210764,0.0
 01/01  23:00:00,2002.9622062405824,0.0
 01/01  23:15:00,2274.773425574832,0.0
 01/01  23:30:00,2512.7689587177238,0.0
 01/01  23:45:00,2497.830125151097,0.0
 01/01  24:00:00,2545.025091695201,0.0
 01/02  00:15:00,3093.2187471036623,0.0
 01/02  00:30:00,2548.869419258073,0.0
 01/02  00:45:00,2594.9609013440304,0.0
 01/02  01:00:00,2592.702953749434,0.0
 01/02  01:15:00,2605.0521434490192,0.0
 01/02  01:30:00,2628.3145398414963,0.0
 01/02  01:45:00,2630.4609620075184,0.0
 01/02  02:00:00,2627.19302624892,0.0
 01/02  02:15:00,2633.8496924963792,0.0
 01/02  02:30:00,2650.3750126051777,0.0
 01/02  02:45:00,2652.8496159630145,0.0
 01/02  03:00:00,2651.059624165372,0.0
 01/02  03:15:00,2652.5742670188265,0.0
 01/02  03:30:00,2660.738493864252,0.0
 01/02  03:45:00,2674.957585918792,0.0
 01/02  04:00:00,2672.961662598617,0.0
 01/02  04:15:00,2660.865370453497,0.0
 01/02  04:30:00,2658.25612511902,0.0
 01/02  04:45:00,2664.9097361276617,0.0
 01/02  05:00:00,2658.018736297999,0.0
 01/02  05:15:00,2649.058268608197,0.0
 01/02  05:30:00,2640.411452282048,0.0
 01/02  05:45:00,2644.132666721926,0.0
 01/02  06:00:00,3917.776197331359,0.0
 01/02  06:15:00,5395.199925768091,0.0
 01/02  06:30:00,6485.975982277999,0.0
 01/02  06:45:00,6399.219297557092,0.0
 01/02  07:00:00,6536.200095263753,0.0
 01/02  07:15:00,4886.470373131707,0.0
 01/02  07:30:00,4957.109707913876,0.0
 01/02  07:45:00,1611.0415986029184,0.0
 01/02  08:00:00,1995.78361578733,0.0
 01/02  08:15:00,2260.215101440479,0.0
 01/02  08:30:00,2497.27037754456,0.0
 01/02  08:45:00,2589.4261213133286,0.0
 01/02  09:00:00,2598.3641727973218,4.334398207818082
 01/02  09:15:00,2621.0477120035757,6.498642331318094
 01/02  09:30:00,2639.3732218547125,8.384542698429204
 01/02  09:45:00,2628.251873667149,25.549050955600954
 01/02  10:00:00,2598.901855197676,42.97539095500497
 01/02  10:15:00,2570.8471728650056,61.991955901844726
 01/02  10:30:00,2548.9169883014256,77.6498574667455
 01/02  10:45:00,2523.5488901191543,84.60756091857277
 01/02  11:00:00,2492.5164843282337,91.36571677434378
 01/02  11:15:00,2458.6322373478383,98.08497764878943
 01/02  11:30:00,2430.6349225043778,105.84668641039997
 01/02  11:45:00,2414.4984627434173,110.30854993176978
 01/02  12:00:00,2385.457678773039,114.93419323261583
 01/02  12:15:00,2359.5495329182377,119.59805357852493
 01/02  12:30:00,2341.739694874351,124.10303920263537
 01/02  12:45:00,2351.379750560523,116.41726179738701
 01/02  13:00:00,2356.497494920708,110.24319553632336
 01/02  13:15:00,2259.7589118656488,103.94526275637936
 01/02  13:30:00,2350.2991836319675,97.65210170264356
 01/02  13:45:00,2259.705302462753,87.28660463202812
 01/02  14:00:00,2288.4301905759485,75.9983884364314
 01/02  14:15:00,2302.5587442124724,65.85211534638029
 01/02  14:30:00,2309.0895216391027,55.72204094535321
 01/02  14:45:00,2317.284177485587,51.061225258044
 01/02  15:00:00,2328.9470919895657,46.41340086735632
 01/02  15:15:00,2335.976242506523,41.75502344435256
 01/02  15:30:00,2334.9757772148755,37.1108147268683
 01/02  15:45:00,2332.821776839636,28.80561914945214
 01/02  16:00:00,2344.941019600556,20.386622911635985
 01/02  16:15:00,2555.380195029375,12.256594249428245
 01/02  16:30:00,2532.955423207069,4.14383985040427
 01/02  16:45:00,5374.840952647789,0.0
 01/02  17:00:00,5031.071985546603,0.0
 01/02  17:15:00,8178.244346270563,0.0
 01/02  17:30:00,8157.5741782523855,0.0
 01/02  17:45:00,6703.091989969759,0.0
 01/02  18:00:00,5229.315091760025,0.0
 01/02  18:15:00,4983.122286937249,0.0
 01/02  18:30:00,4973.237107058518,0.0
 01/02  18:45:00,6748.513625764532,0.0
 01/02  19:00:00,6810.721538951595,0.0
 01/02  19:15:00,5543.346572684503,0.0
 01/02  19:30:00,4965.382259921007,0.0
 01/02  19:45:00,4839.242287193032,0.0
 01/02  20:00:00,5001.160773102699,0.0
 01/02  20:15:00,8191.911503929908,0.0
 01/02  20:30:00,8102.867122916125,0.0
 01/02  20:45:00,5598.714405862878,0.0
 01/02  21:00:00,4952.134460748282,0.0
 01/02  21:15:00,4921.2099128609925,0.0
 01/02  21:30:00,4814.146902687842,0.0
 01/02  21:45:00,4801.284527054529,0.0
 01/02  22:00:00,4841.919718508695,0.0
 01/02  22:15:00,4853.110767555858,0.0
 01/02  22:30:00,2953.583071363043,0.0
 01/02  22:45:00,1215.7599430623786,0.0
 01/02  23:00:00,1138.9097454716607,0.0
 01/02  23:15:00,1286.037963231066,0.0
 01/02  23:30:00,1468.82564734143,0.0
 01/02  23:45:00,1586.0643774453715,0.0
 01/02  24:00:00,1618.387546726305,0.0
 01/03  00:15:00,1651.8223286851608,0.0
 01/03  00:30:00,1673.440502591949,0.0
 01/03  00:45:00,1683.9698470400422,0.0
 01/03  01:00:00,1699.892316546208,0.0
 01/03  01:15:00,1713.881537668773,0.0
 01/03  01:30:00,1724.6771106411811,0.0
 01/03  01:45:00,1725.0779879979125,0.0
 01/03  02:00:00,1720.8128838095724,0.0
 01/03  02:15:00,1729.808975032665,0.0
 01/03  02:30:00,1747.179069780971,0.0
 01/03  02:45:00,1752.1161342573434,0.0
 01/03  03:00:00,1751.0290260915117,0.0
 01/03  03:15:00,1749.6443052338138,0.0
 01/03  03:30:00,1756.7069584254236,0.0
 01/03  03:45:00,1762.0583019205671,0.0
 01/03  04:00:00,1758.4494194266204,0.0
 01/03  04:15:00,1758.8233730903216,0.0
 01/03  04:30:00,1772.2285101432583,0.0
 01/03  04:45:00,1792.7027505179103,0.0
 01/03  05:00:00,1802.9879877629303,0.0
 01/03  05:15:00,1799.8920035833717,0.0
 01/03  05:30:00,1799.842093931993,0.0
 01/03  05:45:00,1808.454651180484,0.0
 01/03  06:00:00,3055.9313806787163,0.0
 01/03  06:15:00,4748.418606094981,0.0
 01/03  06:30:00,6331.196813759265,0.0
 01/03  06:45:00,6190.554054134544,0.0
 01/03  07:00:00,6326.975944748981,0.0
 01/03  07:15:00,4595.427026434697,0.0
 01/03  07:30:00,4639.482304363588,0.0
 01/03  07:45:00,1022.2847856656696,0.0
 01/03  08:00:00,1190.8644600268535,0.0
 01/03  08:15:00,1407.2280076941497,0.0
 01/03  08:30:00,1733.4276966375985,0.0
 01/03  08:45:00,1894.3733438060208,0.0
 01/03  09:00:00,1820.420607710146,4.320836270212166
 01/03  09:15:00,1865.893755276085,6.48136920141359
 01/03  09:30:00,1883.676606748032,8.366473652217557
 01/03  09:45:00,1885.8129496244255,12.767271824391209
 01/03  10:00:00,1874.962650942888,17.168766484340022
 01/03  10:15:00,1881.4815993820923,21.56956308666551
 01/03  10:30:00,1892.281124702236,25.97028491718551
 01/03  10:45:00,1896.4769166120716,29.740152811623172
 01/03  11:00:00,1892.0319041106063,33.51033676510386
 01/03  11:15:00,1887.6208157022247,37.28015253167698
 01/03  11:30:00,1891.8574178679216,41.04945986242757
 01/03  11:45:00,1901.5123295198823,42.71731125028609
 01/03  12:00:00,1899.9758755472649,44.38888952642195
 01/03  12:15:00,1893.6355074165551,46.06836438314597
 01/03  12:30:00,1895.966059546072,47.74878209391896
