Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,2127.533041518169,0.0
 01/01  00:30:00,2136.67746681469,0.0
 01/01  00:45:00,2111.8517235998493,0.0
 01/01  01:00:00,2092.7192491465707,0.0
 01/01  01:15:00,2105.267743786073,0.0
 01/01  01:30:00,2119.2234480514458,0.0
 01/01  01:45:00,2125.576917502213,0.0
 01/01  02:00:00,2126.5588908434097,0.0
 01/01  02:15:00,2153.794530024309,0.0
 01/01  02:30:00,2190.0755967439736,0.0
 01/01  02:45:00,2216.7475347279305,0.0
 01/01  03:00:00,2235.6958626852,0.0
 01/01  03:15:00,2246.4508583367788,0.0
 01/01  03:30:00,2259.65759668522,0.0
 01/01  03:45:00,2276.351132702045,0.0
 01/01  04:00:00,2281.6342585746206,0.0
 01/01  04:15:00,2275.2722571734585,0.0
 01/01  04:30:00,2278.624313322442,0.0
 01/01  04:45:00,2290.3353403889337,0.0
 01/01  05:00:00,2289.9623070575435,0.0
 01/01  05:15:00,2289.8923301309837,0.0
 01/01  05:30:00,2290.7554596881314,0.0
 01/01  05:45:00,2301.571080268767,0.0
 01/01  06:00:00,3612.724234929992,0.0
 01/01  06:15:00,5720.3264789862205,0.0
 01/01  06:30:00,6528.075243071847,0.0
 01/01  06:45:00,6260.085940013892,0.0
 01/01  07:00:00,6353.300932387142,0.0
 01/01  07:15:00,4691.282677654578,0.0
 01/01  07:30:00,4649.939837845597,0.0
 01/01  07:45:00,1220.5878291962051,0.0
 01/01  08:00:00,1702.2992604190683,0.0
 01/01  08:15:00,1937.8329068429505,0.0
 01/01  08:30:00,2150.1396006478703,0.0
 01/01  08:45:00,2152.42288021087,0.0
 01/01  09:00:00,2153.9117597891936,3.5956126819173964
 01/01  09:15:00,2133.187961474895,5.398583980404862
 01/01  09:30:00,2168.204007043705,6.928891050704784
 01/01  09:45:00,2182.166772476824,9.243903200242334
 01/01  10:00:00,2183.786900744458,11.560982316713787
 01/01  10:15:00,2209.8781727762007,13.891502035034433
 01/01  10:30:00,2239.684610628596,16.228311792634454
 01/01  10:45:00,2264.3617338882536,18.18258523968406
 01/01  11:00:00,2281.6953201490523,20.142173717136146
 01/01  11:15:00,2289.860538250964,22.093733646686527
 01/01  11:30:00,2308.2118317458235,24.047561006643626
 01/01  11:45:00,2329.89828769375,26.198686427391813
 01/01  12:00:00,2340.5212301617294,28.352217278794758
 01/01  12:15:00,2388.405406993996,30.46802646938434
 01/01  12:30:00,2381.491598839689,32.579999927563755
 01/01  12:45:00,2477.117857251963,32.15812996614885
 01/01  13:00:00,2478.904132105305,31.741132985935167
 01/01  13:15:00,2465.054261336856,31.31103498235413
 01/01  13:30:00,2449.4069806797625,30.882040850756
 01/01  13:45:00,2443.2062691290157,29.679811814873638
 01/01  14:00:00,2445.0410403729397,28.481560360705984
 01/01  14:15:00,2443.069604734222,27.307391016340997
 01/01  14:30:00,2436.483644270599,26.13576419054901
 01/01  14:45:00,2439.7459322694585,21.87967858774003
 01/01  15:00:00,2451.576142260577,17.634634372169742
 01/01  15:15:00,2459.809483328834,13.396154555162665
 01/01  15:30:00,2455.952483949133,9.169265624814381
 01/01  15:45:00,2449.8309737955487,7.249833922753108
 01/01  16:00:00,2451.329094562973,5.334286691672077
 01/01  16:15:00,2591.428547536816,3.4266434982189184
 01/01  16:30:00,2568.474849732534,1.5211650981719655
 01/01  16:45:00,5465.758466364979,0.0
 01/01  17:00:00,5138.611375364738,0.0
 01/01  17:15:00,5038.19853694977,0.0
 01/01  17:30:00,5058.82520122128,0.0
 01/01  17:45:00,5089.24565167689,0.0
 01/01  18:00:00,5219.552976379054,0.0
 01/01  18:15:00,8200.418376511914,0.0
 01/01  18:30:00,8154.994233437901,0.0
 01/01  18:45:00,5792.498831690384,0.0
 01/01  19:00:00,5046.327167706259,0.0
 01/01  19:15:00,6739.355316199179,0.0
 01/01  19:30:00,6809.550615923692,0.0
 01/01  19:45:00,4891.899196232445,0.0
 01/01  20:00:00,4836.47227740742,0.0
 01/01  20:15:00,4986.820645377866,0.0
 01/01  20:30:00,4971.776016224293,0.0
 01/01  20:45:00,8173.285962931628,0.0
 01/01  21:00:00,8155.523700130984,0.0
 01/01  21:15:00,5796.176286996906,0.0
 01/01  21:30:00,5016.421685678856,0.0
 01/01  21:45:00,4998.381673093756,0.0
 01/01  22:00:00,5031.886988405629,0.0
 01/01  22:15:00,5038.317725511322,0.0
 01/01  22:30:00,3552.9160727760054,0.0
 01/01  22:45:00,1559.9515985442276,0.0
 01/01  23:00:00,1698.909697488024,0.0
 01/01  23:15:00,1736.5503743214863,0.0
 01/01  23:30:00,2030.44693313731,0.0
 01/01  23:45:00,2139.350004975954,0.0
 01/01  24:00:00,2145.901474396845,0.0
 01/02  00:15:00,2776.672490157827,0.0
 01/02  00:30:00,2122.991440008643,0.0
 01/02  00:45:00,2270.0435508063683,0.0
 01/02  01:00:00,2204.6918244800167,0.0
 01/02  01:15:00,2233.529682340753,0.0
 01/02  01:30:00,2264.0826218740576,0.0
 01/02  01:45:00,2273.7085172609577,0.0
 01/02  02:00:00,2275.262836187645,0.0
 01/02  02:15:00,2298.871235901337,0.0
 01/02  02:30:00,2327.51924685742,0.0
 01/02  02:45:00,2346.8318642452177,0.0
 01/02  03:00:00,2448.0489920127884,0.0
 01/02  03:15:00,2362.348484594244,0.0
 01/02  03:30:00,2477.197890221952,0.0
 01/02  03:45:00,2399.28286650194,0.0
 01/02  04:00:00,2506.349970867273,0.0
 01/02  04:15:00,2500.044994239424,0.0
 01/02  04:30:00,2512.6443134350206,0.0
 01/02  04:45:00,2530.535030664721,0.0
 01/02  05:00:00,2542.605787769901,0.0
 01/02  05:15:00,2545.169195522156,0.0
 01/02  05:30:00,2553.7295441355886,0.0
 01/02  05:45:00,2570.044180956036,0.0
