Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,407.5099269948394,0.0
 01/01  00:30:00,442.201896060966,0.0
 01/01  00:45:00,418.5423988198594,0.0
 01/01  01:00:00,416.2564239400758,0.0
 01/01  01:15:00,447.9296111144728,0.0
 01/01  01:30:00,481.9218847525324,0.0
 01/01  01:45:00,482.8504981107292,0.0
 01/01  02:00:00,455.4544739590898,0.0
 01/01  02:15:00,464.3781108888549,0.0
 01/01  02:30:00,516.4254717331913,0.0
 01/01  02:45:00,528.4746124347928,0.0
 01/01  03:00:00,506.7272101034184,0.0
 01/01  03:15:00,498.5278559219862,0.0
 01/01  03:30:00,524.244411471205,0.0
 01/01  03:45:00,558.8114252245329,0.0
 01/01  04:00:00,559.7013872056621,0.0
 01/01  04:15:00,528.2813981273998,0.0
 01/01  04:30:00,536.0454314757246,0.0
 01/01  04:45:00,583.7526204985141,0.0
 01/01  05:00:00,598.1311926939459,0.0
 01/01  05:15:00,575.6790120887334,0.0
 01/01  05:30:00,562.5672052480948,0.0
 01/01  05:45:00,582.9852025543574,0.0
 01/01  06:00:00,2289.794054401744,0.0
 01/01  06:15:00,4232.501873514248,0.0
 01/01  06:30:00,6100.3413088195375,0.0
 01/01  06:45:00,5751.708287037612,0.0
 01/01  07:00:00,5822.884100420518,0.0
 01/01  07:15:00,4091.474265272407,0.0
 01/01  07:30:00,4007.670838142812,0.0
 01/01  07:45:00,333.3663443144701,0.0
 01/01  08:00:00,505.3112084149922,0.0
 01/01  08:15:00,559.2149058129913,0.0
 01/01  08:30:00,521.91260041444,0.0
 01/01  08:45:00,647.5703020423832,0.0
 01/01  09:00:00,810.5151336004722,17.64125976436967
 01/01  09:15:00,660.7834340500964,26.516081877907325
 01/01  09:30:00,707.6137006672792,60.700240526056874
 01/01  09:45:00,703.4916299488393,87.2446292070638
 01/01  10:00:00,643.8518321351598,108.74977951591369
 01/01  10:15:00,629.3355809273822,142.45882260315645
 01/01  10:30:00,646.7192083893248,168.81132920028327
 01/01  10:45:00,648.2136633955985,190.78512556830424
 01/01  11:00:00,614.3689005538472,214.36637914802665
 01/01  11:15:00,572.7930708468258,239.13166397292298
 01/01  11:30:00,562.697988980022,264.67238392503805
 01/01  11:45:00,589.0316305779064,274.1950441622786
 01/01  12:00:00,576.0218987789162,284.0481603661232
 01/01  12:15:00,424.4085666741133,293.871065242533
 01/01  12:30:00,406.08984581030734,303.5846425458751
 01/01  12:45:00,529.671404226646,293.8413841647086
 01/01  13:00:00,548.9896266128374,284.2707242510917
 01/01  13:15:00,533.920210051395,274.7609301017835
 01/01  13:30:00,499.1999444915258,265.3787483510693
 01/01  13:45:00,501.2830213685835,244.35272909193543
 01/01  14:00:00,545.204318147652,223.9413368097395
 01/01  14:15:00,554.1053261932022,191.31447739111806
 01/01  14:30:00,525.161283234952,173.31856986414576
 01/01  14:45:00,524.1783017032542,151.01185676180103
 01/01  15:00:00,558.263654659146,129.61642012114405
 01/01  15:15:00,589.5004338077974,109.17658393368863
 01/01  15:30:00,588.1700874185875,89.79402726455328
 01/01  15:45:00,571.6425025104351,70.34553775027071
 01/01  16:00:00,588.0267948472771,44.46043232165379
 01/01  16:15:00,1065.151202138768,25.510160304075875
 01/01  16:30:00,1083.7352614393196,9.120299162866775
 01/01  16:45:00,5011.265421518395,0.0
 01/01  17:00:00,4308.470730431357,0.0
 01/01  17:15:00,4194.966381893876,0.0
 01/01  17:30:00,4211.892600706829,0.0
 01/01  17:45:00,4236.961487482795,0.0
 01/01  18:00:00,4364.260437124981,0.0
 01/01  18:15:00,8184.548112186149,0.0
 01/01  18:30:00,7510.015277141171,0.0
 01/01  18:45:00,4559.556670001127,0.0
 01/01  19:00:00,4174.897570120454,0.0
 01/01  19:15:00,5532.685019508174,0.0
 01/01  19:30:00,5556.159864257823,0.0
 01/01  19:45:00,4093.682127332308,0.0
 01/01  20:00:00,3971.936073743837,0.0
 01/01  20:15:00,4121.094969786514,0.0
 01/01  20:30:00,4101.059545459574,0.0
 01/01  20:45:00,8156.97683127566,0.0
 01/01  21:00:00,7482.658299490813,0.0
 01/01  21:15:00,4520.016898173426,0.0
 01/01  21:30:00,4113.417931378754,0.0
 01/01  21:45:00,4097.604754180463,0.0
 01/01  22:00:00,4131.9424973488885,0.0
 01/01  22:15:00,4137.235919543624,0.0
 01/01  22:30:00,682.1246904825757,0.0
 01/01  22:45:00,549.6756030407909,0.0
 01/01  23:00:00,609.7416271164432,0.0
 01/01  23:15:00,519.3392174486006,0.0
 01/01  23:30:00,432.5484927494024,0.0
 01/01  23:45:00,418.28224652122015,0.0
 01/01  24:00:00,427.58317273557645,0.0
 01/02  00:15:00,1314.315864295467,0.0
 01/02  00:30:00,464.9792057521138,0.0
 01/02  00:45:00,582.1102657419192,0.0
 01/02  01:00:00,425.71570815664967,0.0
 01/02  01:15:00,468.45327008544587,0.0
 01/02  01:30:00,516.5972545348965,0.0
 01/02  01:45:00,516.4760504534989,0.0
 01/02  02:00:00,488.003695447106,0.0
 01/02  02:15:00,495.23642008645936,0.0
 01/02  02:30:00,544.9417217198572,0.0
 01/02  02:45:00,554.6154944821228,0.0
 01/02  03:00:00,529.6121476323149,0.0
 01/02  03:15:00,521.054416628334,0.0
 01/02  03:30:00,545.6952467367303,0.0
 01/02  03:45:00,579.343572285423,0.0
