Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,1788.1993099963715,0.0
 01/01  00:30:00,1799.8608250006707,0.0
 01/01  00:45:00,1777.1991690757925,0.0
 01/01  01:00:00,1762.2944481477532,0.0
 01/01  01:15:00,1774.6040357126974,0.0
 01/01  01:30:00,1789.2071573258088,0.0
 01/01  01:45:00,1794.405776449211,0.0
 01/01  02:00:00,1796.0180059842487,0.0
 01/01  02:15:00,1812.3132371390395,0.0
 01/01  02:30:00,1836.1889774452288,0.0
 01/01  02:45:00,1848.3280823419748,0.0
 01/01  03:00:00,1853.534629960626,0.0
 01/01  03:15:00,1865.6270965039107,0.0
 01/01  03:30:00,1885.0346758440885,0.0
 01/01  03:45:00,1903.770746531217,0.0
 01/01  04:00:00,1913.6921743882165,0.0
 01/01  04:15:00,1917.344512838217,0.0
 01/01  04:30:00,1932.828709278727,0.0
 01/01  04:45:00,1954.3934226348536,0.0
 01/01  05:00:00,1965.8712077493872,0.0
 01/01  05:15:00,1973.9491739538453,0.0
 01/01  05:30:00,1986.662244126227,0.0
 01/01  05:45:00,2007.3224695706883,0.0
 01/01  06:00:00,3329.492577747917,0.0
 01/01  06:15:00,5273.41193192334,0.0
 01/01  06:30:00,6517.318039354242,0.0
 01/01  06:45:00,6200.7980056346005,0.0
 01/01  07:00:00,6296.382071904187,0.0
 01/01  07:15:00,4617.276554734883,0.0
 01/01  07:30:00,4572.24713323175,0.0
 01/01  07:45:00,1035.9105683015405,0.0
 01/01  08:00:00,1484.1437793455275,0.0
 01/01  08:15:00,1690.366335194746,0.0
 01/01  08:30:00,1919.277588143228,0.0
 01/01  08:45:00,1960.3806367660095,0.0
 01/01  09:00:00,1935.2694994801511,16.747775494916624
 01/01  09:15:00,1909.811423024273,25.75357330262844
 01/01  09:30:00,1932.6627933782045,45.44458750119892
 01/01  09:45:00,1930.6129321076817,81.92806217112815
 01/01  10:00:00,1907.7878521732416,120.66463244660834
 01/01  10:15:00,1902.9734075487047,151.4876555072138
 01/01  10:30:00,1893.3723849745172,184.54734634622866
 01/01  10:45:00,1875.0828025477952,211.93034935680905
 01/01  11:00:00,1848.8318710831488,240.48627685093354
 01/01  11:15:00,1811.6835866289312,269.5824291326426
 01/01  11:30:00,1777.5043899676657,298.9816581586143
 01/01  11:45:00,1753.4536134667555,308.913314825639
 01/01  12:00:00,1718.8132768707258,318.4542846985922
 01/01  12:15:00,1717.5079052302767,326.7881050715807
 01/01  12:30:00,1687.3968125305305,334.2926696877909
 01/01  12:45:00,1768.076847518987,311.89787501109066
 01/01  13:00:00,1756.112542395864,289.4713836190826
 01/01  13:15:00,1758.763389705971,251.07264071985878
 01/01  13:30:00,1755.193691548332,229.2188674915726
 01/01  13:45:00,1762.1383465192655,204.20241811461736
 01/01  14:00:00,1785.2741535478954,165.67476534192824
 01/01  14:15:00,1800.8899625859056,143.35582286137216
 01/01  14:30:00,1813.0881874445347,121.63807129910015
 01/01  14:45:00,1837.6085758743743,99.28486216791575
 01/01  15:00:00,1878.7271968735176,77.52490738016117
 01/01  15:15:00,1916.52466641198,50.14738948760161
