Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,1450.3013804558354,0.0
 01/01  00:30:00,1492.3593432435036,0.0
 01/01  00:45:00,1484.4617104433732,0.0
 01/01  01:00:00,1539.185198518142,0.0
 01/01  01:15:00,1542.773864509528,0.0
 01/01  01:30:00,1556.3775794968108,0.0
 01/01  01:45:00,1556.8109699181052,0.0
 01/01  02:00:00,1551.3142134585858,0.0
 01/01  02:15:00,1562.4618364941678,0.0
 01/01  02:30:00,1580.1924524027772,0.0
 01/01  02:45:00,1585.7111631076873,0.0
 01/01  03:00:00,1584.6788231879284,0.0
 01/01  03:15:00,1588.9793753737051,0.0
 01/01  03:30:00,1605.40793741985,0.0
 01/01  03:45:00,1615.4699912303013,0.0
 01/01  04:00:00,1623.0399935229916,0.0
 01/01  04:15:00,1617.9613943598893,0.0
 01/01  04:30:00,1628.2029496783975,0.0
 01/01  04:45:00,1643.1744864873594,0.0
 01/01  05:00:00,1648.9096366138422,0.0
 01/01  05:15:00,1641.8586654416354,0.0
 01/01  05:30:00,1642.17130499551,0.0
 01/01  05:45:00,1647.7554178065045,0.0
 01/01  06:00:00,2915.7734189843395,0.0
 01/01  06:15:00,5076.19773299,0.0
 01/01  06:30:00,6437.393858815237,0.0
 01/01  06:45:00,6109.631697980851,0.0
 01/01  07:00:00,6188.050577510843,0.0
 01/01  07:15:00,4474.646380378877,0.0
 01/01  07:30:00,4404.866560472233,0.0
 01/01  07:45:00,798.4827462688902,0.0
 01/01  08:00:00,1144.663658058088,0.0
 01/01  08:15:00,1302.8215633024583,0.0
 01/01  08:30:00,1504.873673642438,0.0
 01/01  08:45:00,1541.858784389934,0.0
 01/01  09:00:00,1519.4436948664572,4.751836143449293
 01/01  09:15:00,1465.814149787013,7.123591981823001
 01/01  09:30:00,1489.9684870149972,9.15149961935735
 01/01  09:45:00,1492.7691547419963,12.200179157079464
 01/01  10:00:00,1478.1409114423411,15.247293994058095
 01/01  10:15:00,1477.3915791820373,18.28677346057347
 01/01  10:30:00,1478.3346570737465,21.322930304919993
 01/01  10:45:00,1472.3184065262335,23.207364194146802
 01/01  11:00:00,1460.9680770265654,25.090677493319024
 01/01  11:15:00,1454.6675171132815,26.98567606082375
 01/01  11:30:00,1459.3276398548726,28.880396696069706
 01/01  11:45:00,1468.248957177451,28.674350946731415
 01/01  12:00:00,1466.5358755439445,28.471141973902505
 01/01  12:15:00,1525.349000150657,28.275833168138554
 01/01  12:30:00,1536.238506930212,28.08103499881409
 01/01  12:45:00,1648.3826260194087,26.743520600828482
 01/01  13:00:00,1656.0294886550105,25.407791385344808
 01/01  13:15:00,1665.6238177071689,24.078400560790104
 01/01  13:30:00,1668.06390791225,22.749054809707527
 01/01  13:45:00,1681.5593186161896,20.84905345126973
 01/01  14:00:00,1701.4799403552695,18.949672829241347
