Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,1147.2147598903746,0.0
 01/01  00:30:00,1204.8584030677912,0.0
 01/01  00:45:00,1203.466785522854,0.0
 01/01  01:00:00,1230.6349572368772,0.0
 01/01  01:15:00,1265.936551595587,0.0
 01/01  01:30:00,1304.526283635554,0.0
 01/01  01:45:00,1300.3136087407113,0.0
 01/01  02:00:00,1272.7456126054517,0.0
 01/01  02:15:00,1298.171934473012,0.0
 01/01  02:30:00,1333.0375655972955,0.0
 01/01  02:45:00,1339.4511444623336,0.0
 01/01  03:00:00,1309.9009054743435,0.0
 01/01  03:15:00,1334.6835651424622,0.0
 01/01  03:30:00,1340.2505319013944,0.0
 01/01  03:45:00,1357.8413103041012,0.0
 01/01  04:00:00,1351.7412499349657,0.0
 01/01  04:15:00,1359.0566419470576,0.0
 01/01  04:30:00,1366.7735832426458,0.0
 01/01  04:45:00,1386.060385255212,0.0
 01/01  05:00:00,1394.1560007578807,0.0
 01/01  05:15:00,1399.2039671604862,0.0
 01/01  05:30:00,1411.7445392178245,0.0
 01/01  05:45:00,1427.8033372761229,0.0
 01/01  06:00:00,2782.9409613785406,0.0
 01/01  06:15:00,4976.995500210919,0.0
 01/01  06:30:00,6373.149594657295,0.0
 01/01  06:45:00,6044.1901474862325,0.0
 01/01  07:00:00,6119.280516503247,0.0
 01/01  07:15:00,4399.094435327972,0.0
 01/01  07:30:00,4314.36096103708,0.0
 01/01  07:45:00,652.4391492064028,0.0
 01/01  08:00:00,928.1981384734116,0.0
 01/01  08:15:00,1044.7477436814352,0.0
 01/01  08:30:00,1316.873815245213,0.0
 01/01  08:45:00,1275.6679023326722,0.0
 01/01  09:00:00,1330.9671421812393,7.927997141832133
 01/01  09:15:00,1215.0399358527077,11.89018563649104
 01/01  09:30:00,1294.5139131786236,16.167176177135016
 01/01  09:45:00,1282.640181499416,22.67164863512984
 01/01  10:00:00,1255.56743408921,28.82739697005661
 01/01  10:15:00,1270.2849721836758,35.02657189045924
 01/01  10:30:00,1262.6403579528055,41.3259819725789
 01/01  10:45:00,1257.3811737475648,48.689392258255815
 01/01  11:00:00,1242.2779806667131,56.21852227710737
 01/01  11:15:00,1230.285434519816,63.96516384716989
 01/01  11:30:00,1225.660970418858,71.94696266432219
 01/01  11:45:00,1230.758070965583,70.05689959465666
 01/01  12:00:00,1229.7079099665416,68.6092672762699
 01/01  12:15:00,1325.897980628843,67.47032632805065
 01/01  12:30:00,1324.8585332409834,66.57172671071298
 01/01  12:45:00,1364.4972236826748,68.38806533780308
 01/01  13:00:00,1417.4577602194945,70.39082768587663
 01/01  13:15:00,1389.7421044588189,72.60476277344436
 01/01  13:30:00,1384.5362255268794,75.07051226784947
 01/01  13:45:00,1393.3880875820987,61.67295467361335
 01/01  14:00:00,1414.4369923175532,49.04866677738724
 01/01  14:15:00,1432.5866940652083,37.77760806323596
 01/01  14:30:00,1443.3512205899217,28.060902371661655
 01/01  14:45:00,1453.1719816492382,31.17178504640059
 01/01  15:00:00,1459.631014559813,34.123074083291485
 01/01  15:15:00,1464.3602209038615,37.44640427201784
 01/01  15:30:00,1457.6885812203593,42.4589033024408
 01/01  15:45:00,1461.3620073001855,32.056120880589184
 01/01  16:00:00,1480.743026408172,21.942739840111848
 01/01  16:15:00,1785.6817870235843,13.493717761062578
 01/01  16:30:00,1761.1390617617644,5.296060429050384
 01/01  16:45:00,5205.841279077394,0.0
 01/01  17:00:00,4748.532305017471,0.0
 01/01  17:15:00,4646.165274339905,0.0
 01/01  17:30:00,4663.717033361971,0.0
 01/01  17:45:00,4689.506406093056,0.0
 01/01  18:00:00,4817.1707895022655,0.0
 01/01  18:15:00,8192.598698011481,0.0
 01/01  18:30:00,8086.568390137791,0.0
 01/01  18:45:00,5138.134488433536,0.0
 01/01  19:00:00,4629.031882257968,0.0
 01/01  19:15:00,6272.44480331994,0.0
 01/01  19:30:00,6428.169124927724,0.0
 01/01  19:45:00,4480.541655270927,0.0
 01/01  20:00:00,4425.25883824369,0.0
 01/01  20:15:00,4570.789472862805,0.0
 01/01  20:30:00,4548.499877625973,0.0
 01/01  20:45:00,8164.974627465441,0.0
 01/01  21:00:00,8056.444148823979,0.0
 01/01  21:15:00,5092.007195750752,0.0
 01/01  21:30:00,4566.700926283661,0.0
 01/01  21:45:00,4564.02194712901,0.0
 01/01  22:00:00,4597.618500863228,0.0
 01/01  22:15:00,4604.033951493451,0.0
 01/01  22:30:00,1933.5258878005868,0.0
 01/01  22:45:00,1106.825161100818,0.0
 01/01  23:00:00,1184.400439755325,0.0
 01/01  23:15:00,1020.8270266963256,0.0
 01/01  23:30:00,1048.9330893240683,0.0
 01/01  23:45:00,1178.150076885321,0.0
 01/01  24:00:00,1063.3324934768484,0.0
 01/02  00:15:00,1882.220694342383,0.0
 01/02  00:30:00,1080.2556080407371,0.0
 01/02  00:45:00,1247.4016840423478,0.0
 01/02  01:00:00,1097.0552556867813,0.0
 01/02  01:15:00,1151.7512606080202,0.0
 01/02  01:30:00,1194.5910876621613,0.0
 01/02  01:45:00,1190.5546079921512,0.0
 01/02  02:00:00,1160.306760905174,0.0
 01/02  02:15:00,1170.2291935933424,0.0
 01/02  02:30:00,1225.2011239276594,0.0
 01/02  02:45:00,1231.3717728859635,0.0
 01/02  03:00:00,1203.5083881208718,0.0
 01/02  03:15:00,1197.860308107489,0.0
