Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,90.98,0.0
 01/01  00:30:00,143.4208893234097,0.0
 01/01  00:45:00,109.6732238318899,0.0
 01/01  01:00:00,97.39159052783614,0.0
 01/01  01:15:00,66.44666666666666,0.0
 01/01  01:30:00,143.41207274351711,0.0
 01/01  01:45:00,134.20151381282267,0.0
 01/01  02:00:00,44.97999999999999,0.0
 01/01  02:15:00,97.4208200664254,0.0
 01/01  02:30:00,140.34251042295708,0.0
 01/01  02:45:00,143.39729256694818,0.0
 01/01  03:00:00,60.313333333333325,0.0
 01/01  03:15:00,97.41532997454786,0.0
 01/01  03:30:00,115.8038270145582,0.0
 01/01  03:45:00,143.3921301851952,0.0
 01/01  04:00:00,84.84666666666666,0.0
 01/01  04:15:00,97.41139857343173,0.0
 01/01  04:30:00,97.40081971957824,0.0
 01/01  04:45:00,137.25683163617504,0.0
 01/01  05:00:00,90.98,0.0
 01/01  05:15:00,115.8125689976747,0.0
 01/01  05:30:00,97.40396183003844,0.0
 01/01  05:45:00,60.313333333333325,0.0
 01/01  06:00:00,505.7762951209015,0.0
 01/01  06:15:00,2498.536945958936,0.0
 01/01  06:30:00,5245.785573870817,0.0
 01/01  06:45:00,5315.205312881706,0.0
 01/01  07:00:00,5304.244610410648,0.0
 01/01  07:15:00,3516.94815868255,0.0
 01/01  07:30:00,3453.3549707459283,0.0
 01/01  07:45:00,76.98000000000002,0.0
 01/01  08:00:00,243.43509415406797,0.0
 01/01  08:15:00,245.16711923512344,0.0
 01/01  08:30:00,143.42443703922893,0.0
 01/01  08:45:00,169.5133333333334,0.0
 01/01  09:00:00,365.43090828172586,14.325133455706023
 01/01  09:15:00,209.42046416422653,22.404212439270697
 01/01  09:30:00,257.4097835122277,44.050145731059985
 01/01  09:45:00,204.98,72.75019156630148
 01/01  10:00:00,201.4296221042892,112.20130516665752
 01/01  10:15:00,197.41866985539903,144.16816668661517
 01/01  10:30:00,228.07413428241108,178.5810358892458
 01/01  10:45:00,243.3960081413524,230.773550903518
 01/01  11:00:00,172.58000000000004,269.0191147103817
 01/01  11:15:00,197.4151965023836,308.61964170953
 01/01  11:30:00,203.53734947563063,348.9397194074342
 01/01  11:45:00,190.98000000000008,370.2398725420194
