Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,2110.7991900814773,0.0
 01/01  00:30:00,2121.012512594265,0.0
 01/01  00:45:00,2095.0216056255235,0.0
 01/01  01:00:00,2078.231954749597,0.0
 01/01  01:15:00,2087.545473844534,0.0
 01/01  01:30:00,2099.226120050735,0.0
 01/01  01:45:00,2101.790004791901,0.0
 01/01  02:00:00,2099.964515394513,0.0
 01/01  02:15:00,2111.9391174889065,0.0
 01/01  02:30:00,2132.8927518548567,0.0
 01/01  02:45:00,2141.6057255527357,0.0
 01/01  03:00:00,2143.127194466463,0.0
 01/01  03:15:00,2152.629274567741,0.0
 01/01  03:30:00,2166.3467290818394,0.0
 01/01  03:45:00,2183.35506310024,0.0
 01/01  04:00:00,2189.463413505068,0.0
 01/01  04:15:00,2191.129724475594,0.0
 01/01  04:30:00,2201.994988614888,0.0
 01/01  04:45:00,2221.684279700969,0.0
 01/01  05:00:00,2229.711378346512,0.0
 01/01  05:15:00,2237.0473277701344,0.0
 01/01  05:30:00,2247.214413039408,0.0
 01/01  05:45:00,2267.6599486366867,0.0
 01/01  06:00:00,3599.5120958198013,0.0
 01/01  06:15:00,5703.118321345114,0.0
 01/01  06:30:00,6523.744058189444,0.0
 01/01  06:45:00,6255.261071069439,0.0
 01/01  07:00:00,6349.94681704998,0.0
 01/01  07:15:00,4688.44167767616,0.0
 01/01  07:30:00,4649.763675871372,0.0
 01/01  07:45:00,1222.816689790161,0.0
 01/01  08:00:00,1711.2256910034089,0.0
 01/01  08:15:00,1952.449653770252,0.0
 01/01  08:30:00,2172.7197148182186,0.0
 01/01  08:45:00,2180.410643046643,0.0
 01/01  09:00:00,2179.172356717368,14.701101378909556
 01/01  09:15:00,2154.793231389159,21.701577486872534
 01/01  09:30:00,2179.65188944237,31.24006956445686
 01/01  09:45:00,2187.148056720756,46.9285277383796
 01/01  10:00:00,2168.73064678676,61.40173485352388
 01/01  10:15:00,2162.751567909539,72.77437886779471
 01/01  10:30:00,2165.455231851074,83.89202650494514
 01/01  10:45:00,2169.748642022432,91.55177019533227
 01/01  11:00:00,2169.084852793272,98.76816733057944
 01/01  11:15:00,2164.6536321016347,105.82377104603366
 01/01  11:30:00,2169.9682626780896,113.91720221756187
 01/01  11:45:00,2184.0551336400026,118.6181159619212
 01/01  12:00:00,2188.458189411383,123.81967927330004
 01/01  12:15:00,2230.976279403325,128.8988585501974
 01/01  12:30:00,2220.249186337257,133.72160229150154
 01/01  12:45:00,2308.2894144683096,130.82979310943264
 01/01  13:00:00,2300.50844841108,127.56009179631288
 01/01  13:15:00,2290.738030021673,122.23764576337231
 01/01  13:30:00,2277.2566099973,118.62486965652329
 01/01  13:45:00,2274.072000030445,109.57718766301547
 01/01  14:00:00,2283.7650047984657,99.15145816840588
 01/01  14:15:00,2284.847773384263,90.85946466671042
 01/01  14:30:00,2282.3034419112764,82.71411313298259
 01/01  14:45:00,2292.3023627377497,71.19801598077298
 01/01  15:00:00,2313.683977205603,59.38630149061594
 01/01  15:15:00,2335.863931167208,45.91217224572244
 01/01  15:30:00,2350.293600400611,33.24891762996351
 01/01  15:45:00,2361.036307531552,25.66251831091003
 01/01  16:00:00,2378.854154205617,18.23458114467228
 01/01  16:15:00,2545.1159505464484,10.805763077887924
 01/01  16:30:00,2527.552733220915,3.501245973505992
 01/01  16:45:00,5449.451036109447,0.0
 01/01  17:00:00,5121.969715074289,0.0
 01/01  17:15:00,5022.245841795413,0.0
 01/01  17:30:00,5043.94927130058,0.0
 01/01  17:45:00,5074.771507626228,0.0
 01/01  18:00:00,5207.203965491522,0.0
 01/01  18:15:00,8200.261304409743,0.0
 01/01  18:30:00,8154.883474781382,0.0
 01/01  18:45:00,5786.53293566221,0.0
 01/01  19:00:00,5048.481093943196,0.0
 01/01  19:15:00,6741.189642762871,0.0
 01/01  19:30:00,6810.326852880652,0.0
 01/01  19:45:00,4891.213557365545,0.0
 01/01  20:00:00,4834.3553555956,0.0
 01/01  20:15:00,4981.236792123997,0.0
 01/01  20:30:00,4962.050252610234,0.0
