Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,90.98,0.0
 01/01  00:30:00,143.4208893234097,0.0
 01/01  00:45:00,109.6732238318899,0.0
 01/01  01:00:00,97.39159052783614,0.0
 01/01  01:15:00,66.44666666666666,0.0
 01/01  01:30:00,143.41207274356248,0.0
 01/01  01:45:00,134.20151381286863,0.0
 01/01  02:00:00,44.97999999999999,0.0
 01/01  02:15:00,97.42082004681546,0.0
 01/01  02:30:00,140.3425104230139,0.0
 01/01  02:45:00,143.39729256700574,0.0
 01/01  03:00:00,60.313333333333325,0.0
 01/01  03:15:00,97.41532997460396,0.0
 01/01  03:30:00,115.80382701461508,0.0
 01/01  03:45:00,143.39213018525285,0.0
 01/01  04:00:00,84.84666666666666,0.0
 01/01  04:15:00,97.41139857348796,0.0
 01/01  04:30:00,97.40081975211196,0.0
 01/01  04:45:00,137.2568316362137,0.0
 01/01  05:00:00,90.98,0.0
 01/01  05:15:00,115.81256899765717,0.0
 01/01  05:30:00,97.40396185397414,0.0
 01/01  05:45:00,60.313333333333325,0.0
 01/01  06:00:00,745.120759122188,0.0
 01/01  06:15:00,2855.843191182696,0.0
 01/01  06:30:00,5696.496420734609,0.0
 01/01  06:45:00,5399.012510225966,0.0
 01/01  07:00:00,5469.945440509196,0.0
 01/01  07:15:00,3710.515425840313,0.0
 01/01  07:30:00,3598.595635781297,0.0
 01/01  07:45:00,76.98000000000002,0.0
 01/01  08:00:00,243.43509415406763,0.0
 01/01  08:15:00,245.16711923512315,0.0
 01/01  08:30:00,143.42443703922868,0.0
 01/01  08:45:00,169.5133333333334,0.0
 01/01  09:00:00,365.4309082817256,14.619240170698408
 01/01  09:15:00,209.42046416422627,22.068661789562437
 01/01  09:30:00,257.4097835122275,38.76804585166224
 01/01  09:45:00,204.98,58.977607818118514
 01/01  10:00:00,201.4296221042889,83.49836348911558
 01/01  10:15:00,197.4186698553988,101.06296061068183
 01/01  10:30:00,228.0741342824108,118.14239175903526
 01/01  10:45:00,243.3960081097415,140.5286198878295
 01/01  11:00:00,172.58000000000004,153.7736070150095
 01/01  11:15:00,197.41519653256975,165.42380188339538
 01/01  11:30:00,203.53734947562063,175.03522869394754
 01/01  11:45:00,190.98000000000008,173.42050226746773
