Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,1818.2114130591387,0.0
 01/01  00:30:00,1831.1016150300304,0.0
 01/01  00:45:00,1804.8434943987263,0.0
 01/01  01:00:00,1789.2918228951987,0.0
 01/01  01:15:00,1799.6066660863066,0.0
 01/01  01:30:00,1811.9174614730136,0.0
 01/01  01:45:00,1816.0015453694573,0.0
 01/01  02:00:00,1815.1997009159493,0.0
 01/01  02:15:00,1829.75399519645,0.0
 01/01  02:30:00,1851.6959178006675,0.0
 01/01  02:45:00,1861.447084618788,0.0
 01/01  03:00:00,1864.638905088848,0.0
 01/01  03:15:00,1874.9921032318016,0.0
 01/01  03:30:00,1892.5710823955276,0.0
 01/01  03:45:00,1909.1751787567584,0.0
 01/01  04:00:00,1917.4618867275228,0.0
 01/01  04:15:00,1920.1069419295015,0.0
 01/01  04:30:00,1934.6075496264568,0.0
 01/01  04:45:00,1954.386613019452,0.0
 01/01  05:00:00,1964.8695944011868,0.0
 01/01  05:15:00,1973.237128212745,0.0
 01/01  05:30:00,1986.097926046524,0.0
 01/01  05:45:00,2007.1108386402411,0.0
 01/01  06:00:00,3271.209804590539,0.0
 01/01  06:15:00,5357.885484540198,0.0
 01/01  06:30:00,6515.432773977058,0.0
 01/01  06:45:00,6206.104511219755,0.0
 01/01  07:00:00,6300.7001131794,0.0
 01/01  07:15:00,4612.446048439583,0.0
 01/01  07:30:00,4563.367756489458,0.0
 01/01  07:45:00,1047.8784736203463,0.0
 01/01  08:00:00,1486.9704514564123,0.0
 01/01  08:15:00,1706.806958399525,0.0
 01/01  08:30:00,1905.8354576935567,0.0
 01/01  08:45:00,1960.5681205096305,0.0
 01/01  09:00:00,1923.793104399454,14.701101378909556
 01/01  09:15:00,1892.5042180455127,21.701577486872534
 01/01  09:30:00,1901.5404031774417,31.24006956445686
 01/01  09:45:00,1885.395921400413,46.9285277383796
 01/01  10:00:00,1851.002979225664,61.40173485352388
 01/01  10:15:00,1841.4367487654408,72.77437886779471
 01/01  10:30:00,1832.4203612609683,83.89202650494514
 01/01  10:45:00,1826.5051461582973,91.55177019533227
 01/01  11:00:00,1823.5641231028144,98.76816733057944
 01/01  11:15:00,1807.5361848756688,105.82377104603366
 01/01  11:30:00,1799.8447781138868,113.91720221756187
 01/01  11:45:00,1808.5435053266303,118.6181159619212
 01/01  12:00:00,1819.190686271844,123.81967927330004
 01/01  12:15:00,1865.4346251885977,128.8988585501974
 01/01  12:30:00,1866.446139580917,133.72160229150154
 01/01  12:45:00,1955.603856253143,130.82979310943264
 01/01  13:00:00,1937.17826733246,127.56009179631288
 01/01  13:15:00,1929.753068516649,122.23764576337231
 01/01  13:30:00,1921.1740932648147,118.62486965652329
 01/01  13:45:00,1924.0828339712837,109.57718766301547
 01/01  14:00:00,1933.0474460880448,99.15145816840588
 01/01  14:15:00,1938.5613508462573,90.85946466671042
 01/01  14:30:00,1940.509260544004,82.71411313298259
 01/01  14:45:00,1953.0512601424111,71.19801598077298
 01/01  15:00:00,1980.6496362845608,59.38630149061594
 01/01  15:15:00,2011.5062906434728,45.91217224572244
 01/01  15:30:00,2035.2010225856836,33.24891762996351
 01/01  15:45:00,2050.390678695468,25.66251831091003
 01/01  16:00:00,2072.3154934648137,18.23458114467228
 01/01  16:15:00,2287.800788783021,10.805763077887924
 01/01  16:30:00,2266.661985957241,3.501245973505992
 01/01  16:45:00,5356.09739838798,0.0
 01/01  17:00:00,5020.095675713908,0.0
 01/01  17:15:00,4921.902639240417,0.0
 01/01  17:30:00,4943.577265709931,0.0
 01/01  17:45:00,4974.600539191788,0.0
 01/01  18:00:00,5105.668565840723,0.0
 01/01  18:15:00,8198.18768294075,0.0
 01/01  18:30:00,8153.067288474864,0.0
 01/01  18:45:00,5611.902534779437,0.0
 01/01  19:00:00,4943.801148357593,0.0
 01/01  19:15:00,6638.577559191254,0.0
 01/01  19:30:00,6707.641593986296,0.0
 01/01  19:45:00,4788.642210845548,0.0
 01/01  20:00:00,4732.212050273607,0.0
 01/01  20:15:00,4879.72128782771,0.0
 01/01  20:30:00,4860.240393163909,0.0
 01/01  20:45:00,8170.885746760469,0.0
 01/01  21:00:00,8153.369420986475,0.0
 01/01  21:15:00,5584.518738285939,0.0
 01/01  21:30:00,4889.899655318164,0.0
 01/01  21:45:00,4870.549656878446,0.0
 01/01  22:00:00,4903.8462496746815,0.0
 01/01  22:15:00,4912.91457795297,0.0
 01/01  22:30:00,2857.6464582548406,0.0
 01/01  22:45:00,1492.226098675136,0.0
 01/01  23:00:00,1563.1910729827864,0.0
 01/01  23:15:00,1460.461393268468,0.0
 01/01  23:30:00,1762.6041302424185,0.0
 01/01  23:45:00,1892.0066091826045,0.0
 01/01  24:00:00,1834.0451390195065,0.0
 01/02  00:15:00,2514.036779211444,0.0
 01/02  00:30:00,1804.8146475698568,0.0
 01/02  00:45:00,1971.8941809726475,0.0
 01/02  01:00:00,1902.173780748664,0.0
 01/02  01:15:00,1928.7016448867012,0.0
 01/02  01:30:00,1958.075113034959,0.0
 01/02  01:45:00,1966.2185381905824,0.0
 01/02  02:00:00,1967.03930544794,0.0
 01/02  02:15:00,1983.961543192465,0.0
 01/02  02:30:00,2007.4916761920765,0.0
 01/02  02:45:00,2020.4490491561755,0.0
 01/02  03:00:00,2026.2039684810827,0.0
 01/02  03:15:00,2035.209537712728,0.0
 01/02  03:30:00,2048.5566852194897,0.0
 01/02  03:45:00,2063.6397509076496,0.0
 01/02  04:00:00,2069.1141100454583,0.0
 01/02  04:15:00,2070.861414633838,0.0
 01/02  04:30:00,2082.4521489982667,0.0
 01/02  04:45:00,2101.341941898233,0.0
 01/02  05:00:00,2111.357083560913,0.0
 01/02  05:15:00,2114.821909510604,0.0
 01/02  05:30:00,2124.30321666408,0.0
 01/02  05:45:00,2139.57259273833,0.0
 01/02  06:00:00,3405.6522254459856,0.0
 01/02  06:15:00,5508.752388976638,0.0
 01/02  06:30:00,6520.143874707631,0.0
 01/02  06:45:00,6236.212831578407,0.0
 01/02  07:00:00,6332.471761722054,0.0
 01/02  07:15:00,4653.719770587369,0.0
 01/02  07:30:00,4606.442584792794,0.0
 01/02  07:45:00,1128.530269137983,0.0
 01/02  08:00:00,1582.8962518397043,0.0
 01/02  08:15:00,1811.2144478183025,0.0
 01/02  08:30:00,2014.2839532517364,0.0
 01/02  08:45:00,2045.136288905975,0.0
 01/02  09:00:00,2037.8696920449693,3.9411404942938564
 01/02  09:15:00,2020.279775407384,5.910883453773785
 01/02  09:30:00,2058.8879173436344,7.626873010226847
 01/02  09:45:00,2074.9553434507307,9.745708258419217
 01/02  10:00:00,2080.3844144871846,11.865226988418357
 01/02  10:15:00,2097.9450792485723,13.985731973754879
 01/02  10:30:00,2119.535318619932,16.10702095219772
 01/02  10:45:00,2133.7687165495163,19.71676766598729
 01/02  11:00:00,2139.330163386304,23.327633336064324
 01/02  11:15:00,2142.529210851266,26.940359454044103
 01/02  11:30:00,2154.1626361462845,30.554386893804487
 01/02  11:45:00,2173.233953166955,31.189712447577836
 01/02  12:00:00,2180.2823417636114,31.826610734608735
 01/02  12:15:00,2244.760274673967,32.47169110333518
 01/02  12:30:00,2262.7180675041645,33.11730664726415
 01/02  12:45:00,2379.783115430457,29.5060657108901
 01/02  13:00:00,2402.438686851533,25.896638748645934
 01/02  13:15:00,2402.840861167625,22.270002770984306
 01/02  13:30:00,2400.3791235083954,18.64896961083961
 01/02  13:45:00,2405.5348012921468,16.72997374977051
 01/02  14:00:00,2417.9640866282643,14.813075758968978
 01/02  14:15:00,2421.584170939434,12.90405469693871
 01/02  14:30:00,2421.455705321242,10.996071864311043
 01/02  14:45:00,2426.7388909072865,11.205783132665267
 01/02  15:00:00,2438.2709965574,11.415355391680137
 01/02  15:15:00,2447.8433730977613,11.62531704760841
 01/02  15:30:00,2448.241799839416,11.836079374547616
 01/02  15:45:00,2447.0898395827,9.506726970575267
