Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,1164.6556707092243,0.0
 01/01  00:30:00,1222.4495543982157,0.0
 01/01  00:45:00,1220.2694381059644,0.0
 01/01  01:00:00,1245.403726378884,0.0
 01/01  01:15:00,1285.1282529402113,0.0
 01/01  01:30:00,1318.52202816029,0.0
 01/01  01:45:00,1316.5215380604902,0.0
 01/01  02:00:00,1287.0370124059596,0.0
 01/01  02:15:00,1317.1310138473125,0.0
 01/01  02:30:00,1349.79476943343,0.0
 01/01  02:45:00,1353.0588184245316,0.0
 01/01  03:00:00,1326.2359844218445,0.0
 01/01  03:15:00,1351.4209685938993,0.0
 01/01  03:30:00,1356.525875722437,0.0
 01/01  03:45:00,1371.544294624446,0.0
 01/01  04:00:00,1368.9026384327535,0.0
 01/01  04:15:00,1374.8542331604954,0.0
 01/01  04:30:00,1382.0928063163055,0.0
 01/01  04:45:00,1401.7790295152663,0.0
 01/01  05:00:00,1409.9792582051111,0.0
 01/01  05:15:00,1414.988850911708,0.0
 01/01  05:30:00,1425.4348638099912,0.0
 01/01  05:45:00,1442.0517348044882,0.0
 01/01  06:00:00,2788.698270671241,0.0
 01/01  06:15:00,4994.769284996182,0.0
 01/01  06:30:00,6353.383618301438,0.0
 01/01  06:45:00,6033.517328711947,0.0
 01/01  07:00:00,6119.674555189136,0.0
 01/01  07:15:00,4403.8778690793,0.0
 01/01  07:30:00,4319.297743382944,0.0
 01/01  07:45:00,659.3110315601946,0.0
 01/01  08:00:00,935.5750637240504,0.0
 01/01  08:15:00,1058.8386519533085,0.0
 01/01  08:30:00,1327.385857358202,0.0
 01/01  08:45:00,1288.5688591888436,0.0
 01/01  09:00:00,1336.6188628450216,8.665671866274838
 01/01  09:15:00,1232.804847982166,12.995929806041696
 01/01  09:30:00,1303.7439190451282,17.054820468950123
 01/01  09:45:00,1294.3257601422576,23.356344765893056
 01/01  10:00:00,1266.5918853584114,29.464800207235808
 01/01  10:15:00,1282.0666782755172,35.50382408875233
 01/01  10:30:00,1272.421718945733,41.49111271783768
 01/01  10:45:00,1267.057394491493,47.941567093906166
 01/01  11:00:00,1251.6949404804996,54.30215189286837
 01/01  11:15:00,1241.40737826693,60.607289301710665
 01/01  11:30:00,1237.32166290265,67.09519745580918
 01/01  11:45:00,1245.036281092948,66.81829661319762
 01/01  12:00:00,1245.253429207194,66.55571885762394
 01/01  12:15:00,1342.132085834957,66.2900020861526
 01/01  12:30:00,1341.765506939711,66.01986951623908
 01/01  12:45:00,1384.066808739119,67.32990327346964
 01/01  13:00:00,1439.27125040738,68.63279317257937
 01/01  13:15:00,1411.1178506778126,69.9284571207294
 01/01  13:30:00,1406.9414516632928,71.2152097102717
 01/01  13:45:00,1416.1537379818074,61.10439961740695
 01/01  14:00:00,1432.0562777497748,51.00896602151304
 01/01  14:15:00,1446.971823828017,40.9119178144149
 01/01  14:30:00,1457.9502649036165,30.78275589011416
 01/01  14:45:00,1465.9135491403056,32.516898617346094
 01/01  15:00:00,1475.2112918478922,34.27394888358676
 01/01  15:15:00,1482.0037352625964,36.10159491350386
 01/01  15:30:00,1483.3461246163706,38.23160493194788
 01/01  15:45:00,1487.8678946463826,30.099830573513444
 01/01  16:00:00,1505.4010212129629,21.83287359771913
 01/01  16:15:00,1805.9720179589629,13.81996792460567
 01/01  16:30:00,1777.9425290493336,5.821796960379148
 01/01  16:45:00,5206.529189945818,0.0
 01/01  17:00:00,4754.678682021292,0.0
 01/01  17:15:00,4651.6743129038505,0.0
 01/01  17:30:00,4669.7020933975655,0.0
 01/01  17:45:00,4695.272195767489,0.0
 01/01  18:00:00,4822.890954494195,0.0
 01/01  18:15:00,8192.65009838112,0.0
 01/01  18:30:00,8090.030643873579,0.0
 01/01  18:45:00,5145.29889737768,0.0
 01/01  19:00:00,4634.318244961466,0.0
 01/01  19:15:00,6280.33543993537,0.0
 01/01  19:30:00,6433.39812271017,0.0
 01/01  19:45:00,4486.355760669684,0.0
 01/01  20:00:00,4430.811678673713,0.0
 01/01  20:15:00,4576.478443526509,0.0
 01/01  20:30:00,4554.415276878377,0.0
 01/01  20:45:00,8165.025971627139,0.0
 01/01  21:00:00,8060.374478763915,0.0
 01/01  21:15:00,5099.168617277637,0.0
 01/01  21:30:00,4571.4450715913335,0.0
 01/01  21:45:00,4570.377059474019,0.0
 01/01  22:00:00,4603.151205755862,0.0
 01/01  22:15:00,4609.588888559007,0.0
 01/01  22:30:00,1955.4271803455383,0.0
 01/01  22:45:00,1115.0889498791928,0.0
 01/01  23:00:00,1191.3220790799903,0.0
 01/01  23:15:00,1028.656849997863,0.0
 01/01  23:30:00,1065.9927322300882,0.0
 01/01  23:45:00,1196.3040276734823,0.0
 01/01  24:00:00,1079.2951627955194,0.0
 01/02  00:15:00,1899.7345380932788,0.0
 01/02  00:30:00,1096.4263328847587,0.0
 01/02  00:45:00,1262.2190624115187,0.0
 01/02  01:00:00,1113.0924292778554,0.0
 01/02  01:15:00,1167.8760219250148,0.0
 01/02  01:30:00,1209.704347066457,0.0
 01/02  01:45:00,1205.3717548497043,0.0
 01/02  02:00:00,1174.9054967514585,0.0
 01/02  02:15:00,1185.617419378441,0.0
 01/02  02:30:00,1239.8080109370514,0.0
 01/02  02:45:00,1245.969435259914,0.0
 01/02  03:00:00,1217.0420602420247,0.0
 01/02  03:15:00,1215.6544517503255,0.0
 01/02  03:30:00,1250.6129099070768,0.0
 01/02  03:45:00,1277.283928255024,0.0
 01/02  04:00:00,1275.0559397473787,0.0
 01/02  04:15:00,1254.3878602035998,0.0
 01/02  04:30:00,1290.1893797965226,0.0
 01/02  04:45:00,1303.2663217987474,0.0
 01/02  05:00:00,1312.949764033565,0.0
 01/02  05:15:00,1314.4758156528103,0.0
 01/02  05:30:00,1330.905684089705,0.0
 01/02  05:45:00,1346.4045817089625,0.0
 01/02  06:00:00,2708.5739998199324,0.0
