Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,90.98,0.0
 01/01  00:30:00,143.4208893234097,0.0
 01/01  00:45:00,109.6732238318899,0.0
 01/01  01:00:00,97.39159052783614,0.0
 01/01  01:15:00,66.44666666666666,0.0
 01/01  01:30:00,143.41207274351711,0.0
 01/01  01:45:00,134.20151381282267,0.0
 01/01  02:00:00,44.97999999999999,0.0
 01/01  02:15:00,97.42082004677069,0.0
 01/01  02:30:00,140.34251042296853,0.0
 01/01  02:45:00,143.39729256695978,0.0
 01/01  03:00:00,60.313333333333325,0.0
 01/01  03:15:00,97.41532997455916,0.0
 01/01  03:30:00,115.80382701456963,0.0
 01/01  03:45:00,143.39213018520678,0.0
 01/01  04:00:00,84.84666666666666,0.0
 01/01  04:15:00,97.41139857344302,0.0
 01/01  04:30:00,97.40081975206644,0.0
 01/01  04:45:00,137.25683163616753,0.0
 01/01  05:00:00,90.98,0.0
 01/01  05:15:00,115.8125689976738,0.0
 01/01  05:30:00,97.40396183003756,0.0
 01/01  05:45:00,60.313333333333325,0.0
 01/01  06:00:00,432.8020234515736,0.0
 01/01  06:15:00,2391.576097946392,0.0
 01/01  06:30:00,5331.559791653644,0.0
 01/01  06:45:00,5338.423110078456,0.0
 01/01  07:00:00,5391.401415643227,0.0
 01/01  07:15:00,3595.946454036225,0.0
 01/01  07:30:00,3535.9176526680903,0.0
 01/01  07:45:00,76.98000000000002,0.0
 01/01  08:00:00,243.43509415406763,0.0
 01/01  08:15:00,245.1671192351319,0.0
 01/01  08:30:00,143.42443703923752,0.0
 01/01  08:45:00,169.5133333333334,0.0
 01/01  09:00:00,365.4309082817344,12.424488410260834
 01/01  09:15:00,209.4204641642351,18.700174746849992
 01/01  09:30:00,257.4097835122364,28.687073352177038
 01/01  09:45:00,204.98,41.30848370927793
 01/01  10:00:00,201.4296221042976,55.41759005934704
 01/01  10:15:00,197.4186698554076,66.49490008770191
 01/01  10:30:00,228.0741342824197,77.29476957281652
 01/01  10:45:00,243.39600814136568,88.51360014564801
 01/01  11:00:00,172.58000000000004,96.26752186597344
 01/01  11:15:00,197.415196532576,103.94774738471133
 01/01  11:30:00,203.5373494756269,112.62305198373906
 01/01  11:45:00,190.98000000000008,117.43954218888467
