Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,2130.5514551060683,0.0
 01/01  00:30:00,2140.233586386222,0.0
 01/01  00:45:00,2115.8176385783395,0.0
 01/01  01:00:00,2095.472674249502,0.0
 01/01  01:15:00,2109.4548052460277,0.0
 01/01  01:30:00,2123.397215174169,0.0
 01/01  01:45:00,2129.117163383052,0.0
 01/01  02:00:00,2129.8033504899604,0.0
 01/01  02:15:00,2157.3933014560016,0.0
 01/01  02:30:00,2193.761644049044,0.0
 01/01  02:45:00,2220.0079474866857,0.0
 01/01  03:00:00,2239.7884931640824,0.0
 01/01  03:15:00,2249.5217279763806,0.0
 01/01  03:30:00,2263.747072172081,0.0
 01/01  03:45:00,2279.054339336067,0.0
 01/01  04:00:00,2284.8105443958366,0.0
 01/01  04:15:00,2277.977740871685,0.0
 01/01  04:30:00,2281.805765131478,0.0
 01/01  04:45:00,2293.0503575400357,0.0
 01/01  05:00:00,2294.070914401465,0.0
 01/01  05:15:00,2291.244541903609,0.0
 01/01  05:30:00,2294.973099444765,0.0
 01/01  05:45:00,2304.46501530042,0.0
 01/01  06:00:00,3615.97358132565,0.0
 01/01  06:15:00,5721.691588450729,0.0
 01/01  06:30:00,6529.216546707452,0.0
 01/01  06:45:00,6261.317543196143,0.0
 01/01  07:00:00,6354.641411428838,0.0
 01/01  07:15:00,4693.24000969585,0.0
 01/01  07:30:00,4652.032653425871,0.0
 01/01  07:45:00,1223.5283078265315,0.0
 01/01  08:00:00,1705.5192183082968,0.0
 01/01  08:15:00,1940.6756681507472,0.0
 01/01  08:30:00,2153.7327267909795,0.0
 01/01  08:45:00,2155.455281288416,0.0
 01/01  09:00:00,2156.0135993209874,3.5956126819173964
 01/01  09:15:00,2136.412963116162,5.398583980404862
 01/01  09:30:00,2170.380156029885,6.928891050704784
 01/01  09:45:00,2184.785632615733,9.243903200242334
 01/01  10:00:00,2187.6733185711687,11.560982316713787
 01/01  10:15:00,2212.0623643144413,13.891502035034433
 01/01  10:30:00,2242.69510554972,16.228311792634454
 01/01  10:45:00,2266.974705453664,18.18258523968406
 01/01  11:00:00,2283.0450147034608,20.142173717136146
 01/01  11:15:00,2293.9459967922203,22.093733646686527
 01/01  11:30:00,2309.5380388398858,24.047561006643626
 01/01  11:45:00,2332.9566760808275,26.198686427391813
 01/01  12:00:00,2342.723090842551,28.352217278794758
 01/01  12:15:00,2389.7995919744685,30.46802646938434
 01/01  12:30:00,2384.932716233163,32.579999927563755
 01/01  12:45:00,2479.720013123,32.15812996614885
 01/01  13:00:00,2481.6292601253854,31.741132985935167
 01/01  13:15:00,2468.081467028918,31.31103498235413
 01/01  13:30:00,2452.347330837098,30.882040850756
 01/01  13:45:00,2446.30528275567,29.679811814873638
 01/01  14:00:00,2446.317134171965,28.481560360705984
 01/01  14:15:00,2445.7291858504086,27.307391016340997
 01/01  14:30:00,2440.401303990423,26.13576419054901
 01/01  14:45:00,2442.7279176127186,21.87967858774003
 01/01  15:00:00,2455.8388985834104,17.634634372169742
 01/01  15:15:00,2460.6930252272045,13.396154555162665
 01/01  15:30:00,2459.324828377244,9.169265624814381
 01/01  15:45:00,2452.927100677922,7.249833922753108
 01/01  16:00:00,2454.676132492295,5.334286691672077
 01/01  16:15:00,2593.997314496959,3.4266434982189184
 01/01  16:30:00,2571.363638642456,1.5211650981719655
 01/01  16:45:00,5467.565038894361,0.0
 01/01  17:00:00,5140.66339419641,0.0
 01/01  17:15:00,5040.350718972004,0.0
 01/01  17:30:00,5060.346012974882,0.0
 01/01  17:45:00,5091.081966579896,0.0
 01/01  18:00:00,5221.772655004074,0.0
 01/01  18:15:00,8200.469106057517,0.0
 01/01  18:30:00,8155.026418447336,0.0
 01/01  18:45:00,5796.21630373992,0.0
 01/01  19:00:00,5048.237293603781,0.0
 01/01  19:15:00,6741.251700720008,0.0
 01/01  19:30:00,6811.510677543847,0.0
 01/01  19:45:00,4893.856997061533,0.0
 01/01  20:00:00,4838.317776100846,0.0
 01/01  20:15:00,4988.628282509291,0.0
 01/01  20:30:00,4973.275682107757,0.0
 01/01  20:45:00,8173.33513355768,0.0
 01/01  21:00:00,8155.560042586605,0.0
 01/01  21:15:00,5799.416954418297,0.0
 01/01  21:30:00,5017.994308064968,0.0
 01/01  21:45:00,5000.133155893044,0.0
 01/01  22:00:00,5033.758854651423,0.0
 01/01  22:15:00,5040.079363235891,0.0
 01/01  22:30:00,3555.750825835278,0.0
 01/01  22:45:00,1561.8878816581143,0.0
 01/01  23:00:00,1701.7852164291223,0.0
 01/01  23:15:00,1739.804897155916,0.0
 01/01  23:30:00,2034.480007093816,0.0
 01/01  23:45:00,2141.6549598704523,0.0
 01/01  24:00:00,2149.685102270682,0.0
