Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,868.3100881130184,0.0
 01/01  00:30:00,920.5384039496704,0.0
 01/01  00:45:00,901.237940998731,0.0
 01/01  01:00:00,907.4099612407716,0.0
 01/01  01:15:00,950.492975229294,0.0
 01/01  01:30:00,993.1542976503828,0.0
 01/01  01:45:00,995.8834666211634,0.0
 01/01  02:00:00,974.3555957351804,0.0
 01/01  02:15:00,993.12657181622,0.0
 01/01  02:30:00,1057.866196784756,0.0
 01/01  02:45:00,1071.7523419583233,0.0
 01/01  03:00:00,1053.7896519986243,0.0
 01/01  03:15:00,1051.9179399388104,0.0
 01/01  03:30:00,1088.997619736588,0.0
 01/01  03:45:00,1127.173047576186,0.0
 01/01  04:00:00,1131.708734481521,0.0
 01/01  04:15:00,1103.439336541917,0.0
 01/01  04:30:00,1122.265527896572,0.0
 01/01  04:45:00,1180.8946524055746,0.0
 01/01  05:00:00,1197.6704658549386,0.0
 01/01  05:15:00,1175.2389221685544,0.0
 01/01  05:30:00,1165.5357406090145,0.0
 01/01  05:45:00,1201.0609627307902,0.0
 01/01  06:00:00,2611.2316641506563,0.0
 01/01  06:15:00,4839.553103196728,0.0
 01/01  06:30:00,6289.477192550614,0.0
 01/01  06:45:00,5957.195679968027,0.0
 01/01  07:00:00,6042.052807054296,0.0
 01/01  07:15:00,4324.130319538293,0.0
 01/01  07:30:00,4242.895242107052,0.0
 01/01  07:45:00,545.2065668394778,0.0
 01/01  08:00:00,797.5581446746414,0.0
 01/01  08:15:00,897.491444805316,0.0
 01/01  08:30:00,1116.1433547204383,0.0
 01/01  08:45:00,1018.5294754237916,0.0
 01/01  09:00:00,1149.9839621213764,17.64125976436967
 01/01  09:15:00,984.0281231208724,26.516081877907325
 01/01  09:30:00,1084.2802154702613,60.700240526056874
 01/01  09:45:00,1071.745013327746,87.2446292070638
 01/01  10:00:00,996.8188488905788,108.74977951591369
 01/01  10:15:00,988.9796187189012,142.45882260315645
 01/01  10:30:00,1001.6263877063486,168.81132920028327
 01/01  10:45:00,994.1662680941132,190.78512556830424
 01/01  11:00:00,957.4766884966124,214.36637914802665
 01/01  11:15:00,916.00981076497,239.13166397292298
 01/01  11:30:00,914.355531798129,264.67238392503805
 01/01  11:45:00,943.8027244253532,274.1950441622786
 01/01  12:00:00,932.8987617287568,284.0481603661232
 01/01  12:15:00,1020.5336656939634,293.871065242533
 01/01  12:30:00,1010.1152274677136,303.5846425458751
 01/01  12:45:00,1029.0051337142354,293.8413841647086
 01/01  13:00:00,1049.623414094143,284.2707242510917
 01/01  13:15:00,1038.9844709459028,274.7609301017835
 01/01  13:30:00,1009.7508562096676,265.3787483510693
 01/01  13:45:00,1025.7515435631983,244.35272909193543
 01/01  14:00:00,1080.8172778281285,223.9413368097395
 01/01  14:15:00,1093.8957723112003,191.31447739111806
 01/01  14:30:00,1067.5359782392186,173.31856986414576
 01/01  14:45:00,1077.1219373876766,151.01185676180103
 01/01  15:00:00,1122.845205760539,129.61642012114405
 01/01  15:15:00,1160.3409653311935,109.17658393368863
 01/01  15:30:00,1160.460293579858,89.79402726455328
 01/01  15:45:00,1144.8795836559025,70.34553775027071
 01/01  16:00:00,1199.2113294953292,44.46043232165379
