Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,2133.38068945046,0.0
 01/01  00:30:00,2143.7075547338704,0.0
 01/01  00:45:00,2116.9567714249256,0.0
 01/01  01:00:00,2098.9357869988507,0.0
 01/01  01:15:00,2108.564171165459,0.0
 01/01  01:30:00,2119.748419237052,0.0
 01/01  01:45:00,2121.156500962567,0.0
 01/01  02:00:00,2120.1377902661275,0.0
 01/01  02:15:00,2130.8024945156017,0.0
 01/01  02:30:00,2152.7228812655394,0.0
 01/01  02:45:00,2158.9554896862,0.0
 01/01  03:00:00,2160.8698093330927,0.0
 01/01  03:15:00,2169.461759035745,0.0
 01/01  03:30:00,2183.5258895688453,0.0
 01/01  03:45:00,2199.799308778336,0.0
 01/01  04:00:00,2205.9643193433426,0.0
 01/01  04:15:00,2206.838248837339,0.0
 01/01  04:30:00,2218.6143848976094,0.0
 01/01  04:45:00,2236.254953875403,0.0
 01/01  05:00:00,2246.675873470539,0.0
 01/01  05:15:00,2251.956425902252,0.0
 01/01  05:30:00,2263.1718078952717,0.0
 01/01  05:45:00,2282.5361860373487,0.0
 01/01  06:00:00,3611.643633636631,0.0
 01/01  06:15:00,5558.723626138897,0.0
 01/01  06:30:00,6569.137676777698,0.0
 01/01  06:45:00,6271.795244264035,0.0
 01/01  07:00:00,6359.423360562927,0.0
 01/01  07:15:00,4687.656533796747,0.0
 01/01  07:30:00,4648.158348835055,0.0
 01/01  07:45:00,1229.3139615332643,0.0
 01/01  08:00:00,1724.0379670710363,0.0
 01/01  08:15:00,1965.9391578511136,0.0
 01/01  08:30:00,2194.708483243113,0.0
 01/01  08:45:00,2191.896810167022,0.0
 01/01  09:00:00,2196.572412129965,16.747775494916624
 01/01  09:15:00,2169.082867933038,25.75357330262844
 01/01  09:30:00,2195.2530526434466,45.44458750119892
 01/01  09:45:00,2202.886518953349,81.92806217112815
 01/01  10:00:00,2195.1305523321253,120.66463244660834
 01/01  10:15:00,2206.581200697778,151.4876555072138
 01/01  10:30:00,2221.841374391309,184.54734634622866
 01/01  10:45:00,2230.8427223168337,211.93034935680905
 01/01  11:00:00,2231.016954656836,240.48627685093354
 01/01  11:15:00,2222.1885641212752,269.5824291326426
 01/01  11:30:00,2219.7851788920348,298.9816581586143
 01/01  11:45:00,2217.3379937428235,308.913314825639
 01/01  12:00:00,2206.2174957106618,318.4542846985922
 01/01  12:15:00,2236.0461670750515,326.7881050715807
 01/01  12:30:00,2216.2771143568234,334.2926696877909
 01/01  12:45:00,2297.585722105925,311.89787501109066
 01/01  13:00:00,2289.748743435317,289.4713836190826
 01/01  13:15:00,2283.5994265873583,251.07264071985878
 01/01  13:30:00,2275.229322335394,229.2188674915726
 01/01  13:45:00,2282.853986424928,204.20241811461736
 01/01  14:00:00,2297.754444142649,165.67476534192824
 01/01  14:15:00,2304.648938260628,143.35582286137216
 01/01  14:30:00,2305.04120866758,121.63807129910015
 01/01  14:45:00,2316.7300552467964,99.28486216791575
 01/01  15:00:00,2334.812530805549,77.52490738016117
 01/01  15:15:00,2356.925165338692,50.14738948760161
 01/01  15:30:00,2369.071644297493,31.55883376059731
 01/01  15:45:00,2378.6142648070427,23.404005530752983
 01/01  16:00:00,2396.374694448801,16.619333908557362
 01/01  16:15:00,2551.8375465448185,9.838681455734717
 01/01  16:30:00,2536.2649096396503,3.2033309853564464
 01/01  16:45:00,5443.530083578316,0.0
 01/01  17:00:00,5115.202675423772,0.0
 01/01  17:15:00,5016.000925849874,0.0
 01/01  17:30:00,5037.351644849123,0.0
 01/01  17:45:00,5068.953610107004,0.0
 01/01  18:00:00,5200.842166604271,0.0
 01/01  18:15:00,8200.117106452863,0.0
 01/01  18:30:00,8154.598868990569,0.0
 01/01  18:45:00,5776.590437298339,0.0
 01/01  19:00:00,5042.091815142983,0.0
 01/01  19:15:00,6735.50993447482,0.0
 01/01  19:30:00,6804.761854988825,0.0
 01/01  19:45:00,4885.631390056175,0.0
 01/01  20:00:00,4828.754272524502,0.0
 01/01  20:15:00,4975.900123335856,0.0
 01/01  20:30:00,4956.450461533036,0.0
 01/01  20:45:00,8172.822309943266,0.0
 01/01  21:00:00,8154.966855357874,0.0
 01/01  21:15:00,5750.078269139522,0.0
 01/01  21:30:00,4988.422423119635,0.0
 01/01  21:45:00,4967.554887262242,0.0
 01/01  22:00:00,5000.131398319518,0.0
 01/01  22:15:00,5008.634831906689,0.0
 01/01  22:30:00,3382.5259683114555,0.0
