Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,1458.1411334472552,0.0
 01/01  00:30:00,1497.203798317017,0.0
 01/01  00:45:00,1492.4627113113754,0.0
 01/01  01:00:00,1547.0328652398343,0.0
 01/01  01:15:00,1550.3048543569107,0.0
 01/01  01:30:00,1563.9088054793035,0.0
 01/01  01:45:00,1565.0006458463654,0.0
 01/01  02:00:00,1558.524175569564,0.0
 01/01  02:15:00,1569.1188444620857,0.0
 01/01  02:30:00,1587.390696032062,0.0
 01/01  02:45:00,1593.052712541919,0.0
 01/01  03:00:00,1591.544641673472,0.0
 01/01  03:15:00,1597.6777784101614,0.0
 01/01  03:30:00,1612.4597880238016,0.0
 01/01  03:45:00,1624.0526053590822,0.0
 01/01  04:00:00,1629.4083463431723,0.0
 01/01  04:15:00,1626.2899357425686,0.0
 01/01  04:30:00,1635.7549310989205,0.0
 01/01  04:45:00,1652.2849934486087,0.0
 01/01  05:00:00,1656.5692554164805,0.0
 01/01  05:15:00,1652.5903315894966,0.0
 01/01  05:30:00,1649.3963033090822,0.0
 01/01  05:45:00,1656.0889639093075,0.0
 01/01  06:00:00,2917.29287935269,0.0
 01/01  06:15:00,5084.193852513186,0.0
 01/01  06:30:00,6440.65485153241,0.0
 01/01  06:45:00,6113.066424659835,0.0
 01/01  07:00:00,6191.230664086222,0.0
 01/01  07:15:00,4478.54673101527,0.0
 01/01  07:30:00,4408.755244592241,0.0
 01/01  07:45:00,804.3074753389374,0.0
 01/01  08:00:00,1154.036225801633,0.0
 01/01  08:15:00,1311.953731627941,0.0
 01/01  08:30:00,1511.7407263185069,0.0
 01/01  08:45:00,1549.5310463850262,0.0
 01/01  09:00:00,1530.6596349207791,4.751836143449293
 01/01  09:15:00,1471.9783869942478,7.123591981823001
 01/01  09:30:00,1498.9573739499456,9.15149961935735
 01/01  09:45:00,1499.5455401640638,12.200179157079464
 01/01  10:00:00,1486.8608531350535,15.247293994058095
 01/01  10:15:00,1484.8155931877782,18.28677346057347
 01/01  10:30:00,1485.6485613481557,21.322930304919993
 01/01  10:45:00,1480.4925961857527,23.207364194146802
 01/01  11:00:00,1468.8949464164907,25.090677493319024
 01/01  11:15:00,1462.8707693241224,26.98567606082375
 01/01  11:30:00,1466.5301675986088,28.880396696069706
 01/01  11:45:00,1476.417804031832,28.674350946731415
 01/01  12:00:00,1473.747680182999,28.471141973902505
 01/01  12:15:00,1531.2628397068256,28.275833168138554
 01/01  12:30:00,1546.2294365970383,28.08103499881409
 01/01  12:45:00,1653.81166419687,26.743520600828482
 01/01  13:00:00,1663.5065458855925,25.407791385344808
 01/01  13:15:00,1671.57729100881,24.078400560790104
 01/01  13:30:00,1675.6956208167974,22.749054809707527
 01/01  13:45:00,1687.407906964581,20.84905345126973
 01/01  14:00:00,1709.0563729499345,18.949672829241347
 01/01  14:15:00,1714.5016828840642,17.050463123436284
 01/01  14:30:00,1719.2079191904586,15.151701314612033
 01/01  14:45:00,1726.1600130987758,13.253510167489416
 01/01  15:00:00,1745.4152593402691,11.356033141766057
 01/01  15:15:00,1760.2487188419211,9.460984799292218
 01/01  15:30:00,1768.7032813593612,7.566377688065566
 01/01  15:45:00,1775.8984296415117,6.241070209190313
 01/01  16:00:00,1789.4076560848134,4.916009207209271
 01/01  16:15:00,2036.382806054569,3.591080027209943
 01/01  16:30:00,2006.0201122880817,2.2668413678835395
 01/01  16:45:00,5254.024420803317,0.0
 01/01  17:00:00,4871.410996615268,0.0
 01/01  17:15:00,4769.3011520002765,0.0
 01/01  17:30:00,4787.402585373024,0.0
 01/01  17:45:00,4815.046628454558,0.0
 01/01  18:00:00,4944.425322877791,0.0
 01/01  18:15:00,8194.674824204449,0.0
 01/01  18:30:00,8150.198480276224,0.0
 01/01  18:45:00,5315.06079636796,0.0
 01/01  19:00:00,4750.031898923913,0.0
 01/01  19:15:00,6461.539330599122,0.0
 01/01  19:30:00,6527.315990136829,0.0
 01/01  19:45:00,4608.899428455982,0.0
 01/01  20:00:00,4554.566261660459,0.0
 01/01  20:15:00,4702.211040414745,0.0
 01/01  20:30:00,4684.187989324242,0.0
 01/01  20:45:00,8167.236095266697,0.0
 01/01  21:00:00,8150.300490394208,0.0
 01/01  21:15:00,5282.34841977129,0.0
 01/01  21:30:00,4698.759237877747,0.0
 01/01  21:45:00,4699.056529277436,0.0
 01/01  22:00:00,4726.153939113558,0.0
 01/01  22:15:00,4732.626455824882,0.0
 01/01  22:30:00,2335.8998811763804,0.0
 01/01  22:45:00,1299.4203044160308,0.0
 01/01  23:00:00,1360.639255403977,0.0
 01/01  23:15:00,1195.3096573216085,0.0
 01/01  23:30:00,1348.1950706481464,0.0
 01/01  23:45:00,1435.9537685599946,0.0
 01/01  24:00:00,1414.989813088844,0.0
 01/02  00:15:00,2166.9758438920053,0.0
 01/02  00:30:00,1356.3159602071637,0.0
 01/02  00:45:00,1499.55363572632,0.0
 01/02  01:00:00,1455.754329089032,0.0
 01/02  01:15:00,1477.7770991137152,0.0
 01/02  01:30:00,1516.7813380802584,0.0
 01/02  01:45:00,1528.8200956494888,0.0
 01/02  02:00:00,1533.4461479174145,0.0
 01/02  02:15:00,1546.2516915869496,0.0
 01/02  02:30:00,1568.1695564083168,0.0
 01/02  02:45:00,1577.1190240415588,0.0
 01/02  03:00:00,1578.8422871748844,0.0
 01/02  03:15:00,1584.4761292530177,0.0
 01/02  03:30:00,1596.3878716415388,0.0
 01/02  03:45:00,1607.198888256859,0.0
 01/02  04:00:00,1611.8786429436311,0.0
 01/02  04:15:00,1615.000531614063,0.0
 01/02  04:30:00,1626.8810424820886,0.0
 01/02  04:45:00,1646.5683845331612,0.0
 01/02  05:00:00,1655.1050125568986,0.0
 01/02  05:15:00,1658.1589130915831,0.0
 01/02  05:30:00,1664.7360424761405,0.0
 01/02  05:45:00,1681.9174769189865,0.0
 01/02  06:00:00,2936.08954852601,0.0
 01/02  06:15:00,5120.511861978177,0.0
 01/02  06:30:00,6455.821100490411,0.0
 01/02  06:45:00,6128.673588486061,0.0
 01/02  07:00:00,6207.108138855061,0.0
 01/02  07:15:00,4496.593291949416,0.0
 01/02  07:30:00,4426.342893044565,0.0
 01/02  07:45:00,833.0414599457035,0.0
 01/02  08:00:00,1184.936150643857,0.0
 01/02  08:15:00,1344.3656833550394,0.0
 01/02  08:30:00,1526.7319051574425,0.0
 01/02  08:45:00,1566.14449614172,0.0
 01/02  09:00:00,1530.8856055969145,5.958014645815183
 01/02  09:15:00,1472.2490596409784,8.933403324603473
 01/02  09:30:00,1500.6036552031708,11.492640834389928
 01/02  09:45:00,1500.5677063732933,14.54510975825615
 01/02  10:00:00,1489.8452005068916,17.59480843871506
 01/02  10:15:00,1486.8875686666524,20.6359945335054
 01/02  10:30:00,1494.168945793807,23.67315799031608
 01/02  10:45:00,1483.6799441247697,29.780269421735042
 01/02  11:00:00,1469.4496912832856,36.01024625112286
 01/02  11:15:00,1448.9892811595614,43.330505939270175
 01/02  11:30:00,1440.9458605906464,50.82701995609716
 01/02  11:45:00,1434.679691235753,61.91569883709812
 01/02  12:00:00,1416.812656328474,73.3612522491091
 01/02  12:15:00,1465.76851889031,85.22335545508702
 01/02  12:30:00,1461.1861918604045,97.49018499999904
 01/02  12:45:00,1560.9248248597842,110.66782129813262
 01/02  13:00:00,1563.616349480434,113.27302122510213
 01/02  13:15:00,1561.509563949296,116.15915604410094
 01/02  13:30:00,1560.1281080641238,119.20399086029066
 01/02  13:45:00,1571.2732421446997,107.10549635491417
 01/02  14:00:00,1589.0674858697823,95.4295038313644
 01/02  14:15:00,1599.480769260656,84.13076404827542
 01/02  14:30:00,1604.459594511534,65.66938004192625
 01/02  14:45:00,1616.0660189594246,56.16685870620236
 01/02  15:00:00,1637.4315089395427,46.90195042965957
 01/02  15:15:00,1657.5594524642502,37.902609858273365
 01/02  15:30:00,1672.8986567461516,29.147962907349893
 01/02  15:45:00,1682.9864612821648,22.679182407128096
 01/02  16:00:00,1705.9450076204937,16.613440084816506
 01/02  16:15:00,1967.105474166752,10.559801531098586
 01/02  16:30:00,1937.775935047513,4.540718829385896
 01/02  16:45:00,5241.1392101797965,0.0
 01/02  17:00:00,4835.6850426519895,0.0
 01/02  17:15:00,4730.460963144411,0.0
 01/02  17:30:00,4746.848049151029,0.0
 01/02  17:45:00,4771.422489438017,0.0
 01/02  18:00:00,4897.913961848933,0.0
 01/02  18:15:00,8193.800737918464,0.0
 01/02  18:30:00,8147.00488169274,0.0
 01/02  18:45:00,5242.377231918616,0.0
 01/02  19:00:00,4704.222783284971,0.0
 01/02  19:15:00,6417.151137317766,0.0
 01/02  19:30:00,6483.166176435777,0.0
 01/02  19:45:00,4564.215063505433,0.0
 01/02  20:00:00,4509.269915310558,0.0
 01/02  20:15:00,4656.734513279169,0.0
 01/02  20:30:00,4636.76414279498,0.0
 01/02  20:45:00,8166.370438494425,0.0
 01/02  21:00:00,8130.224336236221,0.0
 01/02  21:15:00,5206.268767309366,0.0
 01/02  21:30:00,4641.81369421255,0.0
 01/02  21:45:00,4643.070403881708,0.0
 01/02  22:00:00,4664.351331816577,0.0
 01/02  22:15:00,4669.326631324968,0.0
 01/02  22:30:00,2134.611156731868,0.0
 01/02  22:45:00,1196.8214132010437,0.0
 01/02  23:00:00,1264.2559654608872,0.0
 01/02  23:15:00,1095.1281926154566,0.0
 01/02  23:30:00,1165.4137341738988,0.0
 01/02  23:45:00,1287.6139769306662,0.0
 01/02  24:00:00,1175.4793146358245,0.0
 01/03  00:15:00,1281.1220412978078,0.0
 01/03  00:30:00,1285.6880075550837,0.0
 01/03  00:45:00,1258.6025076600108,0.0
 01/03  01:00:00,1260.5487793426646,0.0
 01/03  01:15:00,1300.5081949637429,0.0
 01/03  01:30:00,1339.0137465585367,0.0
 01/03  01:45:00,1338.764656273029,0.0
 01/03  02:00:00,1318.9936584033217,0.0
 01/03  02:15:00,1361.636448003746,0.0
 01/03  02:30:00,1380.5047886288712,0.0
 01/03  02:45:00,1387.4986656386864,0.0
 01/03  03:00:00,1384.0680744056806,0.0
 01/03  03:15:00,1391.359523889313,0.0
 01/03  03:30:00,1396.2034934104408,0.0
