Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,1204.3279862849647,0.0
 01/01  00:30:00,1262.8462727341891,0.0
 01/01  00:45:00,1258.6399558283858,0.0
 01/01  01:00:00,1284.749982292567,0.0
 01/01  01:15:00,1320.3825485639738,0.0
 01/01  01:30:00,1355.430476050209,0.0
 01/01  01:45:00,1353.814055251067,0.0
 01/01  02:00:00,1324.2576303427015,0.0
 01/01  02:15:00,1367.6171519042125,0.0
 01/01  02:30:00,1385.7675350678694,0.0
 01/01  02:45:00,1388.768118380454,0.0
 01/01  03:00:00,1373.2931809323984,0.0
 01/01  03:15:00,1393.097184380769,0.0
 01/01  03:30:00,1396.5385972186482,0.0
 01/01  03:45:00,1411.1359130613655,0.0
 01/01  04:00:00,1411.5945359011878,0.0
 01/01  04:15:00,1414.4442973476291,0.0
 01/01  04:30:00,1424.7667114429971,0.0
 01/01  04:45:00,1439.4397545692314,0.0
 01/01  05:00:00,1449.6255723524669,0.0
 01/01  05:15:00,1454.738708004158,0.0
 01/01  05:30:00,1463.7220842601655,0.0
 01/01  05:45:00,1479.4676496080583,0.0
 01/01  06:00:00,2779.918882482842,0.0
 01/01  06:15:00,5019.138517501578,0.0
 01/01  06:30:00,6365.0476561629785,0.0
 01/01  06:45:00,6046.568387286559,0.0
 01/01  07:00:00,6132.711996077552,0.0
 01/01  07:15:00,4417.678396716855,0.0
 01/01  07:30:00,4332.784722756503,0.0
 01/01  07:45:00,682.1068548300184,0.0
 01/01  08:00:00,962.9588136056864,0.0
 01/01  08:15:00,1098.6072984731366,0.0
 01/01  08:30:00,1357.25040577159,0.0
 01/01  08:45:00,1332.18453635138,0.0
 01/01  09:00:00,1361.089533949662,7.927997141832133
 01/01  09:15:00,1279.4948135354907,11.89018563649104
 01/01  09:30:00,1328.2908864071908,16.167176177135016
 01/01  09:45:00,1327.5172977926063,22.67164863512984
 01/01  10:00:00,1310.0837729782652,28.82739697005661
 01/01  10:15:00,1315.984268542467,35.02657189045924
 01/01  10:30:00,1312.64018148616,41.3259819725789
 01/01  10:45:00,1307.378228321673,48.689392258255815
 01/01  11:00:00,1294.3189553077782,56.21852227710737
 01/01  11:15:00,1285.5121959457692,63.96516384716989
 01/01  11:30:00,1282.6386684977217,71.94696266432219
 01/01  11:45:00,1291.247912916094,70.05689959465666
 01/01  12:00:00,1287.5203788633846,68.6092672762699
 01/01  12:15:00,1375.3225668516811,67.47032632805065
 01/01  12:30:00,1373.9517695364864,66.57172671071298
 01/01  12:45:00,1426.8247515081484,68.38806533780308
 01/01  13:00:00,1472.832906161202,70.39082768587663
 01/01  13:15:00,1449.2985866319514,72.60476277344436
 01/01  13:30:00,1444.5820773488106,75.07051226784947
 01/01  13:45:00,1453.6432981817516,61.67295467361335
 01/01  14:00:00,1468.2988547420864,49.04866677738724
 01/01  14:15:00,1484.347587762509,37.77760806323596
 01/01  14:30:00,1494.4762577414203,28.060902371661655
 01/01  14:45:00,1501.5933510375326,31.17178504640059
 01/01  15:00:00,1514.661569002435,34.123074083291485
 01/01  15:15:00,1521.5635907123726,37.44640427201784
 01/01  15:30:00,1524.876707449338,42.4589033024408
 01/01  15:45:00,1529.736726331428,32.056120880589184
 01/01  16:00:00,1544.071041204768,21.942739840111848
 01/01  16:15:00,1837.702056392957,13.493717761062578
 01/01  16:30:00,1809.9607092135695,5.296060429050384
 01/01  16:45:00,5212.281969906119,0.0
 01/01  17:00:00,4772.62274079302,0.0
 01/01  17:15:00,4669.629419862339,0.0
 01/01  17:30:00,4687.489702575722,0.0
 01/01  17:45:00,4713.165610566745,0.0
 01/01  18:00:00,4841.014577582955,0.0
 01/01  18:15:00,8192.902522635193,0.0
 01/01  18:30:00,8103.965307315249,0.0
 01/01  18:45:00,5168.039921667062,0.0
 01/01  19:00:00,4650.748999617329,0.0
 01/01  19:15:00,6311.752321735419,0.0
 01/01  19:30:00,6446.337376172023,0.0
 01/01  19:45:00,4504.187058069959,0.0
 01/01  20:00:00,4448.80179545411,0.0
 01/01  20:15:00,4593.8735803504605,0.0
 01/01  20:30:00,4572.683617087204,0.0
 01/01  20:45:00,8165.27486739376,0.0
 01/01  21:00:00,8074.790576742636,0.0
 01/01  21:15:00,5121.552377727639,0.0
 01/01  21:30:00,4587.793304655142,0.0
 01/01  21:45:00,4589.160240517671,0.0
 01/01  22:00:00,4621.099312052968,0.0
 01/01  22:15:00,4626.921869381806,0.0
 01/01  22:30:00,2002.2419740697496,0.0
 01/01  22:45:00,1141.5249402563727,0.0
 01/01  23:00:00,1215.4707603903655,0.0
 01/01  23:15:00,1051.4053278305328,0.0
 01/01  23:30:00,1098.0883721544687,0.0
 01/01  23:45:00,1231.5844361017407,0.0
 01/01  24:00:00,1108.7129471400528,0.0
 01/02  00:15:00,1930.4737046811492,0.0
 01/02  00:30:00,1108.0475323437552,0.0
 01/02  00:45:00,1141.8629581045002,0.0
 01/02  01:00:00,1168.6752383962828,0.0
 01/02  01:15:00,1195.5844775324838,0.0
 01/02  01:30:00,1244.115384027175,0.0
 01/02  01:45:00,1234.0707964012774,0.0
 01/02  02:00:00,1204.7841881084998,0.0
 01/02  02:15:00,1215.8311232362453,0.0
 01/02  02:30:00,1270.4090693386747,0.0
 01/02  02:45:00,1275.27036578353,0.0
 01/02  03:00:00,1248.1448572072718,0.0
 01/02  03:15:00,1254.4543033371522,0.0
 01/02  03:30:00,1282.7966949838285,0.0
 01/02  03:45:00,1306.9734024115046,0.0
 01/02  04:00:00,1305.1976107023806,0.0
 01/02  04:15:00,1293.2019757337348,0.0
 01/02  04:30:00,1321.861974120873,0.0
 01/02  04:45:00,1332.5967208261663,0.0
 01/02  05:00:00,1344.8192412572523,0.0
