Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,90.98,0.0
 01/01  00:30:00,143.4208893234097,0.0
 01/01  00:45:00,109.6732238318899,0.0
 01/01  01:00:00,97.39159052783614,0.0
 01/01  01:15:00,66.44666666666666,0.0
 01/01  01:30:00,143.41207274351711,0.0
 01/01  01:45:00,134.20151381282267,0.0
 01/01  02:00:00,44.97999999999999,0.0
 01/01  02:15:00,97.42082004677069,0.0
 01/01  02:30:00,140.34251042296853,0.0
 01/01  02:45:00,143.39729256695978,0.0
 01/01  03:00:00,60.313333333333325,0.0
 01/01  03:15:00,97.41532997455916,0.0
 01/01  03:30:00,115.80382701456963,0.0
 01/01  03:45:00,143.39213018520678,0.0
 01/01  04:00:00,84.84666666666666,0.0
 01/01  04:15:00,97.41139857344302,0.0
 01/01  04:30:00,97.40081975206644,0.0
 01/01  04:45:00,137.25683163616753,0.0
 01/01  05:00:00,90.98,0.0
 01/01  05:15:00,115.8125689976738,0.0
 01/01  05:30:00,97.40396185398532,0.0
 01/01  05:45:00,60.313333333333325,0.0
 01/01  06:00:00,648.6923865276556,0.0
 01/01  06:15:00,2731.6491383314315,0.0
 01/01  06:30:00,5572.148147118463,0.0
 01/01  06:45:00,5390.78596716318,0.0
 01/01  07:00:00,5445.0922160226455,0.0
 01/01  07:15:00,3696.3396828521327,0.0
 01/01  07:30:00,3585.151694085615,0.0
 01/01  07:45:00,76.98000000000002,0.0
 01/01  08:00:00,243.43509415406933,0.0
 01/01  08:15:00,245.1671192351249,0.0
 01/01  08:30:00,143.42443703922868,0.0
 01/01  08:45:00,169.5133333333334,0.0
 01/01  09:00:00,365.4309082817256,14.325133455706023
 01/01  09:15:00,209.42046416422627,22.404212439270697
 01/01  09:30:00,257.4097835122275,44.050145731059985
 01/01  09:45:00,204.98,72.75019156630148
 01/01  10:00:00,201.4296221042889,112.20130516665752
 01/01  10:15:00,197.4186698553988,144.16816668661517
 01/01  10:30:00,228.0741342824108,178.5810358892458
 01/01  10:45:00,243.3960081097415,230.773550903518
 01/01  11:00:00,172.58000000000004,269.0191147103817
 01/01  11:15:00,197.41519653259488,308.61964170953
 01/01  11:30:00,203.53734947564607,348.9397194074342
 01/01  11:45:00,190.98000000000008,370.2398725420194
