Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,2242.5419996471524,0.0
 01/01  00:30:00,2271.214726314832,0.0
 01/01  00:45:00,2240.793020037608,0.0
 01/01  01:00:00,2219.5218621284166,0.0
 01/01  01:15:00,2231.150163915191,0.0
 01/01  01:30:00,2244.0750252819107,0.0
 01/01  01:45:00,2248.543132550412,0.0
 01/01  02:00:00,2248.490185181153,0.0
 01/01  02:15:00,2273.3942246932893,0.0
 01/01  02:30:00,2308.8442292527748,0.0
 01/01  02:45:00,2333.463281930072,0.0
 01/01  03:00:00,2352.450900339422,0.0
 01/01  03:15:00,2361.2711358719384,0.0
 01/01  03:30:00,2374.6705065876326,0.0
 01/01  03:45:00,2387.721891557941,0.0
 01/01  04:00:00,2393.440366684604,0.0
 01/01  04:15:00,2384.860532701637,0.0
 01/01  04:30:00,2388.052086424988,0.0
 01/01  04:45:00,2395.9063058824504,0.0
 01/01  05:00:00,2398.198596366333,0.0
 01/01  05:15:00,2394.257385758322,0.0
 01/01  05:30:00,2396.501981664559,0.0
 01/01  05:45:00,2404.228258468984,0.0
 01/01  06:00:00,2414.348210114517,0.0
 01/01  06:15:00,2422.43513312559,0.0
 01/01  06:30:00,2474.6893189264056,0.0
 01/01  06:45:00,2414.7395174807875,0.0
 01/01  07:00:00,2427.95427455802,0.0
 01/01  07:15:00,2409.008512745005,0.0
 01/01  07:30:00,2410.431416375522,0.0
 01/01  07:45:00,2403.845014523812,0.0
 01/01  08:00:00,2409.209615173105,0.0
 01/01  08:15:00,2423.577961538079,0.0
 01/01  08:30:00,2430.8707993157427,0.0
 01/01  08:45:00,4397.021599611423,0.0
 01/01  09:00:00,5120.612139392817,3.5956126819173964
 01/01  09:15:00,3247.0017554215037,5.398583980404862
 01/01  09:30:00,3442.66386850689,6.928891050704784
 01/01  09:45:00,3460.7213604778776,9.243903200242334
 01/01  10:00:00,5019.470202086066,11.560982316713787
 01/01  10:15:00,3488.6757035614605,13.891502035034433
 01/01  10:30:00,3546.8096021459687,16.228311792634454
 01/01  10:45:00,3557.818924500378,18.18258523968406
 01/01  11:00:00,3613.335378022597,20.142173717136146
 01/01  11:15:00,7961.41146296787,22.093733646686527
 01/01  11:30:00,7080.671112676393,24.047561006643626
 01/01  11:45:00,4129.171086828712,26.198686427391813
 01/01  12:00:00,3698.838632356789,28.352217278794758
 01/01  12:15:00,1616.782023402664,30.46802646938434
 01/01  12:30:00,2137.7862851158643,32.579999927563755
 01/01  12:45:00,2205.468650066616,32.15812996614885
 01/01  13:00:00,2316.3040087893905,31.741132985935167
 01/01  13:15:00,2477.393552155572,31.31103498235413
 01/01  13:30:00,2484.805498781038,30.882040850756
 01/01  13:45:00,2483.539178542106,29.679811814873638
 01/01  14:00:00,2487.07002208424,28.481560360705984
 01/01  14:15:00,2489.25618705549,27.307391016340997
 01/01  14:30:00,2484.3739407974854,26.13576419054901
 01/01  14:45:00,2487.9558188226274,21.87967858774003
 01/01  15:00:00,2500.8520576515016,17.634634372169742
 01/01  15:15:00,2507.046937412743,13.396154555162665
 01/01  15:30:00,2505.263000202261,9.169265624814381
 01/01  15:45:00,2499.1150857227963,7.249833922753108
 01/01  16:00:00,2500.7917072957166,5.334286691672077
 01/01  16:15:00,4380.259196351921,3.4266434982189184
 01/01  16:30:00,4017.949351213246,1.5211650981719655
 01/01  16:45:00,3651.05760143504,0.0
 01/01  17:00:00,3866.7383191315134,0.0
 01/01  17:15:00,8152.578867018834,0.0
 01/01  17:30:00,8133.395200190389,0.0
 01/01  17:45:00,5144.2375200324095,0.0
 01/01  18:00:00,3980.131648183284,0.0
 01/01  18:15:00,3731.804351011357,0.0
 01/01  18:30:00,5252.834315671791,0.0
 01/01  18:45:00,6954.458220264274,0.0
 01/01  19:00:00,6904.490467974745,0.0
 01/01  19:15:00,5632.377558631465,0.0
 01/01  19:30:00,5054.663375794322,0.0
 01/01  19:45:00,3590.142713100452,0.0
 01/01  20:00:00,3660.3612134193145,0.0
 01/01  20:15:00,3687.693133962729,0.0
 01/01  20:30:00,3679.651371940216,0.0
 01/01  20:45:00,3773.9561429022046,0.0
 01/01  21:00:00,3740.092017357745,0.0
 01/01  21:15:00,3738.779270194278,0.0
 01/01  21:30:00,3755.483492015406,0.0
 01/01  21:45:00,3762.6440233676353,0.0
 01/01  22:00:00,3784.5279556970536,0.0
 01/01  22:15:00,3791.063677636079,0.0
 01/01  22:30:00,3789.415532308601,0.0
 01/01  22:45:00,3792.897056136997,0.0
 01/01  23:00:00,3805.36133578636,0.0
