Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,578.35733231191,0.0
 01/01  00:30:00,631.8194249253237,0.0
 01/01  00:45:00,617.1359562686165,0.0
 01/01  01:00:00,617.7538363421394,0.0
 01/01  01:15:00,649.1379760571929,0.0
 01/01  01:30:00,683.6348806062311,0.0
 01/01  01:45:00,684.7933168135147,0.0
 01/01  02:00:00,657.079615867347,0.0
 01/01  02:15:00,664.6775859863045,0.0
 01/01  02:30:00,716.0954463565306,0.0
 01/01  02:45:00,726.8223508824627,0.0
 01/01  03:00:00,704.2940712895368,0.0
 01/01  03:15:00,704.7903064300137,0.0
 01/01  03:30:00,734.6900949995679,0.0
 01/01  03:45:00,751.9748626173906,0.0
 01/01  04:00:00,752.1930355391781,0.0
 01/01  04:15:00,756.6724477140338,0.0
 01/01  04:30:00,777.4119081653732,0.0
 01/01  04:45:00,791.3693969122317,0.0
 01/01  05:00:00,806.3276298491952,0.0
 01/01  05:15:00,829.641306860614,0.0
 01/01  05:30:00,842.820960281375,0.0
 01/01  05:45:00,863.1615598229901,0.0
 01/01  06:00:00,885.2848775174639,0.0
 01/01  06:15:00,902.201502312967,0.0
 01/01  06:30:00,1110.9667732347762,0.0
 01/01  06:45:00,870.3822429021981,0.0
 01/01  07:00:00,940.742925129733,0.0
 01/01  07:15:00,968.9277437373876,0.0
 01/01  07:30:00,963.4791980466056,0.0
 01/01  07:45:00,982.3405138386776,0.0
 01/01  08:00:00,1000.046320531991,0.0
 01/01  08:15:00,1016.6319197817984,0.0
 01/01  08:30:00,1028.8338353807903,0.0
 01/01  08:45:00,3447.778625022592,0.0
 01/01  09:00:00,4276.270173163352,17.64125976436967
 01/01  09:15:00,2264.9543028824028,26.516081877907325
 01/01  09:30:00,2396.629199864885,60.700240526056874
 01/01  09:45:00,2407.958511602528,87.2446292070638
 01/01  10:00:00,4414.639645628036,108.74977951591369
 01/01  10:15:00,2858.3777890643123,142.45882260315645
 01/01  10:30:00,2881.9752943393014,168.81132920028327
 01/01  10:45:00,2861.137626755282,190.78512556830424
 01/01  11:00:00,2824.520648674943,214.36637914802665
 01/01  11:15:00,7946.910882838084,239.13166397292298
 01/01  11:30:00,6656.170447273949,264.67238392503805
 01/01  11:45:00,3543.158288355243,274.1950441622786
 01/01  12:00:00,2816.15601242561,284.0481603661232
 01/01  12:15:00,383.9246711506802,293.871065242533
 01/01  12:30:00,446.24431524077073,303.5846425458751
 01/01  12:45:00,522.0032972509249,293.8413841647086
 01/01  13:00:00,576.6907231369689,284.2707242510917
 01/01  13:15:00,586.7473116537847,274.7609301017835
 01/01  13:30:00,575.8963481220517,265.3787483510693
 01/01  13:45:00,593.1747253670163,244.35272909193543
 01/01  14:00:00,645.8129784143151,223.9413368097395
 01/01  14:15:00,659.002873265942,191.31447739111806
 01/01  14:30:00,632.6179386002609,173.31856986414576
 01/01  14:45:00,633.2757385245621,151.01185676180103
 01/01  15:00:00,667.3429123558379,129.61642012114405
 01/01  15:15:00,698.3309256270344,109.17658393368863
 01/01  15:30:00,697.6453174083927,89.79402726455328
 01/01  15:45:00,679.4948306920131,70.34553775027071
 01/01  16:00:00,694.8606827810586,44.46043232165379
 01/01  16:15:00,3969.3167268883135,25.510160304075875
 01/01  16:30:00,3313.91783879217,9.120299162866775
 01/01  16:45:00,2924.961460707724,0.0
 01/01  17:00:00,2963.0424256121373,0.0
 01/01  17:15:00,8136.224000752994,0.0
 01/01  17:30:00,6909.159591220494,0.0
 01/01  17:45:00,3796.840129701128,0.0
 01/01  18:00:00,3220.8637718990917,0.0
 01/01  18:15:00,2987.43407171769,0.0
 01/01  18:30:00,4543.124418083833,0.0
 01/01  18:45:00,6246.578964993057,0.0
 01/01  19:00:00,6188.561276785955,0.0
 01/01  19:15:00,4912.745750225711,0.0
 01/01  19:30:00,4333.744436709296,0.0
 01/01  19:45:00,2843.910508175458,0.0
 01/01  20:00:00,2907.8855223448545,0.0
 01/01  20:15:00,2932.589885987063,0.0
 01/01  20:30:00,2915.000747955893,0.0
 01/01  20:45:00,2933.3750034646628,0.0
 01/01  21:00:00,2962.324739489654,0.0
 01/01  21:15:00,2958.232217800505,0.0
 01/01  21:30:00,2918.977898820843,0.0
 01/01  21:45:00,2918.716253715526,0.0
 01/01  22:00:00,2958.643872064591,0.0
 01/01  22:15:00,2964.7390444350203,0.0
 01/01  22:30:00,2938.028522308884,0.0
 01/01  22:45:00,2919.6890528002164,0.0
 01/01  23:00:00,2935.625805091988,0.0
 01/01  23:15:00,568.9916900536324,0.0
 01/01  23:30:00,467.7147064372006,0.0
 01/01  23:45:00,480.97890072653183,0.0
 01/01  24:00:00,528.2452298484291,0.0
 01/02  00:15:00,1370.8786739250795,0.0
 01/02  00:30:00,573.5028647706811,0.0
 01/02  00:45:00,735.6640135609593,0.0
 01/02  01:00:00,572.426839978127,0.0
 01/02  01:15:00,623.2278171053563,0.0
 01/02  01:30:00,672.541270128126,0.0
 01/02  01:45:00,672.1543026255357,0.0
 01/02  02:00:00,645.040095546527,0.0
 01/02  02:15:00,651.1576491571125,0.0
 01/02  02:30:00,700.1182198875564,0.0
 01/02  02:45:00,708.3363626420303,0.0
 01/02  03:00:00,683.3606861447151,0.0
 01/02  03:15:00,677.2874752999638,0.0
 01/02  03:30:00,711.0889450334444,0.0
 01/02  03:45:00,729.4557536664379,0.0
 01/02  04:00:00,729.8269742293583,0.0
 01/02  04:15:00,718.607627722952,0.0
 01/02  04:30:00,739.7240788735165,0.0
 01/02  04:45:00,743.7603647590983,0.0
 01/02  05:00:00,752.4804942483871,0.0
 01/02  05:15:00,753.6187090044423,0.0
 01/02  05:30:00,754.4228402802703,0.0
 01/02  05:45:00,761.0736067176769,0.0
 01/02  06:00:00,781.2711342919732,0.0
 01/02  06:15:00,790.4560742324784,0.0
 01/02  06:30:00,1010.2250953846252,0.0
 01/02  06:45:00,761.5448311202856,0.0
 01/02  07:00:00,792.18110606019,0.0
 01/02  07:15:00,852.7820323754513,0.0
 01/02  07:30:00,827.4027334711396,0.0
 01/02  07:45:00,843.9238208374824,0.0
 01/02  08:00:00,856.1843214778982,0.0
 01/02  08:15:00,870.8838010931705,0.0
 01/02  08:30:00,882.0592344853661,0.0
 01/02  08:45:00,3358.2810608272807,0.0
 01/02  09:00:00,4207.563305998445,3.152308204607413
 01/02  09:15:00,2214.919575964802,4.732031620374486
 01/02  09:30:00,2345.3520812888614,6.06667627975796
 01/02  09:45:00,2364.879460817763,7.391722011821698
 01/02  10:00:00,4381.519429817098,8.717194861710743
 01/02  10:15:00,2843.4692111607465,10.040689217007634
 01/02  10:30:00,2884.27980109369,11.363623764796063
 01/02  10:45:00,2879.193799449225,15.263149651738349
 01/02  11:00:00,2857.011084524019,19.21601968507291
 01/02  11:15:00,7948.24148460912,23.215954297343444
 01/02  11:30:00,6804.426383195591,27.249935897368285
 01/02  11:45:00,3636.921411101328,24.827416652661437
 01/02  12:00:00,2911.9055898134898,22.374375372850754
 01/02  12:15:00,475.0624675543505,19.88183538983543
 01/02  12:30:00,571.9642081273843,17.369342789165056
 01/02  12:45:00,665.813562384547,26.712875209448185
 01/02  13:00:00,725.2622011202052,36.03340680009161
 01/02  13:15:00,737.5791433165458,45.34882313352246
 01/02  13:30:00,726.1900031253216,56.487273616561986
 01/02  13:45:00,769.2936885572625,75.02744185514442
 01/02  14:00:00,783.4731191746208,86.39635645558364
 01/02  14:15:00,782.0229721747324,109.17214142377009
 01/02  14:30:00,742.3500254251034,118.94469678086296
 01/02  14:45:00,752.7298712317104,104.05709873698225
 01/02  15:00:00,767.5237616401089,89.6420148070006
 01/02  15:15:00,800.8556337597779,75.61862220950366
 01/02  15:30:00,799.1041132644852,62.021772926269165
 01/02  15:45:00,817.6411643935527,47.86087736784299
 01/02  16:00:00,879.7585812072188,34.31232603927683
 01/02  16:15:00,4013.6614010164394,16.385800789069403
 01/02  16:30:00,3410.187083941115,6.1889275463924
 01/02  16:45:00,3023.101250795249,0.0
 01/02  17:00:00,3062.0491370953123,0.0
 01/02  17:15:00,8138.54872513621,0.0
 01/02  17:30:00,7145.248728605307,0.0
 01/02  17:45:00,3925.045631816113,0.0
 01/02  18:00:00,3326.025008030386,0.0
 01/02  18:15:00,3095.6579772410028,0.0
