Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,1920.88312014656,0.0
 01/01  00:30:00,1921.1394203759344,0.0
 01/01  00:45:00,1910.9951231778384,0.0
 01/01  01:00:00,1894.4866417020476,0.0
 01/01  01:15:00,1904.0897905657407,0.0
 01/01  01:30:00,1916.9676772261848,0.0
 01/01  01:45:00,1920.215023551743,0.0
 01/01  02:00:00,1920.9666812595324,0.0
 01/01  02:15:00,1932.987359231524,0.0
 01/01  02:30:00,1955.4130845066911,0.0
 01/01  02:45:00,1964.6512172114467,0.0
 01/01  03:00:00,1969.659583366863,0.0
 01/01  03:15:00,1979.5853188875165,0.0
 01/01  03:30:00,1997.1418209691612,0.0
 01/01  03:45:00,2014.42044885302,0.0
 01/01  04:00:00,2023.5758074125044,0.0
 01/01  04:15:00,2026.4225704228552,0.0
 01/01  04:30:00,2039.057602122845,0.0
 01/01  04:45:00,2060.124477322826,0.0
 01/01  05:00:00,2069.573936615415,0.0
 01/01  05:15:00,2079.245816000153,0.0
 01/01  05:30:00,2090.826321519792,0.0
 01/01  05:45:00,2111.428029749484,0.0
 01/01  06:00:00,2133.663727266124,0.0
 01/01  06:15:00,2147.396305616153,0.0
 01/01  06:30:00,2208.796939203261,0.0
 01/01  06:45:00,2154.5507468719443,0.0
 01/01  07:00:00,2177.3901078544022,0.0
 01/01  07:15:00,2161.8412937741973,0.0
 01/01  07:30:00,2169.300661717052,0.0
 01/01  07:45:00,2167.102754888544,0.0
 01/01  08:00:00,2176.4594567841805,0.0
 01/01  08:15:00,2196.380830604976,0.0
 01/01  08:30:00,2211.113328227081,0.0
 01/01  08:45:00,4221.752751185209,0.0
 01/01  09:00:00,4955.805916428972,16.747775494916624
 01/01  09:15:00,3053.454065467975,25.75357330262844
 01/01  09:30:00,3238.4246938250026,45.44458750119892
 01/01  09:45:00,3242.08209267636,81.92806217112815
 01/01  10:00:00,4934.814371772398,120.66463244660834
 01/01  10:15:00,3371.529370279672,151.4876555072138
 01/01  10:30:00,3424.3326945626964,184.54734634622866
 01/01  10:45:00,3438.8088932866262,211.93034935680905
 01/01  11:00:00,3425.504501580827,240.48627685093354
 01/01  11:15:00,7958.871587939446,269.5824291326426
 01/01  11:30:00,7921.629711378463,298.9816581586143
 01/01  11:45:00,4506.461348605002,308.913314825639
 01/01  12:00:00,3467.3079346900718,318.4542846985922
 01/01  12:15:00,1107.0098969855717,326.7881050715807
 01/01  12:30:00,1287.7643083532594,334.2926696877909
 01/01  12:45:00,1375.5893311058358,311.89787501109066
 01/01  13:00:00,1490.767490250494,289.4713836190826
 01/01  13:15:00,1770.6582274823688,251.07264071985878
 01/01  13:30:00,1762.591416722099,229.2188674915726
 01/01  13:45:00,1794.2204125052583,204.20241811461736
 01/01  14:00:00,1820.680994495566,165.67476534192824
 01/01  14:15:00,1839.1508970354091,143.35582286137216
 01/01  14:30:00,1852.7253691278308,121.63807129910015
 01/01  14:45:00,1878.9825925907396,99.28486216791575
 01/01  15:00:00,1920.1164806404345,77.52490738016117
 01/01  15:15:00,1959.1219903149624,50.14738948760161
 01/01  15:30:00,1990.316937572743,31.55883376059731
 01/01  15:45:00,2012.2262239854413,23.404005530752983
 01/01  16:00:00,2039.2529202826129,16.619333908557362
 01/01  16:15:00,4269.449425193765,9.838681455734717
 01/01  16:30:00,3906.855801328483,3.2033309853564464
 01/01  16:45:00,3534.645981379245,0.0
 01/01  17:00:00,3644.692576800194,0.0
 01/01  17:15:00,8148.768766586036,0.0
 01/01  17:30:00,8129.745459999347,0.0
 01/01  17:45:00,4761.423406333116,0.0
 01/01  18:00:00,3849.766213198796,0.0
 01/01  18:15:00,3611.255593797615,0.0
 01/01  18:30:00,5146.92610212984,0.0
 01/01  18:45:00,6838.595676139603,0.0
 01/01  19:00:00,6795.9991731251175,0.0
 01/01  19:15:00,5533.593430125862,0.0
 01/01  19:30:00,4957.156852008994,0.0
 01/01  19:45:00,3490.6596386887354,0.0
 01/01  20:00:00,3556.990429709841,0.0
 01/01  20:15:00,3580.745648954676,0.0
 01/01  20:30:00,3563.725382736744,0.0
 01/01  20:45:00,3582.4498602904146,0.0
 01/01  21:00:00,3611.8686015158655,0.0
 01/01  21:15:00,3608.024062177376,0.0
 01/01  21:30:00,3569.2994404383703,0.0
 01/01  21:45:00,3570.0957365513777,0.0
 01/01  22:00:00,3611.067672397899,0.0
 01/01  22:15:00,3621.4242630352655,0.0
 01/01  22:30:00,3599.8651959511435,0.0
 01/01  22:45:00,3610.1639945739066,0.0
 01/01  23:00:00,3631.9838082492074,0.0
 01/01  23:15:00,1376.3703783283536,0.0
 01/01  23:30:00,1540.3950331440317,0.0
 01/01  23:45:00,1693.1420100061114,0.0
 01/01  24:00:00,1875.8141868518533,0.0
 01/02  00:15:00,2551.711590457106,0.0
 01/02  00:30:00,1922.3740374042573,0.0
 01/02  00:45:00,2075.5924070868027,0.0
 01/02  01:00:00,2011.5426618455783,0.0
 01/02  01:15:00,2039.711222827156,0.0
 01/02  01:30:00,2068.0108565923506,0.0
 01/02  01:45:00,2074.687862447048,0.0
 01/02  02:00:00,2075.7970201116104,0.0
 01/02  02:15:00,2091.6353456028714,0.0
 01/02  02:30:00,2115.6645642347094,0.0
 01/02  02:45:00,2129.3043459922965,0.0
 01/02  03:00:00,2135.862639202731,0.0
 01/02  03:15:00,2143.8295569558795,0.0
 01/02  03:30:00,2159.69750953022,0.0
 01/02  03:45:00,2173.6850062163207,0.0
 01/02  04:00:00,2180.1226547375177,0.0
 01/02  04:15:00,2181.41598949546,0.0
 01/02  04:30:00,2193.100311121422,0.0
 01/02  04:45:00,2211.95304633392,0.0
 01/02  05:00:00,2221.127296063134,0.0
 01/02  05:15:00,2225.797247650491,0.0
 01/02  05:30:00,2232.9976455451,0.0
 01/02  05:45:00,2250.1958473204904,0.0
 01/02  06:00:00,2264.94479110302,0.0
