Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,1578.5471946807263,0.0
 01/01  00:30:00,1609.973701714467,0.0
 01/01  00:45:00,1653.5813972093883,0.0
 01/01  01:00:00,1680.3117867391788,0.0
 01/01  01:15:00,1694.997731733763,0.0
 01/01  01:30:00,1703.801539831876,0.0
 01/01  01:45:00,1704.3143250283051,0.0
 01/01  02:00:00,1698.1381938982772,0.0
 01/01  02:15:00,1707.906284568023,0.0
 01/01  02:30:00,1724.2230686620262,0.0
 01/01  02:45:00,1730.01222623741,0.0
 01/01  03:00:00,1728.4673415981526,0.0
 01/01  03:15:00,1733.9627521085938,0.0
 01/01  03:30:00,1746.980299330622,0.0
 01/01  03:45:00,1759.939673113579,0.0
 01/01  04:00:00,1763.5712313036,0.0
 01/01  04:15:00,1760.4974890440196,0.0
 01/01  04:30:00,1768.04597684683,0.0
 01/01  04:45:00,1783.0660731850028,0.0
 01/01  05:00:00,1786.8528026082283,0.0
 01/01  05:15:00,1781.5612975916456,0.0
 01/01  05:30:00,1779.5606572407105,0.0
 01/01  05:45:00,1785.629666039241,0.0
 01/01  06:00:00,1792.548170283541,0.0
 01/01  06:15:00,1803.152514379813,0.0
 01/01  06:30:00,1867.4304433892928,0.0
 01/01  06:45:00,1792.772264003535,0.0
 01/01  07:00:00,1822.730455078064,0.0
 01/01  07:15:00,1807.896972511331,0.0
 01/01  07:30:00,1811.959838910604,0.0
 01/01  07:45:00,1808.648432844643,0.0
 01/01  08:00:00,1818.2375396323728,0.0
 01/01  08:15:00,1830.3674068239168,0.0
 01/01  08:30:00,1834.5075942950375,0.0
 01/01  08:45:00,3938.2537279479047,0.0
 01/01  09:00:00,4748.446145431459,4.751836143449293
 01/01  09:15:00,2777.132899309953,7.123591981823001
 01/01  09:30:00,2944.8750890246783,9.15149961935735
 01/01  09:45:00,2943.858722984912,12.200179157079464
 01/01  10:00:00,4758.572925466146,15.247293994058095
 01/01  10:15:00,3189.5603658565497,18.28677346057347
 01/01  10:30:00,3237.8831561891184,21.322930304919993
 01/01  10:45:00,3249.7726560189258,23.207364194146802
 01/01  11:00:00,3234.0957489731704,25.090677493319024
 01/01  11:15:00,7953.8533727881,26.98567606082375
 01/01  11:30:00,7604.73129220434,28.880396696069706
 01/01  11:45:00,4108.938070867148,28.674350946731415
 01/01  12:00:00,3257.967681120631,28.471141973902505
 01/01  12:15:00,900.9490434166264,28.275833168138554
 01/01  12:30:00,1110.1138489773314,28.08103499881409
 01/01  12:45:00,1265.0810269360736,26.743520600828482
 01/01  13:00:00,1489.38425785622,25.407791385344808
 01/01  13:15:00,1673.5143667648508,24.078400560790104
 01/01  13:30:00,1727.1279800688992,22.749054809707527
 01/01  13:45:00,1743.904076025745,20.84905345126973
 01/01  14:00:00,1770.4293724361578,18.949672829241347
 01/01  14:15:00,1781.6028010011892,17.050463123436284
 01/01  14:30:00,1783.6728007387842,15.151701314612033
 01/01  14:45:00,1793.6673432127116,13.253510167489416
 01/01  15:00:00,1813.2091857668977,11.356033141766057
 01/01  15:15:00,1826.6309204200732,9.460984799292218
 01/01  15:30:00,1836.402542852755,7.566377688065566
 01/01  15:45:00,1841.4391726341912,6.241070209190313
 01/01  16:00:00,1853.9507193615564,4.916009207209271
 01/01  16:15:00,4161.166176085354,3.591080027209943
 01/01  16:30:00,3759.1616701139938,2.2668413678835395
 01/01  16:45:00,3387.626889531411,0.0
 01/01  17:00:00,3424.411638043577,0.0
 01/01  17:15:00,8144.129058859999,0.0
 01/01  17:30:00,7933.834599582138,0.0
 01/01  17:45:00,4394.527617545068,0.0
 01/01  18:00:00,3660.8618096744735,0.0
 01/01  18:15:00,3465.2242995686493,0.0
 01/01  18:30:00,4991.063078403584,0.0
 01/01  18:45:00,6693.161681787632,0.0
 01/01  19:00:00,6640.28105474812,0.0
 01/01  19:15:00,5366.765473619825,0.0
 01/01  19:30:00,4788.471631528677,0.0
 01/01  19:45:00,3315.626784642769,0.0
 01/01  20:00:00,3383.0986881605554,0.0
 01/01  20:15:00,3407.563984491607,0.0
 01/01  20:30:00,3390.9802350842483,0.0
 01/01  20:45:00,3411.000879372699,0.0
 01/01  21:00:00,3441.28640312071,0.0
 01/01  21:15:00,3436.360134009918,0.0
 01/01  21:30:00,3396.156006067108,0.0
 01/01  21:45:00,3396.179235058916,0.0
 01/01  22:00:00,3435.1293779896714,0.0
 01/01  22:15:00,3443.80744192498,0.0
 01/01  22:30:00,3419.4870302211657,0.0
 01/01  22:45:00,3404.136607141276,0.0
 01/01  23:00:00,3421.6443818180687,0.0
 01/01  23:15:00,1090.3313262182974,0.0
 01/01  23:30:00,1082.6899513992837,0.0
 01/01  23:45:00,1223.925922564587,0.0
 01/01  24:00:00,1440.259536948799,0.0
 01/02  00:15:00,2244.987383477616,0.0
 01/02  00:30:00,1500.7878444164044,0.0
 01/02  00:45:00,1673.9967366147025,0.0
 01/02  01:00:00,1605.585332871172,0.0
 01/02  01:15:00,1632.7563227919268,0.0
 01/02  01:30:00,1667.9807915657627,0.0
 01/02  01:45:00,1679.0627578819067,0.0
 01/02  02:00:00,1683.4566496446437,0.0
 01/02  02:15:00,1696.1633372592505,0.0
 01/02  02:30:00,1716.9740864869857,0.0
 01/02  02:45:00,1725.03664802142,0.0
 01/02  03:00:00,1726.5718686948314,0.0
 01/02  03:15:00,1732.0904498241923,0.0
 01/02  03:30:00,1744.1123380210383,0.0
 01/02  03:45:00,1755.9210366515374,0.0
 01/02  04:00:00,1758.3155549406474,0.0
 01/02  04:15:00,1757.6704587245438,0.0
 01/02  04:30:00,1769.662074813369,0.0
 01/02  04:45:00,1786.877165532663,0.0
 01/02  05:00:00,1794.8462275686752,0.0
 01/02  05:15:00,1797.1918795459296,0.0
 01/02  05:30:00,1803.5608283154809,0.0
 01/02  05:45:00,1816.3700595067448,0.0
 01/02  06:00:00,1832.127569543762,0.0
 01/02  06:15:00,1843.570091985722,0.0
 01/02  06:30:00,1902.025727339273,0.0
 01/02  06:45:00,1842.348141723566,0.0
 01/02  07:00:00,1865.168734013561,0.0
 01/02  07:15:00,1853.231116754608,0.0
 01/02  07:30:00,1857.9214134791407,0.0
 01/02  07:45:00,1854.447663894927,0.0
 01/02  08:00:00,1864.6529958471936,0.0
 01/02  08:15:00,1869.092939847968,0.0
 01/02  08:30:00,1864.446680649871,0.0
 01/02  08:45:00,3957.939421351695,0.0
 01/02  09:00:00,4758.306687602892,5.958014645815183
 01/02  09:15:00,2784.395121321344,8.933403324603473
 01/02  09:30:00,2951.1430068382183,11.492640834389928
 01/02  09:45:00,2950.476219189318,14.54510975825615
 01/02  10:00:00,4762.0915185179065,17.59480843871506
 01/02  10:15:00,3199.2017511770828,20.6359945335054
 01/02  10:30:00,3246.7623556146905,23.67315799031608
 01/02  10:45:00,3257.2801641662686,29.780269421735042
 01/02  11:00:00,3240.276524912472,36.01024625112286
 01/02  11:15:00,7953.851274507371,43.330505939270175
 01/02  11:30:00,7594.959272512408,50.82701995609716
 01/02  11:45:00,4095.639966880657,61.91569883709812
 01/02  12:00:00,3238.766797320663,73.3612522491091
 01/02  12:15:00,863.2208461348182,85.22335545508702
 01/02  12:30:00,1017.5521793718503,97.49018499999904
 01/02  12:45:00,1151.7198623446309,110.66782129813262
 01/02  13:00:00,1356.6595893738372,113.27302122510213
 01/02  13:15:00,1519.213606609564,116.15915604410094
 01/02  13:30:00,1575.312963015332,119.20399086029066
 01/02  13:45:00,1575.8662650050724,107.10549635491417
 01/02  14:00:00,1604.1233241796783,95.4295038313644
 01/02  14:15:00,1616.7367741644268,84.13076404827542
 01/02  14:30:00,1634.2300913069807,65.66938004192625
 01/02  14:45:00,1653.354630072218,56.16685870620236
 01/02  15:00:00,1676.995337074418,46.90195042965957
 01/02  15:15:00,1700.3613702439152,37.902609858273365
 01/02  15:30:00,1719.9832947504976,29.147962907349893
 01/02  15:45:00,1732.2417664490351,22.679182407128096
 01/02  16:00:00,1753.6506110490764,16.613440084816506
 01/02  16:15:00,4145.6382429114565,10.559801531098586
 01/02  16:30:00,3717.865258699184,4.540718829385896
 01/02  16:45:00,3346.5673725905067,0.0
 01/02  17:00:00,3382.894861363181,0.0
 01/02  17:15:00,8143.4784645385025,0.0
 01/02  17:30:00,7834.421544753051,0.0
 01/02  17:45:00,4319.209404319312,0.0
 01/02  18:00:00,3612.645633245597,0.0
 01/02  18:15:00,3412.9665514564736,0.0
 01/02  18:30:00,4942.238461168272,0.0
 01/02  18:45:00,6644.469949431275,0.0
 01/02  19:00:00,6592.082680888909,0.0
 01/02  19:15:00,5318.490222575392,0.0
 01/02  19:30:00,4739.352654330778,0.0
 01/02  19:45:00,3262.257463051836,0.0
 01/02  20:00:00,3330.7118085016264,0.0
 01/02  20:15:00,3354.97491055898,0.0
 01/02  20:30:00,3336.349067603933,0.0
 01/02  20:45:00,3355.0802741864227,0.0
 01/02  21:00:00,3384.047643004972,0.0
 01/02  21:15:00,3376.962797883387,0.0
 01/02  21:30:00,3333.9899689873887,0.0
 01/02  21:45:00,3330.021841172816,0.0
 01/02  22:00:00,3366.3762811821166,0.0
 01/02  22:15:00,3371.6143836251545,0.0
 01/02  22:30:00,3344.6873211961097,0.0
 01/02  22:45:00,3326.044845674874,0.0
 01/02  23:00:00,3341.510463131777,0.0
 01/02  23:15:00,969.35885094073,0.0
 01/02  23:30:00,928.4287590132676,0.0
 01/02  23:45:00,1022.7207509858316,0.0
 01/02  24:00:00,1285.1743614088723,0.0
 01/03  00:15:00,1409.9860541733792,0.0
 01/03  00:30:00,1350.8643455237786,0.0
 01/03  00:45:00,1389.4728589739002,0.0
 01/03  01:00:00,1403.1996031660012,0.0
 01/03  01:15:00,1427.5084216745208,0.0
 01/03  01:30:00,1448.6905741069793,0.0
 01/03  01:45:00,1464.5085464314293,0.0
 01/03  02:00:00,1471.4388722720405,0.0
 01/03  02:15:00,1485.446041552451,0.0
 01/03  02:30:00,1504.778730208757,0.0
 01/03  02:45:00,1516.2886871789294,0.0
 01/03  03:00:00,1519.222359357585,0.0
 01/03  03:15:00,1517.931638829558,0.0
 01/03  03:30:00,1525.2441324047636,0.0
 01/03  03:45:00,1530.9094903466448,0.0
 01/03  04:00:00,1529.9026023039671,0.0
 01/03  04:15:00,1525.9531599257627,0.0
 01/03  04:30:00,1531.1647182636489,0.0
 01/03  04:45:00,1543.2246510483783,0.0
 01/03  05:00:00,1548.0945140525062,0.0
 01/03  05:15:00,1544.8042333022172,0.0
 01/03  05:30:00,1548.7858720418271,0.0
 01/03  05:45:00,1559.2966885057006,0.0
 01/03  06:00:00,1570.1129862534804,0.0
 01/03  06:15:00,1572.8122324755384,0.0
 01/03  06:30:00,1662.460591844691,0.0
 01/03  06:45:00,1520.8463576426634,0.0
