Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,1334.8961927460757,0.0
 01/01  00:30:00,1306.0241951422486,0.0
 01/01  00:45:00,1383.4308520623658,0.0
 01/01  01:00:00,1424.930191346739,0.0
 01/01  01:15:00,1445.7954414061237,0.0
 01/01  01:30:00,1465.5119165611245,0.0
 01/01  01:45:00,1477.770198162107,0.0
 01/01  02:00:00,1483.3322390888293,0.0
 01/01  02:15:00,1492.2260089072624,0.0
 01/01  02:30:00,1509.899164042749,0.0
 01/01  02:45:00,1516.5455238196128,0.0
 01/01  03:00:00,1514.8038637052491,0.0
 01/01  03:15:00,1518.065905239754,0.0
 01/01  03:30:00,1529.417994473924,0.0
 01/01  03:45:00,1538.2811081671648,0.0
 01/01  04:00:00,1540.5702959557198,0.0
 01/01  04:15:00,1539.9723395168244,0.0
 01/01  04:30:00,1551.0062563734548,0.0
 01/01  04:45:00,1565.071017203344,0.0
 01/01  05:00:00,1573.1213981275982,0.0
 01/01  05:15:00,1577.480588683863,0.0
 01/01  05:30:00,1585.8779205985672,0.0
 01/01  05:45:00,1601.2509022071067,0.0
 01/01  06:00:00,1618.9741661167316,0.0
 01/01  06:15:00,1628.303032784472,0.0
 01/01  06:30:00,1727.821267818726,0.0
 01/01  06:45:00,1594.069014172205,0.0
 01/01  07:00:00,1662.7543746887486,0.0
 01/01  07:15:00,1625.469304336384,0.0
 01/01  07:30:00,1629.2341516779609,0.0
 01/01  07:45:00,1620.1945732997056,0.0
 01/01  08:00:00,1626.4601099531444,0.0
 01/01  08:15:00,1640.4364325731196,0.0
 01/01  08:30:00,1651.4816670917082,0.0
 01/01  08:45:00,3822.714721917338,0.0
 01/01  09:00:00,4634.451552175718,7.927997141832133
 01/01  09:15:00,2629.4422942201254,11.89018563649104
 01/01  09:30:00,2796.9186928914974,16.167176177135016
 01/01  09:45:00,2797.878533341403,22.67164863512984
 01/01  10:00:00,4680.016346737444,28.82739697005661
 01/01  10:15:00,3141.627381468321,35.02657189045924
 01/01  10:30:00,3183.113560064396,41.3259819725789
 01/01  10:45:00,3176.308221133903,48.689392258255815
 01/01  11:00:00,3150.355734075464,56.21852227710737
 01/01  11:15:00,7952.691340216966,63.96516384716989
 01/01  11:30:00,7454.940507803025,71.94696266432219
 01/01  11:45:00,3980.4538925696,70.05689959465666
 01/01  12:00:00,3173.131437146694,68.6092672762699
 01/01  12:15:00,775.3263031198908,67.47032632805065
 01/01  12:30:00,921.4898203818026,66.57172671071298
 01/01  12:45:00,1050.7275072773728,68.38806533780308
 01/01  13:00:00,1255.35371674682,70.39082768587663
 01/01  13:15:00,1394.9943685077208,72.60476277344436
 01/01  13:30:00,1490.9829451227636,75.07051226784947
 01/01  13:45:00,1475.2671289969103,61.67295467361335
 01/01  14:00:00,1514.736222232017,49.04866677738724
 01/01  14:15:00,1535.065013526755,37.77760806323596
 01/01  14:30:00,1549.5874463867497,28.060902371661655
 01/01  14:45:00,1557.8072019824754,31.17178504640059
 01/01  15:00:00,1569.1133096414949,34.123074083291485
 01/01  15:15:00,1572.4003231447614,37.44640427201784
 01/01  15:30:00,1564.420361222952,42.4589033024408
 01/01  15:45:00,1568.5532321830794,32.056120880589184
 01/01  16:00:00,1588.6357100524344,21.942739840111848
 01/01  16:15:00,4120.20466527027,13.493717761062578
 01/01  16:30:00,3659.755366033648,5.296060429050384
 01/01  16:45:00,3281.9548828706284,0.0
 01/01  17:00:00,3318.565458007747,0.0
 01/01  17:15:00,8142.543532438427,0.0
 01/01  17:30:00,7720.450861543197,0.0
 01/01  17:45:00,4228.219083255861,0.0
 01/01  18:00:00,3553.7164513591256,0.0
 01/01  18:15:00,3353.6071094024724,0.0
 01/01  18:30:00,4885.336298463931,0.0
 01/01  18:45:00,6569.321561691503,0.0
 01/01  19:00:00,6520.894031402784,0.0
 01/01  19:15:00,5256.036610926098,0.0
 01/01  19:30:00,4679.489883181609,0.0
 01/01  19:45:00,3197.96736423034,0.0
 01/01  20:00:00,3267.034676703061,0.0
 01/01  20:15:00,3289.0037794371,0.0
 01/01  20:30:00,3268.679656357765,0.0
 01/01  20:45:00,3284.656506235473,0.0
 01/01  21:00:00,3311.3686824273686,0.0
 01/01  21:15:00,3309.7025434913203,0.0
 01/01  21:30:00,3274.4547469758195,0.0
 01/01  21:45:00,3278.188695445852,0.0
 01/01  22:00:00,3322.1435330586523,0.0
 01/01  22:15:00,3329.1246542301024,0.0
 01/01  22:30:00,3303.741833052868,0.0
 01/01  22:45:00,3285.239700738152,0.0
 01/01  23:00:00,3301.71115407396,0.0
 01/01  23:15:00,922.6734866033416,0.0
 01/01  23:30:00,870.0662712607711,0.0
 01/01  23:45:00,945.935304968912,0.0
 01/01  24:00:00,1201.9576037138063,0.0
 01/02  00:15:00,1933.7550880345248,0.0
 01/02  00:30:00,1172.921819861123,0.0
 01/02  00:45:00,1343.4121115679943,0.0
 01/02  01:00:00,1274.0318737720734,0.0
 01/02  01:15:00,1302.9295990906664,0.0
 01/02  01:30:00,1338.5793837990402,0.0
 01/02  01:45:00,1347.9190810463588,0.0
 01/02  02:00:00,1348.8374825838482,0.0
 01/02  02:15:00,1360.4638129686057,0.0
 01/02  02:30:00,1378.6532039475078,0.0
 01/02  02:45:00,1383.969193046875,0.0
 01/02  03:00:00,1386.5204290036563,0.0
 01/02  03:15:00,1394.3285166198154,0.0
 01/02  03:30:00,1408.0769066900548,0.0
 01/02  03:45:00,1422.9653019682455,0.0
 01/02  04:00:00,1428.1942011384378,0.0
 01/02  04:15:00,1431.700614779298,0.0
 01/02  04:30:00,1441.4104021046935,0.0
 01/02  04:45:00,1460.3624597645253,0.0
 01/02  05:00:00,1468.3909138046072,0.0
 01/02  05:15:00,1474.2882994321903,0.0
 01/02  05:30:00,1485.6734590654469,0.0
 01/02  05:45:00,1498.642041569392,0.0
 01/02  06:00:00,1519.242057116719,0.0
 01/02  06:15:00,1526.720278158279,0.0
 01/02  06:30:00,1638.3518758022,0.0
 01/02  06:45:00,1479.807884761523,0.0
 01/02  07:00:00,1564.859910508484,0.0
 01/02  07:15:00,1528.7776162432735,0.0
 01/02  07:30:00,1542.885104365098,0.0
 01/02  07:45:00,1539.916307580698,0.0
 01/02  08:00:00,1554.9229500984989,0.0
 01/02  08:15:00,1574.5084016082876,0.0
 01/02  08:30:00,1589.666432761028,0.0
 01/02  08:45:00,3797.289361942966,0.0
 01/02  09:00:00,4607.386638800044,3.9629577475492734
 01/02  09:15:00,2595.48270376689,5.946455903166746
 01/02  09:30:00,2763.8463754278328,7.632403177823216
 01/02  09:45:00,2768.398478269536,10.68882153559023
 01/02  10:00:00,4666.457635995105,13.744629499331197
 01/02  10:15:00,3132.2344050591782,16.80309072345674
 01/02  10:30:00,3179.8331195997253,19.862532888261427
 01/02  10:45:00,3179.34434051482,22.538773667326023
 01/02  11:00:00,3159.314958371808,25.21625061053379
 01/02  11:15:00,7952.287592126183,27.891474513003608
 01/02  11:30:00,7791.973123612759,30.56685044168861
 01/02  11:45:00,4124.303872691294,31.322017668149698
 01/02  12:00:00,3200.263628914659,32.08041922112712
 01/02  12:15:00,808.9521843861644,32.82988837477732
 01/02  12:30:00,984.6167487234292,33.57901053125604
 01/02  12:45:00,1124.9323511275495,32.02867829130718
 01/02  13:00:00,1331.8021318539973,30.484033028845204
 01/02  13:15:00,1483.578202997671,28.95136266067756
 01/02  13:30:00,1580.6739524172096,27.419509897936674
 01/02  13:45:00,1572.1325697267882,26.461813218152482
 01/02  14:00:00,1600.045057710192,25.50396812747168
 01/02  14:15:00,1612.6168723896096,24.551204857071816
 01/02  14:30:00,1618.8638666325749,23.59859775968789
 01/02  14:45:00,1631.8141484630646,21.11739048494965
 01/02  15:00:00,1648.0184275578115,18.638561331500505
 01/02  15:15:00,1661.616031855594,16.16293275340953
 01/02  15:30:00,1668.5354558944264,13.687686432716399
 01/02  15:45:00,1668.168025590296,11.02233343362793
 01/02  16:00:00,1680.6777888917024,8.358266459342325
 01/02  16:15:00,4131.00086587858,5.694542430043334
 01/02  16:30:00,3685.5238434351063,3.0333584591362763
 01/02  16:45:00,3314.529775449287,0.0
 01/02  17:00:00,3353.9769505361664,0.0
 01/02  17:15:00,8143.033505170149,0.0
 01/02  17:30:00,7784.797616326134,0.0
 01/02  17:45:00,4282.831359657886,0.0
 01/02  18:00:00,3593.13023165869,0.0
 01/02  18:15:00,3392.693587129955,0.0
 01/02  18:30:00,4922.274951681469,0.0
 01/02  18:45:00,6623.881596282972,0.0
 01/02  19:00:00,6571.181856929536,0.0
 01/02  19:15:00,5296.387084492882,0.0
 01/02  19:30:00,4717.107382722238,0.0
 01/02  19:45:00,3238.166201115014,0.0
 01/02  20:00:00,3306.806734680408,0.0
 01/02  20:15:00,3329.8769939602216,0.0
 01/02  20:30:00,3310.8947940133025,0.0
 01/02  20:45:00,3328.04781872313,0.0
 01/02  21:00:00,3356.72833837144,0.0
 01/02  21:15:00,3350.057606619146,0.0
 01/02  21:30:00,3310.5781906255097,0.0
 01/02  21:45:00,3309.315340075637,0.0
 01/02  22:00:00,3347.272559449322,0.0
 01/02  22:15:00,3354.008455400444,0.0
 01/02  22:30:00,3326.007105763542,0.0
 01/02  22:45:00,3307.4833770403425,0.0
 01/02  23:00:00,3322.8069213301446,0.0
 01/02  23:15:00,950.7322768867132,0.0
 01/02  23:30:00,903.8167015627292,0.0
 01/02  23:45:00,1000.1117159607504,0.0
 01/02  24:00:00,1148.0644185882495,0.0
 01/03  00:15:00,1392.4591005686298,0.0
 01/03  00:30:00,1354.784137269517,0.0
 01/03  00:45:00,1405.8687526448248,0.0
 01/03  01:00:00,1422.430326666045,0.0
 01/03  01:15:00,1445.3123574767314,0.0
 01/03  01:30:00,1465.6141923586017,0.0
 01/03  01:45:00,1474.1506721147084,0.0
 01/03  02:00:00,1483.448222522078,0.0
 01/03  02:15:00,1494.9986049549416,0.0
 01/03  02:30:00,1517.0376635197129,0.0
 01/03  02:45:00,1526.457249851209,0.0
 01/03  03:00:00,1528.4306546913351,0.0
 01/03  03:15:00,1538.2146289610405,0.0
 01/03  03:30:00,1554.2259151224912,0.0
 01/03  03:45:00,1570.881867399185,0.0
 01/03  04:00:00,1577.6670642680165,0.0
 01/03  04:15:00,1577.3272853408484,0.0
 01/03  04:30:00,1588.767458721121,0.0
 01/03  04:45:00,1606.960875803096,0.0
 01/03  05:00:00,1614.1139805472026,0.0
 01/03  05:15:00,1615.6431751265009,0.0
 01/03  05:30:00,1622.0622698123789,0.0
 01/03  05:45:00,1633.5959124022088,0.0
 01/03  06:00:00,1648.2623890985476,0.0
 01/03  06:15:00,1656.3995940493912,0.0
 01/03  06:30:00,1749.0590199803007,0.0
 01/03  06:45:00,1620.2215109294584,0.0
 01/03  07:00:00,1682.1002453041986,0.0
 01/03  07:15:00,1652.308067276726,0.0
 01/03  07:30:00,1656.6066140024566,0.0
 01/03  07:45:00,1651.1757771235025,0.0
 01/03  08:00:00,1661.1719630054183,0.0
 01/03  08:15:00,1676.2779130956153,0.0
 01/03  08:30:00,1681.546299548769,0.0
 01/03  08:45:00,3839.46329608447,0.0
 01/03  09:00:00,4657.142398608527,3.1661728134196583
 01/03  09:15:00,2662.6783829870424,4.74907685360923
 01/03  09:30:00,2833.7615423563893,6.089618059932622
 01/03  09:45:00,2840.084977924014,8.75917914796225
 01/03  10:00:00,4706.084735001581,11.429782520234244
 01/03  10:15:00,3176.659025177883,14.10352801348912
 01/03  10:30:00,3223.868399503409,16.7791276054012
 01/03  10:45:00,3224.140491881599,18.881544061137877
 01/03  11:00:00,3205.6620255925072,20.985501587687267
 01/03  11:15:00,7952.936336629393,23.089366154179448
 01/03  11:30:00,7877.548356294305,25.193977497199942
 01/03  11:45:00,4199.633676357375,26.148604454804257
 01/03  12:00:00,3246.39803619166,27.104367449118698
 01/03  12:15:00,880.6510301281758,28.062635555665125
 01/03  12:30:00,1090.9215260881874,29.021194608014657
 01/03  12:45:00,1247.971455303109,28.637523103146123
 01/03  13:00:00,1468.6302011844489,28.255102917782615
 01/03  13:15:00,1629.2006123239012,27.870237894108886
 01/03  13:30:00,1700.3373926149116,27.485497054753548
 01/03  13:45:00,1703.4985987588304,26.909290208007647
 01/03  14:00:00,1728.2807591134251,26.33359739364194
 01/03  14:15:00,1732.2326723482631,25.758800743923015
 01/03  14:30:00,1729.5034864830493,25.18515557615195
 01/03  14:45:00,1734.626208964558,22.696157227856336
 01/03  15:00:00,1746.726361943203,20.210749698314615
 01/03  15:15:00,1757.139123652005,17.722662842405345
 01/03  15:30:00,1764.9979653595844,15.23689063173404
 01/03  15:45:00,1763.8378995222365,11.988824393652678
 01/03  16:00:00,1776.6325449993565,8.745066566763851
 01/03  16:15:00,4148.615190468528,5.5067081491503735
 01/03  16:30:00,3727.46260418633,2.274282580752847
 01/03  16:45:00,3355.5672009787068,0.0
 01/03  17:00:00,3392.1624842949905,0.0
 01/03  17:15:00,8143.563885761644,0.0
 01/03  17:30:00,7848.914673874931,0.0
 01/03  17:45:00,4335.098297023413,0.0
 01/03  18:00:00,3624.419336084789,0.0
 01/03  18:15:00,3425.094864921053,0.0
 01/03  18:30:00,4952.599343346639,0.0
 01/03  18:45:00,6654.520082496779,0.0
 01/03  19:00:00,6601.441685176127,0.0
 01/03  19:15:00,5326.749550809805,0.0
 01/03  19:30:00,4746.927228210057,0.0
 01/03  19:45:00,3269.8721069805606,0.0
 01/03  20:00:00,3337.3099888968472,0.0
 01/03  20:15:00,3359.799775278768,0.0
 01/03  20:30:00,3340.5482759013485,0.0
 01/03  20:45:00,3357.3429055434767,0.0
 01/03  21:00:00,3385.2092750704046,0.0
 01/03  21:15:00,3377.9851158042584,0.0
 01/03  21:30:00,3338.986960949834,0.0
 01/03  21:45:00,3335.609116371757,0.0
 01/03  22:00:00,3374.205749507919,0.0
 01/03  22:15:00,3379.386253031606,0.0
 01/03  22:30:00,3351.380612598081,0.0
 01/03  22:45:00,3333.1410034256915,0.0
 01/03  23:00:00,3347.171943486496,0.0
 01/03  23:15:00,981.9469762979004,0.0
 01/03  23:30:00,944.9560552835292,0.0
 01/03  23:45:00,1042.6614984721464,0.0
 01/03  24:00:00,1209.158189201965,0.0
 01/04  00:15:00,3026.6408812553973,0.0
 01/04  00:30:00,2249.34222767478,0.0
 01/04  00:45:00,2490.542559700808,0.0
 01/04  01:00:00,1182.0602565483791,0.0
 01/04  01:15:00,1270.5236665819248,0.0
 01/04  01:30:00,1335.7817626879091,0.0
 01/04  01:45:00,1399.1578775702797,0.0
 01/04  02:00:00,1449.8134113917638,0.0
 01/04  02:15:00,1446.2907071584932,0.0
 01/04  02:30:00,1479.9489657113156,0.0
 01/04  02:45:00,1491.946209754048,0.0
 01/04  03:00:00,1495.3989704527462,0.0
 01/04  03:15:00,1506.3767703026135,0.0
 01/04  03:30:00,1521.8911090893098,0.0
 01/04  03:45:00,1536.1548168214167,0.0
 01/04  04:00:00,1543.957801123771,0.0
 01/04  04:15:00,1544.1564287993822,0.0
 01/04  04:30:00,1554.6384646748822,0.0
 01/04  04:45:00,1574.4265829703518,0.0
 01/04  05:00:00,1580.8451158154903,0.0
 01/04  05:15:00,1583.9415865794986,0.0
 01/04  05:30:00,1588.5517869824473,0.0
 01/04  05:45:00,1602.3788947722028,0.0
 01/04  06:00:00,1615.2639328461437,0.0
 01/04  06:15:00,1620.2496392626535,0.0
 01/04  06:30:00,1723.5330972697252,0.0
 01/04  06:45:00,1555.4812594615098,0.0
 01/04  07:00:00,1635.5977414597746,0.0
 01/04  07:15:00,1591.6816797710096,0.0
 01/04  07:30:00,1599.856542633559,0.0
 01/04  07:45:00,1591.0771736076058,0.0
 01/04  08:00:00,1597.5199960617726,0.0
 01/04  08:15:00,1611.032313585024,0.0
 01/04  08:30:00,1620.1580318997565,0.0
 01/04  08:45:00,3796.806547984647,0.0
 01/04  09:00:00,4622.499709656289,2.7613042305738276
 01/04  09:15:00,2619.943715089043,4.1433895568136245
 01/04  09:30:00,2790.041420636563,5.310191292026907
 01/04  09:45:00,2795.6630705820403,7.971665625157245
 01/04  10:00:00,4684.285660916565,10.634485180861997
 01/04  10:15:00,3153.979745778608,13.296260509622734
 01/04  10:30:00,3201.470136956207,15.958748451530651
 01/04  10:45:00,3201.40970608701,16.332714484312394
 01/04  11:00:00,3183.294167797944,16.70938044559567
 01/04  11:15:00,7952.604879158257,17.088740725753436
 01/04  11:30:00,7838.021617792989,17.46863845085764
 01/04  11:45:00,4167.626800519708,19.944715929788437
