Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,90.98,0.0
 01/01  00:30:00,143.4208893234097,0.0
 01/01  00:45:00,109.6732238318899,0.0
 01/01  01:00:00,97.39159052783614,0.0
 01/01  01:15:00,66.44666666666666,0.0
 01/01  01:30:00,143.41207274351711,0.0
 01/01  01:45:00,134.20151381282267,0.0
 01/01  02:00:00,44.97999999999999,0.0
 01/01  02:15:00,97.42082004677069,0.0
 01/01  02:30:00,140.34251042296853,0.0
 01/01  02:45:00,143.39729256695978,0.0
 01/01  03:00:00,60.313333333333325,0.0
 01/01  03:15:00,97.41532997455916,0.0
 01/01  03:30:00,115.80382701456963,0.0
 01/01  03:45:00,143.39213018520678,0.0
 01/01  04:00:00,84.84666666666666,0.0
 01/01  04:15:00,97.41139857344302,0.0
 01/01  04:30:00,97.40081975206644,0.0
 01/01  04:45:00,137.25683163616753,0.0
 01/01  05:00:00,90.98,0.0
 01/01  05:15:00,115.8125689976738,0.0
 01/01  05:30:00,97.40396183003756,0.0
 01/01  05:45:00,60.313333333333325,0.0
 01/01  06:00:00,143.4290142767761,0.0
 01/01  06:15:00,159.02028027759116,0.0
 01/01  06:30:00,377.41156819697153,0.0
 01/01  06:45:00,143.40288287367005,0.0
 01/01  07:00:00,90.98,0.0
 01/01  07:15:00,143.4271993605617,0.0
 01/01  07:30:00,143.4183162865296,0.0
 01/01  07:45:00,97.40939233211448,0.0
 01/01  08:00:00,44.97999999999999,0.0
 01/01  08:15:00,131.166132742381,0.0
 01/01  08:30:00,143.42344223230467,0.0
 01/01  08:45:00,2180.639102024972,0.0
 01/01  09:00:00,3532.4572237157904,14.325133455706023
 01/01  09:15:00,1682.4025229602069,22.404212439270697
 01/01  09:30:00,1734.0105193729803,44.050145731059985
 01/01  09:45:00,1725.244886184863,72.75019156630148
 01/01  10:00:00,3552.21226467352,112.20130516665752
 01/01  10:15:00,2144.236769079588,144.16816668661517
 01/01  10:30:00,2161.0419996612545,178.5810358892458
 01/01  10:45:00,2161.553750541728,230.773550903518
 01/01  11:00:00,2140.01345078696,269.0191147103817
 01/01  11:15:00,7939.131679707521,308.61964170953
 01/01  11:30:00,5761.304339345761,348.9397194074342
 01/01  11:45:00,2823.531224002986,370.2398725420194
