Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,2241.742142929937,0.0
 01/01  00:30:00,2268.395505995478,0.0
 01/01  00:45:00,2239.052541479232,0.0
 01/01  01:00:00,2217.605981830864,0.0
 01/01  01:15:00,2229.41897033675,0.0
 01/01  01:30:00,2241.2358850258947,0.0
 01/01  01:45:00,2247.2503647000844,0.0
 01/01  02:00:00,2246.457223312117,0.0
 01/01  02:15:00,2271.6947873092995,0.0
 01/01  02:30:00,2306.592427929465,0.0
 01/01  02:45:00,2331.7571352271607,0.0
 01/01  03:00:00,2350.0917332649706,0.0
 01/01  03:15:00,2358.8472904433543,0.0
 01/01  03:30:00,2372.265181239343,0.0
 01/01  03:45:00,2385.379733765601,0.0
 01/01  04:00:00,2391.7999345826984,0.0
 01/01  04:15:00,2382.4846513659704,0.0
 01/01  04:30:00,2385.723439756688,0.0
 01/01  04:45:00,2395.166893498463,0.0
 01/01  05:00:00,2395.4617930675945,0.0
 01/01  05:15:00,2393.1501618431957,0.0
 01/01  05:30:00,2393.230323497233,0.0
 01/01  05:45:00,2402.648291392047,0.0
 01/01  06:00:00,2412.871413576677,0.0
 01/01  06:15:00,2419.2197468986,0.0
 01/01  06:30:00,2473.0287857622143,0.0
 01/01  06:45:00,2412.8025038361693,0.0
 01/01  07:00:00,2426.484613187683,0.0
 01/01  07:15:00,2406.71156856942,0.0
 01/01  07:30:00,2408.853312258444,0.0
 01/01  07:45:00,2402.0099644037164,0.0
 01/01  08:00:00,2407.899728278565,0.0
 01/01  08:15:00,2421.571396350712,0.0
 01/01  08:30:00,2430.541109842641,0.0
 01/01  08:45:00,4395.228264198635,0.0
 01/01  09:00:00,5119.123826689891,3.930252759238046
 01/01  09:15:00,3245.684877719317,5.900866630037497
 01/01  09:30:00,3441.3394996424395,7.615845877957708
 01/01  09:45:00,3458.7841499211595,10.158103365033433
 01/01  10:00:00,5019.2048841909145,12.701542305184125
 01/01  10:15:00,3488.5085742447254,15.25864330161822
 01/01  10:30:00,3546.4135135718043,17.82156466854866
