Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,940.5432074610388,0.0
 01/01  00:30:00,868.9208504149383,0.0
 01/01  00:45:00,909.0144844931788,0.0
 01/01  01:00:00,950.4038653276716,0.0
 01/01  01:15:00,977.6191549515302,0.0
 01/01  01:30:00,1006.0558071644676,0.0
 01/01  01:45:00,1027.5948175640042,0.0
 01/01  02:00:00,1044.009008641176,0.0
 01/01  02:15:00,1065.6465517981142,0.0
 01/01  02:30:00,1095.8927842201515,0.0
 01/01  02:45:00,1115.8609471504888,0.0
 01/01  03:00:00,1130.4150319941232,0.0
 01/01  03:15:00,1146.6202607918128,0.0
 01/01  03:30:00,1166.2994857960898,0.0
 01/01  03:45:00,1188.231873453244,0.0
 01/01  04:00:00,1202.421200118721,0.0
 01/01  04:15:00,1215.3331308183458,0.0
 01/01  04:30:00,1236.1844050659415,0.0
 01/01  04:45:00,1261.9190635924838,0.0
 01/01  05:00:00,1282.886883817429,0.0
 01/01  05:15:00,1287.3121743094812,0.0
 01/01  05:30:00,1297.2511210220853,0.0
 01/01  05:45:00,1313.4827000742966,0.0
 01/01  06:00:00,1328.4528950207316,0.0
 01/01  06:15:00,1341.9843622629248,0.0
 01/01  06:30:00,1495.4043731739696,0.0
 01/01  06:45:00,1267.2311977149302,0.0
 01/01  07:00:00,1400.702136665631,0.0
 01/01  07:15:00,1357.2433342113768,0.0
 01/01  07:30:00,1376.567821907336,0.0
 01/01  07:45:00,1382.3361536878947,0.0
 01/01  08:00:00,1395.2127538171696,0.0
 01/01  08:15:00,1407.911199244753,0.0
 01/01  08:30:00,1415.1180787114045,0.0
 01/01  08:45:00,3685.704808232378,0.0
 01/01  09:00:00,4487.650215429576,18.744322876701442
 01/01  09:15:00,2430.7997516449336,27.73380472867585
 01/01  09:30:00,2576.1657935527523,54.468610381156545
 01/01  09:45:00,2569.3692215807614,74.0909538013676
 01/01  10:00:00,4551.795271858495,88.66116689774235
 01/01  10:15:00,3000.8913823191074,109.1589260165511
 01/01  10:30:00,3029.7484693067195,123.94797272544606
