Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,1578.8131707555915,0.0
 01/01  00:30:00,1612.487777739511,0.0
 01/01  00:45:00,1653.9240029916025,0.0
 01/01  01:00:00,1682.7599926923394,0.0
 01/01  01:15:00,1696.5469378272326,0.0
 01/01  01:30:00,1705.7633430202245,0.0
 01/01  01:45:00,1705.9934182769305,0.0
 01/01  02:00:00,1699.9499041046934,0.0
 01/01  02:15:00,1709.170636016227,0.0
 01/01  02:30:00,1726.7489109394037,0.0
 01/01  02:45:00,1730.975806809545,0.0
 01/01  03:00:00,1730.3105947929896,0.0
 01/01  03:15:00,1735.6279453181564,0.0
 01/01  03:30:00,1748.661730277919,0.0
 01/01  03:45:00,1761.235969952364,0.0
 01/01  04:00:00,1765.393494562902,0.0
 01/01  04:15:00,1762.2661706216186,0.0
 01/01  04:30:00,1769.9324407162424,0.0
 01/01  04:45:00,1784.6071796278177,0.0
 01/01  05:00:00,1788.679157634706,0.0
 01/01  05:15:00,1783.0751867187942,0.0
 01/01  05:30:00,1781.693701237508,0.0
 01/01  05:45:00,1787.7921376158677,0.0
 01/01  06:00:00,1795.0812039070552,0.0
 01/01  06:15:00,1803.504102911204,0.0
 01/01  06:30:00,1869.989203366249,0.0
 01/01  06:45:00,1794.1806173348884,0.0
 01/01  07:00:00,1824.37382489812,0.0
 01/01  07:15:00,1808.8994103917507,0.0
 01/01  07:30:00,1814.78163262412,0.0
 01/01  07:45:00,1810.0917836638891,0.0
 01/01  08:00:00,1820.4282052148435,0.0
 01/01  08:15:00,1832.023687140167,0.0
 01/01  08:30:00,1836.79764049406,0.0
 01/01  08:45:00,3939.987239527041,0.0
 01/01  09:00:00,4750.195350813936,5.194083542490715
 01/01  09:15:00,2779.1996426380874,7.786418140223986
 01/01  09:30:00,2946.6347343067364,10.052806881730719
 01/01  09:45:00,2945.68153326403,13.398693012361333
 01/01  10:00:00,4759.268859340215,16.741411343856182
 01/01  10:15:00,3192.262460897656,20.074238089453615
 01/01  10:30:00,3239.607683429683,23.401895753465702
 01/01  10:45:00,3252.227533018326,25.467596021280432
 01/01  11:00:00,3235.536589383426,27.531167122945057
 01/01  11:15:00,7953.862287602373,29.606697581954325
 01/01  11:30:00,7605.329956510345,31.681161330218174
 01/01  11:45:00,4111.424679654192,31.456456026284954
 01/01  12:00:00,3259.672917494549,31.234518169574706
 01/01  12:15:00,904.1592200808876,31.020951956084833
 01/01  12:30:00,1113.90402510592,30.80777897712116
 01/01  12:45:00,1269.335113588621,29.343493821929428
 01/01  13:00:00,1493.1023134503466,27.88090525783775
 01/01  13:15:00,1675.9413196993569,26.425032135177908
 01/01  13:30:00,1730.6476394243573,24.96897354835839
 01/01  13:45:00,1747.8370283329573,22.887368657601105
 01/01  14:00:00,1771.060731481862,20.805958710809627
 01/01  14:15:00,1785.1093728930737,18.724200207991053
 01/01  14:30:00,1786.2440574853515,16.64234976522925
 01/01  14:45:00,1796.2271728851404,14.560494439619497
 01/01  15:00:00,1816.307302837384,12.478735752448664
 01/01  15:15:00,1828.9222087168048,10.398895007343718
 01/01  15:30:00,1838.848378670521,8.31871611785394
 01/01  15:45:00,1844.986431837637,6.86307905265139
 01/01  16:00:00,1856.7551612406817,5.4071638721741895
 01/01  16:15:00,4160.8617455654,3.9508296142705897
 01/01  16:30:00,3760.5238456100415,2.4946722097248
 01/01  16:45:00,3389.906379754329,0.0
 01/01  17:00:00,3427.130400466848,0.0
 01/01  17:15:00,8144.132892307991,0.0
 01/01  17:30:00,7920.082206311768,0.0
 01/01  17:45:00,4399.683529853491,0.0
 01/01  18:00:00,3662.655533240664,0.0
 01/01  18:15:00,3467.2640958930347,0.0
 01/01  18:30:00,4992.020741787086,0.0
 01/01  18:45:00,6694.384244036253,0.0
 01/01  19:00:00,6641.437755923225,0.0
 01/01  19:15:00,5368.113582392851,0.0
 01/01  19:30:00,4789.677572192122,0.0
 01/01  19:45:00,3317.294730632831,0.0
 01/01  20:00:00,3384.6518607695907,0.0
 01/01  20:15:00,3409.249342564182,0.0
 01/01  20:30:00,3392.747738094537,0.0
 01/01  20:45:00,3412.261752727421,0.0
 01/01  21:00:00,3442.578175878348,0.0
 01/01  21:15:00,3437.756672169717,0.0
 01/01  21:30:00,3398.309731347977,0.0
 01/01  21:45:00,3396.7293273394084,0.0
 01/01  22:00:00,3437.272061445355,0.0
 01/01  22:15:00,3445.4381155092574,0.0
 01/01  22:30:00,3420.5612048348803,0.0
 01/01  22:45:00,3405.56692153094,0.0
 01/01  23:00:00,3423.313150836117,0.0
 01/01  23:15:00,1093.6938577354986,0.0
 01/01  23:30:00,1082.1044666662256,0.0
 01/01  23:45:00,1225.7048156548549,0.0
 01/01  24:00:00,1442.549508539828,0.0
 01/02  00:15:00,2247.3171985750496,0.0
