Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,1358.4659397512478,0.0
 01/01  00:30:00,1338.8186870014072,0.0
 01/01  00:45:00,1411.9545797436024,0.0
 01/01  01:00:00,1454.6503971178663,0.0
 01/01  01:15:00,1473.8872940150848,0.0
 01/01  01:30:00,1493.3812681094682,0.0
 01/01  01:45:00,1504.334923072382,0.0
 01/01  02:00:00,1508.6827627592495,0.0
 01/01  02:15:00,1518.7990642502352,0.0
 01/01  02:30:00,1536.4745512124175,0.0
 01/01  02:45:00,1540.7717570165942,0.0
 01/01  03:00:00,1539.210375932494,0.0
 01/01  03:15:00,1543.9280111555,0.0
 01/01  03:30:00,1553.8033722683144,0.0
 01/01  03:45:00,1563.7416343790878,0.0
 01/01  04:00:00,1566.6190053377024,0.0
 01/01  04:15:00,1562.8955418623705,0.0
 01/01  04:30:00,1575.3994145913837,0.0
 01/01  04:45:00,1588.5486457235477,0.0
 01/01  05:00:00,1596.7898865371512,0.0
 01/01  05:15:00,1599.0308827183117,0.0
 01/01  05:30:00,1609.4175479525525,0.0
 01/01  05:45:00,1624.6713655530418,0.0
 01/01  06:00:00,1642.2797280902075,0.0
 01/01  06:15:00,1651.2293812449595,0.0
 01/01  06:30:00,1747.6731753129538,0.0
 01/01  06:45:00,1618.7512811946197,0.0
 01/01  07:00:00,1682.1309489841915,0.0
 01/01  07:15:00,1648.360061302819,0.0
 01/01  07:30:00,1650.83751421947,0.0
 01/01  07:45:00,1639.7032775328323,0.0
 01/01  08:00:00,1645.5675678871864,0.0
 01/01  08:15:00,1661.2825356028884,0.0
 01/01  08:30:00,1668.7313606282166,0.0
 01/01  08:45:00,3831.822022115853,0.0
 01/01  09:00:00,4646.736998832057,8.665671866274838
 01/01  09:15:00,2645.487024310126,12.995929806041696
 01/01  09:30:00,2812.771399611928,17.419755307289574
 01/01  09:45:00,2814.533931247394,24.0866519686618
 01/01  10:00:00,4688.576632411176,30.407754872550743
 01/01  10:15:00,3151.1631643115165,36.66685531404038
 01/01  10:30:00,3192.590396796546,42.89275178239433
 01/01  10:45:00,3185.99057615544,49.76610710510889
 01/01  11:00:00,3160.1036377327096,56.55449543905331
 01/01  11:15:00,7952.799234958898,63.268242604078345
 01/01  11:30:00,7470.817012837534,69.87378774973864
 01/01  11:45:00,3997.212705594157,68.7413653362669
 01/01  12:00:00,3185.531385403607,67.85482317243299
 01/01  12:15:00,793.3189827707585,67.11846722629382
 01/01  12:30:00,955.0810306406383,66.48085125132756
 01/01  12:45:00,1090.925211920215,67.52035477212942
 01/01  13:00:00,1295.9999024682274,68.4921911346305
 01/01  13:15:00,1432.3792730544883,69.36747748235192
 01/01  13:30:00,1529.1926772082434,70.10910871430046
 01/01  13:45:00,1514.8788304414095,60.18268137985379
 01/01  14:00:00,1546.7266559128566,50.504027464962455
 01/01  14:15:00,1565.1944830573575,40.802503034145076
 01/01  14:30:00,1577.2308203128655,30.78283506022092
 01/01  14:45:00,1587.353569068688,32.05418836050404
 01/01  15:00:00,1598.06005146184,33.32077188184558
 01/01  15:15:00,1605.772004161156,34.44077538244462
