Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,640.9997559175883,0.0
 01/01  00:30:00,692.2901148529633,0.0
 01/01  00:45:00,677.4142697210759,0.0
 01/01  01:00:00,676.6966221753255,0.0
 01/01  01:15:00,706.6692140119399,0.0
 01/01  01:30:00,739.5286957943421,0.0
 01/01  01:45:00,738.5197929759669,0.0
 01/01  02:00:00,709.1306606284056,0.0
 01/01  02:15:00,741.6086854597119,0.0
 01/01  02:30:00,801.4354854618957,0.0
 01/01  02:45:00,816.4725018808475,0.0
 01/01  03:00:00,806.4140326333453,0.0
 01/01  03:15:00,849.0550546482195,0.0
 01/01  03:30:00,863.7569309513766,0.0
 01/01  03:45:00,889.1558564058178,0.0
 01/01  04:00:00,904.6618451745312,0.0
 01/01  04:15:00,923.1555427631783,0.0
 01/01  04:30:00,946.5270139722908,0.0
 01/01  04:45:00,973.1842189060192,0.0
 01/01  05:00:00,996.561196544281,0.0
 01/01  05:15:00,1005.8640564962644,0.0
 01/01  05:30:00,1018.9421404365733,0.0
 01/01  05:45:00,1035.123719163813,0.0
 01/01  06:00:00,1055.908538616537,0.0
 01/01  06:15:00,1069.1151710675592,0.0
 01/01  06:30:00,1278.417913272129,0.0
 01/01  06:45:00,1034.567433409796,0.0
 01/01  07:00:00,1097.698113624958,0.0
 01/01  07:15:00,1129.6327915326328,0.0
 01/01  07:30:00,1122.0024500733286,0.0
 01/01  07:45:00,1136.2551493720675,0.0
 01/01  08:00:00,1153.081688679602,0.0
 01/01  08:15:00,1167.427735164616,0.0
 01/01  08:30:00,1176.700898649832,0.0
 01/01  08:45:00,3555.2386901044274,0.0
 01/01  09:00:00,4349.234408601507,16.511270152642066
 01/01  09:15:00,2290.6730390839534,24.31156652240297
 01/01  09:30:00,2416.722355453008,27.476511215106168
 01/01  09:45:00,2423.1151277066683,35.64012123431187
 01/01  10:00:00,4429.049494274513,43.665324157780304
 01/01  10:15:00,2877.608543259072,50.52131081469244
 01/01  10:30:00,2904.677390669403,57.92388114908627
 01/01  10:45:00,2885.1012982696566,63.175238346013856
 01/01  11:00:00,2851.572301655841,68.26513523380127
 01/01  11:15:00,7947.046381782206,74.13298973739556
 01/01  11:30:00,6707.66405382251,83.4413854771135
 01/01  11:45:00,3587.9255074066205,93.26115727724547
 01/01  12:00:00,2859.584617380118,104.27679396008526
 01/01  12:15:00,412.2937086304826,116.07073581956075
 01/01  12:30:00,496.7745169412109,128.34182102598214
 01/01  12:45:00,598.9447904337769,135.0104441715334
 01/01  13:00:00,662.5299354358662,140.63453307801012
 01/01  13:15:00,673.8418857085301,145.2700361062567
 01/01  13:30:00,655.5511756516885,148.99306257265195
 01/01  13:45:00,669.8592896125676,145.64666490562877
 01/01  14:00:00,720.3984922306702,141.1499223435946
 01/01  14:15:00,732.1453466294118,131.50172396994066
 01/01  14:30:00,703.2961822953126,125.10784945432806
 01/01  14:45:00,702.7071065523213,113.73582748580621
 01/01  15:00:00,764.571491612409,101.7478487722521
 01/01  15:15:00,801.8103935575738,89.26893995747602
 01/01  15:30:00,814.7090248296229,76.46008987283577
 01/01  15:45:00,809.7441674219488,61.89434938621703
 01/01  16:00:00,854.6698488157314,42.22392598937783
 01/01  16:15:00,4002.957596036824,25.645640581217783
 01/01  16:30:00,3382.1460354848787,10.011648796262923
 01/01  16:45:00,2991.093404711345,0.0
 01/01  17:00:00,3027.352210125026,0.0
 01/01  17:15:00,8137.689896244134,0.0
 01/01  17:30:00,7037.750797578006,0.0
 01/01  17:45:00,3877.368959355715,0.0
 01/01  18:00:00,3281.3569637141945,0.0
 01/01  18:15:00,3048.590443687224,0.0
 01/01  18:30:00,4601.316733152947,0.0
 01/01  18:45:00,6301.705942160743,0.0
 01/01  19:00:00,6243.653759038582,0.0
 01/01  19:15:00,4967.722281066472,0.0
 01/01  19:30:00,4388.378072766283,0.0
 01/01  19:45:00,2899.7561530498,0.0
 01/01  20:00:00,2966.5118502884425,0.0
 01/01  20:15:00,2991.112226299414,0.0
 01/01  20:30:00,2973.309193607879,0.0
 01/01  20:45:00,2991.40687084235,0.0
 01/01  21:00:00,3020.5644002507747,0.0
 01/01  21:15:00,3015.7763844602173,0.0
 01/01  21:30:00,2976.588612864542,0.0
 01/01  21:45:00,2976.3666341369067,0.0
 01/01  22:00:00,3015.560946765612,0.0
 01/01  22:15:00,3021.783377375445,0.0
 01/01  22:30:00,2994.8355749540137,0.0
 01/01  22:45:00,2976.400871682535,0.0
 01/01  23:00:00,2991.74092974957,0.0
 01/01  23:15:00,607.1909558788818,0.0
 01/01  23:30:00,518.4011547360199,0.0
 01/01  23:45:00,537.3733511729451,0.0
 01/01  24:00:00,587.5666339950349,0.0
 01/02  00:15:00,1443.0189967601336,0.0
 01/02  00:30:00,640.1781597889158,0.0
 01/02  00:45:00,795.7166603363613,0.0
 01/02  01:00:00,625.6271123171567,0.0
 01/02  01:15:00,679.9599562813736,0.0
 01/02  01:30:00,726.0449523576771,0.0
 01/02  01:45:00,725.4090769113602,0.0
 01/02  02:00:00,695.5018104585463,0.0
 01/02  02:15:00,722.5826693367185,0.0
 01/02  02:30:00,778.9944737403031,0.0
 01/02  02:45:00,790.042550761214,0.0
 01/02  03:00:00,773.1749275845187,0.0
 01/02  03:15:00,808.8751691951022,0.0
 01/02  03:30:00,827.0617308257996,0.0
 01/02  03:45:00,853.194692741772,0.0
 01/02  04:00:00,861.2743588852145,0.0
 01/02  04:15:00,874.2474509202715,0.0
 01/02  04:30:00,886.0905301750851,0.0
 01/02  04:45:00,904.6806581295658,0.0
 01/02  05:00:00,917.4876889468402,0.0
 01/02  05:15:00,921.3657975712732,0.0
 01/02  05:30:00,928.5469258128908,0.0
 01/02  05:45:00,938.545209825318,0.0
 01/02  06:00:00,950.9282115691148,0.0
 01/02  06:15:00,959.7304250915448,0.0
 01/02  06:30:00,1179.3061279279862,0.0
 01/02  06:45:00,928.40447416897,0.0
 01/02  07:00:00,949.6026665737858,0.0
 01/02  07:15:00,1012.2520940549427,0.0
