Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,1574.2841800530557,0.0
 01/01  00:30:00,1603.9988483975098,0.0
 01/01  00:45:00,1644.966107609049,0.0
 01/01  01:00:00,1673.2383590353438,0.0
 01/01  01:15:00,1687.6536406802338,0.0
 01/01  01:30:00,1696.638788370264,0.0
 01/01  01:45:00,1696.3657976294176,0.0
 01/01  02:00:00,1690.9201769792355,0.0
 01/01  02:15:00,1699.0923399582127,0.0
 01/01  02:30:00,1717.733046762958,0.0
 01/01  02:45:00,1722.1419049518263,0.0
 01/01  03:00:00,1720.9512671261864,0.0
 01/01  03:15:00,1727.275243334071,0.0
 01/01  03:30:00,1739.4017453507497,0.0
 01/01  03:45:00,1752.61007496577,0.0
 01/01  04:00:00,1756.124213629131,0.0
 01/01  04:15:00,1753.2804777427327,0.0
 01/01  04:30:00,1761.5160961650597,0.0
 01/01  04:45:00,1776.0963359486238,0.0
 01/01  05:00:00,1780.2457655818737,0.0
 01/01  05:15:00,1774.557061733838,0.0
 01/01  05:30:00,1773.0445353687337,0.0
 01/01  05:45:00,1779.2805762806402,0.0
 01/01  06:00:00,1786.8024056356742,0.0
 01/01  06:15:00,1795.6762862940957,0.0
 01/01  06:30:00,1862.842597324865,0.0
 01/01  06:45:00,1784.978566286792,0.0
 01/01  07:00:00,1816.3934110370649,0.0
 01/01  07:15:00,1800.879848995595,0.0
 01/01  07:30:00,1806.299406850695,0.0
 01/01  07:45:00,1802.0854200016831,0.0
 01/01  08:00:00,1811.9935585051169,0.0
 01/01  08:15:00,1824.1989689541117,0.0
 01/01  08:30:00,1827.594216694336,0.0
 01/01  08:45:00,3932.965092954725,0.0
 01/01  09:00:00,4743.329835655815,5.194083542490715
 01/01  09:15:00,2771.575727900427,7.786418140223986
 01/01  09:30:00,2939.642889213622,10.052806881730719
 01/01  09:45:00,2939.205973933936,13.398693012361333
 01/01  10:00:00,4748.505152178271,16.741411343856182
 01/01  10:15:00,3217.05340503855,20.074238089453615
