Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,90.98,0.0
 01/01  00:30:00,143.4208893234097,0.0
 01/01  00:45:00,109.6732238318899,0.0
 01/01  01:00:00,97.39159052783614,0.0
 01/01  01:15:00,66.44666666666666,0.0
 01/01  01:30:00,143.41207274355543,0.0
 01/01  01:45:00,134.2015138128615,0.0
 01/01  02:00:00,44.97999999999999,0.0
 01/01  02:15:00,97.42082004680852,0.0
 01/01  02:30:00,140.34251042300684,0.0
 01/01  02:45:00,143.3972925669986,0.0
 01/01  03:00:00,60.313333333333325,0.0
 01/01  03:15:00,97.415329974597,0.0
 01/01  03:30:00,115.80382701460802,0.0
 01/01  03:45:00,143.3921301852457,0.0
 01/01  04:00:00,84.84666666666666,0.0
 01/01  04:15:00,97.411398573481,0.0
 01/01  04:30:00,97.40081975210492,0.0
 01/01  04:45:00,137.2568316362065,0.0
 01/01  05:00:00,90.98,0.0
 01/01  05:15:00,115.81256899771182,0.0
 01/01  05:30:00,97.40396183007606,0.0
 01/01  05:45:00,60.313333333333325,0.0
 01/01  06:00:00,143.42901427681358,0.0
 01/01  06:15:00,159.02028027762913,0.0
 01/01  06:30:00,377.4115681970099,0.0
 01/01  06:45:00,143.40288287370885,0.0
 01/01  07:00:00,90.98,0.0
 01/01  07:15:00,143.42719936061803,0.0
 01/01  07:30:00,143.41831628658653,0.0
 01/01  07:45:00,97.40939233217202,0.0
 01/01  08:00:00,44.97999999999999,0.0
 01/01  08:15:00,131.1661327424369,0.0
 01/01  08:30:00,143.42344223236117,0.0
 01/01  08:45:00,2193.6406065628744,0.0
 01/01  09:00:00,3543.818279050732,10.22973664982326
 01/01  09:15:00,1692.6998087653892,15.331687704137545
 01/01  09:30:00,1744.6886603290038,18.60610085269185
 01/01  09:45:00,1735.689195950109,23.639359600437352
 01/01  10:00:00,3584.394980361528,27.336816629578472
 01/01  10:15:00,2169.0779538916167,31.926839564721973
 01/01  10:30:00,2191.335636530704,36.44714738659778
 01/01  10:45:00,2192.2334405855986,36.49858040346653
 01/01  11:00:00,2170.6501662637907,38.761436716937354
 01/01  11:15:00,7939.16403544497,42.471692886027284
 01/01  11:30:00,5789.462719811754,50.210875273530604
