Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,2244.558432970016,0.0
 01/01  00:30:00,2271.0930424684398,0.0
 01/01  00:45:00,2243.603401774561,0.0
 01/01  01:00:00,2220.3618768878277,0.0
 01/01  01:15:00,2233.06460789708,0.0
 01/01  01:30:00,2245.1572342923005,0.0
 01/01  01:45:00,2249.4949215843576,0.0
 01/01  02:00:00,2250.681645510277,0.0
 01/01  02:15:00,2274.579050558172,0.0
 01/01  02:30:00,2310.9738301027774,0.0
 01/01  02:45:00,2334.639357622719,0.0
 01/01  03:00:00,2354.585662109329,0.0
 01/01  03:15:00,2362.428180717846,0.0
 01/01  03:30:00,2374.98260262653,0.0
 01/01  03:45:00,2388.8725437805447,0.0
 01/01  04:00:00,2394.690143067973,0.0
 01/01  04:15:00,2386.927784467429,0.0
 01/01  04:30:00,2389.283126421779,0.0
 01/01  04:45:00,2397.8167991569385,0.0
 01/01  05:00:00,2398.823900462881,0.0
 01/01  05:15:00,2396.710651985892,0.0
 01/01  05:30:00,2396.0791435167403,0.0
 01/01  05:45:00,2406.326494773742,0.0
 01/01  06:00:00,2416.279006353394,0.0
 01/01  06:15:00,2422.9230061948483,0.0
 01/01  06:30:00,2476.1164560106363,0.0
 01/01  06:45:00,2415.1122022022323,0.0
 01/01  07:00:00,2430.039163465995,0.0
 01/01  07:15:00,2411.042146255117,0.0
 01/01  07:30:00,2412.559960686296,0.0
 01/01  07:45:00,2404.7083004698675,0.0
 01/01  08:00:00,2410.4526778820823,0.0
 01/01  08:15:00,2423.745213317796,0.0
 01/01  08:30:00,2432.9417199853765,0.0
 01/01  08:45:00,4397.059631013139,0.0
 01/01  09:00:00,5120.888427651165,3.5956126819173964
 01/01  09:15:00,3247.8701477711666,5.398583980404862
 01/01  09:30:00,3443.8588882362383,6.928891050704784
 01/01  09:45:00,3461.726111086865,9.243903200242334
 01/01  10:00:00,5020.680346297248,11.560982316713787
