Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,1004.9192668708564,0.0
 01/01  00:30:00,893.9550194864586,0.0
 01/01  00:45:00,963.2442861120104,0.0
 01/01  01:00:00,990.3015546521992,0.0
 01/01  01:15:00,1020.4303492667136,0.0
 01/01  01:30:00,1047.2004663378432,0.0
 01/01  01:45:00,1068.3565140724577,0.0
 01/01  02:00:00,1083.5752179440528,0.0
 01/01  02:15:00,1105.050613907243,0.0
 01/01  02:30:00,1134.2190526768006,0.0
 01/01  02:45:00,1154.1599521496644,0.0
 01/01  03:00:00,1168.6258785828093,0.0
 01/01  03:15:00,1182.5902517178436,0.0
 01/01  03:30:00,1204.2076399913767,0.0
 01/01  03:45:00,1223.933703372831,0.0
 01/01  04:00:00,1237.4840035837897,0.0
 01/01  04:15:00,1250.7629649400158,0.0
 01/01  04:30:00,1269.6142778544254,0.0
 01/01  04:45:00,1296.902246420734,0.0
 01/01  05:00:00,1313.6908934703686,0.0
 01/01  05:15:00,1320.5682406902383,0.0
 01/01  05:30:00,1329.352290835185,0.0
 01/01  05:45:00,1342.4641111938708,0.0
 01/01  06:00:00,1360.74965916761,0.0
 01/01  06:15:00,1371.63284244279,0.0
 01/01  06:30:00,1513.075231000773,0.0
 01/01  06:45:00,1302.6030008882192,0.0
 01/01  07:00:00,1426.4581404521966,0.0
 01/01  07:15:00,1387.6540722491836,0.0
 01/01  07:30:00,1406.516225328391,0.0
 01/01  07:45:00,1410.620886687418,0.0
 01/01  08:00:00,1425.8030844301609,0.0
 01/01  08:15:00,1435.4019510283074,0.0
 01/01  08:30:00,1443.0177640287695,0.0
 01/01  08:45:00,3710.724546152549,0.0
 01/01  09:00:00,4498.200912795008,17.64125976436967
 01/01  09:15:00,2434.2871026578787,26.516081877907325
 01/01  09:30:00,2587.788186132423,60.700240526056874
 01/01  09:45:00,2581.922464847802,87.2446292070638
 01/01  10:00:00,4555.59673179553,108.74977951591369
 01/01  10:15:00,3010.069662658705,142.45882260315645
 01/01  10:30:00,3039.6903494190865,168.81132920028327
 01/01  10:45:00,3022.9585228532133,190.78512556830424
 01/01  11:00:00,2992.383434415027,214.36637914802665
 01/01  11:15:00,7950.386953975463,239.13166397292298
 01/01  11:30:00,7109.938331495954,264.67238392503805
 01/01  11:45:00,3763.071813998303,274.1950441622786
