Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,2228.634875549434,0.0
 01/01  00:30:00,2256.796557588765,0.0
 01/01  00:45:00,2229.1712372167144,0.0
 01/01  01:00:00,2206.9669418262147,0.0
 01/01  01:15:00,2215.803127594697,0.0
 01/01  01:30:00,2223.9297541955825,0.0
 01/01  01:45:00,2225.207505412674,0.0
 01/01  02:00:00,2222.276170531561,0.0
 01/01  02:15:00,2231.0763030674007,0.0
 01/01  02:30:00,2250.119224778598,0.0
 01/01  02:45:00,2256.824516953556,0.0
 01/01  03:00:00,2257.964254424025,0.0
 01/01  03:15:00,2264.6524755028704,0.0
 01/01  03:30:00,2278.1208817829497,0.0
 01/01  03:45:00,2292.613258119912,0.0
 01/01  04:00:00,2298.012112732609,0.0
 01/01  04:15:00,2299.280394934612,0.0
 01/01  04:30:00,2308.29099998663,0.0
 01/01  04:45:00,2325.1871620824727,0.0
 01/01  05:00:00,2333.5041889734744,0.0
 01/01  05:15:00,2340.2469654292017,0.0
 01/01  05:30:00,2348.8433808771515,0.0
 01/01  05:45:00,2366.8925085617566,0.0
 01/01  06:00:00,2385.6134834505265,0.0
 01/01  06:15:00,2399.68601251434,0.0
 01/01  06:30:00,2457.479923267932,0.0
 01/01  06:45:00,2402.827892200886,0.0
 01/01  07:00:00,2423.386571761393,0.0
 01/01  07:15:00,2406.7213536396425,0.0
 01/01  07:30:00,2411.13015207877,0.0
 01/01  07:45:00,2407.94095845073,0.0
 01/01  08:00:00,2416.676427139937,0.0
 01/01  08:15:00,2434.717672804946,0.0
 01/01  08:30:00,2446.8494045665143,0.0
 01/01  08:45:00,4415.615283915145,0.0
 01/01  09:00:00,5135.539552450087,16.747775494916624
 01/01  09:15:00,3252.252606778692,25.75357330262844
 01/01  09:30:00,3444.847367898479,45.44458750119892
 01/01  09:45:00,3456.1953995416857,81.92806217112815
 01/01  10:00:00,5007.413207305633,120.66463244660834
 01/01  10:15:00,3471.492207135311,151.4876555072138
 01/01  10:30:00,3524.1649273061475,184.54734634622866
 01/01  10:45:00,3529.828802055661,211.93034935680905
 01/01  11:00:00,3556.415901304122,240.48627685093354
 01/01  11:15:00,7960.181164327609,269.5824291326426
 01/01  11:30:00,7925.235131106527,298.9816581586143
 01/01  11:45:00,4989.085918524938,308.913314825639
 01/01  12:00:00,3645.578398082692,318.4542846985922
 01/01  12:15:00,1454.515176685867,326.7881050715807
 01/01  12:30:00,1934.752291712864,334.2926696877909
 01/01  12:45:00,1998.332189228176,311.89787501109066
 01/01  13:00:00,2114.3339697429697,289.4713836190826
 01/01  13:15:00,2276.767952630893,251.07264071985878
 01/01  13:30:00,2295.404956906152,229.2188674915726
 01/01  13:45:00,2305.820296607918,204.20241811461736
 01/01  14:00:00,2324.641152458278,165.67476534192824
 01/01  14:15:00,2335.383617737036,143.35582286137216
 01/01  14:30:00,2337.1260427793723,121.63807129910015
 01/01  14:45:00,2347.690608880672,99.28486216791575
 01/01  15:00:00,2368.1963821375216,77.52490738016117
 01/01  15:15:00,2389.703597267183,50.14738948760161
 01/01  15:30:00,2403.5865506627374,31.55883376059731
 01/01  15:45:00,2411.815783036249,23.404005530752983
 01/01  16:00:00,2429.960135489412,16.619333908557362
 01/01  16:15:00,4344.954866246271,9.838681455734717
 01/01  16:30:00,3980.662727974,3.2033309853564464
 01/01  16:45:00,3615.582065987281,0.0
 01/01  17:00:00,3818.472662190964,0.0
 01/01  17:15:00,8151.570523899467,0.0
 01/01  17:30:00,8132.076061942116,0.0
 01/01  17:45:00,5071.01411125881,0.0
 01/01  18:00:00,3950.371623284718,0.0
 01/01  18:15:00,3700.686325870408,0.0
 01/01  18:30:00,5233.4743099473335,0.0
 01/01  18:45:00,6939.737081598227,0.0
 01/01  19:00:00,6893.372493331907,0.0
 01/01  19:15:00,5620.886076449426,0.0
 01/01  19:30:00,5042.184239645401,0.0
 01/01  19:45:00,3575.794614781313,0.0
 01/01  20:00:00,3644.545700069392,0.0
 01/01  20:15:00,3667.9470799879546,0.0
 01/01  20:30:00,3654.6962341769017,0.0
 01/01  20:45:00,3741.90043707458,0.0
 01/01  21:00:00,3706.3763574736968,0.0
 01/01  21:15:00,3694.448187188261,0.0
 01/01  21:30:00,3709.887336083318,0.0
 01/01  21:45:00,3715.46050110114,0.0
 01/01  22:00:00,3734.809401222906,0.0
 01/01  22:15:00,3744.482182085744,0.0
 01/01  22:30:00,3747.586470217001,0.0
 01/01  22:45:00,3756.763740382781,0.0
 01/01  23:00:00,3774.207694921347,0.0
 01/01  23:15:00,1591.7092364215198,0.0
 01/01  23:30:00,1916.7709346883328,0.0
 01/01  23:45:00,2114.548218473385,0.0
 01/01  24:00:00,2304.818856065393,0.0
 01/02  00:15:00,2904.2833124836447,0.0
 01/02  00:30:00,2263.9042063373777,0.0
 01/02  00:45:00,2410.631481342544,0.0
 01/02  01:00:00,2336.0100884729127,0.0
 01/02  01:15:00,2362.214596945915,0.0
 01/02  01:30:00,2383.391470381176,0.0
 01/02  01:45:00,2389.229426806872,0.0
 01/02  02:00:00,2385.7560501188045,0.0
 01/02  02:15:00,2398.214240917622,0.0
 01/02  02:30:00,2419.479554935845,0.0
 01/02  02:45:00,2428.5430370486647,0.0
 01/02  03:00:00,2432.401204968909,0.0
 01/02  03:15:00,2436.6288235353395,0.0
 01/02  03:30:00,2447.727499101456,0.0
 01/02  03:45:00,2460.476874506064,0.0
 01/02  04:00:00,2463.277936862835,0.0
 01/02  04:15:00,2461.198351683939,0.0
 01/02  04:30:00,2470.2417116586425,0.0
 01/02  04:45:00,2486.609063359112,0.0
 01/02  05:00:00,2491.6209250806032,0.0
 01/02  05:15:00,2495.838059212964,0.0
 01/02  05:30:00,2499.1052108154468,0.0
 01/02  05:45:00,2513.065213778338,0.0
 01/02  06:00:00,2526.911336645092,0.0
 01/02  06:15:00,2538.5774185108844,0.0
 01/02  06:30:00,2597.2942991526534,0.0
 01/02  06:45:00,2542.648862519241,0.0
 01/02  07:00:00,2559.815122200503,0.0
 01/02  07:15:00,2539.0736896204376,0.0
 01/02  07:30:00,2538.2011441330897,0.0
 01/02  07:45:00,2528.173654876277,0.0
 01/02  08:00:00,2529.095460366335,0.0
 01/02  08:15:00,2546.99533837768,0.0
 01/02  08:30:00,2556.0766828143223,0.0
 01/02  08:45:00,4495.373474320892,0.0
 01/02  09:00:00,5200.423167087739,3.605549767331568
 01/02  09:15:00,3344.9809915215515,5.407633611896294
 01/02  09:30:00,3543.723177594273,6.938694864273041
 01/02  09:45:00,3564.2385416220445,8.867519225594235
 01/02  10:00:00,5062.788034948805,10.797734856094577
 01/02  10:15:00,3542.846428858655,12.72961835080013
 01/02  10:30:00,3590.3273080126246,14.662948786486755
 01/02  10:45:00,3591.713576960874,17.95489799644418
 01/02  11:00:00,3690.286136893575,21.24944855108784
 01/02  11:15:00,7962.574097042536,24.547193738890584
 01/02  11:30:00,7152.900557161496,27.84755592226806
 01/02  11:45:00,4194.130128330118,28.427336339902077
 01/02  12:00:00,3741.842760625933,29.0087550935307
 01/02  12:15:00,1709.310624780137,29.597822620615382
 01/02  12:30:00,2274.38290665759,30.187511483680307
 01/02  12:45:00,2346.812370484918,26.88887618799039
 01/02  13:00:00,2459.840625218345,23.59353858594589
 01/02  13:15:00,2643.2095406451963,20.284172034416923
 01/02  13:30:00,2657.098064504888,16.981448262966794
 01/02  13:45:00,2665.131047091813,15.23160318873041
 01/02  14:00:00,2678.8248817928493,13.484079378880535
 01/02  14:15:00,2685.486950177374,11.744152335843681
 01/02  14:30:00,2683.5235659152486,10.005644019231141
 01/02  14:45:00,2688.7677857083454,10.196160096716651
 01/02  15:00:00,2698.228782168395,10.38666683650515
 01/02  15:15:00,2707.4411780957257,10.577745540934224
 01/02  15:30:00,2706.118246129147,10.769977092050759
 01/02  15:45:00,2703.90050027456,8.648222992524083
 01/02  16:00:00,2710.2209793596235,6.529189330419043
 01/02  16:15:00,4442.06167437574,4.414604775304088
 01/02  16:30:00,4092.70767788264,2.301240221040411
 01/02  16:45:00,3759.012403550984,0.0
 01/02  17:00:00,4006.1809213583047,0.0
 01/02  17:15:00,8155.302629535235,0.0
 01/02  17:30:00,8135.503537746117,0.0
 01/02  17:45:00,5360.197670211073,0.0
 01/02  18:00:00,4067.747398519178,0.0
 01/02  18:15:00,3871.072855662695,0.0
 01/02  18:30:00,5323.882953764933,0.0
 01/02  18:45:00,7015.615295978718,0.0
 01/02  19:00:00,6961.348074175785,0.0
 01/02  19:15:00,5687.476901104199,0.0
 01/02  19:30:00,5108.3751634779055,0.0
 01/02  19:45:00,3644.394767700364,0.0
 01/02  20:00:00,3714.584158547072,0.0
 01/02  20:15:00,3736.6072849493567,0.0
 01/02  20:30:00,3760.33112702336,0.0
 01/02  20:45:00,3851.9628951019217,0.0
 01/02  21:00:00,3777.4476940676896,0.0
 01/02  21:15:00,3799.754950091554,0.0
 01/02  21:30:00,3795.5249892447846,0.0
 01/02  21:45:00,3802.2208770994353,0.0
 01/02  22:00:00,3817.606718348544,0.0
 01/02  22:15:00,3827.084134625582,0.0
 01/02  22:30:00,3831.779325068893,0.0
 01/02  22:45:00,3841.837727570161,0.0
 01/02  23:00:00,3862.441046695921,0.0
 01/02  23:15:00,1707.9469112518398,0.0
 01/02  23:30:00,2047.218318755203,0.0
 01/02  23:45:00,2240.3270924892227,0.0
 01/02  24:00:00,2414.664620665969,0.0
 01/03  00:15:00,2436.1014884562987,0.0
 01/03  00:30:00,2466.7899740157227,0.0
 01/03  00:45:00,2472.397835667465,0.0
 01/03  01:00:00,2483.9989849696917,0.0
 01/03  01:15:00,2501.337543591524,0.0
 01/03  01:30:00,2517.4474623338665,0.0
 01/03  01:45:00,2525.5247131532155,0.0
 01/03  02:00:00,2528.239719053512,0.0
 01/03  02:15:00,2541.421348488289,0.0
 01/03  02:30:00,2560.9284384208186,0.0
 01/03  02:45:00,2571.936790707539,0.0
 01/03  03:00:00,2574.5188645285757,0.0
 01/03  03:15:00,2576.98405931685,0.0
 01/03  03:30:00,2582.667228642268,0.0
 01/03  03:45:00,2588.997118123045,0.0
 01/03  04:00:00,2589.933824409404,0.0
 01/03  04:15:00,2580.2076301402008,0.0
 01/03  04:30:00,2581.4630220523463,0.0
 01/03  04:45:00,2589.809206216484,0.0
 01/03  05:00:00,2590.7626181666783,0.0
 01/03  05:15:00,2586.472753516618,0.0
 01/03  05:30:00,2589.087231203663,0.0
 01/03  05:45:00,2599.031330227205,0.0
 01/03  06:00:00,2608.3330368575475,0.0
 01/03  06:15:00,2613.5553498101863,0.0
 01/03  06:30:00,2663.9077293513096,0.0
 01/03  06:45:00,2600.121409486708,0.0
 01/03  07:00:00,2609.2356041383696,0.0
 01/03  07:15:00,2585.843645108178,0.0
 01/03  07:30:00,2584.4904281684426,0.0
 01/03  07:45:00,2572.3081138127054,0.0
 01/03  08:00:00,2574.543775644732,0.0
 01/03  08:15:00,2590.0997725322904,0.0
 01/03  08:30:00,2601.87443770839,0.0
 01/03  08:45:00,4527.250079333385,0.0
 01/03  09:00:00,5225.038982035975,2.3996181629227586
 01/03  09:15:00,3377.718961178788,3.5999618399919626
 01/03  09:30:00,3570.7696934590667,4.609243531665923
 01/03  09:45:00,3588.283778019838,6.3379592121973
 01/03  10:00:00,5078.675063340657,8.066227942614754
 01/03  10:15:00,3557.968608600939,9.796659626398174
 01/03  10:30:00,3601.7453098566816,11.527498406476681
 01/03  10:45:00,3600.038522524445,12.680382532745258
 01/03  11:00:00,3692.9931093677305,13.833664063775528
 01/03  11:15:00,7962.595816135482,14.985849220002741
 01/03  11:30:00,7150.230436685632,16.137774028970018
 01/03  11:45:00,4190.668108339141,17.86738650317636
 01/03  12:00:00,3736.0628571855927,19.596191413592425
 01/03  12:15:00,1674.519752203199,21.320606177055936
 01/03  12:30:00,2210.575308027921,23.043697322068017
 01/03  12:45:00,2275.641029735432,21.299034037026864
 01/03  13:00:00,2384.3605868141867,19.55947463339703
 01/03  13:15:00,2561.399566501394,17.822190423794677
 01/03  13:30:00,2580.4718357068605,16.086712348195586
 01/03  13:45:00,2588.8158765838066,16.271749591346463
 01/03  14:00:00,2600.324883565791,16.45535884957413
 01/03  14:15:00,2599.046223040585,16.631047394407968
 01/03  14:30:00,2585.9240371233627,16.806675787971226
