Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,1574.4959854876877,0.0
 01/01  00:30:00,1606.571817007507,0.0
 01/01  00:45:00,1648.8003908468827,0.0
 01/01  01:00:00,1676.079719474179,0.0
 01/01  01:15:00,1690.4416721514838,0.0
 01/01  01:30:00,1700.6965733158956,0.0
 01/01  01:45:00,1699.6186637275086,0.0
 01/01  02:00:00,1695.000516107062,0.0
 01/01  02:15:00,1703.202725071717,0.0
 01/01  02:30:00,1721.2229015367216,0.0
 01/01  02:45:00,1725.563470270472,0.0
 01/01  03:00:00,1725.016570664111,0.0
 01/01  03:15:00,1730.1013265942631,0.0
 01/01  03:30:00,1743.5932581178122,0.0
 01/01  03:45:00,1756.0927481965375,0.0
 01/01  04:00:00,1760.175641638661,0.0
 01/01  04:15:00,1755.999878534893,0.0
 01/01  04:30:00,1764.726118270471,0.0
 01/01  04:45:00,1778.893668336795,0.0
 01/01  05:00:00,1783.0292590999477,0.0
 01/01  05:15:00,1778.0671684774263,0.0
 01/01  05:30:00,1775.8223760910334,0.0
 01/01  05:45:00,1782.1792504643652,0.0
 01/01  06:00:00,1789.1861005524888,0.0
 01/01  06:15:00,1798.9384923742475,0.0
 01/01  06:30:00,1865.904598541856,0.0
 01/01  06:45:00,1787.561933209492,0.0
 01/01  07:00:00,1820.561750074159,0.0
 01/01  07:15:00,1804.1262288951,0.0
 01/01  07:30:00,1808.8662566454248,0.0
 01/01  07:45:00,1805.747090221876,0.0
 01/01  08:00:00,1815.193497798635,0.0
 01/01  08:15:00,1827.3811372840032,0.0
 01/01  08:30:00,1831.8098605776304,0.0
 01/01  08:45:00,3936.8518160287313,0.0
 01/01  09:00:00,4746.966103461336,4.751836143449293
 01/01  09:15:00,2775.525465517688,7.123591981823001
 01/01  09:30:00,2942.92808527102,9.15149961935735
 01/01  09:45:00,2941.652935298288,12.200179157079464
 01/01  10:00:00,4755.836892792282,15.247293994058095
 01/01  10:15:00,3186.3203889759498,18.28677346057347
 01/01  10:30:00,3234.7541641686707,21.322930304919993
 01/01  10:45:00,3246.4189966586187,23.207364194146802
 01/01  11:00:00,3231.2551965858547,25.090677493319024
 01/01  11:15:00,7953.7996558059,26.98567606082375
 01/01  11:30:00,7598.7331345983,28.880396696069706
 01/01  11:45:00,4103.719807402886,28.674350946731415
 01/01  12:00:00,3255.245322726465,28.471141973902505
 01/01  12:15:00,895.9708274173792,28.275833168138554
 01/01  12:30:00,1105.9518320016673,28.08103499881409
 01/01  12:45:00,1261.6112893336451,26.743520600828482
 01/01  13:00:00,1486.052757509764,25.407791385344808
 01/01  13:15:00,1668.268008371419,24.078400560790104
 01/01  13:30:00,1723.5989831512018,22.749054809707527
 01/01  13:45:00,1740.8689975401337,20.84905345126973
 01/01  14:00:00,1763.7631349850617,18.949672829241347
 01/01  14:15:00,1777.7509595889833,17.050463123436284
 01/01  14:30:00,1779.1242378418317,15.151701314612033
 01/01  14:45:00,1789.559601311909,13.253510167489416
 01/01  15:00:00,1808.310061694399,11.356033141766057
 01/01  15:15:00,1822.4540074526224,9.460984799292218
 01/01  15:30:00,1831.369144215307,7.566377688065566
 01/01  15:45:00,1836.906614742025,6.241070209190313
 01/01  16:00:00,1849.6588761420053,4.916009207209271
 01/01  16:15:00,4159.5221407264935,3.591080027209943
 01/01  16:30:00,3755.765454554684,2.2668413678835395
 01/01  16:45:00,3384.5618456448547,0.0
 01/01  17:00:00,3422.565657951747,0.0
 01/01  17:15:00,8144.059155294655,0.0
 01/01  17:30:00,7910.606151139533,0.0
 01/01  17:45:00,4390.995544180245,0.0
 01/01  18:00:00,3658.381640783704,0.0
 01/01  18:15:00,3462.0982203731764,0.0
 01/01  18:30:00,4987.370002206462,0.0
 01/01  18:45:00,6689.509553173632,0.0
 01/01  19:00:00,6636.611191123344,0.0
 01/01  19:15:00,5363.222744206228,0.0
 01/01  19:30:00,4784.74464552306,0.0
 01/01  19:45:00,3311.8915474642945,0.0
 01/01  20:00:00,3379.056267937147,0.0
 01/01  20:15:00,3404.1333583547403,0.0
 01/01  20:30:00,3387.6521973120944,0.0
 01/01  20:45:00,3407.275005150644,0.0
 01/01  21:00:00,3437.1694200532534,0.0
 01/01  21:15:00,3432.8173984241985,0.0
 01/01  21:30:00,3392.4898873280927,0.0
 01/01  21:45:00,3392.1789286424496,0.0
 01/01  22:00:00,3431.4748953775106,0.0
 01/01  22:15:00,3440.261815168208,0.0
 01/01  22:30:00,3415.1977664422016,0.0
 01/01  22:45:00,3400.602146496628,0.0
 01/01  23:00:00,3417.369951730246,0.0
 01/01  23:15:00,1085.1285388116726,0.0
 01/01  23:30:00,1077.0327016565557,0.0
 01/01  23:45:00,1220.99990679629,0.0
 01/01  24:00:00,1437.0060682890005,0.0
 01/02  00:15:00,2243.437987253699,0.0
 01/02  00:30:00,1496.3654896449043,0.0
 01/02  00:45:00,1669.869546102136,0.0
 01/02  01:00:00,1601.3137454296348,0.0
 01/02  01:15:00,1628.4495512079786,0.0
 01/02  01:30:00,1663.9440988411834,0.0
 01/02  01:45:00,1674.8214672485683,0.0
 01/02  02:00:00,1678.9762725987507,0.0
 01/02  02:15:00,1692.6353698124735,0.0
 01/02  02:30:00,1713.0717116348271,0.0
 01/02  02:45:00,1720.821886306369,0.0
