Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,1363.4919183952784,0.0
 01/01  00:30:00,1348.4721841670455,0.0
 01/01  00:45:00,1420.1276529004615,0.0
 01/01  01:00:00,1460.6363889507186,0.0
 01/01  01:15:00,1482.2664107190765,0.0
 01/01  01:30:00,1499.752721550121,0.0
 01/01  01:45:00,1511.4297192256452,0.0
 01/01  02:00:00,1516.8289998787102,0.0
 01/01  02:15:00,1526.6570534755876,0.0
 01/01  02:30:00,1542.7208390989215,0.0
 01/01  02:45:00,1548.5364933729463,0.0
 01/01  03:00:00,1546.961208878516,0.0
 01/01  03:15:00,1550.0516210597643,0.0
 01/01  03:30:00,1561.2979578763025,0.0
 01/01  03:45:00,1569.3830021243232,0.0
 01/01  04:00:00,1572.6985787489782,0.0
 01/01  04:15:00,1571.1865480599593,0.0
 01/01  04:30:00,1580.7723727607345,0.0
 01/01  04:45:00,1596.889363540861,0.0
 01/01  05:00:00,1602.2260628060535,0.0
 01/01  05:15:00,1607.1390512308794,0.0
 01/01  05:30:00,1615.479215225388,0.0
 01/01  05:45:00,1632.0664048494002,0.0
 01/01  06:00:00,1648.1985436711825,0.0
 01/01  06:15:00,1658.144338215088,0.0
 01/01  06:30:00,1753.7444823089634,0.0
 01/01  06:45:00,1624.5027513367656,0.0
 01/01  07:00:00,1689.7146777191265,0.0
 01/01  07:15:00,1652.8583610087137,0.0
 01/01  07:30:00,1656.722674376842,0.0
 01/01  07:45:00,1647.0075134451308,0.0
 01/01  08:00:00,1650.0752533796442,0.0
 01/01  08:15:00,1668.6643693436622,0.0
 01/01  08:30:00,1673.8758229323498,0.0
 01/01  08:45:00,3834.902739486448,0.0
 01/01  09:00:00,4651.259101152581,7.927997141832133
 01/01  09:15:00,2650.718170412125,11.89018563649104
 01/01  09:30:00,2817.995135157469,16.167176177135016
 01/01  09:45:00,2819.7289497813767,22.67164863512984
 01/01  10:00:00,4690.8724574530415,28.82739697005661
 01/01  10:15:00,3154.066889334417,35.02657189045924
 01/01  10:30:00,3195.579495158495,41.3259819725789
 01/01  10:45:00,3188.34914662932,48.689392258255815
 01/01  11:00:00,3164.250654814457,56.21852227710737
 01/01  11:15:00,7952.843194263714,63.96516384716989
 01/01  11:30:00,7476.805618600285,71.94696266432219
 01/01  11:45:00,4000.887601791388,70.05689959465666
 01/01  12:00:00,3187.376722049032,68.6092672762699
 01/01  12:15:00,795.8776154128792,67.47032632805065
 01/01  12:30:00,960.967783963766,66.57172671071298
 01/01  12:45:00,1097.2925777753776,68.38806533780308
 01/01  13:00:00,1300.1752517588236,70.39082768587663
 01/01  13:15:00,1439.1013889429018,72.60476277344436
 01/01  13:30:00,1532.6319701049222,75.07051226784947
 01/01  13:45:00,1521.3145868023191,61.67295467361335
 01/01  14:00:00,1554.044020639835,49.04866677738724
 01/01  14:15:00,1571.483248198617,37.77760806323596
 01/01  14:30:00,1583.1581376943916,28.060902371661655
 01/01  14:45:00,1594.8896810728747,31.17178504640059
 01/01  15:00:00,1604.281255019787,34.123074083291485
 01/01  15:15:00,1616.802015872871,37.44640427201784
 01/01  15:30:00,1615.923330987731,42.4589033024408
 01/01  15:45:00,1621.8045382763678,32.056120880589184
 01/01  16:00:00,1635.325080568108,21.942739840111848
 01/01  16:15:00,4115.658389686215,13.493717761062578
 01/01  16:30:00,3663.861529183395,5.296060429050384
 01/01  16:45:00,3295.3847848301425,0.0
 01/01  17:00:00,3333.157629015168,0.0
 01/01  17:15:00,8142.693480767109,0.0
 01/01  17:30:00,7740.445828941354,0.0
 01/01  17:45:00,4248.651656050613,0.0
 01/01  18:00:00,3568.6902042861484,0.0
 01/01  18:15:00,3367.6909711628914,0.0
 01/01  18:30:00,4899.383270571123,0.0
 01/01  18:45:00,6600.936407892204,0.0
 01/01  19:00:00,6548.330436434449,0.0
 01/01  19:15:00,5273.441891608616,0.0
 01/01  19:30:00,4693.605087285026,0.0
 01/01  19:45:00,3213.347109174284,0.0
 01/01  20:00:00,3282.18206212484,0.0
 01/01  20:15:00,3303.5858063442074,0.0
 01/01  20:30:00,3283.6825450134056,0.0
 01/01  20:45:00,3299.3722818008505,0.0
 01/01  21:00:00,3325.539251900207,0.0
 01/01  21:15:00,3324.930617808345,0.0
 01/01  21:30:00,3289.533210825113,0.0
 01/01  21:45:00,3293.013489136938,0.0
 01/01  22:00:00,3337.046700851625,0.0
 01/01  22:15:00,3344.347242954216,0.0
 01/01  22:30:00,3317.1102203560013,0.0
 01/01  22:45:00,3300.7076820495217,0.0
 01/01  23:00:00,3316.355512121104,0.0
 01/01  23:15:00,942.1580243295588,0.0
 01/01  23:30:00,889.9789713621428,0.0
 01/01  23:45:00,972.5425730668296,0.0
 01/01  24:00:00,1244.1367286297764,0.0
 01/02  00:15:00,1973.842752203489,0.0
 01/02  00:30:00,1208.8868511054789,0.0
 01/02  00:45:00,1379.4162235678652,0.0
 01/02  01:00:00,1309.8275826444324,0.0
 01/02  01:15:00,1341.0830550977155,0.0
 01/02  01:30:00,1372.78112873263,0.0
 01/02  01:45:00,1384.0603279098134,0.0
 01/02  02:00:00,1383.4504808258143,0.0
 01/02  02:15:00,1393.3555471844668,0.0
 01/02  02:30:00,1411.2593331088735,0.0
 01/02  02:45:00,1419.54678217308,0.0
 01/02  03:00:00,1418.0535795226565,0.0
 01/02  03:15:00,1428.0673204074087,0.0
 01/02  03:30:00,1441.4828515120455,0.0
 01/02  03:45:00,1455.3090237673243,0.0
 01/02  04:00:00,1462.4408974423084,0.0
 01/02  04:15:00,1463.2882821394742,0.0
 01/02  04:30:00,1473.288065440042,0.0
 01/02  04:45:00,1492.155300172702,0.0
 01/02  05:00:00,1500.2806773757202,0.0
 01/02  05:15:00,1507.1835732578174,0.0
 01/02  05:30:00,1514.0563890218798,0.0
 01/02  05:45:00,1532.360990703835,0.0
 01/02  06:00:00,1548.6276636627863,0.0
 01/02  06:15:00,1558.5327844601543,0.0
 01/02  06:30:00,1663.9789169217206,0.0
 01/02  06:45:00,1512.0622669234024,0.0
 01/02  07:00:00,1592.1895823177265,0.0
 01/02  07:15:00,1559.192396266685,0.0
 01/02  07:30:00,1569.2874019654246,0.0
 01/02  07:45:00,1569.4762092105498,0.0
 01/02  08:00:00,1580.3873785118994,0.0
 01/02  08:15:00,1600.7063751197752,0.0
 01/02  08:30:00,1614.4838261468874,0.0
 01/02  08:45:00,3809.48879736934,0.0
 01/02  09:00:00,4624.286818131746,3.9629577475492734
 01/02  09:15:00,2616.680801551492,5.946455903166746
 01/02  09:30:00,2785.227885252647,7.632403177823216
 01/02  09:45:00,2789.94132055245,10.68882153559023
 01/02  10:00:00,4676.859700181159,13.744629499331197
 01/02  10:15:00,3143.9283763874787,16.80309072345674
 01/02  10:30:00,3191.1448222461577,19.862532888261427
 01/02  10:45:00,3190.296329597623,22.538773667326023
 01/02  11:00:00,3170.827287036311,25.21625061053379
 01/02  11:15:00,7952.40016845794,27.891474513003608
 01/02  11:30:00,7808.333283780691,30.56685044168861
 01/02  11:45:00,4140.471266095616,31.322017668149698
 01/02  12:00:00,3211.181024885392,32.08041922112712
 01/02  12:15:00,824.1712490016723,32.82988837477732
 01/02  12:30:00,981.5862516744028,33.57901053125604
 01/02  12:45:00,1137.67132312763,32.02867829130718
 01/02  13:00:00,1361.3735942698772,30.484033028845204
 01/02  13:15:00,1510.0499546943606,28.95136266067756
