Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,1982.52830456406,0.0
 01/01  00:30:00,1993.305065915744,0.0
 01/01  00:45:00,1965.6051688790271,0.0
 01/01  01:00:00,1946.191495710939,0.0
 01/01  01:15:00,1959.769832953972,0.0
 01/01  01:30:00,1973.6936996126851,0.0
 01/01  01:45:00,1978.982860449644,0.0
 01/01  02:00:00,1981.201757827823,0.0
 01/01  02:15:00,2008.5171904137765,0.0
 01/01  02:30:00,2046.152242446763,0.0
 01/01  02:45:00,2071.88635025575,0.0
 01/01  03:00:00,2092.6148185712163,0.0
 01/01  03:15:00,2102.961161456413,0.0
 01/01  03:30:00,2118.009570934677,0.0
 01/01  03:45:00,2131.546180987156,0.0
 01/01  04:00:00,2138.012215866104,0.0
 01/01  04:15:00,2131.251364166318,0.0
 01/01  04:30:00,2135.5040521953038,0.0
 01/01  04:45:00,2146.7877742630776,0.0
 01/01  05:00:00,2145.224851971013,0.0
 01/01  05:15:00,2146.304621530808,0.0
 01/01  05:30:00,2146.819707177197,0.0
 01/01  05:45:00,2157.639624145943,0.0
 01/01  06:00:00,3468.7833333165504,0.0
 01/01  06:15:00,5016.830269268463,0.0
 01/01  06:30:00,6377.856745140689,0.0
 01/01  06:45:00,6250.587600424573,0.0
 01/01  07:00:00,6388.277006517033,0.0
 01/01  07:15:00,4681.552367787946,0.0
 01/01  07:30:00,4740.285980523772,0.0
 01/01  07:45:00,1245.1199693930132,0.0
 01/01  08:00:00,1509.2552786195645,0.0
 01/01  08:15:00,1787.560655487876,0.0
 01/01  08:30:00,2096.107150688581,0.0
 01/01  08:45:00,2210.840232572585,0.0
 01/01  09:00:00,2184.352993027712,3.5956126819173964
 01/01  09:15:00,2226.963266775677,5.398583980404862
 01/01  09:30:00,2254.5125477270585,6.928891050704784
 01/01  09:45:00,2270.173072159568,9.243903200242334
 01/01  10:00:00,2271.0241935621743,11.560982316713787
 01/01  10:15:00,2298.302066047028,13.891502035034433
 01/01  10:30:00,2329.5075512444914,16.228311792634454
 01/01  10:45:00,2354.1106274585336,18.18258523968406
