Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,374.5155677622411,0.0
 01/01  00:30:00,407.9328489705302,0.0
 01/01  00:45:00,382.8504367756364,0.0
 01/01  01:00:00,378.1488054095445,0.0
 01/01  01:15:00,407.3558855125543,0.0
 01/01  01:30:00,439.24201589014905,0.0
 01/01  01:45:00,437.5818768146761,0.0
 01/01  02:00:00,407.3986359137234,0.0
 01/01  02:15:00,414.33163075837945,0.0
 01/01  02:30:00,463.8739373563456,0.0
 01/01  02:45:00,473.45664886513566,0.0
 01/01  03:00:00,449.4381886277114,0.0
 01/01  03:15:00,439.2878843818884,0.0
 01/01  03:30:00,462.8233941825542,0.0
 01/01  03:45:00,495.59406832565605,0.0
 01/01  04:00:00,497.392216602706,0.0
 01/01  04:15:00,463.88659477974034,0.0
 01/01  04:30:00,471.63545565635536,0.0
 01/01  04:45:00,518.8279183591317,0.0
 01/01  05:00:00,543.7419641847598,0.0
 01/01  05:15:00,532.1064482325708,0.0
 01/01  05:30:00,528.4598265844713,0.0
 01/01  05:45:00,566.5595406647678,0.0
 01/01  06:00:00,2263.815064513917,0.0
 01/01  06:15:00,3968.3470950193646,0.0
 01/01  06:30:00,5931.1481508344405,0.0
 01/01  06:45:00,5765.228755963472,0.0
 01/01  07:00:00,5957.475836404588,0.0
 01/01  07:15:00,4194.020124764027,0.0
 01/01  07:30:00,4203.827799714718,0.0
 01/01  07:45:00,465.08275226887,0.0
 01/01  08:00:00,443.67825905889407,0.0
 01/01  08:15:00,559.5509680325866,0.0
 01/01  08:30:00,641.0987519177352,0.0
 01/01  08:45:00,747.3832773489385,0.0
 01/01  09:00:00,702.8336917669463,17.64125976436967
 01/01  09:15:00,721.5777803583732,26.516081877907325
 01/01  09:30:00,782.5454546684929,60.700240526056874
 01/01  09:45:00,764.7875958587721,87.2446292070638
 01/01  10:00:00,687.9954950472318,108.74977951591369
 01/01  10:15:00,656.8726801593397,142.45882260315645
 01/01  10:30:00,672.53670038936,168.81132920028327
 01/01  10:45:00,674.7977957158944,190.78512556830424
 01/01  11:00:00,640.4003679943785,214.36637914802665
 01/01  11:15:00,598.6891606128514,239.13166397292298
 01/01  11:30:00,587.8911144018284,264.67238392503805
 01/01  11:45:00,614.1433021261796,274.1950441622786
 01/01  12:00:00,600.6418237374324,284.0481603661232
 01/01  12:15:00,548.9522596690884,293.871065242533
 01/01  12:30:00,531.107848699612,303.5846425458751
 01/01  12:45:00,551.1594431269746,293.8413841647086
 01/01  13:00:00,565.0747561552886,284.2707242510917
 01/01  13:15:00,549.1686271754803,274.7609301017835
 01/01  13:30:00,516.0026794097387,265.3787483510693
 01/01  13:45:00,518.8708572219502,244.35272909193543
 01/01  14:00:00,562.3044118714655,223.9413368097395
 01/01  14:15:00,570.7919503658427,191.31447739111806
 01/01  14:30:00,540.9836414215614,173.31856986414576
 01/01  14:45:00,540.3119803001524,151.01185676180103
 01/01  15:00:00,573.6001893405478,129.61642012114405
 01/01  15:15:00,604.8144988802101,109.17658393368863
 01/01  15:30:00,603.8836919561753,89.79402726455328
 01/01  15:45:00,586.7408955873526,70.34553775027071
 01/01  16:00:00,603.0444076446107,44.46043232165379
 01/01  16:15:00,1080.2225335772418,25.510160304075875
 01/01  16:30:00,1099.477159351945,9.120299162866775
 01/01  16:45:00,5001.179229462466,0.0
 01/01  17:00:00,4331.556399898509,0.0
