Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,1583.5200739696222,0.0
 01/01  00:30:00,1592.394472643924,0.0
 01/01  00:45:00,1564.765361327205,0.0
 01/01  01:00:00,1542.5699314550466,0.0
 01/01  01:15:00,1561.874389738967,0.0
 01/01  01:30:00,1576.431112765472,0.0
 01/01  01:45:00,1581.6988270803392,0.0
 01/01  02:00:00,1585.1160458321367,0.0
 01/01  02:15:00,1600.5777025550738,0.0
 01/01  02:30:00,1625.4213577573823,0.0
 01/01  02:45:00,1637.153620303992,0.0
 01/01  03:00:00,1645.505466638291,0.0
 01/01  03:15:00,1658.8354368520822,0.0
 01/01  03:30:00,1678.0775548555885,0.0
 01/01  03:45:00,1698.0657742640162,0.0
 01/01  04:00:00,1709.1702120831458,0.0
 01/01  04:15:00,1715.8240422617455,0.0
 01/01  04:30:00,1732.572099624742,0.0
 01/01  04:45:00,1751.9384542900882,0.0
 01/01  05:00:00,1766.984835109576,0.0
 01/01  05:15:00,1779.847289887513,0.0
 01/01  05:30:00,1795.777266800803,0.0
 01/01  05:45:00,1820.6371478980775,0.0
 01/01  06:00:00,3175.063842797505,0.0
 01/01  06:15:00,4722.993267328026,0.0
 01/01  06:30:00,6301.464371608554,0.0
 01/01  06:45:00,6153.750127940966,0.0
 01/01  07:00:00,6326.772158403976,0.0
 01/01  07:15:00,4598.026487324511,0.0
 01/01  07:30:00,4650.900678420174,0.0
 01/01  07:45:00,1047.3553903314453,0.0
 01/01  08:00:00,1262.92665178571,0.0
 01/01  08:15:00,1521.5170358510231,0.0
 01/01  08:30:00,1850.915997973364,0.0
 01/01  08:45:00,2002.6131325925971,0.0
 01/01  09:00:00,1946.1084257434743,16.747775494916624
 01/01  09:15:00,1986.0294230106635,25.75357330262844
 01/01  09:30:00,2003.880352520622,45.44458750119892
 01/01  09:45:00,2002.1462366465369,81.92806217112815
 01/01  10:00:00,1980.8394858603008,120.66463244660834
 01/01  10:15:00,1975.417428669292,151.4876555072138
 01/01  10:30:00,1966.770975396392,184.54734634622866
 01/01  10:45:00,1950.1448580265692,211.93034935680905
 01/01  11:00:00,1924.7244127863216,240.48627685093354
 01/01  11:15:00,1888.803615464005,269.5824291326426
 01/01  11:30:00,1855.515016778208,298.9816581586143
 01/01  11:45:00,1833.4707435716684,308.913314825639
 01/01  12:00:00,1801.4103572864676,318.4542846985922
 01/01  12:15:00,1748.9885451185871,326.7881050715807
 01/01  12:30:00,1706.7058266348809,334.2926696877909
 01/01  12:45:00,1680.059740034637,311.89787501109066
 01/01  13:00:00,1658.4117998087193,289.4713836190826
 01/01  13:15:00,1671.8663582950708,251.07264071985878
 01/01  13:30:00,1662.1393975918768,229.2188674915726
 01/01  13:45:00,1668.4576912945229,204.20241811461736
 01/01  14:00:00,1698.5625926570062,165.67476534192824
 01/01  14:15:00,1717.2064125100726,143.35582286137216
 01/01  14:30:00,1735.5572223452857,121.63807129910015
 01/01  14:45:00,1762.352359400414,99.28486216791575
 01/01  15:00:00,1813.010934689997,77.52490738016117
 01/01  15:15:00,1848.217834378164,50.14738948760161
 01/01  15:30:00,1875.420880208648,31.55883376059731
 01/01  15:45:00,1894.6773236462068,23.404005530752983
 01/01  16:00:00,1922.5138015230968,16.619333908557362
 01/01  16:15:00,2211.847197222992,9.838681455734717
 01/01  16:30:00,2197.668110435519,3.2033309853564464
 01/01  16:45:00,5257.425429212191,0.0
 01/01  17:00:00,4913.940931057681,0.0
 01/01  17:15:00,8175.398014549887,0.0
 01/01  17:30:00,8155.550276318418,0.0
 01/01  17:45:00,6564.9240692563735,0.0
 01/01  18:00:00,5107.335741686983,0.0
 01/01  18:15:00,4867.260037455018,0.0
 01/01  18:30:00,4864.644519593947,0.0
 01/01  18:45:00,6647.108269263056,0.0
 01/01  19:00:00,6715.624477554768,0.0
 01/01  19:15:00,5452.551519210804,0.0
 01/01  19:30:00,4879.280063910317,0.0
 01/01  19:45:00,4757.833150078282,0.0
 01/01  20:00:00,4924.159642262122,0.0
 01/01  20:15:00,8190.591620407904,0.0
 01/01  20:30:00,8101.872276195159,0.0
 01/01  20:45:00,5437.035243911807,0.0
 01/01  21:00:00,4843.591088400332,0.0
 01/01  21:15:00,4843.367089356514,0.0
 01/01  21:30:00,4726.614802163881,0.0
 01/01  21:45:00,4718.267098612792,0.0
 01/01  22:00:00,4762.925061271579,0.0
 01/01  22:15:00,4797.332820281925,0.0
 01/01  22:30:00,2800.7443724516656,0.0
 01/01  22:45:00,1135.5421825441542,0.0
 01/01  23:00:00,1123.022638646407,0.0
 01/01  23:15:00,1278.617915803218,0.0
 01/01  23:30:00,1461.3278150038452,0.0
 01/01  23:45:00,1620.24299763427,0.0
 01/01  24:00:00,1634.614964273601,0.0
 01/02  00:15:00,2286.012966684101,0.0
 01/02  00:30:00,1618.2647138833886,0.0
 01/02  00:45:00,1793.2280101235888,0.0
 01/02  01:00:00,1690.6957175477212,0.0
 01/02  01:15:00,1725.0101774726636,0.0
 01/02  01:30:00,1749.660350383862,0.0
 01/02  01:45:00,1755.7923765625876,0.0
 01/02  02:00:00,1761.8217928831473,0.0
 01/02  02:15:00,1781.9358900325944,0.0
 01/02  02:30:00,1809.2625182493691,0.0
 01/02  02:45:00,1826.6786797109855,0.0
 01/02  03:00:00,1833.3380947057417,0.0
 01/02  03:15:00,1844.278922890762,0.0
 01/02  03:30:00,1861.358982763536,0.0
 01/02  03:45:00,1877.442884729074,0.0
 01/02  04:00:00,1886.8787733735053,0.0
 01/02  04:15:00,1888.9416274337548,0.0
 01/02  04:30:00,1906.0037433928424,0.0
 01/02  04:45:00,1923.887659991885,0.0
 01/02  05:00:00,1937.8058780977929,0.0
 01/02  05:15:00,1941.2455297410304,0.0
 01/02  05:30:00,1955.5042390527783,0.0
 01/02  05:45:00,1970.7452262068143,0.0
 01/02  06:00:00,3272.0183582862865,0.0
 01/02  06:15:00,4825.4770433027,0.0
 01/02  06:30:00,6339.224488237355,0.0
 01/02  06:45:00,6201.547431885978,0.0
 01/02  07:00:00,6353.384597877715,0.0
 01/02  07:15:00,4636.570119798994,0.0
 01/02  07:30:00,4691.721060637183,0.0
 01/02  07:45:00,1126.2359120253802,0.0
 01/02  08:00:00,1355.5367678715063,0.0
 01/02  08:15:00,1623.5830396932802,0.0
 01/02  08:30:00,1946.2039749806452,0.0
 01/02  08:45:00,2074.206583892127,0.0
 01/02  09:00:00,2048.9911061173216,3.605549767331568
 01/02  09:15:00,2094.031344937861,5.407633611896294
 01/02  09:30:00,2126.7043543277405,6.938694864273041
 01/02  09:45:00,2142.343252758468,8.867519225594235
 01/02  10:00:00,2150.0301600638863,10.797734856094577
 01/02  10:15:00,2167.20361655377,12.72961835080013
 01/02  10:30:00,2189.7374427759723,14.662948786486755
 01/02  10:45:00,2205.947333311943,17.95489799644418
 01/02  11:00:00,2212.5846258689457,21.24944855108784
 01/02  11:15:00,2216.1000536085467,24.547193738890584
 01/02  11:30:00,2228.563627048437,27.84755592226806
 01/02  11:45:00,2249.8330503180664,28.427336339902077
 01/02  12:00:00,2256.400710721595,29.0087550935307
 01/02  12:15:00,2261.6780073952677,29.597822620615382
 01/02  12:30:00,2276.911383641572,30.187511483680307
 01/02  12:45:00,2298.438144904369,26.88887618799039
 01/02  13:00:00,2321.490232174718,23.59353858594589
 01/02  13:15:00,2319.968190268118,20.284172034416923
 01/02  13:30:00,2318.3180796228444,16.981448262966794
 01/02  13:45:00,2323.7055566488257,15.23160318873041
 01/02  14:00:00,2336.892873609072,13.484079378880535
 01/02  14:15:00,2342.0066539966133,11.744152335843681
 01/02  14:30:00,2341.1993596246107,10.005644019231141
 01/02  14:45:00,2346.79744016254,10.196160096716651
 01/02  15:00:00,2359.7403611808545,10.38666683650515
 01/02  15:15:00,2369.758027235336,10.577745540934224
 01/02  15:30:00,2371.345263515061,10.769977092050759
 01/02  15:45:00,2371.1057347779088,8.648222992524083
 01/02  16:00:00,2380.033275157629,6.529189330419043
 01/02  16:15:00,2601.6030191296363,4.414604775304088
 01/02  16:30:00,2582.9681787535765,2.301240221040411
 01/02  16:45:00,5375.438463147879,0.0
 01/02  17:00:00,5038.450376273384,0.0
 01/02  17:15:00,8177.990165815214,0.0
 01/02  17:30:00,8157.332355019631,0.0
 01/02  17:45:00,6698.806132859201,0.0
 01/02  18:00:00,5229.61406289741,0.0
 01/02  18:15:00,4982.602221088693,0.0
 01/02  18:30:00,4972.788947137455,0.0
 01/02  18:45:00,6749.469875281076,0.0
 01/02  19:00:00,6813.146437958871,0.0
 01/02  19:15:00,5549.414041195111,0.0
 01/02  19:30:00,4976.392518097296,0.0
 01/02  19:45:00,4855.583011138193,0.0
 01/02  20:00:00,5023.406490642303,0.0
 01/02  20:15:00,8192.183434726297,0.0
 01/02  20:30:00,8103.486481144713,0.0
 01/02  20:45:00,5650.107240402049,0.0
 01/02  21:00:00,4987.191525476546,0.0
 01/02  21:15:00,4957.553151730735,0.0
 01/02  21:30:00,4851.91796519766,0.0
 01/02  21:45:00,4841.065038956116,0.0
 01/02  22:00:00,4884.077951552579,0.0
 01/02  22:15:00,4903.597723839104,0.0
 01/02  22:30:00,3025.29354092111,0.0
 01/02  22:45:00,1301.8861142545604,0.0
 01/02  23:00:00,1439.4458687203469,0.0
 01/02  23:15:00,1626.2082946149271,0.0
 01/02  23:30:00,1800.9958734123004,0.0
 01/02  23:45:00,1927.755164355338,0.0
 01/02  24:00:00,1924.887641949774,0.0
 01/03  00:15:00,1973.1529435364007,0.0
 01/03  00:30:00,1990.197663291635,0.0
 01/03  00:45:00,1999.754433085612,0.0
 01/03  01:00:00,2013.2630590265487,0.0
 01/03  01:15:00,2034.8910582483036,0.0
 01/03  01:30:00,2053.4515126895817,0.0
 01/03  01:45:00,2062.6090903874506,0.0
 01/03  02:00:00,2068.4974055611574,0.0
 01/03  02:15:00,2084.040389548346,0.0
 01/03  02:30:00,2108.1724190072537,0.0
 01/03  02:45:00,2120.7268434331795,0.0
 01/03  03:00:00,2126.127364098032,0.0
 01/03  03:15:00,2129.572062842576,0.0
 01/03  03:30:00,2139.688506519452,0.0
 01/03  03:45:00,2149.184277589873,0.0
 01/03  04:00:00,2149.322362256426,0.0
 01/03  04:15:00,2142.6967617861,0.0
 01/03  04:30:00,2145.726883478905,0.0
 01/03  04:45:00,2157.6616090025536,0.0
 01/03  05:00:00,2158.288469117335,0.0
 01/03  05:15:00,2158.803452547685,0.0
 01/03  05:30:00,2161.661179805135,0.0
 01/03  05:45:00,2174.4213509110778,0.0
 01/03  06:00:00,3503.9068364628893,0.0
 01/03  06:15:00,5008.182611112143,0.0
 01/03  06:30:00,6382.387128705969,0.0
 01/03  06:45:00,6252.038503420592,0.0
 01/03  07:00:00,6388.54783766185,0.0
 01/03  07:15:00,4684.548346162534,0.0
 01/03  07:30:00,4743.063331582277,0.0
 01/03  07:45:00,1243.9954833711993,0.0
 01/03  08:00:00,1493.1185109584776,0.0
 01/03  08:15:00,1777.3840794112143,0.0
 01/03  08:30:00,2014.455782006598,0.0
 01/03  08:45:00,2202.7217543610395,0.0
 01/03  09:00:00,2198.096086971577,2.3996181629227586
 01/03  09:15:00,2240.827985544079,3.5999618399919626
 01/03  09:30:00,2267.1322943147834,4.609243531665923
 01/03  09:45:00,2277.662735614734,6.3379592121973
 01/03  10:00:00,2273.703678098037,8.066227942614754
 01/03  10:15:00,2285.508902311449,9.796659626398174
 01/03  10:30:00,2300.9376812196897,11.527498406476681
 01/03  10:45:00,2309.1344917641245,12.680382532745258
 01/03  11:00:00,2310.118849729297,13.833664063775528
 01/03  11:15:00,2311.3943994207143,14.985849220002741
 01/03  11:30:00,2319.816268724669,16.137774028970018
 01/03  11:45:00,2334.4914151142098,17.86738650317636
 01/03  12:00:00,2337.185529537891,19.596191413592425
 01/03  12:15:00,2327.275321837169,21.320606177055936
 01/03  12:30:00,2327.035306594497,23.043697322068017
 01/03  12:45:00,2336.1660580367693,21.299034037026864
 01/03  13:00:00,2340.5204904884304,19.55947463339703
 01/03  13:15:00,2340.5879122734987,17.822190423794677
 01/03  13:30:00,2336.703869479579,16.086712348195586
 01/03  13:45:00,2342.955616748603,16.271749591346463
 01/03  14:00:00,2355.530722646631,16.45535884957413
 01/03  14:15:00,2349.822671407203,16.631047394407968
 01/03  14:30:00,2338.8505470351943,16.806675787971226
 01/03  14:45:00,2334.935623840136,16.40822731057062
 01/03  15:00:00,2338.273070450202,16.011528380247036
 01/03  15:15:00,2338.698881339232,15.618818209969687
 01/03  15:30:00,2327.951159827658,15.228597413553087
 01/03  15:45:00,2318.479607700729,11.974971732990044
 01/03  16:00:00,2317.6663379180127,8.730343638108911
 01/03  16:15:00,2549.0177395073515,5.496759065839669
 01/03  16:30:00,2522.184616430251,2.269920136282098
 01/03  16:45:00,5344.65672179761,0.0
 01/03  17:00:00,4997.875675217956,0.0
 01/03  17:15:00,8177.167576110198,0.0
 01/03  17:30:00,8156.975501844661,0.0
 01/03  17:45:00,6661.837389946782,0.0
 01/03  18:00:00,5184.956722176041,0.0
 01/03  18:15:00,4937.436983809574,0.0
 01/03  18:30:00,4928.95693619992,0.0
 01/03  18:45:00,6705.569006420412,0.0
 01/03  19:00:00,6768.487527527836,0.0
 01/03  19:15:00,5501.859839175951,0.0
 01/03  19:30:00,4925.258139815255,0.0
 01/03  19:45:00,4800.950210891305,0.0
 01/03  20:00:00,4965.044083524839,0.0
 01/03  20:15:00,8191.03185904943,0.0
 01/03  20:30:00,8101.941385772313,0.0
 01/03  20:45:00,5541.238425074351,0.0
 01/03  21:00:00,4920.099770428253,0.0
 01/03  21:15:00,4891.169242546876,0.0
 01/03  21:30:00,4784.615208151868,0.0
 01/03  21:45:00,4773.2182637778415,0.0
 01/03  22:00:00,4814.756070781969,0.0
 01/03  22:15:00,4826.999224934107,0.0
 01/03  22:30:00,2735.880856105417,0.0
 01/03  22:45:00,1210.171552468607,0.0
 01/03  23:00:00,1180.5447965128035,0.0
 01/03  23:15:00,1318.8480287631985,0.0
 01/03  23:30:00,1478.422150241866,0.0
 01/03  23:45:00,1539.6574506363113,0.0
 01/03  24:00:00,1591.9546832844812,0.0
 01/04  00:15:00,3318.472671492837,0.0
 01/04  00:30:00,2461.7456859851213,0.0
 01/04  00:45:00,2767.043589997438,0.0
 01/04  01:00:00,1425.4213225477258,0.0
 01/04  01:15:00,1494.965458307865,0.0
 01/04  01:30:00,1544.918779692719,0.0
 01/04  01:45:00,1537.0287869369704,0.0
 01/04  02:00:00,1579.6626474475688,0.0
 01/04  02:15:00,1576.837150755655,0.0
 01/04  02:30:00,1593.9703684477524,0.0
 01/04  02:45:00,1598.7472359166693,0.0
 01/04  03:00:00,1597.4054468749775,0.0
 01/04  03:15:00,1593.0731396927424,0.0
 01/04  03:30:00,1598.0435043190791,0.0
 01/04  03:45:00,1603.1986351991957,0.0
 01/04  04:00:00,1597.7934739040593,0.0
 01/04  04:15:00,1590.353692390432,0.0
 01/04  04:30:00,1592.6685967099663,0.0
