Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,1262.581388515165,0.0
 01/01  00:30:00,1310.8485789226563,0.0
 01/01  00:45:00,1297.5210398184247,0.0
 01/01  01:00:00,1348.3832869389646,0.0
 01/01  01:15:00,1355.9489409367025,0.0
 01/01  01:30:00,1360.2351006676531,0.0
 01/01  01:45:00,1357.989767765741,0.0
 01/01  02:00:00,1355.9084673247623,0.0
 01/01  02:15:00,1365.3165870566727,0.0
 01/01  02:30:00,1381.4625287908293,0.0
 01/01  02:45:00,1388.7723350123,0.0
 01/01  03:00:00,1390.5686655351735,0.0
 01/01  03:15:00,1395.4531130338785,0.0
 01/01  03:30:00,1408.965489262017,0.0
 01/01  03:45:00,1419.384937911292,0.0
 01/01  04:00:00,1426.6402920904063,0.0
 01/01  04:15:00,1425.8902498895632,0.0
 01/01  04:30:00,1432.992082157694,0.0
 01/01  04:45:00,1446.4027535873468,0.0
 01/01  05:00:00,1452.7439689832645,0.0
 01/01  05:15:00,1448.9684403696851,0.0
 01/01  05:30:00,1447.5505479511269,0.0
 01/01  05:45:00,1452.3931769877456,0.0
 01/01  06:00:00,2909.613435191477,0.0
 01/01  06:15:00,4494.284358849402,0.0
 01/01  06:30:00,6187.020888183941,0.0
 01/01  06:45:00,6028.038118837359,0.0
 01/01  07:00:00,6230.263550149729,0.0
 01/01  07:15:00,4477.15271904432,0.0
 01/01  07:30:00,4504.202762591191,0.0
 01/01  07:45:00,839.8612145906477,0.0
 01/01  08:00:00,972.46709598998,0.0
 01/01  08:15:00,1166.7174587100542,0.0
 01/01  08:30:00,1476.4636159198271,0.0
 01/01  08:45:00,1636.592978239961,0.0
 01/01  09:00:00,1563.8043384712676,4.751836143449293
 01/01  09:15:00,1589.9218326060504,7.123591981823001
 01/01  09:30:00,1609.5448926178722,9.15149961935735
 01/01  09:45:00,1611.2148381487134,12.200179157079464
 01/01  10:00:00,1599.3965126291776,15.247293994058095
 01/01  10:15:00,1597.1481879987173,18.28677346057347
 01/01  10:30:00,1598.9185333433952,21.322930304919993
 01/01  10:45:00,1594.6729052208198,23.207364194146802
 01/01  11:00:00,1582.0158188191867,25.090677493319024
 01/01  11:15:00,1579.3238966016538,26.98567606082375
