Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,1003.6313482543214,0.0
 01/01  00:30:00,1062.2857388828234,0.0
 01/01  00:45:00,1059.8218756396093,0.0
 01/01  01:00:00,1087.854594152445,0.0
 01/01  01:15:00,1126.5344680398855,0.0
 01/01  01:30:00,1162.0301442805965,0.0
 01/01  01:45:00,1159.6373515184443,0.0
 01/01  02:00:00,1131.814845485097,0.0
 01/01  02:15:00,1151.2613821405837,0.0
 01/01  02:30:00,1191.1289238185818,0.0
 01/01  02:45:00,1197.4668661262738,0.0
 01/01  03:00:00,1167.8749453863836,0.0
 01/01  03:15:00,1186.0592743837756,0.0
 01/01  03:30:00,1196.168062090147,0.0
 01/01  03:45:00,1213.4447449456952,0.0
 01/01  04:00:00,1207.8479518317731,0.0
 01/01  04:15:00,1210.1588445303828,0.0
 01/01  04:30:00,1222.5969250633073,0.0
 01/01  04:45:00,1235.3902820063474,0.0
 01/01  05:00:00,1243.8422059923662,0.0
 01/01  05:15:00,1252.7185800244088,0.0
 01/01  05:30:00,1262.2322861027528,0.0
 01/01  05:45:00,1277.7831640533404,0.0
 01/01  06:00:00,2714.2427934127672,0.0
 01/01  06:15:00,4455.938690098754,0.0
 01/01  06:30:00,6136.265004265988,0.0
 01/01  06:45:00,5980.597228190249,0.0
 01/01  07:00:00,6179.667290993062,0.0
 01/01  07:15:00,4421.492283977835,0.0
 01/01  07:30:00,4432.991374163721,0.0
 01/01  07:45:00,731.1558656308492,0.0
 01/01  08:00:00,786.6898894896007,0.0
 01/01  08:15:00,961.7550962710006,0.0
 01/01  08:30:00,1325.2281107455144,0.0
 01/01  08:45:00,1427.4986019477467,0.0
 01/01  09:00:00,1397.0882543602854,7.927997141832133
 01/01  09:15:00,1411.577414001035,11.89018563649104
 01/01  09:30:00,1454.0261082844424,16.167176177135016
 01/01  09:45:00,1456.5686830084271,22.67164863512984
 01/01  10:00:00,1420.5985212897078,28.82739697005661
 01/01  10:15:00,1442.1692576834048,35.02657189045924
 01/01  10:30:00,1432.020154932181,41.3259819725789
 01/01  10:45:00,1425.95991546959,48.689392258255815
 01/01  11:00:00,1414.498183475787,56.21852227710737
 01/01  11:15:00,1403.3732084546446,63.96516384716989
 01/01  11:30:00,1398.7775270515672,71.94696266432219
 01/01  11:45:00,1405.8648801836457,70.05689959465666
 01/01  12:00:00,1404.6135030824546,68.6092672762699
 01/01  12:15:00,1399.130485010948,67.47032632805065
 01/01  12:30:00,1400.0556649951518,66.57172671071298
 01/01  12:45:00,1405.5541504312616,68.38806533780308
 01/01  13:00:00,1404.1031323881853,70.39082768587663
 01/01  13:15:00,1399.1591386909072,72.60476277344436
 01/01  13:30:00,1388.0877511803958,75.07051226784947
