Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,1905.781276333136,0.0
 01/01  00:30:00,1917.9082598714283,0.0
 01/01  00:45:00,1891.518146477132,0.0
 01/01  01:00:00,1872.912277759851,0.0
 01/01  01:15:00,1882.4078640511605,0.0
 01/01  01:30:00,1892.1195517318392,0.0
 01/01  01:45:00,1894.377446120017,0.0
 01/01  02:00:00,1892.4658924772627,0.0
 01/01  02:15:00,1905.7628881559936,0.0
 01/01  02:30:00,1925.253632460543,0.0
 01/01  02:45:00,1934.6210730532748,0.0
 01/01  03:00:00,1936.516389964364,0.0
 01/01  03:15:00,1946.4092954065372,0.0
 01/01  03:30:00,1963.2322172445192,0.0
 01/01  03:45:00,1978.81568683988,0.0
 01/01  04:00:00,1986.7420662031325,0.0
 01/01  04:15:00,1987.361389857493,0.0
 01/01  04:30:00,2000.7146718121292,0.0
 01/01  04:45:00,2020.1014918222545,0.0
 01/01  05:00:00,2028.62366220798,0.0
 01/01  05:15:00,2036.71527578317,0.0
 01/01  05:30:00,2048.402782203015,0.0
 01/01  05:45:00,2066.7394065052936,0.0
 01/01  06:00:00,3369.4433522589484,0.0
 01/01  06:15:00,5193.074504761708,0.0
 01/01  06:30:00,6326.725077156259,0.0
 01/01  06:45:00,6230.840755702383,0.0
 01/01  07:00:00,6363.073468490164,0.0
 01/01  07:15:00,4652.489595848105,0.0
 01/01  07:30:00,4707.113050920094,0.0
 01/01  07:45:00,1202.009983877529,0.0
 01/01  08:00:00,1462.9227541879447,0.0
 01/01  08:15:00,1749.0245737162072,0.0
 01/01  08:30:00,2057.801476359185,0.0
 01/01  08:45:00,2188.569107156361,0.0
 01/01  09:00:00,2154.8947534727213,14.701101378909556
 01/01  09:15:00,2192.0511533201293,21.701577486872534
 01/01  09:30:00,2212.4273017391515,31.24006956445686
 01/01  09:45:00,2221.6306747426,46.9285277383796
 01/01  10:00:00,2202.8161635798374,61.40173485352388
 01/01  10:15:00,2199.5843624179124,72.77437886779471
 01/01  10:30:00,2201.67914839968,83.89202650494514
 01/01  10:45:00,2206.5446862643053,91.55177019533227
 01/01  11:00:00,2207.991476072591,98.76816733057944
 01/01  11:15:00,2202.488072289244,105.82377104603366
 01/01  11:30:00,2210.828885567373,113.91720221756187
 01/01  11:45:00,2225.228511147994,118.6181159619212
 01/01  12:00:00,2231.2997409317363,123.81967927330004
 01/01  12:15:00,2214.7251041506133,128.8988585501974
 01/01  12:30:00,2201.6423791819648,133.72160229150154
 01/01  12:45:00,2197.145299886586,130.82979310943264
 01/01  13:00:00,2187.494930390288,127.56009179631288
 01/01  13:15:00,2177.0614966250278,122.23764576337231
 01/01  13:30:00,2163.457973270092,118.62486965652329
 01/01  13:45:00,2161.879060554922,109.57718766301547
 01/01  14:00:00,2171.338286066922,99.15145816840588
 01/01  14:15:00,2173.1053857734505,90.85946466671042
 01/01  14:30:00,2172.168806567788,82.71411313298259
 01/01  14:45:00,2181.7514069902795,71.19801598077298
 01/01  15:00:00,2205.161654585366,59.38630149061594
 01/01  15:15:00,2226.2772442929822,45.91217224572244
 01/01  15:30:00,2243.406307708624,33.24891762996351
 01/01  15:45:00,2253.450909541149,25.66251831091003
 01/01  16:00:00,2272.0574781186056,18.23458114467228
 01/01  16:15:00,2537.984848492621,10.805763077887924
 01/01  16:30:00,2524.271037377777,3.501245973505992
 01/01  16:45:00,5331.847502999013,0.0
 01/01  17:00:00,4988.561537622039,0.0
 01/01  17:15:00,8177.1044283630545,0.0
 01/01  17:30:00,8156.996939051898,0.0
 01/01  17:45:00,6666.842554047367,0.0
 01/01  18:00:00,5195.727407207402,0.0
 01/01  18:15:00,4953.60200767867,0.0
 01/01  18:30:00,4950.569056139551,0.0
 01/01  18:45:00,6733.442880968345,0.0
 01/01  19:00:00,6802.407531473707,0.0
 01/01  19:15:00,5539.256652582417,0.0
 01/01  19:30:00,4965.866343966678,0.0
 01/01  19:45:00,4843.845815501415,0.0
 01/01  20:00:00,5010.602366096159,0.0
 01/01  20:15:00,8192.025961983898,0.0
 01/01  20:30:00,8102.996345185424,0.0
 01/01  20:45:00,5632.5881990266025,0.0
 01/01  21:00:00,4978.714581509566,0.0
 01/01  21:15:00,4950.208220463936,0.0
 01/01  21:30:00,4847.305162173485,0.0
 01/01  21:45:00,4837.646194272036,0.0
 01/01  22:00:00,4882.88108986344,0.0
 01/01  22:15:00,4901.393980195744,0.0
 01/01  22:30:00,3074.849977932161,0.0
 01/01  22:45:00,1314.7060316609789,0.0
 01/01  23:00:00,1459.9072073209911,0.0
 01/01  23:15:00,1654.5620578291744,0.0
 01/01  23:30:00,1820.6967550353,0.0
 01/01  23:45:00,1942.9517591177623,0.0
 01/01  24:00:00,1949.839013255992,0.0
 01/02  00:15:00,2592.257762091883,0.0
 01/02  00:30:00,1935.407364958424,0.0
 01/02  00:45:00,2100.331363139087,0.0
 01/02  01:00:00,1995.4090308944112,0.0
 01/02  01:15:00,2026.3393359279503,0.0
 01/02  01:30:00,2046.153114217987,0.0
 01/02  01:45:00,2053.448964699702,0.0
 01/02  02:00:00,2053.3315455552465,0.0
 01/02  02:15:00,2069.9280419919214,0.0
 01/02  02:30:00,2091.684841039073,0.0
 01/02  02:45:00,2103.537625389929,0.0
 01/02  03:00:00,2109.0210277556894,0.0
 01/02  03:15:00,2115.36011624721,0.0
 01/02  03:30:00,2130.793480653741,0.0
 01/02  03:45:00,2144.1362539469874,0.0
 01/02  04:00:00,2150.324756604287,0.0
 01/02  04:15:00,2149.8398441431345,0.0
 01/02  04:30:00,2160.797215164815,0.0
 01/02  04:45:00,2178.7982438481,0.0
 01/02  05:00:00,2186.7144224568287,0.0
 01/02  05:15:00,2188.320914940581,0.0
 01/02  05:30:00,2195.134350352857,0.0
 01/02  05:45:00,2210.96859474916,0.0
 01/02  06:00:00,3514.0157068482035,0.0
 01/02  06:15:00,5065.210808416061,0.0
 01/02  06:30:00,6385.415037018476,0.0
 01/02  06:45:00,6264.4095090302135,0.0
 01/02  07:00:00,6403.274655906747,0.0
 01/02  07:15:00,4701.837346934644,0.0
 01/02  07:30:00,4764.3982358454,0.0
 01/02  07:45:00,1292.356953428137,0.0
 01/02  08:00:00,1578.454285617804,0.0
 01/02  08:15:00,1862.90354272808,0.0
 01/02  08:30:00,2100.428346318304,0.0
 01/02  08:45:00,2267.841779431994,0.0
 01/02  09:00:00,2267.0842616265763,3.9411404942938564
 01/02  09:15:00,2310.254291408869,5.910883453773785
 01/02  09:30:00,2341.863579839184,7.626873010226847
 01/02  09:45:00,2358.2961642131377,9.745708258419217
 01/02  10:00:00,2361.596864073272,11.865226988418357
 01/02  10:15:00,2377.9379632795435,13.985731973754879
 01/02  10:30:00,2400.21060100011,16.10702095219772
 01/02  10:45:00,2413.0169343923685,19.71676766598729
 01/02  11:00:00,2419.55324657108,23.327633336064324
 01/02  11:15:00,2422.042350252229,26.940359454044103
 01/02  11:30:00,2433.183814497568,30.554386893804487
 01/02  11:45:00,2451.652533896091,31.189712447577836
 01/02  12:00:00,2458.8613963774515,31.826610734608735
 01/02  12:15:00,2462.3422215962223,32.47169110333518
 01/02  12:30:00,2474.7971540222616,33.11730664726415
