Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,1249.079956057337,0.0
 01/01  00:30:00,1297.163688491804,0.0
 01/01  00:45:00,1283.3795383576714,0.0
 01/01  01:00:00,1327.4694104100645,0.0
 01/01  01:15:00,1341.8628952392114,0.0
 01/01  01:30:00,1345.8943036386702,0.0
 01/01  01:45:00,1336.8008414091516,0.0
 01/01  02:00:00,1340.6579237923663,0.0
 01/01  02:15:00,1348.3246885144492,0.0
 01/01  02:30:00,1363.6018569463024,0.0
 01/01  02:45:00,1372.9390095710887,0.0
 01/01  03:00:00,1373.5719251158364,0.0
 01/01  03:15:00,1380.8248952845,0.0
 01/01  03:30:00,1392.5522857830356,0.0
 01/01  03:45:00,1403.9122282399617,0.0
 01/01  04:00:00,1412.0030659429056,0.0
 01/01  04:15:00,1409.860656210545,0.0
 01/01  04:30:00,1417.208985362904,0.0
 01/01  04:45:00,1431.5886111457826,0.0
 01/01  05:00:00,1436.4286903967468,0.0
 01/01  05:15:00,1434.174332313764,0.0
 01/01  05:30:00,1431.854343881897,0.0
 01/01  05:45:00,1437.9428734603653,0.0
 01/01  06:00:00,2900.2346459765904,0.0
 01/01  06:15:00,4481.078680704066,0.0
 01/01  06:30:00,6181.452476920802,0.0
 01/01  06:45:00,6022.54906671958,0.0
 01/01  07:00:00,6224.641703136245,0.0
 01/01  07:15:00,4471.420706253167,0.0
 01/01  07:30:00,4497.185390577107,0.0
 01/01  07:45:00,829.1834091276332,0.0
 01/01  08:00:00,957.7934609498192,0.0
 01/01  08:15:00,1152.271223178217,0.0
 01/01  08:30:00,1463.8574586824775,0.0
 01/01  08:45:00,1619.528783728308,0.0
 01/01  09:00:00,1550.9698620623392,5.1940835424907155
 01/01  09:15:00,1576.9615878593108,7.786418140223986
 01/01  09:30:00,1596.1677929600412,10.052806881730719
 01/01  09:45:00,1595.1519746967303,13.398693012361333
 01/01  10:00:00,1586.790289128473,16.741411343856182
 01/01  10:15:00,1583.9436608531207,20.074238089453615
 01/01  10:30:00,1584.6439589196016,23.401895753465702
 01/01  10:45:00,1581.3427169430693,25.467596021280432
 01/01  11:00:00,1568.1531232580353,27.531167122945057
 01/01  11:15:00,1567.4213483339345,29.606697581954325
 01/01  11:30:00,1567.4719441366135,31.681161330218174
 01/01  11:45:00,1581.7774872767168,31.456456026284954
 01/01  12:00:00,1578.4539129567777,31.234518169574706
 01/01  12:15:00,1575.5868491407305,31.020951956084833
 01/01  12:30:00,1583.002178053229,30.80777897712116
 01/01  12:45:00,1594.3072171659094,29.343493821929428
 01/01  13:00:00,1603.5545443122974,27.88090525783775
 01/01  13:15:00,1608.543777044743,26.425032135177908
 01/01  13:30:00,1615.633516792088,24.96897354835839
 01/01  13:45:00,1625.5540218387926,22.887368657601105
 01/01  14:00:00,1648.6515107054315,20.805958710809627
 01/01  14:15:00,1654.2044367808126,18.724200207991053
 01/01  14:30:00,1659.3840995200842,16.64234976522925
 01/01  14:45:00,1668.9028314059606,14.560494439619497
 01/01  15:00:00,1685.693663506664,12.478735752448664
 01/01  15:15:00,1702.7136986861706,10.398895007343718
 01/01  15:30:00,1711.9439824396584,8.31871611785394
 01/01  15:45:00,1717.995167165044,6.86307905265139
 01/01  16:00:00,1733.6181403512337,5.4071638721741895
 01/01  16:15:00,2069.7910945427866,3.9508296142705897
 01/01  16:30:00,2042.163157712862,2.4946722097248
 01/01  16:45:00,5167.509935260688,0.0
 01/01  17:00:00,4761.1122028677655,0.0
 01/01  17:15:00,8171.798082254158,0.0
 01/01  17:30:00,8151.382464055239,0.0
 01/01  17:45:00,6388.968381721721,0.0
 01/01  18:00:00,4954.619343839047,0.0
 01/01  18:15:00,4705.004460422702,0.0
 01/01  18:30:00,4706.380742864152,0.0
 01/01  18:45:00,6477.671243207054,0.0
 01/01  19:00:00,6540.957486775787,0.0
 01/01  19:15:00,5276.877857228296,0.0
 01/01  19:30:00,4704.931607211366,0.0
 01/01  19:45:00,4583.96360904187,0.0
 01/01  20:00:00,4750.914193687836,0.0
 01/01  20:15:00,8187.279896740802,0.0
 01/01  20:30:00,8024.779146602529,0.0
 01/01  20:45:00,5133.854084683659,0.0
 01/01  21:00:00,4653.263497262755,0.0
 01/01  21:15:00,4627.66143023887,0.0
 01/01  21:30:00,4521.284337813621,0.0
 01/01  21:45:00,4510.358039947085,0.0
 01/01  22:00:00,4553.781951635818,0.0
 01/01  22:15:00,4582.332951907541,0.0
 01/01  22:30:00,2346.9155623154165,0.0
 01/01  22:45:00,793.187363564626,0.0
 01/01  23:00:00,749.6588793833187,0.0
 01/01  23:15:00,879.7299129161731,0.0
 01/01  23:30:00,1065.328646764489,0.0
 01/01  23:45:00,1163.5202253019431,0.0
 01/01  24:00:00,1185.726472136805,0.0
 01/02  00:15:00,1944.671646770728,0.0
 01/02  00:30:00,1167.0291851546308,0.0
 01/02  00:45:00,1305.4736984626352,0.0
 01/02  01:00:00,1230.055139599193,0.0
 01/02  01:15:00,1271.9964937324803,0.0
 01/02  01:30:00,1312.6716304512051,0.0
 01/02  01:45:00,1310.8667365427157,0.0
 01/02  02:00:00,1324.5583608384902,0.0
 01/02  02:15:00,1336.4779232654769,0.0
 01/02  02:30:00,1356.577249736921,0.0
 01/02  02:45:00,1366.5715098201092,0.0
 01/02  03:00:00,1371.551381212672,0.0
 01/02  03:15:00,1375.409949059541,0.0
 01/02  03:30:00,1387.5867195161422,0.0
 01/02  03:45:00,1396.7320904291907,0.0
 01/02  04:00:00,1403.840922174587,0.0
 01/02  04:15:00,1405.748931630913,0.0
