Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,1030.692285068366,0.0
 01/01  00:30:00,1088.819642256315,0.0
 01/01  00:45:00,1085.6325602760817,0.0
 01/01  01:00:00,1112.085942707161,0.0
 01/01  01:15:00,1150.874679994294,0.0
 01/01  01:30:00,1186.833381782926,0.0
 01/01  01:45:00,1183.3357587439984,0.0
 01/01  02:00:00,1155.3475179658628,0.0
 01/01  02:15:00,1180.8668070744309,0.0
 01/01  02:30:00,1214.6986650863,0.0
 01/01  02:45:00,1219.0064320496883,0.0
 01/01  03:00:00,1191.9499489921836,0.0
 01/01  03:15:00,1214.6001095328957,0.0
 01/01  03:30:00,1219.7386861067455,0.0
 01/01  03:45:00,1234.9927334230042,0.0
 01/01  04:00:00,1230.3885085378745,0.0
 01/01  04:15:00,1237.2113450623,0.0
 01/01  04:30:00,1245.419698526014,0.0
 01/01  04:45:00,1260.604681995346,0.0
 01/01  05:00:00,1267.4257479582916,0.0
 01/01  05:15:00,1277.185927000275,0.0
 01/01  05:30:00,1285.4834938178665,0.0
 01/01  05:45:00,1301.6081189793854,0.0
 01/01  06:00:00,2767.483904727016,0.0
 01/01  06:15:00,4366.86356814105,0.0
 01/01  06:30:00,6148.499690114441,0.0
 01/01  06:45:00,5986.254968966961,0.0
 01/01  07:00:00,6185.803618958711,0.0
 01/01  07:15:00,4428.1200489954745,0.0
 01/01  07:30:00,4440.9131939665285,0.0
 01/01  07:45:00,742.9264322974682,0.0
 01/01  08:00:00,800.0587795077506,0.0
 01/01  08:15:00,984.4316586657972,0.0
 01/01  08:30:00,1342.2345809628473,0.0
 01/01  08:45:00,1449.0092642207844,0.0
 01/01  09:00:00,1418.918870118022,8.665671866274838
 01/01  09:15:00,1428.3279711704267,12.995929806041696
 01/01  09:30:00,1474.3949184372796,17.419755307289574
 01/01  09:45:00,1472.377365846544,24.0866519686618
