Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,90.98,0.0
 01/01  00:30:00,143.4208893234097,0.0
 01/01  00:45:00,109.6732238318899,0.0
 01/01  01:00:00,97.39159052783614,0.0
 01/01  01:15:00,66.44666666666666,0.0
 01/01  01:30:00,143.41207274351711,0.0
 01/01  01:45:00,134.20151381282267,0.0
 01/01  02:00:00,44.97999999999999,0.0
 01/01  02:15:00,97.42082004677069,0.0
 01/01  02:30:00,140.34251042296853,0.0
 01/01  02:45:00,143.39729256695978,0.0
 01/01  03:00:00,60.313333333333325,0.0
 01/01  03:15:00,97.41532997455916,0.0
 01/01  03:30:00,115.80382701456963,0.0
 01/01  03:45:00,143.39213018520678,0.0
 01/01  04:00:00,84.84666666666666,0.0
 01/01  04:15:00,97.41139857344302,0.0
 01/01  04:30:00,97.40081975206644,0.0
 01/01  04:45:00,137.25683163616753,0.0
 01/01  05:00:00,90.98,0.0
 01/01  05:15:00,115.8125689976738,0.0
 01/01  05:30:00,97.40396183003756,0.0
 01/01  05:45:00,60.313333333333325,0.0
 01/01  06:00:00,722.96816986831,0.0
 01/01  06:15:00,2462.3703950898507,0.0
 01/01  06:30:00,5489.988226617496,0.0
 01/01  06:45:00,5400.180096326695,0.0
 01/01  07:00:00,5481.93510289696,0.0
 01/01  07:15:00,3732.1478167153737,0.0
 01/01  07:30:00,3716.5261833341415,0.0
 01/01  07:45:00,158.98,0.0
 01/01  08:00:00,97.43350137465352,0.0
 01/01  08:15:00,131.1671209694075,0.0
 01/01  08:30:00,143.42443877144044,0.0
 01/01  08:45:00,69.51333333333332,0.0
 01/01  09:00:00,97.43090999816997,14.619240170698408
 01/01  09:15:00,109.42046589877796,22.068661789562437
 01/01  09:30:00,157.40978526543245,38.76804585166224
 01/01  09:45:00,104.98,58.977607818118514
 01/01  10:00:00,101.42962380864245,83.49836348911558
 01/01  10:15:00,97.41867157924646,101.06296061068183
 01/01  10:30:00,128.0741360263405,118.14239175903526
 01/01  10:45:00,143.3960098743592,140.5286198878295
 01/01  11:00:00,72.57999999999998,153.7736070150095
 01/01  11:15:00,97.41519825003246,165.42380188339538
 01/01  11:30:00,103.53735121452324,175.03522869394754
 01/01  11:45:00,90.98,173.42050226746773
