Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,1926.344136075976,0.0
 01/01  00:30:00,1935.548120966036,0.0
 01/01  00:45:00,1909.484719548874,0.0
 01/01  01:00:00,1890.9191839571129,0.0
 01/01  01:15:00,1902.1060131013376,0.0
 01/01  01:30:00,1918.4165903366147,0.0
 01/01  01:45:00,1922.5536336206883,0.0
 01/01  02:00:00,1925.2083753731624,0.0
 01/01  02:15:00,1953.542681604502,0.0
 01/01  02:30:00,1990.4656494800583,0.0
 01/01  02:45:00,2017.8574947253944,0.0
 01/01  03:00:00,2038.0687732450008,0.0
 01/01  03:15:00,2048.859963748652,0.0
 01/01  03:30:00,2064.523425794475,0.0
 01/01  03:45:00,2081.2414431035945,0.0
 01/01  04:00:00,2085.356782872316,0.0
 01/01  04:15:00,2080.478577600883,0.0
 01/01  04:30:00,2083.1818201289266,0.0
 01/01  04:45:00,2095.23777825289,0.0
 01/01  05:00:00,2095.803044462349,0.0
 01/01  05:15:00,2093.9846130719634,0.0
 01/01  05:30:00,2095.6680498085707,0.0
 01/01  05:45:00,2107.138719618539,0.0
 01/01  06:00:00,3390.955263740219,0.0
 01/01  06:15:00,5212.649486977353,0.0
 01/01  06:30:00,6332.142921517358,0.0
 01/01  06:45:00,6237.244165104017,0.0
 01/01  07:00:00,6367.731190753631,0.0
 01/01  07:15:00,4657.487377051582,0.0
 01/01  07:30:00,4710.107343372832,0.0
 01/01  07:45:00,1203.738410666757,0.0
 01/01  08:00:00,1459.249541733453,0.0
 01/01  08:15:00,1738.5441125548175,0.0
 01/01  08:30:00,2037.7968039843504,0.0
 01/01  08:45:00,2165.169550203229,0.0
 01/01  09:00:00,2132.711441269928,3.930252759238046
 01/01  09:15:00,2175.1386904425035,5.900866630037497
 01/01  09:30:00,2204.6781317843243,7.615845877957708
 01/01  09:45:00,2219.874086368531,10.158103365033433
 01/01  10:00:00,2220.4059595864524,12.701542305184125
 01/01  10:15:00,2249.0147623543407,15.25864330161822
 01/01  10:30:00,2278.972554133189,17.82156466854866
 01/01  10:45:00,2305.720433737611,19.96430326311713
 01/01  11:00:00,2322.491671700095,22.11211549194065
 01/01  11:15:00,2332.5646452939823,24.250411064894596
 01/01  11:30:00,2351.606152879493,26.390524326289057
 01/01  11:45:00,2375.070380975869,28.746010342142178
 01/01  12:00:00,2385.6307825353306,31.103393801022136
 01/01  12:15:00,2372.66372385266,33.418621736454405
 01/01  12:30:00,2366.1694257299678,35.72889614502546
 01/01  12:45:00,2368.854559063709,35.267128448670434
 01/01  13:00:00,2366.7350620396296,34.810946044116285
 01/01  13:15:00,2354.359487996962,34.34043988969773
 01/01  13:30:00,2337.1963931924656,33.87100643492772
 01/01  13:45:00,2333.7999966047537,32.555406864459144
 01/01  14:00:00,2334.4017501145863,31.24398623391245
 01/01  14:15:00,2333.8918271597386,29.958728062837448
 01/01  14:30:00,2328.4234842942906,28.675761716436813
 01/01  14:45:00,2333.3854630523183,24.01522370045815
 01/01  15:00:00,2344.1879287309034,19.36404648095106
 01/01  15:15:00,2352.8305949122423,14.716772043542413
 01/01  15:30:00,2349.6188593813217,10.078612975286454
 01/01  15:45:00,2345.47612109546,7.971045322657847
 01/01  16:00:00,2347.7620162408907,5.866741754414771
 01/01  16:15:00,2588.424002781772,3.770090804905361
 01/01  16:30:00,2566.393682080802,1.6745182545935695
 01/01  16:45:00,5349.707747140023,0.0
 01/01  17:00:00,5007.04917442614,0.0
 01/01  17:15:00,8177.53680159736,0.0
 01/01  17:30:00,8157.21355761136,0.0
 01/01  17:45:00,6683.5242839849,0.0
 01/01  18:00:00,5210.745079111168,0.0
 01/01  18:15:00,4965.590994961241,0.0
 01/01  18:30:00,4959.402102983457,0.0
 01/01  18:45:00,6737.667211484319,0.0
 01/01  19:00:00,6802.668587647975,0.0
 01/01  19:15:00,5539.88336575846,0.0
 01/01  19:30:00,4967.500051829564,0.0
 01/01  19:45:00,4846.723537257587,0.0
 01/01  20:00:00,5014.99747754246,0.0
 01/01  20:15:00,8192.1571026021,0.0
 01/01  20:30:00,8103.306849394274,0.0
 01/01  20:45:00,5657.4097235456575,0.0
 01/01  21:00:00,5000.138513009126,0.0
 01/01  21:15:00,4973.760943168648,0.0
 01/01  21:30:00,4872.394625039017,0.0
 01/01  21:45:00,4864.722530851803,0.0
 01/01  22:00:00,4911.271626059952,0.0
 01/01  22:15:00,4928.549521938032,0.0
 01/01  22:30:00,3211.485945238458,0.0
 01/01  22:45:00,1334.8016609599074,0.0
 01/01  23:00:00,1479.832512542631,0.0
 01/01  23:15:00,1674.1924906619474,0.0
 01/01  23:30:00,1839.0345153592043,0.0
 01/01  23:45:00,1970.3211811541728,0.0
 01/01  24:00:00,1967.9203365023764,0.0
 01/02  00:15:00,2609.4474548297035,0.0
 01/02  00:30:00,1956.5818809031452,0.0
 01/02  00:45:00,2123.5830163396336,0.0
 01/02  01:00:00,2019.667291475736,0.0
 01/02  01:15:00,2055.145160796648,0.0
 01/02  01:30:00,2080.6807171602054,0.0
 01/02  01:45:00,2091.3383397144653,0.0
 01/02  02:00:00,2095.5034563222466,0.0
 01/02  02:15:00,2118.9446042655345,0.0
 01/02  02:30:00,2149.166686517542,0.0
 01/02  02:45:00,2168.5029112547086,0.0
