Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,296.01497853440264,0.0
 01/01  00:30:00,328.9782963254471,0.0
 01/01  00:45:00,304.2613679906174,0.0
 01/01  01:00:00,300.22600902894027,0.0
 01/01  01:15:00,330.7529381390741,0.0
 01/01  01:30:00,364.5723680310362,0.0
 01/01  01:45:00,364.15862620548194,0.0
 01/01  02:00:00,336.8968765774571,0.0
 01/01  02:15:00,345.8305368004628,0.0
 01/01  02:30:00,397.7148287625332,0.0
 01/01  02:45:00,409.7732039249796,0.0
 01/01  03:00:00,387.8680830472359,0.0
 01/01  03:15:00,380.3966294967273,0.0
 01/01  03:30:00,405.7932023862443,0.0
 01/01  03:45:00,440.4247697787115,0.0
 01/01  04:00:00,441.7058323519408,0.0
 01/01  04:15:00,418.4202871814996,0.0
 01/01  04:30:00,449.6832759535061,0.0
 01/01  04:45:00,513.4214376564249,0.0
 01/01  05:00:00,539.0470824843784,0.0
 01/01  05:15:00,523.0131547848562,0.0
 01/01  05:30:00,520.7434213995614,0.0
 01/01  05:45:00,555.8993103754099,0.0
 01/01  06:00:00,2250.272379920233,0.0
 01/01  06:15:00,3984.870217194627,0.0
 01/01  06:30:00,5917.330603758538,0.0
 01/01  06:45:00,5723.357555306116,0.0
 01/01  07:00:00,5924.935335512697,0.0
 01/01  07:15:00,4165.281026296076,0.0
 01/01  07:30:00,4174.71813060002,0.0
 01/01  07:45:00,440.54508368470334,0.0
 01/01  08:00:00,390.9225345685425,0.0
 01/01  08:15:00,481.1135735445229,0.0
 01/01  08:30:00,561.8180103049542,0.0
 01/01  08:45:00,722.6963529368752,0.0
 01/01  09:00:00,617.5624828952739,17.627796514671754
 01/01  09:15:00,648.4506842977228,26.02268562553941
 01/01  09:30:00,689.9285959810313,40.97256079813136
 01/01  09:45:00,658.2137559479949,54.86553751783973
 01/01  10:00:00,573.73189497785,66.16324552776132
 01/01  10:15:00,553.5576808509543,79.84011841562177
 01/01  10:30:00,572.2446680948534,90.93592693726617
 01/01  10:45:00,577.2659710744307,98.59874031959691
 01/01  11:00:00,547.1149622577832,106.05073259749264
 01/01  11:15:00,508.64595649119167,113.57272551120764
 01/01  11:30:00,504.3547427073056,122.31935213919382
 01/01  11:45:00,535.9098185944505,126.82568038288626
 01/01  12:00:00,528.6827278235887,131.6943300538629
 01/01  12:15:00,483.43851242491104,136.62338637206355
 01/01  12:30:00,480.8061618874326,141.4036577558073
 01/01  12:45:00,519.8508165396863,139.61831633018667
 01/01  13:00:00,533.4819995249701,137.5522429010974
 01/01  13:15:00,510.7490124704281,135.24643880798195
 01/01  13:30:00,472.8380669752115,132.75450058256766
 01/01  13:45:00,475.0863363011218,125.04304587119914
 01/01  14:00:00,518.5585738055408,117.47615130784857
 01/01  14:15:00,528.261753174598,108.73451402273766
 01/01  14:30:00,498.41286039274695,101.85142724515566
 01/01  14:45:00,498.8914916104453,92.31952984511966
 01/01  15:00:00,532.5627853109562,82.79960730166886
 01/01  15:15:00,581.5659951229344,72.92096777381622
 01/01  15:30:00,591.4856234812277,62.77886522606949
 01/01  15:45:00,588.7167678723366,50.86421278957392
