Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,1289.087284638262,0.0
 01/01  00:30:00,1336.0384772897437,0.0
 01/01  00:45:00,1323.9912942770352,0.0
 01/01  01:00:00,1382.7174574574226,0.0
 01/01  01:15:00,1382.6496633010684,0.0
 01/01  01:30:00,1387.4349637201449,0.0
 01/01  01:45:00,1387.8403874746818,0.0
 01/01  02:00:00,1383.7625588337628,0.0
 01/01  02:15:00,1394.0269600122651,0.0
 01/01  02:30:00,1409.3966935021483,0.0
 01/01  02:45:00,1415.990629966423,0.0
 01/01  03:00:00,1417.8361771862856,0.0
 01/01  03:15:00,1423.4724201311317,0.0
 01/01  03:30:00,1435.1685295880757,0.0
 01/01  03:45:00,1446.7588124287456,0.0
 01/01  04:00:00,1452.6268064121475,0.0
 01/01  04:15:00,1452.3755307414756,0.0
 01/01  04:30:00,1459.383061039675,0.0
 01/01  04:45:00,1473.339245314692,0.0
 01/01  05:00:00,1480.1930562658758,0.0
 01/01  05:15:00,1475.4069643504918,0.0
 01/01  05:30:00,1473.7668183552562,0.0
 01/01  05:45:00,1479.454209205111,0.0
 01/01  06:00:00,2921.931864995882,0.0
 01/01  06:15:00,4517.928758823176,0.0
 01/01  06:30:00,6196.403620833996,0.0
 01/01  06:45:00,6038.076084421078,0.0
 01/01  07:00:00,6240.521430972183,0.0
 01/01  07:15:00,4487.961663227859,0.0
 01/01  07:30:00,4517.684820838636,0.0
 01/01  07:45:00,859.8492922338448,0.0
 01/01  08:00:00,999.434423045906,0.0
 01/01  08:15:00,1196.7253340430184,0.0
 01/01  08:30:00,1496.971588238507,0.0
 01/01  08:45:00,1662.6967177906777,0.0
 01/01  09:00:00,1589.778825786434,5.1940835424907155
 01/01  09:15:00,1615.2317604591967,7.786418140223986
 01/01  09:30:00,1634.4229432437226,10.052806881730719
 01/01  09:45:00,1635.1344785510005,13.398693012361333
 01/01  10:00:00,1622.207349529298,16.741411343856182
 01/01  10:15:00,1622.5479787994343,20.074238089453615
 01/01  10:30:00,1620.358001584983,23.401895753465702
 01/01  10:45:00,1618.827256889384,25.467596021280432
 01/01  11:00:00,1607.181555353508,27.531167122945057
 01/01  11:15:00,1602.9547586094243,29.606697581954325
 01/01  11:30:00,1606.9669812625275,31.681161330218174
 01/01  11:45:00,1615.3704927295662,31.456456026284954
 01/01  12:00:00,1616.6718073260809,31.234518169574706
 01/01  12:15:00,1612.573691890833,31.020951956084833
 01/01  12:30:00,1619.424403251688,30.80777897712116
 01/01  12:45:00,1629.9861041829276,29.343493821929428
 01/01  13:00:00,1640.9665642310156,27.88090525783775
 01/01  13:15:00,1645.2704706758602,26.425032135177908
 01/01  13:30:00,1650.3534016700694,24.96897354835839
 01/01  13:45:00,1662.44615100275,22.887368657601105
 01/01  14:00:00,1682.5062114130517,20.805958710809627
 01/01  14:15:00,1690.7440015622087,18.724200207991053
 01/01  14:30:00,1693.1237608438132,16.64234976522925
 01/01  14:45:00,1703.2413263684662,14.560494439619497
 01/01  15:00:00,1721.264406208252,12.478735752448664
 01/01  15:15:00,1736.232343443284,10.398895007343718
 01/01  15:30:00,1746.1892788232335,8.31871611785394
 01/01  15:45:00,1752.3270389290262,6.86307905265139
 01/01  16:00:00,1766.1332369689294,5.4071638721741895
 01/01  16:15:00,2097.693949985238,3.9508296142705897
 01/01  16:30:00,2070.09092688608,2.4946722097248
 01/01  16:45:00,5176.764890496372,0.0
 01/01  17:00:00,4779.17110321315,0.0
