Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,1923.4880221774768,0.0
 01/01  00:30:00,1935.253816624648,0.0
 01/01  00:45:00,1908.7986239327263,0.0
 01/01  01:00:00,1888.443962696244,0.0
 01/01  01:15:00,1901.90436249172,0.0
 01/01  01:30:00,1915.9768153209595,0.0
 01/01  01:45:00,1922.1304141323133,0.0
 01/01  02:00:00,1923.375985707535,0.0
 01/01  02:15:00,1951.98524799501,0.0
 01/01  02:30:00,1989.1754541403168,0.0
 01/01  02:45:00,2015.2550358061892,0.0
 01/01  03:00:00,2037.102961929565,0.0
 01/01  03:15:00,2046.276339682668,0.0
 01/01  03:30:00,2064.531008213692,0.0
 01/01  03:45:00,2078.467433441152,0.0
 01/01  04:00:00,2084.5453268969586,0.0
 01/01  04:15:00,2078.904916103091,0.0
 01/01  04:30:00,2082.213230107479,0.0
 01/01  04:45:00,2092.88445950578,0.0
 01/01  05:00:00,2094.989630455808,0.0
 01/01  05:15:00,2091.3919674448666,0.0
 01/01  05:30:00,2094.7789702251075,0.0
 01/01  05:45:00,2105.233463172305,0.0
 01/01  06:00:00,3389.9942657115994,0.0
 01/01  06:15:00,5210.628707857775,0.0
 01/01  06:30:00,6332.089002296054,0.0
 01/01  06:45:00,6236.990492145622,0.0
 01/01  07:00:00,6367.398201259588,0.0
 01/01  07:15:00,4657.186022157579,0.0
 01/01  07:30:00,4709.806169674728,0.0
 01/01  07:45:00,1202.9697397204145,0.0
 01/01  08:00:00,1458.027698912564,0.0
 01/01  08:15:00,1737.3106579976932,0.0
 01/01  08:30:00,2036.925871955946,0.0
 01/01  08:45:00,2163.7165449177323,0.0
 01/01  09:00:00,2131.583548738018,3.5956126819173964
 01/01  09:15:00,2174.1782034405555,5.398583980404862
 01/01  09:30:00,2203.266883820024,6.928891050704784
 01/01  09:45:00,2218.0989455224485,9.243903200242334
 01/01  10:00:00,2220.448278429872,11.560982316713787
 01/01  10:15:00,2247.950370978128,13.891502035034433
 01/01  10:30:00,2278.583226734711,16.228311792634454
 01/01  10:45:00,2303.957280724759,18.18258523968406
 01/01  11:00:00,2322.863526728319,20.142173717136146
 01/01  11:15:00,2331.34705619376,22.093733646686527
 01/01  11:30:00,2350.7661112646847,24.047561006643626
 01/01  11:45:00,2374.285235019871,26.198686427391813
 01/01  12:00:00,2384.8909259555885,28.352217278794758
 01/01  12:15:00,2371.3555824790683,30.46802646938434
 01/01  12:30:00,2365.819859885657,32.579999927563755
 01/01  12:45:00,2367.908422418534,32.15812996614885
 01/01  13:00:00,2365.8802115764224,31.741132985935167
 01/01  13:15:00,2353.8288013630563,31.31103498235413
 01/01  13:30:00,2337.3504721323616,30.882040850756
 01/01  13:45:00,2331.514224776694,29.679811814873638
 01/01  14:00:00,2334.3872897935157,28.481560360705984
 01/01  14:15:00,2333.0418236744767,27.307391016340997
 01/01  14:30:00,2326.6984987455035,26.13576419054901
 01/01  14:45:00,2331.996795662916,21.87967858774003
 01/01  15:00:00,2344.124303603084,17.634634372169742
 01/01  15:15:00,2351.1217255361403,13.396154555162665
 01/01  15:30:00,2348.7587070387394,9.169265624814381
 01/01  15:45:00,2344.1210219242857,7.249833922753108
 01/01  16:00:00,2345.165045447881,5.334286691672077
 01/01  16:15:00,2587.9420355047155,3.4266434982189184
 01/01  16:30:00,2565.5150691399795,1.5211650981719655
 01/01  16:45:00,5349.669405257473,0.0
 01/01  17:00:00,5006.899746966502,0.0
 01/01  17:15:00,8177.530086039466,0.0
 01/01  17:30:00,8157.211460662063,0.0
 01/01  17:45:00,6683.443072532987,0.0
 01/01  18:00:00,5210.3026275091415,0.0
 01/01  18:15:00,4965.411432162275,0.0
 01/01  18:30:00,4958.935113637779,0.0
 01/01  18:45:00,6737.454069632428,0.0
 01/01  19:00:00,6802.570825138484,0.0
 01/01  19:15:00,5539.54349687914,0.0
 01/01  19:30:00,4967.224487445745,0.0
 01/01  19:45:00,4846.612127165097,0.0
 01/01  20:00:00,5014.429570419924,0.0
 01/01  20:15:00,8192.155761698472,0.0
 01/01  20:30:00,8103.303576512723,0.0
 01/01  20:45:00,5656.812316803498,0.0
 01/01  21:00:00,4999.563166616163,0.0
 01/01  21:15:00,4973.902088723997,0.0
 01/01  21:30:00,4871.912580169329,0.0
 01/01  21:45:00,4864.813241823251,0.0
 01/01  22:00:00,4910.974847893667,0.0
 01/01  22:15:00,4928.337938476665,0.0
 01/01  22:30:00,3210.0162033589813,0.0
 01/01  22:45:00,1334.1973999104796,0.0
 01/01  23:00:00,1478.895275434804,0.0
 01/01  23:15:00,1673.121148851308,0.0
 01/01  23:30:00,1838.063816972657,0.0
 01/01  23:45:00,1968.247536248688,0.0
 01/01  24:00:00,1965.748691077857,0.0
 01/02  00:15:00,2607.162430077872,0.0
 01/02  00:30:00,1954.849517135432,0.0
 01/02  00:45:00,2120.884117389473,0.0
 01/02  01:00:00,2018.3023907091824,0.0
 01/02  01:15:00,2053.228691907534,0.0
 01/02  01:30:00,2078.8006710407035,0.0
 01/02  01:45:00,2088.52365938696,0.0
 01/02  02:00:00,2094.4809755176834,0.0
 01/02  02:15:00,2115.82317389144,0.0
 01/02  02:30:00,2146.8232364755627,0.0
 01/02  02:45:00,2166.568739303152,0.0
 01/02  03:00:00,2178.5145927940216,0.0
 01/02  03:15:00,2191.8354959684884,0.0
 01/02  03:30:00,2210.1173700860445,0.0
 01/02  03:45:00,2230.4565503745566,0.0
 01/02  04:00:00,2238.23483250187,0.0
 01/02  04:15:00,2241.789161251888,0.0
 01/02  04:30:00,2254.699937822409,0.0
 01/02  04:45:00,2274.211157132941,0.0
 01/02  05:00:00,2285.291449000311,0.0
 01/02  05:15:00,2288.524567235806,0.0
 01/02  05:30:00,2297.1309052671986,0.0
 01/02  05:45:00,2312.9523548580896,0.0
 01/02  06:00:00,3603.447217821655,0.0
 01/02  06:15:00,5399.9780186860135,0.0
 01/02  06:30:00,6381.211608670595,0.0
 01/02  06:45:00,6293.013553576402,0.0
 01/02  07:00:00,6428.685414090311,0.0
 01/02  07:15:00,4737.852257851504,0.0
 01/02  07:30:00,4805.186299208753,0.0
 01/02  07:45:00,1381.642236200045,0.0
 01/02  08:00:00,1697.8319293424995,0.0
 01/02  08:15:00,1976.6585242436408,0.0
 01/02  08:30:00,2240.2951230735807,0.0
 01/02  08:45:00,2380.5793530862425,0.0
 01/02  09:00:00,2382.7388942622865,3.6275036090797808
 01/02  09:15:00,2413.455166064475,5.438909461263976
 01/02  09:30:00,2432.46633004382,6.975243393292918
 01/02  09:45:00,2432.3031962133405,10.272568860408455
 01/02  10:00:00,2422.9957836178883,13.568255364201882
 01/02  10:15:00,2432.0911375392843,16.875114974909977
 01/02  10:30:00,2447.1378144683977,20.185392786053377
 01/02  10:45:00,2456.363631831721,23.108345166564398
 01/02  11:00:00,2455.1331504028512,26.03436468517241
 01/02  11:15:00,2458.0809003233785,28.95062178610676
 01/02  11:30:00,2469.4785636944957,31.867569465922248
 01/02  11:45:00,2485.5049110214886,33.22225374901867
 01/02  12:00:00,2494.3358905082814,34.579737000587386
 01/02  12:15:00,2486.862301387357,35.93436301453982
 01/02  12:30:00,2492.392926799174,37.28908356710952
 01/02  12:45:00,2504.786641747615,37.6676746395439
 01/02  13:00:00,2511.731350451996,38.04801052413286
 01/02  13:15:00,2517.4353141851807,38.43527586289267
 01/02  13:30:00,2517.7960596041285,38.82383332185003
 01/02  13:45:00,2534.4086958200583,34.91932893126874
 01/02  14:00:00,2557.114108437725,31.022752131018258
 01/02  14:15:00,2569.8932846247976,27.12911248905038
 01/02  14:30:00,2575.1670227838954,23.23859800315876
 01/02  14:45:00,2588.284726922723,19.545891583644558
 01/02  15:00:00,2610.2683400063047,15.856643707507946
 01/02  15:15:00,2617.414854795458,12.16570736739826
 01/02  15:30:00,2614.5984619110504,8.483584116264971
 01/02  15:45:00,2607.467252890614,6.741117249275636
 01/02  16:00:00,2612.0369163263304,5.0017173305362705
 01/02  16:15:00,2803.636751646356,3.2670876220375558
 01/02  16:30:00,2784.570709643787,1.5353540512033454
 01/02  16:45:00,5428.664729059608,0.0
 01/02  17:00:00,5107.987776537753,0.0
 01/02  17:15:00,8179.537696152829,0.0
 01/02  17:30:00,8158.684090015495,0.0
 01/02  17:45:00,6798.317048577881,0.0
 01/02  18:00:00,5306.7593838517605,0.0
 01/02  18:15:00,5059.5531316320175,0.0
 01/02  18:30:00,5050.44941852684,0.0
 01/02  18:45:00,6829.579997268822,0.0
 01/02  19:00:00,6895.506076034372,0.0
 01/02  19:15:00,5632.491578112174,0.0
 01/02  19:30:00,5059.830397219975,0.0
 01/02  19:45:00,4938.345549657279,0.0
 01/02  20:00:00,5106.543748975521,0.0
 01/02  20:15:00,8193.880958546135,0.0
 01/02  20:30:00,8105.011909479572,0.0
 01/02  20:45:00,5798.91871056611,0.0
 01/02  21:00:00,5074.857002324066,0.0
 01/02  21:15:00,5049.6654507009125,0.0
 01/02  21:30:00,4947.372212393549,0.0
 01/02  21:45:00,4940.72081355263,0.0
 01/02  22:00:00,4988.086387030098,0.0
 01/02  22:15:00,5006.262390162812,0.0
 01/02  22:30:00,3631.582212001484,0.0
 01/02  22:45:00,1359.2195933725272,0.0
 01/02  23:00:00,1608.7845450241691,0.0
 01/02  23:15:00,1837.1323858195108,0.0
 01/02  23:30:00,2064.9880524358323,0.0
 01/02  23:45:00,2140.1243945373803,0.0
 01/02  24:00:00,2150.5585368494326,0.0
 01/03  00:15:00,2190.1470837098277,0.0
 01/03  00:30:00,2297.280616469899,0.0
 01/03  00:45:00,2203.868658089028,0.0
 01/03  01:00:00,2225.181358042008,0.0
 01/03  01:15:00,2341.376462992065,0.0
