Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,616.6782836306907,0.0
 01/01  00:30:00,667.1602733086991,0.0
 01/01  00:45:00,655.4915719783905,0.0
 01/01  01:00:00,664.4292513108999,0.0
 01/01  01:15:00,711.3464819450521,0.0
 01/01  01:30:00,754.7074561522588,0.0
 01/01  01:45:00,758.9169498523663,0.0
 01/01  02:00:00,738.1535162520287,0.0
 01/01  02:15:00,759.6804322340586,0.0
 01/01  02:30:00,823.0343679930007,0.0
 01/01  02:45:00,839.21605085361,0.0
 01/01  03:00:00,821.265561634811,0.0
 01/01  03:15:00,821.133116825865,0.0
 01/01  03:30:00,858.184462418919,0.0
 01/01  03:45:00,898.7145452462003,0.0
 01/01  04:00:00,901.7232405061512,0.0
 01/01  04:15:00,874.633347415124,0.0
 01/01  04:30:00,894.450285420748,0.0
 01/01  04:45:00,953.088449992523,0.0
 01/01  05:00:00,971.6902007952026,0.0
 01/01  05:15:00,949.807745528788,0.0
 01/01  05:30:00,941.5780349475664,0.0
 01/01  05:45:00,971.8107880287392,0.0
 01/01  06:00:00,2580.1276868720847,0.0
 01/01  06:15:00,4265.066543876598,0.0
 01/01  06:30:00,6034.259833764794,0.0
 01/01  06:45:00,5869.009712665588,0.0
 01/01  07:00:00,6066.454579572754,0.0
 01/01  07:15:00,4308.423561881482,0.0
 01/01  07:30:00,4320.339979098359,0.0
 01/01  07:45:00,574.8695247765885,0.0
 01/01  08:00:00,585.7696559894487,0.0
 01/01  08:15:00,715.8556726983859,0.0
 01/01  08:30:00,1031.0629965373228,0.0
 01/01  08:45:00,1157.3781902682622,0.0
 01/01  09:00:00,1077.0162842390146,17.64125976436967
 01/01  09:15:00,1120.259306877986,26.516081877907325
 01/01  09:30:00,1168.2585949467125,60.700240526056874
 01/01  09:45:00,1162.1557259362762,87.2446292070638
 01/01  10:00:00,1096.00796242793,108.74977951591369
 01/01  10:15:00,1085.021404826955,142.45882260315645
 01/01  10:30:00,1100.0662488905857,168.81132920028327
 01/01  10:45:00,1096.3085983233243,190.78512556830424
 01/01  11:00:00,1058.3309054468718,214.36637914802665
 01/01  11:15:00,1020.8219391649328,239.13166397292298
 01/01  11:30:00,1017.881907744704,264.67238392503805
 01/01  11:45:00,1046.6523680608634,274.1950441622786
 01/01  12:00:00,1027.797547255698,284.0481603661232
 01/01  12:15:00,972.9682243398572,293.871065242533
 01/01  12:30:00,957.612868904568,303.5846425458751
 01/01  12:45:00,980.3450544318646,293.8413841647086
 01/01  13:00:00,992.515853531614,284.2707242510917
 01/01  13:15:00,972.5425981511872,274.7609301017835
 01/01  13:30:00,943.1683102529364,265.3787483510693
 01/01  13:45:00,957.5169891950728,244.35272909193543
 01/01  14:00:00,1015.6021191993208,223.9413368097395
 01/01  14:15:00,1028.6063079842247,191.31447739111806
 01/01  14:30:00,1002.3722642493613,173.31856986414576
 01/01  14:45:00,1012.3312282942982,151.01185676180103
 01/01  15:00:00,1059.0718870090925,129.61642012114405
 01/01  15:15:00,1096.4426883257004,109.17658393368863
 01/01  15:30:00,1097.7906135559754,89.79402726455328
 01/01  15:45:00,1080.8564086090507,70.34553775027071
 01/01  16:00:00,1106.2875109774104,44.46043232165379
 01/01  16:15:00,1570.0945991190472,25.510160304075875
 01/01  16:30:00,1528.635411711822,9.120299162866775
 01/01  16:45:00,5046.693352581699,0.0
 01/01  17:00:00,4500.24595101545,0.0
 01/01  17:15:00,8167.626320208292,0.0
 01/01  17:30:00,8148.079930411563,0.0
 01/01  17:45:00,6002.850261031616,0.0
 01/01  18:00:00,4664.10516792666,0.0
 01/01  18:15:00,4422.381486043887,0.0
 01/01  18:30:00,4414.148178107924,0.0
 01/01  18:45:00,6070.48268934396,0.0
 01/01  19:00:00,6126.163206980476,0.0
 01/01  19:15:00,5042.787395981419,0.0
 01/01  19:30:00,4417.35930553945,0.0
 01/01  19:45:00,4293.614802297833,0.0
 01/01  20:00:00,4458.151321499573,0.0
 01/01  20:15:00,8182.709131158812,0.0
 01/01  20:30:00,7647.051297181102,0.0
 01/01  20:45:00,4742.313270125504,0.0
 01/01  21:00:00,4351.827635325101,0.0
 01/01  21:15:00,4325.662755235882,0.0
 01/01  21:30:00,4220.377042231669,0.0
 01/01  21:45:00,4208.975236949632,0.0
 01/01  22:00:00,4252.545229829907,0.0
 01/01  22:15:00,4277.893081265048,0.0
 01/01  22:30:00,1268.2602586940036,0.0
 01/01  22:45:00,562.7519116887144,0.0
 01/01  23:00:00,450.8868081739792,0.0
 01/01  23:15:00,514.1096565318761,0.0
 01/01  23:30:00,537.0941115318229,0.0
 01/01  23:45:00,513.4031617225771,0.0
 01/01  24:00:00,600.8950327506724,0.0
 01/02  00:15:00,1424.197675985106,0.0
 01/02  00:30:00,624.2469515431003,0.0
 01/02  00:45:00,782.3002330371531,0.0
 01/02  01:00:00,625.598603766643,0.0
 01/02  01:15:00,701.7870384088127,0.0
 01/02  01:30:00,755.3150737314764,0.0
 01/02  01:45:00,757.9489815822359,0.0
 01/02  02:00:00,735.8955430266842,0.0
 01/02  02:15:00,753.0474091800374,0.0
 01/02  02:30:00,813.371816575751,0.0
 01/02  02:45:00,824.5580980631119,0.0
 01/02  03:00:00,801.7881702948034,0.0
 01/02  03:15:00,800.3189042009251,0.0
 01/02  03:30:00,835.8478115454101,0.0
 01/02  03:45:00,876.5820198302667,0.0
 01/02  04:00:00,877.5321081251876,0.0
 01/02  04:15:00,844.2093359847755,0.0
 01/02  04:30:00,855.7829751527757,0.0
 01/02  04:45:00,908.2830009164652,0.0
 01/02  05:00:00,917.7309178608252,0.0
 01/02  05:15:00,890.770671461212,0.0
 01/02  05:30:00,877.1974269733366,0.0
 01/02  05:45:00,901.4235952564484,0.0
 01/02  06:00:00,2509.5417378195675,0.0
 01/02  06:15:00,4206.150389355158,0.0
 01/02  06:30:00,6000.513204886101,0.0
 01/02  06:45:00,5832.162054822553,0.0
 01/02  07:00:00,6027.966408677716,0.0
 01/02  07:15:00,4266.157905380792,0.0
 01/02  07:30:00,4275.212282144584,0.0
 01/02  07:45:00,515.5062186484184,0.0
 01/02  08:00:00,505.31738391659945,0.0
 01/02  08:15:00,626.8643286682043,0.0
 01/02  08:30:00,874.0620073886109,0.0
 01/02  08:45:00,1048.1966336924545,0.0
 01/02  09:00:00,926.199879050066,3.152308204607413
 01/02  09:15:00,1009.8526133145504,4.732031620374486
 01/02  09:30:00,1066.3643547484864,6.06667627975796
 01/02  09:45:00,1072.0812152376463,7.391722011821698
 01/02  10:00:00,1021.68589113174,8.717194861710743
 01/02  10:15:00,1030.184443703419,10.040689217007634
 01/02  10:30:00,1070.0621653493668,11.363623764796063
 01/02  10:45:00,1086.058281703211,15.263149651738349
 01/02  11:00:00,1064.5942368342878,19.21601968507291
 01/02  11:15:00,1036.9796946501046,23.215954297343444
 01/02  11:30:00,1047.5451414001711,27.249935897368285
 01/02  11:45:00,1093.7527053426672,24.827416652661437
 01/02  12:00:00,1093.7327028933944,22.374375372850754
 01/02  12:15:00,1050.5283969778072,19.88183538983543
 01/02  12:30:00,1048.5475463867967,17.369342789165056
 01/02  12:45:00,1073.66459070297,26.712875209448185
 01/02  13:00:00,1082.2762617879898,36.03340680009161
 01/02  13:15:00,1057.572643388678,45.34882313352246
 01/02  13:30:00,1021.1606969822471,56.487273616561986
 01/02  13:45:00,1027.2669162466284,75.02744185514442
 01/02  14:00:00,1074.1790614191125,86.39635645558364
 01/02  14:15:00,1079.9020721864997,109.17214142377009
 01/02  14:30:00,1048.3464825762446,118.94469678086296
 01/02  14:45:00,1055.59207181412,104.05709873698225
 01/02  15:00:00,1098.044643633617,89.6420148070006
 01/02  15:15:00,1137.7298358075686,75.61862220950366
 01/02  15:30:00,1140.1662808988883,62.021772926269165
 01/02  15:45:00,1124.744674520943,47.86087736784299
 01/02  16:00:00,1161.6731440503129,34.31232603927683
 01/02  16:15:00,1614.1906462195336,16.385800789069403
 01/02  16:30:00,1574.9579661993655,6.1889275463924
 01/02  16:45:00,5059.662993652492,0.0
 01/02  17:00:00,4521.852708265739,0.0
 01/02  17:15:00,8168.062082518092,0.0
