Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,1913.0027827183696,0.0
 01/01  00:30:00,1922.3658498069883,0.0
 01/01  00:45:00,1895.0450773272732,0.0
 01/01  01:00:00,1875.6025033310368,0.0
 01/01  01:15:00,1885.3575525652168,0.0
 01/01  01:30:00,1895.338681088783,0.0
 01/01  01:45:00,1898.2781554576757,0.0
 01/01  02:00:00,1895.2626841144047,0.0
 01/01  02:15:00,1907.3849902029167,0.0
 01/01  02:30:00,1928.7779521573589,0.0
 01/01  02:45:00,1936.4084030935464,0.0
 01/01  03:00:00,1939.7988204780936,0.0
 01/01  03:15:00,1947.88911982428,0.0
 01/01  03:30:00,1964.511459670522,0.0
 01/01  03:45:00,1979.8575098766423,0.0
 01/01  04:00:00,1988.508834485329,0.0
 01/01  04:15:00,1988.462442302531,0.0
 01/01  04:30:00,2001.1325253641385,0.0
 01/01  04:45:00,2021.17024066699,0.0
 01/01  05:00:00,2028.839338130502,0.0
 01/01  05:15:00,2037.384287410429,0.0
 01/01  05:30:00,2047.36660503552,0.0
 01/01  05:45:00,2067.316266926089,0.0
 01/01  06:00:00,3370.3392824101074,0.0
 01/01  06:15:00,5203.660011760042,0.0
 01/01  06:30:00,6318.862191932225,0.0
 01/01  06:45:00,6224.993437302423,0.0
 01/01  07:00:00,6357.439245160088,0.0
 01/01  07:15:00,4643.260808116964,0.0
 01/01  07:30:00,4698.040777989066,0.0
 01/01  07:45:00,1194.3794617915603,0.0
 01/01  08:00:00,1457.452160569279,0.0
 01/01  08:15:00,1745.5247630550894,0.0
 01/01  08:30:00,2057.068576308373,0.0
 01/01  08:45:00,2186.7781519685204,0.0
 01/01  09:00:00,2153.4466685616053,16.747775494916624
 01/01  09:15:00,2188.3204664422806,25.75357330262844
 01/01  09:30:00,2210.803916816976,45.44458750119892
 01/01  09:45:00,2218.1412990309177,81.92806217112815
 01/01  10:00:00,2211.7012824780977,120.66463244660834
 01/01  10:15:00,2224.4007343719145,151.4876555072138
 01/01  10:30:00,2240.443071599777,184.54734634622866
 01/01  10:45:00,2251.2608880207054,211.93034935680905
 01/01  11:00:00,2253.1209381905287,240.48627685093354
 01/01  11:15:00,2244.9025069441664,269.5824291326426
 01/01  11:30:00,2243.598358667069,298.9816581586143
 01/01  11:45:00,2244.012475401559,308.913314825639
 01/01  12:00:00,2233.922839260484,318.4542846985922
 01/01  12:15:00,2203.255698373389,326.7881050715807
 01/01  12:30:00,2182.366161838045,334.2926696877909
 01/01  12:45:00,2171.5432683976137,311.89787501109066
 01/01  13:00:00,2159.674452738781,289.4713836190826
 01/01  13:15:00,2153.6336438829253,251.07264071985878
 01/01  13:30:00,2146.2281725101457,229.2188674915726
 01/01  13:45:00,2152.7975433595684,204.20241811461736
 01/01  14:00:00,2170.5292777242453,165.67476534192824
 01/01  14:15:00,2177.186862037508,143.35582286137216
 01/01  14:30:00,2178.48155812351,121.63807129910015
 01/01  14:45:00,2190.1944165964496,99.28486216791575
 01/01  15:00:00,2209.6558257610977,77.52490738016117
 01/01  15:15:00,2232.5958500743477,50.14738948760161
