Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,1243.3328284937488,0.0
 01/01  00:30:00,1289.5501708509496,0.0
 01/01  00:45:00,1277.976646305961,0.0
 01/01  01:00:00,1318.4906929891715,0.0
 01/01  01:15:00,1334.7779333961562,0.0
 01/01  01:30:00,1341.3806496100242,0.0
 01/01  01:45:00,1328.7406459990796,0.0
 01/01  02:00:00,1333.7025719803112,0.0
 01/01  02:15:00,1341.4505968175893,0.0
 01/01  02:30:00,1356.6352042681988,0.0
 01/01  02:45:00,1365.35577277098,0.0
 01/01  03:00:00,1367.3813892857934,0.0
 01/01  03:15:00,1373.388681105281,0.0
 01/01  03:30:00,1385.1465361506257,0.0
 01/01  03:45:00,1398.2429751128195,0.0
 01/01  04:00:00,1403.6987537106263,0.0
 01/01  04:15:00,1403.1738540182396,0.0
 01/01  04:30:00,1411.9671917989217,0.0
 01/01  04:45:00,1424.5058402764794,0.0
 01/01  05:00:00,1431.233156006153,0.0
 01/01  05:15:00,1426.9305333323282,0.0
 01/01  05:30:00,1426.363173246915,0.0
 01/01  05:45:00,1430.6757640445835,0.0
 01/01  06:00:00,2897.193182322714,0.0
 01/01  06:15:00,4479.372029128307,0.0
 01/01  06:30:00,6179.529525183782,0.0
 01/01  06:45:00,6020.008626915841,0.0
 01/01  07:00:00,6222.217393723712,0.0
 01/01  07:15:00,4468.9301348536765,0.0
 01/01  07:30:00,4493.64743109654,0.0
 01/01  07:45:00,823.2119377292812,0.0
 01/01  08:00:00,950.7380883884092,0.0
 01/01  08:15:00,1145.2603524166695,0.0
 01/01  08:30:00,1459.339656959624,0.0
 01/01  08:45:00,1611.8805306269287,0.0
 01/01  09:00:00,1546.310464978773,4.751836143449293
 01/01  09:15:00,1568.8396279659798,7.123591981823001
 01/01  09:30:00,1591.9920325808807,9.15149961935735
 01/01  09:45:00,1589.249692356274,12.200179157079464
 01/01  10:00:00,1581.767721855469,15.247293994058095
 01/01  10:15:00,1575.883504974449,18.28677346057347
 01/01  10:30:00,1580.074760187157,21.322930304919993
 01/01  10:45:00,1574.7761706502902,23.207364194146802
 01/01  11:00:00,1563.405598599945,25.090677493319024
 01/01  11:15:00,1559.5543507182133,26.98567606082375
 01/01  11:30:00,1564.5665210594946,28.880396696069706
 01/01  11:45:00,1572.77997938058,28.674350946731415
 01/01  12:00:00,1573.412383964928,28.471141973902505
 01/01  12:15:00,1569.1492118763956,28.275833168138554
 01/01  12:30:00,1576.5252376736648,28.08103499881409
 01/01  12:45:00,1588.5315037954708,26.743520600828482
 01/01  13:00:00,1595.7034495288262,25.407791385344808
 01/01  13:15:00,1604.806647984426,24.078400560790104
 01/01  13:30:00,1607.1568231217116,22.749054809707527
 01/01  13:45:00,1620.493630443015,20.84905345126973
 01/01  14:00:00,1640.193854010572,18.949672829241347
 01/01  14:15:00,1648.0733407876412,17.050463123436284
 01/01  14:30:00,1652.381155837911,15.151701314612033
 01/01  14:45:00,1663.4609650738266,13.253510167489416
 01/01  15:00:00,1677.4074324509827,11.356033141766057
 01/01  15:15:00,1697.663760712949,9.460984799292218
 01/01  15:30:00,1704.477223461291,7.566377688065566
 01/01  15:45:00,1711.8923463468468,6.241070209190313
 01/01  16:00:00,1726.7827707656884,4.916009207209271
 01/01  16:15:00,2063.783395050641,3.591080027209943
 01/01  16:30:00,2037.8005293071053,2.2668413678835395
 01/01  16:45:00,5165.762377462479,0.0
 01/01  17:00:00,4756.90763548745,0.0
 01/01  17:15:00,8171.723560453165,0.0
 01/01  17:30:00,8151.32330705944,0.0
 01/01  17:45:00,6383.307040325868,0.0
 01/01  18:00:00,4950.714946976849,0.0
 01/01  18:15:00,4701.148448135455,0.0
 01/01  18:30:00,4700.925750528146,0.0
 01/01  18:45:00,6473.371235522898,0.0
 01/01  19:00:00,6536.371076713165,0.0
 01/01  19:15:00,5272.433536076366,0.0
 01/01  19:30:00,4700.194825731068,0.0
 01/01  19:45:00,4579.6992012099945,0.0
 01/01  20:00:00,4746.054172548276,0.0
 01/01  20:15:00,8187.207738148525,0.0
 01/01  20:30:00,8018.29160029971,0.0
 01/01  20:45:00,5128.850613943085,0.0
 01/01  21:00:00,4648.488548804868,0.0
 01/01  21:15:00,4622.772246788851,0.0
