Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](TimeStep),PV1:Generator Produced DC Electricity Rate [W](TimeStep)
 01/01  00:15:00,1039.8046521628733,0.0
 01/01  00:30:00,1096.674705183654,0.0
 01/01  00:45:00,1094.3876997812936,0.0
 01/01  01:00:00,1120.624271717142,0.0
 01/01  01:15:00,1159.6523395801028,0.0
 01/01  01:30:00,1194.2852224065664,0.0
 01/01  01:45:00,1192.0670753825327,0.0
 01/01  02:00:00,1162.6485134018817,0.0
 01/01  02:15:00,1190.28995767148,0.0
 01/01  02:30:00,1222.9898419599715,0.0
 01/01  02:45:00,1227.5000511759113,0.0
 01/01  03:00:00,1198.98509226777,0.0
 01/01  03:15:00,1224.2955765313384,0.0
 01/01  03:30:00,1227.84504996963,0.0
 01/01  03:45:00,1242.3099026510056,0.0
 01/01  04:00:00,1238.4853872808746,0.0
 01/01  04:15:00,1246.682397836301,0.0
 01/01  04:30:00,1253.279867912296,0.0
 01/01  04:45:00,1268.9571218135452,0.0
 01/01  05:00:00,1276.62678432213,0.0
 01/01  05:15:00,1284.5560210335484,0.0
 01/01  05:30:00,1293.5587453802873,0.0
 01/01  05:45:00,1309.065452495559,0.0
 01/01  06:00:00,2770.253350350422,0.0
 01/01  06:15:00,4376.959250372292,0.0
 01/01  06:30:00,6151.173749065067,0.0
 01/01  06:45:00,5988.749161235171,0.0
 01/01  07:00:00,6188.345695476373,0.0
 01/01  07:15:00,4430.911946649494,0.0
 01/01  07:30:00,4443.69750006857,0.0
 01/01  07:45:00,746.8284058675317,0.0
 01/01  08:00:00,803.9130186593399,0.0
 01/01  08:15:00,993.2037597632328,0.0
 01/01  08:30:00,1348.6831126591214,0.0
 01/01  08:45:00,1456.4334516403464,0.0
 01/01  09:00:00,1426.8388095107057,7.927997141832133
 01/01  09:15:00,1435.7216255557623,11.89018563649104
 01/01  09:30:00,1480.1850898189102,16.167176177135016
 01/01  09:45:00,1477.8402852381869,22.67164863512984
 01/01  10:00:00,1450.5495626589898,28.82739697005661
 01/01  10:15:00,1466.6347222767802,35.02657189045924
 01/01  10:30:00,1458.8690615756475,41.3259819725789
 01/01  10:45:00,1455.7019446152694,48.689392258255815
 01/01  11:00:00,1444.0329203218864,56.21852227710737
 01/01  11:15:00,1434.985908084648,63.96516384716989
 01/01  11:30:00,1435.1188994496918,71.94696266432219
 01/01  11:45:00,1441.5565345067691,70.05689959465666
 01/01  12:00:00,1440.349294540831,68.6092672762699
 01/01  12:15:00,1434.9406854631789,67.47032632805065
 01/01  12:30:00,1433.7220485008893,66.57172671071298
 01/01  12:45:00,1441.4013573382167,68.38806533780308
 01/01  13:00:00,1441.2890926401285,70.39082768587663
 01/01  13:15:00,1435.9004089832592,72.60476277344436
 01/01  13:30:00,1428.6699398495816,75.07051226784947
 01/01  13:45:00,1436.359926332047,61.67295467361335
 01/01  14:00:00,1453.3369127755368,49.04866677738724
 01/01  14:15:00,1467.3180871207749,37.77760806323596
 01/01  14:30:00,1477.9239193575168,28.060902371661655
 01/01  14:45:00,1486.1996795648372,31.17178504640059
 01/01  15:00:00,1498.5653137052866,34.123074083291485
 01/01  15:15:00,1507.8731371467777,37.44640427201784
 01/01  15:30:00,1509.3310207198194,42.4589033024408
 01/01  15:45:00,1515.340344663979,32.056120880589184
 01/01  16:00:00,1530.2149028555432,21.942739840111848
 01/01  16:15:00,1908.6968233225723,13.493717761062578
 01/01  16:30:00,1884.277900020224,5.296060429050384
 01/01  16:45:00,5138.311470922484,0.0
 01/01  17:00:00,4684.932584404667,0.0
 01/01  17:15:00,8170.47808957744,0.0
 01/01  17:30:00,8150.344512219699,0.0
 01/01  17:45:00,6274.95096977229,0.0
 01/01  18:00:00,4872.675083044697,0.0
 01/01  18:15:00,4626.342479639685,0.0
 01/01  18:30:00,4620.120784691251,0.0
 01/01  18:45:00,6370.03564033287,0.0
 01/01  19:00:00,6473.665750809807,0.0
 01/01  19:15:00,5194.816008998012,0.0
 01/01  19:30:00,4621.285113714021,0.0
 01/01  19:45:00,4499.73922835188,0.0
 01/01  20:00:00,4665.123667200602,0.0
 01/01  20:15:00,8185.948390044785,0.0
 01/01  20:30:00,7877.933820149562,0.0
 01/01  20:45:00,5009.31550988644,0.0
 01/01  21:00:00,4555.821472286771,0.0
 01/01  21:15:00,4528.487685586584,0.0
 01/01  21:30:00,4427.504335208907,0.0
 01/01  21:45:00,4420.367134174683,0.0
 01/01  22:00:00,4468.437871506401,0.0
 01/01  22:15:00,4495.645989039962,0.0
 01/01  22:30:00,1799.4952835463823,0.0
 01/01  22:45:00,784.8506268046891,0.0
 01/01  23:00:00,690.3528355179578,0.0
 01/01  23:15:00,757.7828662119425,0.0
 01/01  23:30:00,804.2580051700892,0.0
 01/01  23:45:00,982.1602546353622,0.0
 01/01  24:00:00,942.5249533969934,0.0
 01/02  00:15:00,1735.3155514415885,0.0
