timestep,month,day,hour_epw,tariff_type,calibration_status,price_factor,price_eur_per_kWh_at_base_price,RL_GW,demand_proxy_GW,pv_proxy_GW,wind_proxy_GW
1,1,1,1,weather_driven,historically_calibrated,1.272397,0.216308,11.1166,11.2198,0.0,0.1032
2,1,1,2,weather_driven,historically_calibrated,1.463405,0.248779,11.9837,12.2031,0.0,0.2194
3,1,1,3,weather_driven,historically_calibrated,1.658582,0.281959,12.7836,12.8868,0.0,0.1032
4,1,1,4,weather_driven,historically_calibrated,1.728262,0.293805,13.0511,13.2705,0.0,0.2194
5,1,1,5,weather_driven,historically_calibrated,1.831402,0.311338,13.4317,13.5349,0.0,0.1032
6,1,1,6,weather_driven,historically_calibrated,1.96778,0.334523,13.909,14.0122,0.0,0.1032
7,1,1,7,weather_driven,historically_calibrated,2.988759,0.508089,16.8003,16.9035,0.0,0.1032
8,1,1,8,weather_driven,historically_calibrated,3.150465,0.535579,17.1769,17.1917,0.0,0.0148
9,1,1,9,weather_driven,historically_calibrated,3.194045,0.542988,17.2755,17.3787,0.0,0.1032
10,1,1,10,weather_driven,historically_calibrated,3.152662,0.535953,17.1819,17.2097,0.013,0.0148
11,1,1,11,weather_driven,historically_calibrated,2.702838,0.459482,16.0885,16.6932,0.0402,0.5645
12,1,1,12,weather_driven,historically_calibrated,2.655298,0.451401,15.9639,16.0298,0.0635,0.0024
13,1,1,13,weather_driven,historically_calibrated,2.474304,0.420632,15.4712,15.5907,0.0739,0.0457
14,1,1,14,weather_driven,historically_calibrated,2.447235,0.41603,15.3948,15.5105,0.07,0.0457
15,1,1,15,weather_driven,historically_calibrated,2.532805,0.430577,15.6337,15.8224,0.0855,0.1032
16,1,1,16,weather_driven,historically_calibrated,2.828408,0.480829,16.4088,16.5547,0.0428,0.1032
17,1,1,17,weather_driven,historically_calibrated,3.245114,0.551669,17.3895,17.4049,0.013,0.0024
18,1,1,18,weather_driven,historically_calibrated,3.450157,0.586527,17.8319,17.8776,0.0,0.0457
19,1,1,19,weather_driven,historically_calibrated,3.521334,0.598627,17.98,18.1994,0.0,0.2194
20,1,1,20,weather_driven,historically_calibrated,3.449964,0.586494,17.8315,17.8772,0.0,0.0457
21,1,1,21,weather_driven,historically_calibrated,2.966724,0.504343,16.7476,17.1128,0.0,0.3652
22,1,1,22,weather_driven,historically_calibrated,2.536996,0.431289,15.6452,16.2098,0.0,0.5645
23,1,1,23,weather_driven,historically_calibrated,2.289017,0.389133,14.9338,15.2991,0.0,0.3652
24,1,1,24,weather_driven,historically_calibrated,1.523644,0.259019,12.239,12.3423,0.0,0.1032
25,1,2,1,weather_driven,historically_calibrated,1.223968,0.208075,10.8812,11.707,0.0,0.8257
26,1,2,2,weather_driven,historically_calibrated,1.20114,0.204194,10.7679,11.5936,0.0,0.8257
27,1,2,3,weather_driven,historically_calibrated,1.293718,0.219932,11.2181,11.5833,0.0,0.3652
28,1,2,4,weather_driven,historically_calibrated,1.175567,0.199846,10.639,11.4648,0.0,0.8257
29,1,2,5,weather_driven,historically_calibrated,1.191001,0.20247,10.7171,11.2816,0.0,0.5645
