timestep,month,day,hour_epw,tariff_type,calibration_status,price_factor,price_eur_per_kWh_at_base_price,RL_GW,demand_proxy_GW,pv_proxy_GW,wind_proxy_GW
1,1,1,1,weather_driven,historically_calibrated,0.945837,0.160792,10.853,10.8544,0.0,0.0014
2,1,1,2,weather_driven,historically_calibrated,0.940715,0.159922,10.8203,10.8217,0.0,0.0014
3,1,1,3,weather_driven,historically_calibrated,1.050843,0.178643,11.4961,11.5018,0.0,0.0057
4,1,1,4,weather_driven,historically_calibrated,1.073459,0.182488,11.6282,11.6289,0.0,0.0007
5,1,1,5,weather_driven,historically_calibrated,1.064078,0.180893,11.5737,11.5737,0.0,0.0
6,1,1,6,weather_driven,historically_calibrated,1.107409,0.18826,11.8226,11.8226,0.0,0.0
7,1,1,7,weather_driven,historically_calibrated,1.680604,0.285703,14.5522,14.5525,0.0,0.0003
8,1,1,8,weather_driven,historically_calibrated,1.751114,0.297689,14.8326,14.8326,0.0,0.0
9,1,1,9,weather_driven,historically_calibrated,1.792787,0.304774,14.994,14.994,0.0,0.0
10,1,1,10,weather_driven,historically_calibrated,1.794685,0.305097,15.0012,15.0129,0.0117,0.0
11,1,1,11,weather_driven,historically_calibrated,1.881118,0.31979,15.3256,15.3529,0.0272,0.0
12,1,1,12,weather_driven,historically_calibrated,1.862481,0.316622,15.2568,15.2973,0.0402,0.0003
13,1,1,13,weather_driven,historically_calibrated,1.668049,0.283568,14.5013,14.556,0.0544,0.0003
14,1,1,14,weather_driven,historically_calibrated,1.499378,0.254894,13.7838,13.8414,0.0518,0.0057
15,1,1,15,weather_driven,historically_calibrated,1.501926,0.255327,13.7951,13.8939,0.0441,0.0548
16,1,1,16,weather_driven,historically_calibrated,1.507402,0.256258,13.8194,13.9382,0.0156,0.1032
17,1,1,17,weather_driven,historically_calibrated,1.661303,0.282421,14.4738,14.5655,0.0026,0.0892
18,1,1,18,weather_driven,historically_calibrated,1.844823,0.31362,15.191,15.3097,0.0,0.1187
19,1,1,19,weather_driven,historically_calibrated,1.971574,0.335167,15.6519,15.663,0.0,0.0111
20,1,1,20,weather_driven,historically_calibrated,2.027162,0.344617,15.8461,15.8468,0.0,0.0007
21,1,1,21,weather_driven,historically_calibrated,2.145124,0.364671,16.2434,16.2437,0.0,0.0003
22,1,1,22,weather_driven,historically_calibrated,2.084867,0.354427,16.0429,16.0429,0.0,0.0
23,1,1,23,weather_driven,historically_calibrated,2.008069,0.341372,15.7799,15.7799,0.0,0.0
24,1,1,24,weather_driven,historically_calibrated,1.268148,0.215585,12.6847,12.6847,0.0,0.0
25,1,2,1,weather_driven,historically_calibrated,1.152244,0.195881,12.0724,12.0724,0.0,0.0
26,1,2,2,weather_driven,historically_calibrated,1.161282,0.197418,12.1218,12.1218,0.0,0.0
27,1,2,3,weather_driven,historically_calibrated,1.228324,0.208815,12.4794,12.4794,0.0,0.0
28,1,2,4,weather_driven,historically_calibrated,1.252715,0.212962,12.6057,12.6139,0.0,0.0081
29,1,2,5,weather_driven,historically_calibrated,1.292221,0.219678,12.8063,12.8255,0.0,0.0193
30,1,2,6,weather_driven,historically_calibrated,1.338465,0.227539,13.0349,13.1536,0.0,0.1187
31,1,2,7,weather_driven,historically_calibrated,1.912656,0.325152,15.4409,16.102,0.0,0.6611
32,1,2,8,weather_driven,historically_calibrated,2.092409,0.355709,16.0682,16.5882,0.0,0.52
33,1,2,9,weather_driven,historically_calibrated,2.231954,0.379432,16.524,16.7686,0.0,0.2447
34,1,2,10,weather_driven,historically_calibrated,2.082793,0.354075,16.0359,16.1662,0.0117,0.1187
35,1,2,11,weather_driven,historically_calibrated,1.997317,0.339544,15.7424,15.7818,0.0337,0.0057
36,1,2,12,weather_driven,historically_calibrated,1.863033,0.316716,15.2588,15.3496,0.0531,0.0376
37,1,2,13,weather_driven,historically_calibrated,1.771962,0.301234,14.9137,15.0216,0.0622,0.0457
38,1,2,14,weather_driven,historically_calibrated,1.76446,0.299958,14.8847,15.1453,0.0648,0.1959
39,1,2,15,weather_driven,historically_calibrated,1.793247,0.304852,14.9957,15.5546,0.0389,0.52
40,1,2,16,weather_driven,historically_calibrated,1.910648,0.32481,15.4336,15.7197,0.0143,0.2718
41,1,2,17,weather_driven,historically_calibrated,2.036473,0.3462,15.8781,16.2459,0.0026,0.3652
42,1,2,18,weather_driven,historically_calibrated,2.169315,0.368784,16.3225,16.6235,0.0,0.3009
43,1,2,19,weather_driven,historically_calibrated,2.286909,0.388775,16.6967,16.8708,0.0,0.1741
44,1,2,20,weather_driven,historically_calibrated,2.233985,0.379778,16.5304,16.8022,0.0,0.2718
45,1,2,21,weather_driven,historically_calibrated,2.008574,0.341458,15.7816,16.3016,0.0,0.52
46,1,2,22,weather_driven,historically_calibrated,1.925382,0.327315,15.4869,16.0985,0.0,0.6116
47,1,2,23,weather_driven,historically_calibrated,1.64011,0.278819,14.3867,15.7799,0.0,1.3932
48,1,2,24,weather_driven,historically_calibrated,0.830404,0.141169,10.0821,12.2567,0.0,2.1746
49,1,3,1,weather_driven,historically_calibrated,0.956681,0.162636,10.9218,11.7476,0.0,0.8257
50,1,3,2,weather_driven,historically_calibrated,1.082536,0.184031,11.6806,12.0812,0.0,0.4005
51,1,3,3,weather_driven,historically_calibrated,1.156924,0.196677,12.098,12.1128,0.0,0.0148
52,1,3,4,weather_driven,historically_calibrated,1.1839,0.201263,12.2442,12.2445,0.0,0.0003
53,1,3,5,weather_driven,historically_calibrated,1.21109,0.205885,12.389,12.4082,0.0,0.0193
54,1,3,6,weather_driven,historically_calibrated,1.225868,0.208398,12.4666,12.4666,0.0,0.0
55,1,3,7,weather_driven,historically_calibrated,1.962896,0.333692,15.6211,15.6211,0.0,0.0
56,1,3,8,weather_driven,historically_calibrated,2.100234,0.35704,16.0945,16.0945,0.0,0.0
57,1,3,9,weather_driven,historically_calibrated,2.169661,0.368842,16.3237,16.325,0.0013,0.0
58,1,3,10,weather_driven,historically_calibrated,2.0762,0.352954,16.0136,16.0564,0.0428,0.0
59,1,3,11,weather_driven,historically_calibrated,1.960189,0.333232,15.6115,15.7282,0.1166,0.0
60,1,3,12,weather_driven,historically_calibrated,1.834927,0.311938,15.1539,15.3496,0.1957,0.0
61,1,3,13,weather_driven,historically_calibrated,1.753674,0.298125,14.8427,15.0733,0.2307,0.0
62,1,3,14,weather_driven,historically_calibrated,1.636552,0.278214,14.372,14.5716,0.1996,0.0
63,1,3,15,weather_driven,historically_calibrated,1.747597,0.297091,14.8189,14.9653,0.1464,0.0
64,1,3,16,weather_driven,historically_calibrated,2.08307,0.354122,16.0368,16.1094,0.0726,0.0
65,1,3,17,weather_driven,historically_calibrated,2.30473,0.391804,16.7519,16.7675,0.0156,0.0
66,1,3,18,weather_driven,historically_calibrated,2.544091,0.432495,17.4595,17.4595,0.0,0.0
67,1,3,19,weather_driven,historically_calibrated,2.960926,0.503358,18.5617,18.5617,0.0,0.0
68,1,3,20,weather_driven,historically_calibrated,2.973896,0.505562,18.5938,18.5938,0.0,0.0
69,1,3,21,weather_driven,historically_calibrated,2.800751,0.476128,18.1557,18.1557,0.0,0.0
70,1,3,22,weather_driven,historically_calibrated,2.554638,0.434288,17.4893,17.4893,0.0,0.0
71,1,3,23,weather_driven,historically_calibrated,2.407068,0.409202,17.062,17.0621,0.0,0.0001
72,1,3,24,weather_driven,historically_calibrated,1.512107,0.257058,13.8402,13.8403,0.0,0.0001
73,1,4,1,weather_driven,historically_calibrated,1.452749,0.246967,13.5738,13.5745,0.0,0.0007
74,1,4,2,weather_driven,historically_calibrated,1.359358,0.231091,13.1361,13.1375,0.0,0.0014
75,1,4,3,weather_driven,historically_calibrated,1.374533,0.233671,13.2088,13.2127,0.0,0.0038
76,1,4,4,weather_driven,historically_calibrated,1.430145,0.243125,13.47,13.4757,0.0,0.0057
77,1,4,5,weather_driven,historically_calibrated,1.498845,0.254804,13.7814,13.7853,0.0,0.0038
78,1,4,6,weather_driven,historically_calibrated,1.569547,0.266823,14.09,14.0981,0.0,0.0081
79,1,4,7,weather_driven,historically_calibrated,2.497696,0.424608,17.3271,17.3309,0.0,0.0038
80,1,4,8,weather_driven,historically_calibrated,2.619618,0.445335,17.6706,17.6855,0.0,0.0148
81,1,4,9,weather_driven,historically_calibrated,2.688037,0.456966,17.8573,17.8778,0.0013,0.0193
82,1,4,10,weather_driven,historically_calibrated,2.613566,0.444306,17.6539,17.7039,0.0389,0.0111
83,1,4,11,weather_driven,historically_calibrated,2.440856,0.414946,17.1618,17.283,0.1063,0.0148
