timestep,month,day,hour_epw,tariff_type,calibration_status,price_factor,price_eur_per_kWh_at_base_price,RL_GW,demand_proxy_GW,pv_proxy_GW,wind_proxy_GW
1,1,1,1,weather_driven,historically_calibrated,0.991105,0.168488,9.7177,9.7177,0.0,0.0
2,1,1,2,weather_driven,historically_calibrated,1.035319,0.176004,9.9685,9.9685,0.0,0.0
3,1,1,3,weather_driven,historically_calibrated,1.084551,0.184374,10.2391,10.2391,0.0,0.0
4,1,1,4,weather_driven,historically_calibrated,1.121965,0.190734,10.4388,10.4388,0.0,0.0
5,1,1,5,weather_driven,historically_calibrated,1.196481,0.203402,10.8226,10.8226,0.0,0.0
6,1,1,6,weather_driven,historically_calibrated,1.259913,0.214185,11.1356,11.1356,0.0,0.0
7,1,1,7,weather_driven,historically_calibrated,1.91224,0.325081,13.8045,13.8045,0.0,0.0
8,1,1,8,weather_driven,historically_calibrated,2.037201,0.346324,14.2292,14.2292,0.0,0.0
9,1,1,9,weather_driven,historically_calibrated,2.016638,0.342828,14.1608,14.1621,0.0013,0.0
10,1,1,10,weather_driven,historically_calibrated,1.806201,0.307054,13.4259,13.4752,0.0492,0.0
11,1,1,11,weather_driven,historically_calibrated,1.524874,0.259229,12.3269,12.4578,0.1309,0.0
12,1,1,12,weather_driven,historically_calibrated,1.333327,0.226666,11.4835,11.687,0.2035,0.0
13,1,1,13,weather_driven,historically_calibrated,1.234256,0.209823,11.0105,11.245,0.2346,0.0
14,1,1,14,weather_driven,historically_calibrated,1.225772,0.208381,10.9686,11.1812,0.2125,0.0
15,1,1,15,weather_driven,historically_calibrated,1.357384,0.230755,11.5944,11.7512,0.1568,0.0
16,1,1,16,weather_driven,historically_calibrated,1.529984,0.260097,12.3482,12.435,0.0868,0.0
17,1,1,17,weather_driven,historically_calibrated,1.688868,0.287108,12.9854,13.001,0.0156,0.0
18,1,1,18,weather_driven,historically_calibrated,1.798758,0.305789,13.3987,13.3987,0.0,0.0
19,1,1,19,weather_driven,historically_calibrated,1.823523,0.309999,13.489,13.489,0.0,0.0
20,1,1,20,weather_driven,historically_calibrated,1.815021,0.308554,13.4581,13.4581,0.0,0.0
21,1,1,21,weather_driven,historically_calibrated,1.738056,0.29547,13.173,13.173,0.0,0.0
22,1,1,22,weather_driven,historically_calibrated,1.631347,0.277329,12.7604,12.7604,0.0,0.0
23,1,1,23,weather_driven,historically_calibrated,1.532972,0.260605,12.3607,12.3607,0.0,0.0
24,1,1,24,weather_driven,historically_calibrated,1.054282,0.179228,10.0738,10.0738,0.0,0.0
25,1,2,1,weather_driven,historically_calibrated,0.984077,0.167293,9.6771,9.6771,0.0,0.0
26,1,2,2,weather_driven,historically_calibrated,1.020848,0.173544,9.8873,9.8873,0.0,0.0
27,1,2,3,weather_driven,historically_calibrated,1.040002,0.1768,9.9947,9.9947,0.0,0.0
28,1,2,4,weather_driven,historically_calibrated,1.068442,0.181635,10.1515,10.1515,0.0,0.0
29,1,2,5,weather_driven,historically_calibrated,1.084431,0.184353,10.2384,10.2384,0.0,0.0
30,1,2,6,weather_driven,historically_calibrated,1.099578,0.186928,10.3199,10.3199,0.0,0.0
31,1,2,7,weather_driven,historically_calibrated,1.572134,0.267263,12.5222,12.5222,0.0,0.0
