timestep,month,day,hour_epw,tariff_type,calibration_status,price_factor,price_eur_per_kWh_at_base_price,RL_GW,demand_proxy_GW,pv_proxy_GW,wind_proxy_GW
1,1,1,1,weather_driven,historically_calibrated,1.354553,0.230274,9.8685,10.5296,0.0,0.6611
2,1,1,2,weather_driven,historically_calibrated,1.387429,0.235863,10.007,10.6186,0.0,0.6116
3,1,1,3,weather_driven,historically_calibrated,1.406692,0.239138,10.0871,10.5649,0.0,0.4779
4,1,1,4,weather_driven,historically_calibrated,1.376171,0.233949,9.9598,10.4798,0.0,0.52
5,1,1,5,weather_driven,historically_calibrated,1.408456,0.239438,10.0944,10.5722,0.0,0.4779
6,1,1,6,weather_driven,historically_calibrated,1.504748,0.255807,10.4829,10.921,0.0,0.4381
7,1,1,7,weather_driven,historically_calibrated,2.420583,0.411499,13.4701,13.6442,0.0,0.1741
8,1,1,8,weather_driven,historically_calibrated,2.454173,0.417209,13.5613,13.7354,0.0,0.1741
9,1,1,9,weather_driven,historically_calibrated,2.542236,0.43218,13.7956,13.8848,0.0,0.0892
10,1,1,10,weather_driven,historically_calibrated,2.446242,0.415861,13.5398,13.585,0.0259,0.0193
11,1,1,11,weather_driven,historically_calibrated,2.135175,0.36298,12.6509,12.7794,0.0635,0.065
12,1,1,12,weather_driven,historically_calibrated,1.913481,0.325292,11.9525,12.2102,0.1037,0.1541
13,1,1,13,weather_driven,historically_calibrated,1.735969,0.295115,11.3465,11.8141,0.1024,0.3652
14,1,1,14,weather_driven,historically_calibrated,1.645783,0.279783,11.0205,11.6506,0.1102,0.52
15,1,1,15,weather_driven,historically_calibrated,1.750401,0.297568,11.3975,11.9654,0.048,0.52
16,1,1,16,weather_driven,historically_calibrated,1.994779,0.339112,12.2156,12.4907,0.0557,0.2194
17,1,1,17,weather_driven,historically_calibrated,2.243698,0.381429,12.9722,13.1169,0.0091,0.1356
18,1,1,18,weather_driven,historically_calibrated,2.471145,0.420095,13.607,13.6375,0.0,0.0306
19,1,1,19,weather_driven,historically_calibrated,2.608747,0.443487,13.9683,13.9721,0.0,0.0038
20,1,1,20,weather_driven,historically_calibrated,2.59602,0.441323,13.9355,13.9358,0.0,0.0003
