timestep,month,day,hour_epw,tariff_type,calibration_status,price_factor,price_eur_per_kWh_at_base_price,RL_GW,demand_proxy_GW,pv_proxy_GW,wind_proxy_GW
1,1,1,1,weather_driven,historically_calibrated,0.408993,0.069529,3.8991,7.4036,0.0,3.5045
2,1,1,2,weather_driven,historically_calibrated,0.399977,0.067996,3.8289,7.4903,0.0,3.6614
3,1,1,3,weather_driven,historically_calibrated,0.492072,0.083652,4.5193,7.3062,0.0,2.7869
4,1,1,4,weather_driven,historically_calibrated,0.431854,0.073415,4.0746,7.2788,0.0,3.2043
5,1,1,5,weather_driven,historically_calibrated,0.602812,0.102478,5.2788,7.5679,0.0,2.289
6,1,1,6,weather_driven,historically_calibrated,0.901861,0.153316,7.0337,8.3449,0.0,1.3112
7,1,1,7,weather_driven,historically_calibrated,1.592249,0.270682,10.0457,10.759,0.0,0.7133
8,1,1,8,weather_driven,historically_calibrated,1.833077,0.311623,10.8797,11.2118,0.0,0.332
9,1,1,9,weather_driven,historically_calibrated,1.723299,0.292961,10.5101,11.2782,0.0,0.7682
10,1,1,10,weather_driven,historically_calibrated,1.642766,0.27927,10.2278,10.7841,0.0363,0.52
11,1,1,11,weather_driven,historically_calibrated,1.440822,0.24494,9.4738,10.1524,0.114,0.5645
12,1,1,12,weather_driven,historically_calibrated,1.327996,0.225759,9.02,9.6987,0.2009,0.4779
13,1,1,13,weather_driven,historically_calibrated,1.082432,0.184013,7.9351,9.4861,0.2398,1.3112
14,1,1,14,weather_driven,historically_calibrated,1.235529,0.21004,8.6282,9.3556,0.2074,0.52
15,1,1,15,weather_driven,historically_calibrated,1.437394,0.244357,9.4604,10.1977,0.1257,0.6116
16,1,1,16,weather_driven,historically_calibrated,1.815361,0.308611,10.8212,11.2103,0.057,0.332
17,1,1,17,weather_driven,historically_calibrated,2.171217,0.369107,11.9231,11.9579,0.0104,0.0245
18,1,1,18,weather_driven,historically_calibrated,2.339902,0.397783,12.3975,12.4432,0.0,0.0457
19,1,1,19,weather_driven,historically_calibrated,2.4304,0.413168,12.6411,12.6435,0.0,0.0024
20,1,1,20,weather_driven,historically_calibrated,2.420165,0.411428,12.6139,12.622,0.0,0.0081
21,1,1,21,weather_driven,historically_calibrated,2.278309,0.387312,12.2275,12.3039,0.0,0.0764
22,1,1,22,weather_driven,historically_calibrated,2.182979,0.371106,11.9571,11.9816,0.0,0.0245
23,1,1,23,weather_driven,historically_calibrated,1.89072,0.321422,11.0673,11.0785,0.0,0.0111
24,1,1,24,weather_driven,historically_calibrated,1.302174,0.22137,8.9125,8.9182,0.0,0.0057
25,1,2,1,weather_driven,historically_calibrated,1.270848,0.216044,8.7801,8.7839,0.0,0.0038
26,1,2,2,weather_driven,historically_calibrated,1.368411,0.23263,9.1855,9.1966,0.0,0.0111
27,1,2,3,weather_driven,historically_calibrated,1.455689,0.247467,9.5318,9.5466,0.0,0.0148
28,1,2,4,weather_driven,historically_calibrated,1.519936,0.258389,9.7776,9.8232,0.0,0.0457
29,1,2,5,weather_driven,historically_calibrated,1.602416,0.272411,10.0827,10.1132,0.0,0.0306
30,1,2,6,weather_driven,historically_calibrated,1.541905,0.262124,9.86,9.8905,0.0,0.0306
31,1,2,7,weather_driven,historically_calibrated,2.066001,0.35122,11.6125,11.6673,0.0,0.0548
32,1,2,8,weather_driven,historically_calibrated,1.959999,0.3332,11.2872,11.3764,0.0,0.0892
33,1,2,9,weather_driven,historically_calibrated,1.855492,0.315434,10.9532,11.0564,0.0,0.1032
34,1,2,10,weather_driven,historically_calibrated,1.656108,0.281538,10.2753,10.4546,0.0052,0.1741
35,1,2,11,weather_driven,historically_calibrated,1.420865,0.241547,9.3953,9.7235,0.0272,0.3009
36,1,2,12,weather_driven,historically_calibrated,1.21451,0.206467,8.5365,8.9139,0.0454,0.332
37,1,2,13,weather_driven,historically_calibrated,1.108735,0.188485,8.0584,8.5549,0.0959,0.4005
38,1,2,14,weather_driven,historically_calibrated,1.08514,0.184474,7.9479,8.4689,0.0829,0.4381
39,1,2,15,weather_driven,historically_calibrated,1.122439,0.190815,8.122,8.6977,0.0557,0.52
40,1,2,16,weather_driven,historically_calibrated,1.206006,0.205021,8.4991,9.0947,0.0311,0.5645
41,1,2,17,weather_driven,historically_calibrated,1.314765,0.22351,8.9651,9.4083,0.0052,0.4381
42,1,2,18,weather_driven,historically_calibrated,1.412967,0.240204,9.3641,9.6961,0.0,0.332
43,1,2,19,weather_driven,historically_calibrated,1.417859,0.241036,9.3835,9.6844,0.0,0.3009
44,1,2,20,weather_driven,historically_calibrated,1.398029,0.237665,9.3046,9.5765,0.0,0.2718
45,1,2,21,weather_driven,historically_calibrated,1.313878,0.223359,8.9614,9.2332,0.0,0.2718
46,1,2,22,weather_driven,historically_calibrated,1.239783,0.210763,8.6467,8.8661,0.0,0.2194
47,1,2,23,weather_driven,historically_calibrated,1.16646,0.198298,8.3228,8.5675,0.0,0.2447
48,1,2,24,weather_driven,historically_calibrated,0.828109,0.140778,6.6347,6.9065,0.0,0.2718
49,1,3,1,weather_driven,historically_calibrated,0.788633,0.134068,6.4129,6.6322,0.0,0.2194
