timestep,month,day,hour_epw,tariff_type,calibration_status,price_factor,price_eur_per_kWh_at_base_price,RL_GW,demand_proxy_GW,pv_proxy_GW,wind_proxy_GW
1,1,1,1,weather_driven,historically_calibrated,1.386365,0.235682,11.2056,11.2604,0.0,0.0548
2,1,1,2,weather_driven,historically_calibrated,1.342714,0.228261,11.0107,11.0655,0.0,0.0548
3,1,1,3,weather_driven,historically_calibrated,1.355877,0.230499,11.07,11.0945,0.0,0.0245
4,1,1,4,weather_driven,historically_calibrated,1.369717,0.232852,11.1319,11.1775,0.0,0.0457
5,1,1,5,weather_driven,historically_calibrated,1.412328,0.240096,11.3194,11.3651,0.0,0.0457
6,1,1,6,weather_driven,historically_calibrated,1.545181,0.262681,11.8779,11.9085,0.0,0.0306
7,1,1,7,weather_driven,historically_calibrated,2.471576,0.420168,14.9718,14.98,0.0,0.0081
8,1,1,8,weather_driven,historically_calibrated,2.62124,0.445611,15.3774,15.3813,0.0,0.0038
9,1,1,9,weather_driven,historically_calibrated,2.795054,0.475159,15.8245,15.8258,0.0013,0.0001
10,1,1,10,weather_driven,historically_calibrated,2.740459,0.465878,15.6867,15.7269,0.0402,0.0
11,1,1,11,weather_driven,historically_calibrated,2.689766,0.45726,15.5566,15.6746,0.1179,0.0
12,1,1,12,weather_driven,historically_calibrated,2.519579,0.428328,15.1042,15.2973,0.1931,0.0
13,1,1,13,weather_driven,historically_calibrated,2.19975,0.373957,14.1792,14.4008,0.2216,0.0
14,1,1,14,weather_driven,historically_calibrated,2.165402,0.368118,14.0733,14.2586,0.1853,0.0
15,1,1,15,weather_driven,historically_calibrated,2.27655,0.387013,14.4111,14.5368,0.1257,0.0
16,1,1,16,weather_driven,historically_calibrated,2.502287,0.425389,15.0567,15.1073,0.0505,0.0
17,1,1,17,weather_driven,historically_calibrated,2.799325,0.475885,15.8351,15.8403,0.0052,0.0
18,1,1,18,weather_driven,historically_calibrated,3.156947,0.536681,16.6832,16.6832,0.0,0.0
19,1,1,19,weather_driven,historically_calibrated,3.466243,0.589261,17.3515,17.3539,0.0,0.0024
20,1,1,20,weather_driven,historically_calibrated,3.338248,0.567502,17.0816,17.1008,0.0,0.0193
21,1,1,21,weather_driven,historically_calibrated,3.077457,0.523168,16.5022,16.5913,0.0,0.0892
22,1,1,22,weather_driven,historically_calibrated,2.679896,0.455582,15.5311,15.9316,0.0,0.4005
23,1,1,23,weather_driven,historically_calibrated,2.392274,0.406687,14.7485,15.8333,0.0,1.0848
24,1,1,24,weather_driven,historically_calibrated,1.290259,0.219344,10.7702,12.7275,0.0,1.9573
25,1,2,1,weather_driven,historically_calibrated,1.314098,0.223397,10.8804,12.113,0.0,1.2326
26,1,2,2,weather_driven,historically_calibrated,1.507003,0.256191,11.7213,12.1218,0.0,0.4005
27,1,2,3,weather_driven,historically_calibrated,1.391143,0.236494,11.2267,12.1128,0.0,0.8861
28,1,2,4,weather_driven,historically_calibrated,0.978217,0.166297,9.1704,11.9572,0.0,2.7869
29,1,2,5,weather_driven,historically_calibrated,1.213108,0.206228,10.4029,12.1579,0.0,1.755
30,1,2,6,weather_driven,historically_calibrated,1.30755,0.222284,10.8502,12.5095,0.0,1.6593
31,1,2,7,weather_driven,historically_calibrated,2.187861,0.371936,14.1427,15.6211,0.0,1.4784
32,1,2,8,weather_driven,historically_calibrated,2.272564,0.386336,14.3992,15.7104,0.0,1.3112
33,1,2,9,weather_driven,historically_calibrated,2.150516,0.365588,14.027,15.8813,0.0,1.8543
34,1,2,10,weather_driven,historically_calibrated,1.628802,0.276896,12.2107,15.7269,0.0117,3.5045
35,1,2,11,weather_driven,historically_calibrated,1.14006,0.19381,10.0392,15.3529,0.0246,5.2891
36,1,2,12,weather_driven,historically_calibrated,0.91286,0.155186,8.7914,14.9833,0.0467,6.1452
37,1,2,13,weather_driven,historically_calibrated,0.76009,0.129215,7.8302,14.9699,0.0505,7.0891
38,1,2,14,weather_driven,historically_calibrated,0.947264,0.161035,8.9931,14.7281,0.0285,5.7064
39,1,2,15,weather_driven,historically_calibrated,1.343215,0.228347,11.013,15.0189,0.0168,3.9891
40,1,2,16,weather_driven,historically_calibrated,1.791731,0.304594,12.8226,15.497,0.0181,2.6563
41,1,2,17,weather_driven,historically_calibrated,2.477666,0.421203,14.9888,16.3039,0.0039,1.3112
42,1,2,18,weather_driven,historically_calibrated,2.942538,0.500231,16.1854,16.6235,0.0,0.4381
43,1,2,19,weather_driven,historically_calibrated,3.065761,0.521179,16.4752,16.6293,0.0,0.1541
44,1,2,20,weather_driven,historically_calibrated,3.14012,0.53382,16.6452,16.6828,0.0,0.0376
45,1,2,21,weather_driven,historically_calibrated,2.942387,0.500206,16.1851,16.1858,0.0,0.0007
46,1,2,22,weather_driven,historically_calibrated,2.684175,0.45631,15.5421,15.5421,0.0,0.0
47,1,2,23,weather_driven,historically_calibrated,2.777291,0.47214,15.7799,15.7799,0.0,0.0
48,1,2,24,weather_driven,historically_calibrated,1.753932,0.298168,12.6847,12.6847,0.0,0.0
49,1,3,1,weather_driven,historically_calibrated,1.593629,0.270917,12.0724,12.0724,0.0,0.0
50,1,3,2,weather_driven,historically_calibrated,1.595851,0.271295,12.0812,12.0812,0.0,0.0
51,1,3,3,weather_driven,historically_calibrated,1.602888,0.272491,12.109,12.1128,0.0,0.0038
52,1,3,4,weather_driven,historically_calibrated,1.562795,0.265675,11.9491,11.9572,0.0,0.0081
53,1,3,5,weather_driven,historically_calibrated,1.540807,0.261937,11.8601,11.8658,0.0,0.0057
54,1,3,6,weather_driven,historically_calibrated,1.605496,0.272934,12.1193,12.1231,0.0,0.0038
55,1,3,7,weather_driven,historically_calibrated,2.394602,0.407082,14.7551,14.7663,0.0,0.0111
56,1,3,8,weather_driven,historically_calibrated,2.480726,0.421723,14.9972,14.9972,0.0,0.0
57,1,3,9,weather_driven,historically_calibrated,2.55928,0.435078,15.212,15.2158,0.0,0.0038
58,1,3,10,weather_driven,historically_calibrated,2.413828,0.410351,14.8098,14.8481,0.0078,0.0306
59,1,3,11,weather_driven,historically_calibrated,2.238009,0.380462,14.2955,14.3342,0.0194,0.0193
60,1,3,12,weather_driven,historically_calibrated,2.070821,0.35204,13.7744,13.8322,0.0272,0.0306
61,1,3,13,weather_driven,historically_calibrated,1.929981,0.328097,13.308,13.3661,0.0389,0.0193
62,1,3,14,weather_driven,historically_calibrated,1.886275,0.320667,13.1576,13.2154,0.0272,0.0306
63,1,3,15,weather_driven,historically_calibrated,1.818586,0.30916,12.9192,13.0368,0.0285,0.0892
64,1,3,16,weather_driven,historically_calibrated,1.818873,0.309208,12.9202,12.9918,0.0259,0.0457
65,1,3,17,weather_driven,historically_calibrated,1.920518,0.326488,13.2757,13.2907,0.0039,0.0111
66,1,3,18,weather_driven,historically_calibrated,1.976001,0.33592,13.4634,13.5181,0.0,0.0548
67,1,3,19,weather_driven,historically_calibrated,1.9881,0.337977,13.5037,13.5494,0.0,0.0457
68,1,3,20,weather_driven,historically_calibrated,1.912549,0.325133,13.2483,13.2789,0.0,0.0306
69,1,3,21,weather_driven,historically_calibrated,1.774599,0.301682,12.7604,12.8254,0.0,0.065
70,1,3,22,weather_driven,historically_calibrated,1.636048,0.278128,12.2389,12.3154,0.0,0.0764
71,1,3,23,weather_driven,historically_calibrated,1.494608,0.254083,11.6698,11.773,0.0,0.1032
72,1,3,24,weather_driven,historically_calibrated,0.986105,0.167638,9.2149,9.2606,0.0,0.0457
73,1,4,1,weather_driven,historically_calibrated,0.892032,0.151645,8.6669,8.7433,0.0,0.0764
74,1,4,2,weather_driven,historically_calibrated,0.883235,0.15015,8.6137,8.6685,0.0,0.0548
75,1,4,3,weather_driven,historically_calibrated,0.869795,0.147865,8.5318,8.6504,0.0,0.1187
76,1,4,4,weather_driven,historically_calibrated,0.784248,0.133322,7.99,8.51,0.0,0.52
77,1,4,5,weather_driven,historically_calibrated,0.799841,0.135973,8.0915,8.5693,0.0,0.4779
78,1,4,6,weather_driven,historically_calibrated,0.843029,0.143315,8.3661,8.7313,0.0,0.3652
79,1,4,7,weather_driven,historically_calibrated,1.273966,0.216574,10.694,10.759,0.0,0.065
80,1,4,8,weather_driven,historically_calibrated,1.304666,0.221793,10.8369,10.8826,0.0,0.0457
81,1,4,9,weather_driven,historically_calibrated,1.316357,0.223781,10.8907,10.9455,0.0,0.0548
82,1,4,10,weather_driven,historically_calibrated,1.257377,0.213754,10.6156,10.6743,0.0039,0.0548
83,1,4,11,weather_driven,historically_calibrated,1.187806,0.201927,10.2787,10.3668,0.0117,0.0764
84,1,4,12,weather_driven,historically_calibrated,1.093508,0.185896,9.7986,10.0127,0.0181,0.1959
85,1,4,13,weather_driven,historically_calibrated,1.010699,0.171819,9.3523,9.7448,0.0272,0.3652
86,1,4,14,weather_driven,historically_calibrated,0.974945,0.165741,9.1518,9.6686,0.0389,0.4779
87,1,4,15,weather_driven,historically_calibrated,0.991745,0.168597,9.2466,9.9298,0.022,0.6611
88,1,4,16,weather_driven,historically_calibrated,1.06481,0.181018,9.6467,10.3195,0.0117,0.6611
89,1,4,17,weather_driven,historically_calibrated,1.148969,0.195325,10.0844,10.799,0.0013,0.7133
90,1,4,18,weather_driven,historically_calibrated,1.215816,0.206689,10.4161,11.1294,0.0,0.7133
91,1,4,19,weather_driven,historically_calibrated,1.242921,0.211297,10.5468,11.3149,0.0,0.7682
92,1,4,20,weather_driven,historically_calibrated,1.216333,0.206777,10.4186,11.368,0.0,0.9494
93,1,4,21,weather_driven,historically_calibrated,1.117947,0.190051,9.9258,11.319,0.0,1.3932
94,1,4,22,weather_driven,historically_calibrated,1.03791,0.176445,9.5017,10.9802,0.0,1.4784
95,1,4,23,weather_driven,historically_calibrated,0.870092,0.147916,8.5336,10.5976,0.0,2.0641
96,1,4,24,weather_driven,historically_calibrated,0.388618,0.066065,4.8716,8.533,0.0,3.6614
97,1,5,1,weather_driven,historically_calibrated,0.256839,0.043663,3.4962,8.0126,0.0,4.5164
98,1,5,2,weather_driven,historically_calibrated,0.253787,0.043144,3.4614,7.9778,0.0,4.5164
99,1,5,3,weather_driven,historically_calibrated,0.28643,0.048693,3.8259,8.1616,0.0,4.3358
100,1,5,4,weather_driven,historically_calibrated,0.299656,0.050942,3.969,8.3048,0.0,4.3358
