timestep,month,day,hour_epw,tariff_type,calibration_status,price_factor,price_eur_per_kWh_at_base_price,RL_GW,demand_proxy_GW,pv_proxy_GW,wind_proxy_GW
1,1,1,1,weather_driven,historically_calibrated,1.475295,0.2508,10.5788,11.0168,0.0,0.4381
2,1,1,2,weather_driven,historically_calibrated,1.388454,0.236037,10.2205,10.7405,0.0,0.52
3,1,1,3,weather_driven,historically_calibrated,1.385805,0.235587,10.2093,10.6871,0.0,0.4779
4,1,1,4,weather_driven,historically_calibrated,1.342412,0.22821,10.0239,10.685,0.0,0.6611
5,1,1,5,weather_driven,historically_calibrated,1.398058,0.23767,10.2609,10.7809,0.0,0.52
6,1,1,6,weather_driven,historically_calibrated,1.41102,0.239873,10.3151,10.8351,0.0,0.52
7,1,1,7,weather_driven,historically_calibrated,2.097946,0.356651,12.7692,13.5373,0.0,0.7682
8,1,1,8,weather_driven,historically_calibrated,2.236825,0.38026,13.1867,13.9,0.0,0.7133
9,1,1,9,weather_driven,historically_calibrated,2.175041,0.369757,13.0036,13.8293,0.0,0.8257
10,1,1,10,weather_driven,historically_calibrated,2.07024,0.351941,12.6833,13.3104,0.0156,0.6116
11,1,1,11,weather_driven,historically_calibrated,1.802665,0.306453,11.8033,12.4041,0.0363,0.5645
12,1,1,12,weather_driven,historically_calibrated,1.677516,0.285178,11.3567,11.844,0.0492,0.4381
13,1,1,13,weather_driven,historically_calibrated,1.642508,0.279226,11.2272,11.6072,0.048,0.332
14,1,1,14,weather_driven,historically_calibrated,1.693518,0.287898,11.4151,11.755,0.0389,0.3009
15,1,1,15,weather_driven,historically_calibrated,1.801513,0.306257,11.7993,12.1262,0.0259,0.3009
16,1,1,16,weather_driven,historically_calibrated,1.998082,0.339674,12.4552,12.7691,0.013,0.3009
17,1,1,17,weather_driven,historically_calibrated,2.207999,0.37536,13.1018,13.4066,0.0039,0.3009
18,1,1,18,weather_driven,historically_calibrated,2.467548,0.419483,13.8362,14.0556,0.0,0.2194
19,1,1,19,weather_driven,historically_calibrated,2.642689,0.449257,14.2968,14.3344,0.0,0.0376
20,1,1,20,weather_driven,historically_calibrated,2.670612,0.454004,14.3679,14.4136,0.0,0.0457
21,1,1,21,weather_driven,historically_calibrated,2.608456,0.443438,14.2088,14.2738,0.0,0.065
22,1,1,22,weather_driven,historically_calibrated,2.422822,0.41188,13.7143,13.8175,0.0,0.1032
23,1,1,23,weather_driven,historically_calibrated,2.364935,0.402039,13.5537,13.6429,0.0,0.0892
24,1,1,24,weather_driven,historically_calibrated,1.596711,0.271441,11.0547,11.1438,0.0,0.0892
25,1,2,1,weather_driven,historically_calibrated,1.469684,0.249846,10.5561,10.6108,0.0,0.0548
26,1,2,2,weather_driven,historically_calibrated,1.486382,0.252685,10.6234,10.6998,0.0,0.0764
27,1,2,3,weather_driven,historically_calibrated,1.496243,0.254361,10.6629,10.7279,0.0,0.065
28,1,2,4,weather_driven,historically_calibrated,1.504424,0.255752,10.6955,10.7261,0.0,0.0306
29,1,2,5,weather_driven,historically_calibrated,1.564979,0.266047,10.9329,10.9478,0.0,0.0148
30,1,2,6,weather_driven,historically_calibrated,1.640255,0.278843,11.2188,11.2644,0.0,0.0457
31,1,2,7,weather_driven,historically_calibrated,2.551439,0.433745,14.0601,14.1251,0.0,0.065
32,1,2,8,weather_driven,historically_calibrated,2.742127,0.466162,14.5472,14.5583,0.0,0.0111
33,1,2,9,weather_driven,historically_calibrated,2.54714,0.433014,14.0488,14.0512,0.0,0.0024
34,1,2,10,weather_driven,historically_calibrated,2.328154,0.395786,13.45,13.4752,0.0194,0.0057
35,1,2,11,weather_driven,historically_calibrated,2.012202,0.342074,12.5003,12.565,0.0402,0.0245
36,1,2,12,weather_driven,historically_calibrated,1.743219,0.296347,11.5942,11.687,0.0816,0.0111
37,1,2,13,weather_driven,historically_calibrated,1.638457,0.278538,11.2121,11.3485,0.1283,0.0081
38,1,2,14,weather_driven,historically_calibrated,1.663588,0.28281,11.3054,11.442,0.1309,0.0057
39,1,2,15,weather_driven,historically_calibrated,1.789209,0.304166,11.7564,11.8583,0.0907,0.0111
40,1,2,16,weather_driven,historically_calibrated,2.026562,0.344516,12.546,12.6021,0.048,0.0081
41,1,2,17,weather_driven,historically_calibrated,2.178356,0.37032,13.0135,13.0589,0.0078,0.0376
42,1,2,18,weather_driven,historically_calibrated,2.303375,0.391574,13.3794,13.3987,0.0,0.0193
43,1,2,19,weather_driven,historically_calibrated,2.423341,0.411968,13.7157,13.7305,0.0,0.0148
44,1,2,20,weather_driven,historically_calibrated,2.45477,0.417311,13.8016,13.8164,0.0,0.0148
45,1,2,21,weather_driven,historically_calibrated,2.392581,0.406739,13.6308,13.6365,0.0,0.0057
46,1,2,22,weather_driven,historically_calibrated,2.16737,0.368453,12.9806,12.983,0.0,0.0024
47,1,2,23,weather_driven,historically_calibrated,2.052055,0.348849,12.6264,12.6278,0.0,0.0014
48,1,2,24,weather_driven,historically_calibrated,1.302103,0.221357,9.8478,9.9026,0.0,0.0548
49,1,3,1,weather_driven,historically_calibrated,1.211251,0.205913,9.4365,9.4741,0.0,0.0376
50,1,3,2,weather_driven,historically_calibrated,1.253285,0.213059,9.6294,9.6841,0.0,0.0548
51,1,3,3,weather_driven,historically_calibrated,1.274712,0.216701,9.726,9.791,0.0,0.065
52,1,3,4,weather_driven,historically_calibrated,1.243003,0.211311,9.5826,9.6591,0.0,0.0764
53,1,3,5,weather_driven,historically_calibrated,1.251109,0.212689,9.6195,9.696,0.0,0.0764
54,1,3,6,weather_driven,historically_calibrated,1.28118,0.217801,9.7549,9.8905,0.0,0.1356
55,1,3,7,weather_driven,historically_calibrated,1.800742,0.306126,11.7966,12.0413,0.0,0.2447
56,1,3,8,weather_driven,historically_calibrated,1.876343,0.318978,12.0553,12.1444,0.0,0.0892
57,1,3,9,weather_driven,historically_calibrated,1.885383,0.320515,12.0856,12.1101,0.0,0.0245
58,1,3,10,weather_driven,historically_calibrated,1.819334,0.309287,11.861,11.8825,0.0104,0.0111
59,1,3,11,weather_driven,historically_calibrated,1.735656,0.295061,11.5672,11.6,0.0246,0.0081
60,1,3,12,weather_driven,historically_calibrated,1.648566,0.280256,11.2497,11.2684,0.013,0.0057
61,1,3,13,weather_driven,historically_calibrated,1.574328,0.267636,10.969,10.9864,0.0117,0.0057
62,1,3,14,weather_driven,historically_calibrated,1.513364,0.257272,10.731,10.7639,0.0272,0.0057
63,1,3,15,weather_driven,historically_calibrated,1.556966,0.264684,10.9019,10.9476,0.0376,0.0081
64,1,3,16,weather_driven,historically_calibrated,1.656601,0.281622,11.2796,11.3216,0.0272,0.0148
65,1,3,17,weather_driven,historically_calibrated,1.768378,0.300624,11.6834,11.7262,0.0052,0.0376
66,1,3,18,weather_driven,historically_calibrated,1.880172,0.319629,12.0681,12.1446,0.0,0.0764
67,1,3,19,weather_driven,historically_calibrated,1.894919,0.322136,12.1176,12.2208,0.0,0.1032
68,1,3,20,weather_driven,historically_calibrated,1.832477,0.311521,11.9062,12.0249,0.0,0.1187
69,1,3,21,weather_driven,historically_calibrated,1.734588,0.29488,11.5634,11.6666,0.0,0.1032
70,1,3,22,weather_driven,historically_calibrated,1.585389,0.269516,11.0114,11.1471,0.0,0.1356
71,1,3,23,weather_driven,historically_calibrated,1.442076,0.245153,10.4436,10.5976,0.0,0.1541
72,1,3,24,weather_driven,historically_calibrated,0.983587,0.16721,8.3039,8.5758,0.0,0.2718
73,1,4,1,weather_driven,historically_calibrated,0.890764,0.15143,7.7928,8.0938,0.0,0.3009
74,1,4,2,weather_driven,historically_calibrated,0.895732,0.152274,7.821,8.2216,0.0,0.4005
75,1,4,3,weather_driven,historically_calibrated,0.89283,0.151781,7.8046,8.3246,0.0,0.52
76,1,4,4,weather_driven,historically_calibrated,0.925221,0.157288,7.9863,8.3869,0.0,0.4005
77,1,4,5,weather_driven,historically_calibrated,0.966959,0.164383,8.2147,8.6528,0.0,0.4381
78,1,4,6,weather_driven,historically_calibrated,0.965272,0.164096,8.2056,8.8172,0.0,0.6116
79,1,4,7,weather_driven,historically_calibrated,1.385015,0.235453,10.2059,10.9193,0.0,0.7133
80,1,4,8,weather_driven,historically_calibrated,1.492327,0.253696,10.6472,11.2118,0.0,0.5645
81,1,4,9,weather_driven,historically_calibrated,1.512929,0.257198,10.7293,11.1673,0.0,0.4381
82,1,4,10,weather_driven,historically_calibrated,1.405181,0.238881,10.2907,10.7841,0.0156,0.4779
83,1,4,11,weather_driven,historically_calibrated,1.233944,0.20977,9.5412,10.1524,0.0467,0.5645
84,1,4,12,weather_driven,historically_calibrated,1.030232,0.175139,8.5492,9.4371,0.0622,0.8257
85,1,4,13,weather_driven,historically_calibrated,0.958736,0.162985,8.1702,9.2792,0.0933,1.0156
86,1,4,14,weather_driven,historically_calibrated,0.995156,0.169177,8.3655,9.3034,0.0518,0.8861
87,1,4,15,weather_driven,historically_calibrated,1.118125,0.190081,8.9921,9.662,0.0583,0.6116
88,1,4,16,weather_driven,historically_calibrated,1.30003,0.221005,9.8387,10.3195,0.0428,0.4381
89,1,4,17,weather_driven,historically_calibrated,1.499422,0.254902,10.6756,11.2046,0.0091,0.52
90,1,4,18,weather_driven,historically_calibrated,1.609254,0.273573,11.1023,11.6668,0.0,0.5645
91,1,4,19,weather_driven,historically_calibrated,1.722382,0.292805,11.5196,12.0396,0.0,0.52
92,1,4,20,weather_driven,historically_calibrated,1.734924,0.294937,11.5646,12.0846,0.0,0.52
93,1,4,21,weather_driven,historically_calibrated,1.63644,0.278195,11.2045,11.7245,0.0,0.52
94,1,4,22,weather_driven,historically_calibrated,1.487295,0.25284,10.6271,11.1471,0.0,0.52
95,1,4,23,weather_driven,historically_calibrated,1.354886,0.230331,10.0776,10.5976,0.0,0.52
96,1,4,24,weather_driven,historically_calibrated,0.922193,0.156773,7.9695,8.4474,0.0,0.4779
97,1,5,1,weather_driven,historically_calibrated,0.851425,0.144742,7.5662,7.9314,0.0,0.3652
98,1,5,2,weather_driven,historically_calibrated,0.839996,0.142799,7.4991,7.9372,0.0,0.4381
99,1,5,3,weather_driven,historically_calibrated,0.85048,0.144582,7.5606,7.9987,0.0,0.4381
100,1,5,4,weather_driven,historically_calibrated,0.860755,0.146328,7.6205,8.0586,0.0,0.4381
101,1,5,5,weather_driven,historically_calibrated,0.904458,0.153758,7.8703,8.2355,0.0,0.3652
102,1,5,6,weather_driven,historically_calibrated,0.939567,0.159726,8.0656,8.4308,0.0,0.3652
103,1,5,7,weather_driven,historically_calibrated,1.321029,0.224575,9.931,10.3315,0.0,0.4005
104,1,5,8,weather_driven,historically_calibrated,1.33419,0.226812,9.9883,10.3888,0.0,0.4005
105,1,5,9,weather_driven,historically_calibrated,1.300764,0.22113,9.8419,10.28,0.0,0.4381
106,1,5,10,weather_driven,historically_calibrated,1.206547,0.205113,9.4146,9.9054,0.013,0.4779
107,1,5,11,weather_driven,historically_calibrated,1.087512,0.184877,8.8405,9.3482,0.0298,0.4779
108,1,5,12,weather_driven,historically_calibrated,0.97141,0.16514,8.2387,8.8616,0.0583,0.5645
109,1,5,13,weather_driven,historically_calibrated,0.912917,0.155196,7.9178,8.5549,0.0726,0.5645
110,1,5,14,weather_driven,historically_calibrated,0.942454,0.160217,8.0814,8.6254,0.0661,0.4779
111,1,5,15,weather_driven,historically_calibrated,1.026424,0.174492,8.5294,8.912,0.0505,0.332
112,1,5,16,weather_driven,historically_calibrated,1.126284,0.191468,9.032,9.3731,0.0402,0.3009
113,1,5,17,weather_driven,historically_calibrated,1.263613,0.214814,9.6761,9.9298,0.0091,0.2447
114,1,5,18,weather_driven,historically_calibrated,1.314419,0.223451,9.902,10.1739,0.0,0.2718
115,1,5,19,weather_driven,historically_calibrated,1.230793,0.209235,9.5267,10.0467,0.0,0.52
116,1,5,20,weather_driven,historically_calibrated,1.190063,0.202311,9.3375,9.8153,0.0,0.4779
117,1,5,21,weather_driven,historically_calibrated,1.153209,0.196046,9.1624,9.407,0.0,0.2447
118,1,5,22,weather_driven,historically_calibrated,1.038958,0.176623,8.5942,8.8661,0.0,0.2718
